,logP,IRSB,plx,EBV,M_B_g,M_B_i,M_V_g,M_V_i,M_I_g,M_I_i,M_J_g,M_J_i,M_H_g,M_H_i,M_K_g,M_K_i
0,0.490098,11.401,11.225259479873284,0.655,0.0647405201267155,-0.11100000000000065,-1.0812594798732835,-1.2569999999999997,-2.6022594798732843,-2.7780000000000005,-3.561259479873284,-3.737,-4.054259479873283,-4.2299999999999995,-4.197259479873284,-4.373
1,0.498166,8.814,8.917825582806314,0.295,-1.5528255828063138,-1.4489999999999998,-2.391825582806314,-2.2880000000000003,-3.4008255828063136,-3.2969999999999997,-4.090825582806314,-3.987,-4.503825582806314,-4.4,-4.603825582806314,-4.5
2,0.564814,10.447,10.073996745630629,0.325,-0.9089967456306294,-1.282,-1.8559967456306286,-2.228999999999999,-2.9789967456306288,-3.3519999999999994,-3.6929967456306283,-4.065999999999999,-4.136996745630628,-4.509999999999999,-4.228996745630629,-4.601999999999999
3,0.578244,10.811,11.425521266544438,0.263,-1.6695212665444377,-1.0549999999999997,-2.556521266544438,-1.9420000000000002,-3.5605212665444377,-2.9459999999999997,-4.289521266544438,-3.675,-4.692521266544438,-4.078,-4.806521266544438,-4.192
4,0.578408,12.514,11.946294357261664,0.173,-1.3992943572616632,-1.9669999999999987,-2.0912943572616634,-2.658999999999999,-2.907294357261664,-3.4749999999999996,-3.4192943572616645,-3.987,-3.7992943572616635,-4.366999999999999,-3.869294357261664,-4.436999999999999
5,0.586529,11.682,11.204778834597668,0.375,-0.692778834597668,-1.17,-1.5907788345976677,-2.0679999999999996,-2.6337788345976687,-3.1110000000000007,-3.461778834597668,-3.939,-3.9207788345976686,-4.398000000000001,-4.037778834597669,-4.515000000000001
6,0.605768,10.249,10.141118674761303,0.368,-1.0751186747613026,-1.1829999999999998,-1.922118674761304,-2.030000000000001,-3.0031186747613035,-3.1110000000000007,-3.789118674761303,-3.8970000000000002,-4.243118674761304,-4.351000000000001,-4.353118674761303,-4.461
7,0.609329,9.11,9.56465716912419,0.235,-1.3646571691241913,-0.9100000000000001,-2.227657169124191,-1.7729999999999997,-3.198657169124191,-2.7439999999999998,-3.863657169124191,-3.409,-4.2796571691241905,-3.8249999999999993,-4.386657169124191,-3.9319999999999995
8,0.609712,11.586,11.677891406797706,0.442,-0.8278914067977059,-0.7360000000000007,-1.8048914067977062,-1.713000000000001,-2.925891406797705,-2.8339999999999996,-3.7688914067977057,-3.6770000000000005,-4.229891406797705,-4.138,-4.334891406797706,-4.243
9,0.62305,12.098,10.8546488763081,0.589,0.2833511236918991,-0.9600000000000009,-0.8436488763081016,-2.0870000000000015,-2.2346488763081016,-3.4780000000000015,-3.3756488763081007,-4.619000000000001,-3.903648876308101,-5.147000000000001,-4.028648876308101,-5.272000000000001
10,0.635863,12.057,11.63388347911998,0.217,-1.7598834791199796,-2.183,-2.48988347911998,-2.9130000000000003,-3.356883479119981,-3.780000000000001,-3.9278834791199797,-4.351,-4.31788347911998,-4.7410000000000005,-4.4088834791199805,-4.832000000000001
11,0.646934,8.815,8.779609271617035,0.06,-2.3896092716170356,-2.425,-3.026609271617035,-3.0619999999999994,-3.725609271617035,-3.7609999999999992,-4.178609271617035,-4.2139999999999995,-4.509609271617036,-4.545,-4.574609271617035,-4.609999999999999
12,0.653376,11.165,11.621368055041328,0.533,-0.5363680550413275,-0.0799999999999983,-1.668368055041329,-1.2119999999999997,-2.8853680550413277,-2.4289999999999985,-3.7893680550413285,-3.3329999999999993,-4.286368055041328,-3.829999999999999,-4.409368055041329,-3.9529999999999994
13,0.666501,10.133,10.05660033600083,0.289,-1.1126003360008294,-1.1889999999999983,-2.0246003360008302,-2.100999999999999,-3.0976003360008306,-3.1739999999999995,-3.8316003360008306,-3.9079999999999995,-4.2886003360008305,-4.364999999999999,-4.41560033600083,-4.491999999999999
14,0.687034,11.588,11.162505097664257,0.266,-1.3265050976642563,-1.751999999999999,-2.206505097664257,-2.6319999999999997,-3.2295050976642568,-3.6549999999999994,-3.879505097664256,-4.304999999999999,-4.290505097664257,-4.715999999999999,-4.403505097664256,-4.828999999999999
15,0.687994,12.348,12.252554504981491,0.553,0.08544549501850796,-0.010000000000001563,-1.1245545049814911,-1.2200000000000006,-2.5615545049814905,-2.657,-3.5515545049814907,-3.6470000000000002,-4.120554504981492,-4.216000000000001,-4.286554504981491,-4.382000000000001
16,0.697493,11.46,11.37247493244264,0.335,-1.5564749324426401,-1.6440000000000001,-2.4514749324426415,-2.5390000000000015,-3.506474932442641,-3.594000000000001,-4.25147493244264,-4.339,-4.701474932442641,-4.789000000000001,-4.785474932442641,-4.873000000000001
17,0.720788,9.744,10.159435638990368,0.841,1.0075643610096314,1.423,-0.5324356389903677,-0.1169999999999991,-2.4174356389903684,-2.002,-3.677435638990368,-3.2619999999999996,-4.350435638990368,-3.9349999999999996,-4.572435638990369,-4.157
18,0.724391,11.711,11.063017638117676,1.036,1.4289823618823245,0.7810000000000006,-0.2100176381176766,-0.8580000000000005,-2.168017638117677,-2.8160000000000007,-3.6000176381176763,-4.248,-4.3000176381176765,-4.948,-4.515017638117676,-5.163
19,0.730464,10.132,10.340667869239477,0.195,-1.663667869239477,-1.455,-2.551667869239477,-2.343,-3.495667869239477,-3.287,-4.120667869239477,-3.912,-4.533667869239476,-4.324999999999999,-4.626667869239476,-4.417999999999999
20,0.730685,11.066,10.978800580030445,0.722,0.6171994199695554,0.5299999999999994,-0.673800580030445,-0.761000000000001,-2.362800580030445,-2.450000000000001,-3.5748005800304448,-3.662000000000001,-4.187800580030444,-4.275,-4.402800580030445,-4.490000000000001
21,0.735675,11.805,11.512722080938332,0.467,-0.7047220809383319,-0.9969999999999999,-1.8097220809383323,-2.1020000000000003,-3.1257220809383313,-3.4179999999999993,-4.012722080938332,-4.305,-4.5307220809383315,-4.8229999999999995,-4.653722080938332,-4.946
22,0.735997,11.48,11.290870634889783,0.336,-1.9848706348897842,-2.1740000000000013,-2.885870634889784,-3.075000000000001,-3.973870634889783,-4.163,-4.682870634889784,-4.872000000000001,-5.133870634889783,-5.323,-5.244870634889783,-5.434
23,0.739882,9.191,9.197433322695396,0.294,-1.4924333226953959,-1.4860000000000007,-2.3634333226953963,-2.357000000000001,-3.4014333226953957,-3.3950000000000005,-4.1244333226953955,-4.118,-4.569433322695396,-4.563000000000001,-4.688433322695396,-4.682
24,0.764123,11.212,11.492937268073236,0.325,-1.3739372680732362,-1.093,-2.364937268073236,-2.0839999999999996,-3.5149372680732363,-3.234,-4.269937268073236,-3.989,-4.746937268073236,-4.465999999999999,-4.854937268073236,-4.574
25,0.771201,12.675,12.547220228688158,0.737,0.5017797713118419,0.3739999999999988,-0.8382202286881579,-0.9660000000000011,-2.479220228688158,-2.607000000000001,-3.7072202286881577,-3.835000000000001,-4.313220228688158,-4.441000000000001,-4.529220228688157,-4.657
26,0.774852,10.428,11.199703416360896,0.635,-0.3587034163608962,0.4129999999999985,-1.716703416360895,-0.9450000000000003,-3.325703416360896,-2.554000000000001,-4.400703416360895,-3.6290000000000004,-4.990703416360896,-4.219000000000001,-5.158703416360895,-4.3870000000000005
27,0.786342,10.527,9.893257091898544,0.589,-0.3472570918985447,-0.9809999999999999,-1.6232570918985445,-2.2569999999999997,-3.1762570918985444,-3.8099999999999996,-4.0992570918985445,-4.733,-4.658257091898544,-5.291999999999999,-4.818257091898544,-5.451999999999999
28,0.794695,10.107,10.66520836988451,0.709,0.38279163011548967,0.9410000000000007,-1.010208369884511,-0.45199999999999996,-2.73620836988451,-2.177999999999999,-3.911208369884511,-3.3529999999999998,-4.5672083698845105,-4.0089999999999995,-4.730208369884511,-4.172
