,name,new_mod,new_EBV,new_M_B,new_M_V,new_M_I,new_M_J,new_M_H,new_M_K
0,EVSct,12.381,0.7736293048601486,1.370956177654746,0.1061726546982803,-1.5650310259434463,-2.645113584828102,-3.180645749499611,-3.347402454090905
1,SZTau,9.114,0.27629741671587155,-1.2281362406501324,-2.048409344007735,-3.0337288811567027,-3.704639528450259,-4.110934091265401,-4.2071887119369205
2,SSSct,11.226999999999999,0.4467019676238457,0.012957535606778148,-1.0559026445749777,-2.332996807901586,-3.1712155722158926,-3.65884937866807,-3.7752214147044216
3,QZNor,10.171,0.19550453681305846,-1.9805935533829055,-2.8000103460938215,-3.718550290425043,-4.378659021059395,-4.757459872642982,-4.857943231185165
4,ADGem,12.474,0.09669946571872223,-2.3298504507043694,-2.9454507257285263,-3.6648420412429443,-4.09896361191273,-4.451607581356862,-4.506327636361694
5,YAur,10.742,0.10747975667530135,-3.241958405579797,-3.872090385938776,-4.576366954650776,-5.131314392694122,-5.49440035985492,-5.5578267559267145
6,STTau,10.009,0.26679420009130733,-1.8512321011536512,-2.5968947337050787,-3.5497519980926877,-4.232453262241883,-4.65016794680062,-4.739900473310905
7,BFOph,8.25,0.1845446814759399,-1.9834915892708556,-2.7959706788327137,-3.70308617273029,-4.316587438219153,-4.714497692868721,-4.811393510781093
8,SYCas,10.846,0.2403003454142091,-2.3294517484488577,-3.104489884312106,-3.9701058496617594,-4.607235046219135,-4.995919669060491,-5.060527296233141
9,XSct,12.238000000000001,0.43520687318479206,-1.47074485749319,-2.443751799613123,-3.640025094164779,-4.624051525487032,-5.096912075729977,-5.191113464153963
10,YLac,12.137,0.1015781990845844,-2.5913842662133977,-3.2058124169567925,-3.926669949509731,-4.379861225751383,-4.72847904746918,-4.796364677617859
11,TVul,8.455,-0.0494596898422064,-3.2481567856293276,-3.775554798190326,-4.335961317299718,-4.677238001071575,-4.96899341847245,-5.012073020984649
12,XYCas,10.165,0.32430615899796766,-1.963046249431898,-2.8860811064365643,-3.8388413127134298,-4.529831683079476,-4.952008680265017,-5.033215651665951
13,TVel,9.773,0.2690223193253128,-1.633531560238802,-2.5255279085792384,-3.573232968416177,-4.286842149305138,-4.736679551452842,-4.859678821120929
14,VZCyg,11.968,0.2933839108363632,-1.2561304580780954,-2.163549967998547,-3.2212223805431157,-3.8991725906555748,-4.319990544207736,-4.438474446191826
15,CFCas,12.188,0.5971612955842918,0.016859690005812195,-1.237359015262738,-2.7302742812797445,-3.76534883245672,-4.350181981762557,-4.525025722816267
16,VLac,11.46,0.2390671261886329,-2.049920768958038,-2.8488631824107173,-3.7823968149057166,-4.42948004926393,-4.84508523601634,-4.909873718706876
17,V0386Cyg,10.244,1.091017386356872,2.980898566891832,1.190556157932697,-1.0110058559769204,-2.5261936018836524,-3.2888323354141815,-3.5609008172060093
18,CRSer,12.491,0.9934526781167019,1.380969516915201,-0.21542784968305362,-2.119556132607297,-3.5081289321074514,-4.192874440792632,-4.399353914112283
19,V1162Aql,9.472,0.14603507524274126,-2.3221852861253893,-3.161156706965946,-4.043159277835295,-4.618181758434056,-5.013626363960835,-5.096820648128947
20,CVMon,11.226,0.8332342968036159,1.1606656800651396,-0.24171322132432138,-2.0715536385651876,-3.397088260626702,-4.049969093059702,-4.287244873337595
21,SWCas,12.325,0.5296822316362865,-0.2117726732773812,-1.3795363918147951,-2.7749021262233944,-3.72588062640992,-4.266354086918477,-4.40190683062596
22,XLac,12.32,0.32264860945862217,-1.3904937387977334,-2.2781249914486517,-3.3492199948007797,-4.0445924975030065,-4.490805623452206,-4.599131873982389
23,VCen,8.771,0.2082445074521479,-2.2688572156177274,-3.053990240929563,-3.9834100664851744,-4.618881150351433,-5.0331352336082515,-5.134961838670618
24,FMCas,11.092,0.37332726211653816,-1.0085128558062921,-2.0479029433635816,-3.2590929895650578,-4.063419659462165,-4.557746432748807,-4.675424450260266
25,CSVel,12.275,0.6770376170213652,-0.2797188310974986,-1.5596784970209914,-3.1247565261887633,-4.2915541211301305,-4.8760558079608005,-5.080047741145498
26,MWCyg,10.688,0.8176470745090035,1.4458345663699452,-0.09504994933591882,-1.9353103691962399,-3.196734585206089,-3.8522190408298025,-4.056795943970975
27,FMAql,11.507,0.7072865643608065,0.499505939779881,-0.8949343971145944,-2.597704113445673,-3.6414368439574614,-4.242846125877741,-4.426534193256637
28,CRCep,10.167,0.9150362930695447,1.8728013668651653,0.27349722661462955,-1.7133776862183043,-3.0986748098285277,-3.8285450019827514,-4.032805830032859
29,RSCas,9.485,0.6742960251253736,-0.733524128887006,-2.053613838845042,-3.5796692140177853,-4.7506832409427515,-5.350783104830952,-5.516001046822559
30,RRLac,9.943,0.15258493225620035,-2.894152076144339,-3.638520668812472,-4.453812566637984,-5.041956035293242,-5.421291241055058,-5.479964959588684
31,XXSgr,10.808,0.5586894438683957,-0.3615246561596567,-1.510263096305082,-2.944983962553489,-3.956452824121083,-4.504965620431219,-4.649513308460304
32,BBSgr,10.124,0.32905171725812243,-1.316678768765707,-2.348792953256265,-3.5276341155798097,-4.29967954235083,-4.776907524539385,-4.915530361437496
33,VCar,9.191,0.14535345346313872,-2.4033617323614225,-3.249688345314062,-4.170546513950949,-4.7644729968317066,-5.176070590501846,-5.274935913092373
34,V0495Cyg,13.521,0.85889032329351,0.18101122495182898,-1.3277242557619626,-3.100912347503273,-4.440339482682495,-5.088635090292915,-5.292782186435673
35,USgr,9.378,0.4595667566271622,-0.7084177826834891,-1.8620593760942659,-3.198948100665314,-4.096705337819525,-4.611344747073062,-4.761873065755217
36,TWCMa,10.866999999999999,0.34105542130854155,-1.4419898958171669,-2.42406098917341,-3.5843250814174326,-4.355629808838635,-4.844952039040387,-4.953366257711635
37,xSgr,7.431,0.058611075179198946,-3.4348170575942563,-4.006196227171188,-4.686327306120083,-5.143249298333987,-5.477291517117985,-5.538567351033372
38,V0600Aql,12.305,0.9973335257625298,2.025439947558992,0.3348472882129714,-1.754540848766513,-3.082996591841812,-3.7784636408334515,-3.996382172702655
39,V0459Cyg,12.686,0.9997992691934061,2.45060164773806,0.7464516394947032,-1.3591574031872211,-2.7565361212675468,-3.495267253251458,-3.7192972549001304
40,CKSct,9.725999999999999,0.8628007557019076,1.0866747376014816,-0.6092635590828385,-2.5402242439223643,-3.928212959252188,-4.644145704193993,-4.8333333635308575
41,TZMon,14.72,0.4957530285433009,-0.9804662103247315,-1.719317717805139,-3.143233172425524,-4.1375527735991,-4.709712506922729,-4.874882808418811
42,V1344Aql,12.139000000000001,0.47624250479733354,-1.3431648894510433,-2.6383167095046134,-4.004992559378805,-4.965792479175347,-5.490782324420336,-5.615812688431049
43,RSOri,11.927999999999999,0.37835761274137747,-1.2404730332074092,-2.2288649108453504,-3.4232378657939724,-4.214140553966843,-4.694590548863008,-4.800868924390596
44,BKAur,10.207,0.31155849514812217,-2.163005039479752,-3.116416060671565,-4.180780964888312,-4.926993489716098,-5.388321306981554,-5.478603511219917
45,GHLup,10.181000000000001,0.3544528740372725,-1.7054646540860894,-2.9199272168596107,-4.202363747850643,-5.081970747323006,-5.6166428262515895,-5.765135338806294
46,FNAql,10.508,0.687757920638386,0.6586982895972032,-0.7473219163380135,-2.4447797251335115,-3.5477099995706998,-4.17504626685718,-4.354450308044223
47,YZSgr,10.203,0.32266191150400914,-1.614715953853086,-2.6774320258420503,-3.867182671711966,-4.651706151545879,-5.135643196677411,-5.243986411075205
48,SNor,9.152,0.09198282172908952,-3.2651957864177032,-4.1240654858150405,-5.015887815375545,-5.625071121857991,-6.047872852932522,-6.143446792811989
49,DDCas,12.478000000000002,0.5551464496275679,-0.3570938276908724,-1.659376967702957,-3.1645091963633982,-4.151830074569264,-4.7485282311542365,-4.889584859156653
50,BZCyg,11.58,0.7858540939678025,-0.44251607219403855,-1.9592412764839988,-3.730706696102272,-5.067510452733328,-5.762963671043604,-5.974108711901596
51,SYAur,12.216,0.37422310930021385,-1.8104713576180052,-2.7726193569603086,-3.9264645690318676,-4.70249285223241,-5.165778103609815,-5.273207703478276
52,YSct,11.14,0.8151687343161187,0.42012936551179364,-1.200114988158937,-3.0647659128006333,-4.387137576542409,-5.089992812856768,-5.3066416835909145
53,TWNor,11.909,1.393607384125855,3.4821568244517307,1.3162418507265121,-1.3973409547582802,-3.4198413795878584,-4.316672225018501,-4.668055219763546
