,BBBV,VBBV,IBBV,JBBV,HBBV,KBBV,BBBI,VBBI,IBBI,JBBI,HBBI,KBBI,BBBJ,VBBJ,IBBJ,JBBJ,HBBJ,KBBJ,BBBH,VBBH,IBBH,JBBH,HBBH,KBBH,BBBK,VBBK,IBBK,JBBK,HBBK,KBBK,BVVI,VVVI,IVVI,JVVI,HVVI,KVVI,BVVJ,VVVJ,IVVJ,JVVJ,HVVJ,KVVJ,BVVH,VVVH,IVVH,JVVH,HVVH,KVVH,BVVK,VVVK,IVVK,JVVK,HVVK,KVVK,BIIJ,VIIJ,IIIJ,JIIJ,HIIJ,KIIJ,BIIH,VIIH,IIIH,JIIH,HIIH,KIIH,BIIK,VIIK,IIIK,JIIK,HIIK,KIIK,BJJH,VJJH,IJJH,JJJH,HJJH,KJJH,BJJK,VJJK,IJJK,JJJK,HJJK,KJJK,BHHK,VHHK,IHHK,JHHK,HHHK,KHHK
mg,-0.04977846602616337,0.19864239234644016,0.35348217836896806,0.43763537218974446,0.46166549093566694,0.47340350500919554,-0.23621722830606112,0.09343017508053632,0.42624421770222537,0.5998861956154892,0.6502889777629531,0.6847598644384321,-0.30584377063689844,0.055601657834067404,0.4363273627164979,0.7089264266977292,0.7740909201131135,0.8229294719628971,-0.4103687985472551,-0.012015316348445916,0.41356148151800615,0.7232819468715413,0.8051322499717146,0.8601201048430878,-0.202382108703945,0.14179497477274666,0.5083520834600523,0.7735709024588523,0.8373381187324735,0.8907759763849088,-0.3149901754118453,0.00828784391579184,0.39703900910080114,0.5976772098842256,0.6561740790158435,0.6992326856349989,-0.3378636513023067,0.020781490161444774,0.42145823228819,0.7140681951271421,0.7831773917240843,0.8363167788904607,-0.43726898749127097,-0.03797052551312851,0.4025212867075342,0.7266852639712487,0.8121273348821239,0.8700822980283628,-0.20822978275571746,0.1332317215282657,0.5053799505039613,0.7767994672608907,0.841764000177484,0.8968545748618635,-0.32219556121686044,0.024853714907957587,0.400044984606799,0.7118637097124759,0.7804632714137011,0.8340832598905706,-0.44932065246204383,-0.047252974629356674,0.3888707195901535,0.7295661896831216,0.8180684214569367,0.8773179048049253,-0.1896920209148944,0.1469078499894227,0.5089447789681835,0.7839432694513516,0.8483803680984271,0.9038888629888387,-0.5613579017318755,-0.11780949896543727,0.3645630522985492,0.7226529595838521,0.8280828276872503,0.8909653250673617,-0.13340925693504593,0.19418856931649264,0.545768529148284,0.8019732457760852,0.8638125777323598,0.9192973159155959,0.15155662623782182,0.3919850689623816,0.6458511296064814,0.8265422004248238,0.857706335927206,0.9064478120184394
cg,1.6758286105695736e-16,-6.212791897310874e-17,-9.190025894343237e-16,4.077165979837504e-16,-6.135897962042575e-16,-7.66339034999939e-16,1.6973959741996907e-16,1.277504008823009e-16,-6.418828551024656e-16,7.339424516991533e-16,-2.73533003911046e-16,-4.2182862219345757e-16,1.1589552775451013e-17,1.6830195419328095e-16,-3.954003435051223e-16,1.1127599553946458e-15,1.3899780156408937e-16,1.5196835515499113e-17,4.0611283869905244e-16,1.5812534011979523e-16,-8.361094048260386e-16,3.602318166593899e-16,-6.936210763446567e-16,-8.729309950259298e-16,-5.765467067094849e-17,2.7022447628604243e-16,-1.0975978399973746e-16,1.5322943113063674e-15,5.908515202683414e-16,4.960767595634049e-16,1.9698605237305852e-16,1.4741836168494971e-16,-6.461927344542732e-16,7.176952657739017e-16,-2.933127351521998e-16,-4.448232677899221e-16,1.4611597558110004e-16,1.4764503162416785e-16,-5.816594674720063e-16,8.073945540094763e-16,-1.9476138986700272e-16,-3.3996822002147147e-16,-1.5528867711651519e-16,1.2615822133056184e-16,-2.938804294868672e-16,1.3225558886379256e-15,3.795831868915411e-16,2.7510561473200935e-16,1.885063496616898e-16,1.0225452841818652e-16,-7.218033246579287e-16,5.981799406131155e-16,-4.205948525763072e-16,-5.80405654249113e-16,3.012899851987123e-16,1.35181406893717e-16,-7.741436875926629e-16,4.615204125098461e-16,-5.739383034575864e-16,-7.452580037370057e-16,-1.5012273160360632e-16,1.2175582271851348e-16,-3.1321046028877455e-16,1.303870882140881e-15,3.6030416593472473e-16,2.549635637373168e-16,2.173899629952584e-16,6.99262374377199e-17,-8.182348102476371e-16,4.490563745116037e-16,-5.815798027931934e-16,-7.519183316064605e-16,-5.152645394130622e-16,1.7416338538818227e-17,-1.3324951644229183e-16,1.6849058302961916e-15,8.074938549160752e-16,7.378036334685159e-16,2.0308486814926386e-16,2.068625110766428e-17,-9.045355395180755e-16,3.4180751375393344e-16,-6.949359732718776e-16,-8.720052463031752e-16,2.9589662330590942e-16,6.186778698907868e-16,2.3063604443460195e-16,1.8632805394918534e-15,9.048800165184898e-16,8.229704163836918e-16
err_mg,0.28665516533685925,0.2188207368983659,0.13217754624342162,0.06749451735970427,0.04732296533738741,0.04300232457057899,0.36702622259851797,0.28182506951846187,0.17034499491595348,0.08378248681283483,0.05396249263905487,0.0443729764620395,0.415788156516814,0.3196208782611387,0.19430377902803736,0.0926794974831372,0.05605735392784283,0.04156730607563882,0.43664401553621984,0.3363187966777469,0.20546423481680726,0.09931718957562126,0.06033020367332505,0.04491835184753805,0.4419682326016116,0.33887978701583193,0.20501941865417658,0.09654362316575638,0.05703752180495598,0.04014825929739831,0.38009878331995123,0.2924598167413379,0.1778155685787335,0.08872155663966136,0.0582530762464909,0.04778944717320612,0.4234495746351614,0.32572235196985255,0.19852847002782734,0.09511092677519695,0.05793910202323853,0.0428208764865814,0.4422978535675745,0.34082390304109234,0.20858093412024856,0.1011458776174126,0.06168912645043764,0.04585309261642748,0.4453482304977295,0.34152973991292995,0.20677946262501057,0.09752068049230588,0.05779380079410308,0.04064203904963871,0.42590206305272266,0.327493315327395,0.20013505286338515,0.09611749249359947,0.05925598402712736,0.044451234483903784,0.4474767845633722,0.3448594905298069,0.2114313572144757,0.10278842867186411,0.06294255864444087,0.047024146562799414,0.4485786877654371,0.3438777085462779,0.208234732349581,0.09806328616474819,0.058092169802817915,0.040756468996052786,0.4605382957313149,0.35565210170147366,0.2188458614211274,0.10828592352991433,0.06712243890039203,0.051277519361971724,0.45418423001373825,0.34776075071232454,0.20989909997631626,0.0984908821493618,0.05795487318867414,0.04013840745128111,0.4396237173065168,0.33477626851679204,0.19952222159328775,0.09070485501747852,0.05251131906856269,0.034524016404193184
err_cg,0.10443614225548448,0.07972224599655306,0.048155814691973636,0.024590057563274512,0.017241021748618954,0.015666896777847918,0.10422123204551272,0.08002740446874264,0.04837138097990211,0.023790981302777972,0.015323257905856013,0.012600206719995177,0.10415053921760502,0.08006165229662074,0.04867104327193627,0.023215234695832577,0.014041774752814203,0.01041217089459339,0.10396055500959632,0.08007412793655447,0.04891897089198848,0.023646425424141443,0.014364015615829723,0.010694608472880868,0.10433551878722314,0.079999411217121,0.048398970398444895,0.02279107018462357,0.013464857853758637,0.009477806668457676,0.10406953128660389,0.08007433168450113,0.04868519366417671,0.0242916084441536,0.015949460000959953,0.013084560082832616,0.10409738798015962,0.08007292503724804,0.048804619032620455,0.02338129411087643,0.014243276044689876,0.010526734847035134,0.10390848324271483,0.08006933457218635,0.049001658775792344,0.023762074911070966,0.014492549557565713,0.010772209874703311,0.10433051800548028,0.08000924274375128,0.04844166198763462,0.022845904429974105,0.013539196434249789,0.009521099886506412,0.10413316164199399,0.08007219804764955,0.04893307081133349,0.023500751113337798,0.01448810301298873,0.010868338022409444,0.10389142211517123,0.08006659593751744,0.04908836645500167,0.023864558788505047,0.014613477513742253,0.010917673561385831,0.10435279514116842,0.07999622151533937,0.048441615615752276,0.022812448052304028,0.013513973044366533,0.009481171477425181,0.10362857292849421,0.08002748110190948,0.04924386206442544,0.02436608600774403,0.015103635504800223,0.011538272069983346,0.10440465381074249,0.07994077818594872,0.04825011838819426,0.02264038637802928,0.013322255754511734,0.009226732804744833,0.10438639502256325,0.07949090650450114,0.04737552734102137,0.021537402222813348,0.012468543164665126,0.008197550478426251
mi,0.3660737757622442,0.5160868517269044,0.6372540109544786,0.7226548544634235,0.7485053188903982,0.759337008539829,0.4240533047545503,0.5590612372787452,0.7326903887715778,0.8460557406969904,0.8804696364843685,0.8997133110209017,0.47314712607512355,0.5885525135636845,0.7489022584622752,0.882564092224379,0.9178536873075404,0.9391491691936075,0.46651800968217927,0.5835203521864868,0.7482693621608886,0.8871019302494072,0.9262898929408205,0.9482950995173264,0.5398430911271263,0.6372864454036007,0.7809305446849925,0.9039736186196393,0.9369222615105547,0.9581994869039139,0.4163262400550121,0.5352000848480819,0.7174016515876336,0.8337943903155407,0.8691576790452015,0.8904128308114404,0.47299991272082226,0.5815346704423926,0.7421604118039659,0.8778081237691793,0.9132502892955829,0.9351744694644231,0.46595744086582547,0.579224572418898,0.7442765242113377,0.8843961387973107,0.9238396476078203,0.9462158857386821,0.5413222289277775,0.6358464911717323,0.778982252553198,0.9022879091643147,0.9351936852027071,0.9566657324494365,0.481707944257117,0.5835966556773517,0.7320631121508413,0.8713197841250755,0.9058711221969317,0.9274739215653032,0.4692623368177168,0.5802229236109164,0.740333513865937,0.8829960097647448,0.9226979704107479,0.945010767284536,0.5503765838510595,0.6417849898887286,0.7799793362561075,0.9031544819321841,0.935587809164077,0.9569367450896002,0.4533291826991656,0.5712927979063656,0.740212033560079,0.8844755808343208,0.9283906853801782,0.9511128463066788,0.5738163768654267,0.6608665201659942,0.7945728256073399,0.9111364893680132,0.9426268906752252,0.9637850761465537,0.6538104581093664,0.717692520396037,0.8246186069585504,0.9199874038333363,0.9422055820237049,0.9620025649769108
ci,-5.60541517927688e-16,-5.750557108665892e-16,-1.4740629773970036e-15,-1.5439014537900623e-15,-1.7760809864457782e-15,-1.9539553189201275e-15,8.565260569285415e-16,1.3516766887674063e-15,9.826742105342402e-16,1.2698794079588289e-15,1.1459563006211921e-15,1.0222822257491697e-15,-4.3808899199101957e-16,-3.1657150900185914e-16,-1.1791415959670273e-15,-1.2458805803659679e-15,-1.47146745235294e-15,-1.6536989583145774e-15,-1.6478054983383383e-16,2.171699337373202e-17,-7.517082561655076e-16,-7.449265353708137e-16,-9.524286295747719e-16,-1.1228868181287791e-15,-7.078830828255487e-16,-6.022474727850203e-16,-1.498919491178729e-15,-1.5989070605963176e-15,-1.8339470087180516e-15,-2.023916659594647e-15,4.609175873756119e-16,8.1758794649169605e-16,2.973561687461777e-16,4.834668361645717e-16,3.288826759133066e-16,1.8942001108707363e-16,-2.7430682770992737e-16,-1.0772925134783375e-16,-9.150372431164006e-16,-9.370249596267693e-16,-1.1505184935156305e-15,-1.3258536496266686e-15,4.7154018400280185e-16,8.146018270939912e-16,2.663122324210389e-16,4.636819816223807e-16,3.0988608904390355e-16,1.6977698513936768e-16,-2.6811458854094887e-17,2.0238523077671606e-16,-5.128868305836298e-16,-4.576273497452807e-16,-6.510728086650596e-16,-8.142256962831648e-16,-7.815762585898749e-17,1.3625701316991356e-16,-5.994943388519575e-16,-5.655938168749682e-16,-7.638847615450105e-16,-9.29890898829701e-16,4.6115928201886e-16,7.991679304672896e-16,2.4222977501094415e-16,4.3773782586553896e-16,2.830458527276603e-16,1.4225754379165098e-16,8.616007626225134e-16,1.2392549532811834e-15,7.484713116978938e-16,1.0029823171174036e-15,8.620879167765231e-16,7.334893885589932e-16,-9.006285596101795e-17,1.1357734012929297e-16,-6.367629823881168e-16,-6.112446056521562e-16,-8.146524616549218e-16,-9.820870559102584e-16,-1.5121568750580573e-16,6.15436556253997e-17,-6.793782519114969e-16,-6.46770300874714e-16,-8.46414926910075e-16,-1.0138580807578112e-15,1.0085891385940407e-15,1.3471260420640958e-15,8.119075307523927e-16,1.0269033378743654e-15,8.714923376411609e-16,7.406883516021884e-16
err_mi,0.23961809534703088,0.18291457660078694,0.11405456760459692,0.06631126801599366,0.05325992761772692,0.05049178021715953,0.25531947057944465,0.19509123007276663,0.11849941840633767,0.06100382367451595,0.04206244119265576,0.03568813457009128,0.2571892707144287,0.19641872036166533,0.11919121139650231,0.05732768476993369,0.03552368541389618,0.02658469331842398,0.2598111960362171,0.19859232976942848,0.12081854207216709,0.05847492188863086,0.0358975774675993,0.026695975539254516,0.2588420866545653,0.19726276708368878,0.11893664128685018,0.056070137386407634,0.03345750484456763,0.023513136115949296,0.2523122829399138,0.19327754966857097,0.11751275019849114,0.06059188740670949,0.04173407487525368,0.03486203016578287,0.25587429156901065,0.1955795016406013,0.11880669153261268,0.05710921447905554,0.035366290408597165,0.026198064573949895,0.25917798505194495,0.19820785348251163,0.12067530326880545,0.058429415573084176,0.03587562148033465,0.026558311626630512,0.25835104406505827,0.19694212318135987,0.11878008678006363,0.05600288156374738,0.03344482579372147,0.023436112658581608,0.2539512652396344,0.19410217803611882,0.11837254935587338,0.056849974361702374,0.03551019439665684,0.02661047961841577,0.2589033428846289,0.19800658896175619,0.12080265130517197,0.05849832092685253,0.03596263139183563,0.026714041829915536,0.25809107090601885,0.19669101015135665,0.11867491994826133,0.055809862433228274,0.03326284200926728,0.0232274925556629,0.2620023765888138,0.20053887680016216,0.12257692429098503,0.06034618457050182,0.037406367833084896,0.028384887410914994,0.2590427617717876,0.19722738822129648,0.11859843041186316,0.055596280774670395,0.03287864716098219,0.022657388397896352,0.25514359890677474,0.19357348016901793,0.11516222017572002,0.05249043712795517,0.030768187849916525,0.020228808586409335
err_ci,0.10773258931869228,0.08223861780052846,0.05127907336827648,0.02981362736408755,0.023945728726680444,0.022701166263035828,0.1074935245987669,0.08213648528738167,0.049890124393931506,0.025683572059323208,0.01770895124749229,0.015025267609195255,0.10714391434055988,0.08182717144791062,0.04965453227710388,0.02388246029575837,0.014799010458230436,0.011075065829017395,0.10723309257200027,0.08196594298917649,0.0498660030980066,0.02413462855984833,0.01481617538590226,0.011018355097759842,0.10661137095423609,0.08124820159205472,0.04898739052898009,0.02309405820984118,0.013780411471290535,0.009684544384392535,0.10751365572647087,0.08235816224480519,0.05007376264484155,0.02581901779238158,0.017783450357307107,0.014855179722116077,0.1071257169537453,0.08188237359146674,0.04974025304101717,0.023909653088708273,0.014806642718123642,0.010968223626827216,0.10722863966748875,0.08200371839484347,0.049926495911225784,0.024173761313919056,0.014842673029466687,0.010987860820887532,0.10658919567010385,0.08125340688840978,0.04900570058592019,0.023105391823323634,0.01379850077084189,0.009669155419720674,0.10702538471346291,0.08180254687226694,0.04988700340741001,0.02395888979434824,0.014965439187577267,0.01121473766190247,0.10719913979701584,0.08198478928215396,0.05001843607281645,0.02422127738119935,0.014890356791414063,0.01106097075750992,0.10650325244139287,0.0811660482230731,0.048972112492470625,0.02303036616718112,0.01372616591110648,0.009585002280598654,0.1073617225756112,0.08217558763000517,0.050228818193332005,0.02472828838695145,0.01532815136314451,0.01163138459745073,0.10630762792847538,0.08093943895952568,0.048671183579462055,0.022815957837909382,0.013492949832972275,0.00929828418736712,0.10541789421099182,0.07997891674314397,0.047581670853607476,0.021687517821151844,0.012712517914319895,0.008357953766873354
