,logP,IRSB,plx,EBV,M_B,M_V,M_I,M_J,M_H,M_K
0,0.490098,11.401,11.225259479873284,0.655,2.7715015000000003,2.11565,1.2863152,0.6177697999999999,0.38293265,0.25176235
1,0.498166,8.814,8.917825582806314,0.295,1.2482335,0.95285,0.5793328,0.27823219999999993,0.17246584999999998,0.11338915
2,0.564814,10.447,10.073996745630629,0.325,1.3751725000000001,1.04975,0.638248,0.306527,0.19000475,0.12492025
3,0.578244,10.811,11.425521266544438,0.263,1.1128319,0.8494900000000001,0.51648992,0.24805107999999998,0.15375769,0.10108931
4,0.578408,12.514,11.946294357261664,0.173,0.7320148999999999,0.55879,0.33974432,0.16316667999999998,0.10114098999999999,0.06649601
5,0.586529,11.682,11.204778834597668,0.375,1.5867375,1.21125,0.73644,0.35368499999999997,0.21923625,0.14413874999999998
6,0.605768,10.249,10.141118674761303,0.368,1.5571184,1.18864,0.72269312,0.3470828799999999,0.21514384,0.14144816
7,0.609329,9.11,9.56465716912419,0.235,0.9943555,0.75905,0.4615024,0.22164259999999997,0.13738804999999998,0.09032694999999999
8,0.609712,11.586,11.677891406797706,0.442,1.8702346,1.42766,0.86801728,0.41687672,0.25840646,0.16989154
9,0.62305,12.098,10.8546488763081,0.589,2.4922356999999997,1.9024699999999999,1.15670176,0.5555212399999999,0.34434707,0.22639393
10,0.635863,12.057,11.63388347911998,0.217,0.9181921,0.70091,0.42615328,0.20466571999999997,0.12686471,0.08340829
11,0.646934,8.815,8.779609271617035,0.06,0.253878,0.1938,0.1178304,0.05658959999999999,0.0350778,0.023062199999999998
12,0.653376,11.165,11.621368055041328,0.533,2.2552829,1.7215900000000002,1.04672672,0.50270428,0.31160779,0.20486921
13,0.666501,10.133,10.05660033600083,0.289,1.2228457,0.9334699999999999,0.56754976,0.27257323999999994,0.16895807,0.11108292999999998
14,0.687034,11.588,11.162505097664257,0.266,1.1255258000000001,0.85918,0.5223814400000001,0.25088056,0.15551158,0.10224242
15,0.687994,12.348,12.252554504981491,0.553,2.3399089,1.7861900000000002,1.08600352,0.52156748,0.32330039,0.21255661
16,0.697493,11.46,11.37247493244264,0.335,1.4174855000000002,1.08205,0.6578864000000001,0.3159586,0.19585105,0.12876395000000002
17,0.720788,9.744,10.159435638990368,0.841,3.5585233,2.71643,1.65158944,0.7931975599999999,0.49167383,0.32325517
18,0.724391,11.711,11.063017638117676,1.036,4.3836268,3.34628,2.0345382400000003,0.9771137599999999,0.60567668,0.39820732
19,0.730464,10.132,10.340667869239477,0.195,0.8251035,0.62985,0.38294880000000003,0.18391619999999997,0.11400285,0.07495215
20,0.730685,11.066,10.978800580030445,0.722,3.0549986,2.33206,1.41789248,0.6809615199999999,0.42210285999999997,0.27751514
21,0.735675,11.805,11.512722080938332,0.467,1.9760171000000002,1.50841,0.91711328,0.44045572,0.27302221,0.17950079
22,0.735997,11.48,11.290870634889783,0.336,1.4217168,1.08528,0.65985024,0.31690176,0.19643568,0.12914832
23,0.739882,9.191,9.197433322695396,0.294,1.2440022,0.9496199999999999,0.5773689599999999,0.27728903999999993,0.17188121999999997,0.11300477999999999
24,0.764123,11.212,11.492937268073236,0.325,1.3751725000000001,1.04975,0.638248,0.306527,0.19000475,0.12492025
25,0.771201,12.675,12.547220228688158,0.737,3.1184681,2.38051,1.44735008,0.6951089199999999,0.43087231,0.28328069
26,0.774852,10.428,11.199703416360896,0.635,2.6868755,2.05105,1.2470384,0.5989066,0.37124005,0.24407494999999998
27,0.786342,10.527,9.893257091898544,0.589,2.4922356999999997,1.9024699999999999,1.15670176,0.5555212399999999,0.34434707,0.22639393
28,0.794695,10.107,10.66520836988451,0.709,2.9999917,2.29007,1.39236256,0.6687004399999998,0.41450266999999996,0.27251833
29,0.799056,10.485,10.872222441629962,0.833,3.5246729,2.69059,1.63587872,0.7856522799999999,0.48699678999999996,0.32018020999999997
30,0.807281,10.943,11.674609409067935,0.319,1.3497847,1.03037,0.6264649600000001,0.30086803999999995,0.18649696999999998,0.12261403
31,0.807815,10.648,10.592480841288962,0.521,2.2045073,1.68283,1.02316064,0.49138635999999997,0.30459223,0.20025677
32,0.821971,9.784,9.559813198538286,0.281,1.1889953000000002,0.90763,0.5518390400000001,0.26502796,0.16428103000000002,0.10800797000000001
33,0.82586,9.871,10.389031150564474,0.166,0.7023958,0.53618,0.32599744,0.15656456,0.09704858,0.06380542
