,name,new_mod,new_EBV,new_M_B,new_M_V,new_M_I,new_M_J,new_M_H,new_M_K
0,EVSct,11.185259479873285,0.49180424019795155,-0.6657896983236922,-1.6483817840339001,-2.9627498408029393,-3.755179192688184,-4.189668616926355,-4.299987034068398
1,SZTau,9.477825582806314,0.2892181802016616,-1.017290196919023,-1.8505008607549471,-2.8521801517990824,-3.536278763967315,-3.947205808115017,-4.0460479408822
2,SSSct,9.95399674563063,0.2990785242193778,-1.1386782861011764,-2.0597231124020383,-3.149902376627646,-3.83744484472788,-4.272151218016253,-4.358960183276427
3,QZNor,11.945521266544437,0.2851169216051598,-1.0559379361565253,-1.9650836097597721,-2.9970871712193605,-3.7486614707633152,-4.159591050666413,-4.278020185387064
4,ADGem,11.446294357261664,0.09792871239704208,-2.216943496496059,-2.8337746162192174,-3.554722354707857,-3.99009859287727,-4.343183284132981,-4.398149508077613
5,YAur,11.344778834597669,0.4769619243689688,-0.12134734401525038,-1.1214418188858983,-2.293541929044913,-3.2256124260098313,-3.721168834753838,-3.858587729727968
6,STTau,10.421118674761303,0.4308888884409487,-0.5290169211011163,-1.4389875650970396,-2.5996149600854306,-3.4498043907393376,-3.9263519439120715,-4.048946072711256
7,BFOph,9.48465716912419,0.2180902444273695,-1.5162074178786629,-2.3622756796237874,-3.3118652235079455,-3.959605774190073,-4.369543119524618,-4.473156771873643
8,SYCas,11.937891406797705,0.45590866897989507,-0.509039655743076,-1.4999664059926452,-2.638577006308228,-3.495773306562628,-3.9617599816519893,-4.069545331701904
9,XSct,11.2946488763081,0.8636229142066245,1.8853630605743892,0.4833831365792955,-1.2553334124725644,-2.6766355285449808,-3.3030960819754824,-3.483092066774501
10,YLac,11.513883479119981,0.12689412604077252,-2.261148463603659,-2.900925452008285,-3.6538369986360704,-4.132867735203365,-4.490562076212764,-4.563517473893689
11,TVul,8.719609271617035,-0.0077104946738157515,-2.736112687730352,-3.3053141694134602,-3.9185818494772615,-4.302471101773591,-4.6091948581181885,-4.660635154454809
12,XYCas,11.701368055041328,0.4595831027758355,-0.7670169722659348,-1.8255046330753801,-2.949547094486031,-3.7786119358272714,-4.249289775665492,-4.357587307827381
13,TVel,9.89660033600083,0.30246917298706627,-1.2156082243406556,-2.141094907252606,-3.2311490353219106,-3.9788967508063493,-4.440725853397402,-4.570423189979792
14,VZCyg,10.682505097664256,0.14104309346189237,-2.3352352562989513,-3.0901159057823446,-3.954900469000054,-4.477359453634738,-4.843558653933631,-4.931534783830309
15,CFCas,11.95255450498149,0.5566584618813857,-0.19907445522278508,-1.4127376731046157,-2.85436987120035,-3.848103990073443,-4.418415658411777,-4.585148301988142
16,VLac,11.752474932442642,0.36272068484079695,-1.0591803986757762,-1.9819371204068674,-3.0720359427248907,-3.8453298913281944,-4.305268588464165,-4.3948199328103845
17,V0386Cyg,9.919435638990368,0.7818625081470995,0.5173358917324535,-0.9634497376752363,-2.7735722109907686,-3.97321175580635,-4.62500919085233,-4.8351663167338685
18,CRSer,11.223017638117676,1.0024856012809142,1.4471728865822566,-0.1582691459803237,-2.0738345548981663,-3.471627078413569,-4.159611161040815,-4.367899567553331
19,V1162Aql,10.080667869239477,0.14634594031516335,-2.1295377919839265,-2.968820482021499,-3.851216657810946,-4.426556432171827,-4.822112492153022,-4.905369030160537
20,CVMon,10.878800580030445,0.7979500721818684,0.8385669603926955,-0.5284818468830097,-2.3136467902768043,-3.6031675099513936,-4.243397889330758,-4.4736076507859
21,SWCas,11.472722080938333,0.4604201525934304,-0.77256338926975,-1.8709749880615523,-3.178643848469249,-4.058927929818312,-4.574568857127634,-4.696251176885995
22,XLac,11.710870634889783,0.2496568877333432,-1.9302142458236893,-2.7447588875110855,-3.7234346924835346,-4.344306004655204,-4.764349408614239,-4.858058336951718
23,VCen,9.157433322695397,0.2784614509806868,-1.5981815851608157,-2.453622836027778,-3.471948546801484,-4.179088660588451,-4.618517624608557,-4.734405874781949
24,FMCas,11.472937268073236,0.3130019619990962,-1.4447045662664606,-2.4236909308161554,-3.558499495020931,-4.301253337594168,-4.773951681029703,-4.8795489539396435
25,CSVel,12.487220228688157,0.7763019899962207,0.6080782815828505,-0.7712748010003652,-2.46203740865398,-3.7301521638033224,-4.350243106276666,-4.574113722793309
26,MWCyg,11.419703416360896,0.5991832660954253,-0.2902547625313232,-1.6123914668726713,-3.1760417510720558,-4.214484327110334,-4.791642953503527,-4.952470294371797
27,FMAql,9.353257091898545,0.3763324928648649,-1.7871171148394418,-2.850173139945031,-4.133902049110808,-4.839836577928119,-5.322588896594958,-5.440000101616076
28,CRCep,10.72520836988451,0.8069401805602435,0.857205916120048,-0.6338615866749244,-2.4838695256930814,-3.7588351091873116,-4.449949602123576,-4.63256310268257
29,RSCas,11.312222441629961,0.9356148494792936,1.4249717709717733,-0.1567764778118425,-2.013703295628545,-3.451440220195071,-4.145230722178882,-4.362780371935605
30,RRLac,12.094609409067935,0.3276095330845484,-1.4651798917272858,-2.3848006172048435,-3.4217016636151762,-4.188489241843913,-4.630576017740716,-4.724300162836228
31,XXSgr,10.632480841288961,0.5641241283991189,-0.40300971679376985,-1.5571899065598083,-2.998791952973636,-4.015807888348049,-4.566269182102985,-4.711905220056193
32,BBSgr,9.359813198538287,0.20626444946057892,-2.1520417335357385,-3.0612090267806162,-4.084581862109623,-4.731300780385046,-5.164505843450148,-5.278539302099124
33,VCar,10.289031150564474,0.11799207022508415,-2.457167103821076,-3.276096763737452,-4.162311043373644,-4.7283103096109835,-5.130098026548783,-5.223483958532058
34,V0495Cyg,12.362048975110925,1.0169668811640626,1.528831589158574,-0.13818594895100209,-2.111524255205691,-3.6122969714722277,-4.317267767375979,-4.553071274997894
35,USgr,8.703040732551553,0.32628665064347295,-1.6774066276838273,-2.697594850973136,-3.865729636551876,-4.627450535130656,-5.09430502798586,-5.2181426726437214
36,TWCMa,11.701871648972967,0.3217552717664606,-1.5985262675475402,-2.561272121167298,-3.6970991360671195,-4.448704586853711,-4.931107134440141,-5.035656305164092
37,xSgr,7.916269118243055,0.16959926064063374,-2.4904618666943414,-3.172973506373808,-3.9936333862265534,-4.563838799577234,-4.937673612494721,-5.021175940430615
38,V0600Aql,10.739348318024385,0.5590945415001887,-1.2632289845746374,-2.515012948978776,-4.049520413644655,-4.930674390263066,-5.46901961622713,-5.599176409107956
39,V0459Cyg,11.6220689467904,0.644625120113164,-0.4683156760555682,-1.8168298088248787,-3.4727315509073633,-4.507591118504467,-5.11898166281864,-5.2718844893725025
40,CKSct,11.28572101874594,0.8623778766485124,1.08516439071691,-0.6103504771712454,-2.5407757294685247,-3.9283328206061285,-4.64411395072092,-4.833216924298551
41,TZMon,12.50368207514518,0.6969367023099313,0.3271201933388318,-0.6131765266841027,-2.291822701680845,-3.4914864549945457,-4.135776570873726,-4.341235914878313
42,V1344Aql,9.692609588121726,0.5222153652609349,-0.702249513093132,-2.0434339583289063,-3.4683188052076916,-4.476042304222222,-5.017514799129225,-5.15175168817638
43,RSOri,10.941908401272402,0.30591073005756825,-1.8809259291798142,-2.796776743186457,-3.899420353156147,-4.616377957111306,-5.070853571158846,-5.162623733960174
44,BKAur,11.517938427875784,0.40509704570690486,-1.398153798376158,-2.4452249702424806,-3.6280246456347354,-4.46971009824686,-4.964574292044157,-5.073588526417421
45,GHLup,10.06261827152559,0.34859888120601423,-1.5318529254785824,-2.7404538852301648,-4.0154783246579715,-4.8891102707273255,-5.421683517606119,-5.569003709556435
46,FNAql,10.142928469687204,0.37968211806899715,-1.879791323501856,-2.9773352283243435,-4.284719778938585,-5.073203243209249,-5.590085093000527,-5.707793873965024
47,YZSgr,10.02402730773711,0.23758758915601635,-2.27571824174126,-3.253249394763179,-4.33528233664896,-5.0329721571487225,-5.486407505488829,-5.577713736093213
48,SNor,9.748963126792775,0.19322865729826044,-2.273757409166646,-3.234004563719394,-4.254020320444161,-4.966543226375348,-5.425644626876494,-5.541494057787044
49,DDCas,11.637054664486076,0.39598010898517,-1.6696290293371252,-2.812538912463977,-4.11614108725664,-4.9410040648956235,-5.480636313370076,-5.589818289995446
50,BZCyg,11.724383530323436,1.0102233421578144,1.4024739973489244,-0.33891213515369484,-2.3944649220602336,-3.9602778829338714,-4.7361742077977125,-4.992251434298236
51,SYAur,11.139353307836805,0.3255820125048084,-2.25963973832521,-3.173083407446274,-4.265341208399363,-4.991722496922771,-5.43756845586612,-5.535257189690332
52,YSct,11.143930014246289,0.7689062223115473,0.10044878422056183,-1.4734729161799915,-3.2795480986219796,-4.55470054161093,-5.240969279496289,-5.448353619576399
53,TWNor,12.331016997017265,1.3021135533114503,2.6330019811094747,0.5586997801787192,-2.0390371964821066,-3.9681516980760376,-4.832179260344792,-5.165239700530943
54,ZLac,11.10206851288647,0.261824303308134,-2.485792338298764,-3.4774760132011986,-4.606508273077825,-5.298095502978371,-5.778311270443436,-5.890648005423923
