,error_pair,rms,mu,EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,EVSct,0.10938210991564692,-0.04,-0.16319575980204845,-0.6905302184504076,-0.5271223041606165,-0.3204903609296548,-0.1539197128149,-0.09540913705307158,-0.06272755419511336
1,SZTau,0.011212155658994681,0.56,-0.0057818197983383795,-0.024464614112709185,-0.018675277948632964,-0.011354568992768843,-0.005453181161000825,-0.0033802253087025667,-0.0022223580758873227
2,SSSct,0.027265727119534518,-0.12,-0.02592147578062223,-0.10968154047054685,-0.0837263667714098,-0.05090563099701716,-0.02444809909725166,-0.015154472385625173,-0.009963437645797766
3,QZNor,0.04126714814339337,0.52,0.02211692160515975,0.09358333038791244,0.07143765678466599,0.04343409532507692,0.020859795781122466,0.012930215878024544,0.008501081157375252
4,ADGem,0.007513180721261181,-0.5,-0.0750712876029579,-0.3176491392343958,-0.24248025895755404,-0.14742799744619287,-0.07080423561560577,-0.04388892687131728,-0.02885515081594893
5,YAur,0.07904284070638366,0.14,0.10196192436896878,0.4314314905824176,0.32933701571176915,0.20023690555275567,0.09616640858783658,0.05960999984383022,0.03919110486970053
6,STTau,0.025371361816268912,0.28,0.06288888844094871,0.2661017536601863,0.20313110966426434,0.12350371467587272,0.05931428402196518,0.03676673084923184,0.024172602050047457
7,BFOph,0.030497991194112915,-0.08,-0.016909755572630497,-0.07155024875447143,-0.054618510499596505,-0.033208054383754675,-0.01594860506588218,-0.009885950400426967,-0.006499602749451984
8,SYCas,0.04932178332147788,0.26,0.01390866897989506,0.05885175105462997,0.044925000805061045,0.027314400489477114,0.013118100235077822,0.008131425145716048,0.005346075095802264
9,XSct,0.061905540255260905,0.44,0.2746229142066245,1.1620119368824902,0.8870320128873971,0.5393154638355374,0.2590133477631199,0.16055279433261888,0.10555680953360025
10,YLac,0.013650940980904924,-0.12,-0.09010587395922748,-0.38126498448367924,-0.29104197288830475,-0.17695351951608929,-0.08498425608338497,-0.05267859709278316,-0.034633994773708265
11,TVul,0.025804385983880216,-0.06,-0.06771049467381575,-0.2865034161133166,-0.21870489779642488,-0.13297257786022632,-0.06386183015655605,-0.0395855865011529,-0.026025882837774558
12,XYCas,0.06833969767903553,0.08,-0.07341689722416453,-0.31064891722460736,-0.23713657803405142,-0.14417903944470328,-0.06924388078594301,-0.04292172062416331,-0.02821925278605212
13,TVel,0.018627040432532375,-0.16,0.013469172987066314,0.05699211166017369,0.0435054287482242,0.02645130067892031,0.012703585194481464,0.007874482603428578,0.005177146021038679
14,VZCyg,0.013733464155238814,-0.48,-0.12495690653810766,-0.528730158634695,-0.40361080811808775,-0.24539537133579736,-0.1178543559704816,-0.07305355626937388,-0.04802968616605244
15,CFCas,0.008717801387403764,-0.3,0.0036584618813856134,0.015480049758706945,0.01181683187687553,0.007184633781140323,0.003450514908047655,0.002138846569714471,0.0014062029933481883
16,VLac,0.016804075125822108,0.38,0.02772068484079694,0.1172945337668641,0.08953781203577411,0.054438989717750665,0.02614504111444604,0.016206343978475115,0.01065499963225712
17,V0386Cyg,0.05897748444985431,-0.24,-0.05913749185290051,-0.2502284692771779,-0.19101409868486863,-0.11613657200040013,-0.05577611681598164,-0.034573551861961226,-0.022730677743499367
18,CRSer,0.0117943418573092,0.16,-0.0335143987190858,-0.14180947530006774,-0.10825150786264713,-0.06581691678048945,-0.03160944029589296,-0.01959352292313913,-0.012881929435655009
19,V1162Aql,0.031875115340027696,-0.26,-0.04865405968483666,-0.20586992274444935,-0.15715261278202242,-0.09554878857146963,-0.04588856293235054,-0.028444622913546054,-0.018701160921060667
20,CVMon,0.043069804415769644,-0.1,0.07595007218186849,0.32136754042314014,0.24531873314743521,0.1491537897536406,0.07163307007905108,0.04440269069968577,0.02919292924454479
21,SWCas,0.01776472033794948,-0.04,-0.006579847406569621,-0.027841308331418037,-0.021252907123219873,-0.012921767530917684,-0.006205848879980202,-0.003846776189302797,-0.002529095947663165
22,XLac,0.017378739426979397,0.42,-0.08634311226665682,-0.365343610933905,-0.2788882526213015,-0.16956405759375134,-0.08143536976542004,-0.050478773724455576,-0.03318770206193488
23,VCen,0.019835892969618085,-0.04,-0.015538549019313175,-0.06574826246541984,-0.05018951333238155,-0.030515224106087986,-0.014655337893055412,-0.009084301913161062,-0.005972552086553405
24,FMCas,0.010595918365182222,-0.02,-0.011998038000903816,-0.05076729819322432,-0.038753662742919325,-0.02356222694769495,-0.011316069520932441,-0.007014412956468398,-0.0046116858664074
25,CSVel,0.023700329737748715,-0.06,0.039301989996220685,0.1662985102710086,0.12694542768779282,0.07718282003417803,0.037068064884835494,0.022977122411490497,0.015106505894847345
