,logP,mMplx,EBV,M_B,M_V,M_I,M_J,M_H,M_K
0,0.490098,11.225259479873284,0.655,0.0647405201267155,-1.0812594798732835,-2.6022594798732843,-3.561259479873284,-4.054259479873283,-4.197259479873284
1,0.498166,8.917825582806314,0.295,-1.5528255828063138,-2.391825582806314,-3.4008255828063136,-4.090825582806314,-4.503825582806314,-4.603825582806314
2,0.564814,10.073996745630629,0.325,-0.9089967456306294,-1.8559967456306286,-2.9789967456306288,-3.6929967456306283,-4.136996745630628,-4.228996745630629
3,0.578244,11.425521266544438,0.263,-1.6695212665444377,-2.556521266544438,-3.5605212665444377,-4.289521266544438,-4.692521266544438,-4.806521266544438
4,0.578408,11.946294357261664,0.173,-1.3992943572616632,-2.0912943572616634,-2.907294357261664,-3.4192943572616645,-3.7992943572616635,-3.869294357261664
5,0.586529,11.204778834597668,0.375,-0.692778834597668,-1.5907788345976677,-2.6337788345976687,-3.461778834597668,-3.9207788345976686,-4.037778834597669
6,0.605768,10.141118674761303,0.368,-1.0751186747613026,-1.922118674761304,-3.0031186747613035,-3.789118674761303,-4.243118674761304,-4.353118674761303
7,0.609329,9.56465716912419,0.235,-1.3646571691241913,-2.227657169124191,-3.198657169124191,-3.863657169124191,-4.2796571691241905,-4.386657169124191
8,0.609712,11.677891406797706,0.442,-0.8278914067977059,-1.8048914067977062,-2.925891406797705,-3.7688914067977057,-4.229891406797705,-4.334891406797706
9,0.62305,10.8546488763081,0.589,0.2833511236918991,-0.8436488763081016,-2.2346488763081016,-3.3756488763081007,-3.903648876308101,-4.028648876308101
10,0.635863,11.63388347911998,0.217,-1.7598834791199796,-2.48988347911998,-3.356883479119981,-3.9278834791199797,-4.31788347911998,-4.4088834791199805
11,0.646934,8.779609271617035,0.06,-2.3896092716170356,-3.026609271617035,-3.725609271617035,-4.178609271617035,-4.509609271617036,-4.574609271617035
12,0.653376,11.621368055041328,0.533,-0.5363680550413275,-1.668368055041329,-2.8853680550413277,-3.7893680550413285,-4.286368055041328,-4.409368055041329
13,0.666501,10.05660033600083,0.289,-1.1126003360008294,-2.0246003360008302,-3.0976003360008306,-3.8316003360008306,-4.2886003360008305,-4.41560033600083
14,0.687034,11.162505097664257,0.266,-1.3265050976642563,-2.206505097664257,-3.2295050976642568,-3.879505097664256,-4.290505097664257,-4.403505097664256
15,0.687994,12.252554504981491,0.553,0.08544549501850796,-1.1245545049814911,-2.5615545049814905,-3.5515545049814907,-4.120554504981492,-4.286554504981491
16,0.697493,11.37247493244264,0.335,-1.5564749324426401,-2.4514749324426415,-3.506474932442641,-4.25147493244264,-4.701474932442641,-4.785474932442641
17,0.720788,10.159435638990368,0.841,1.0075643610096314,-0.5324356389903677,-2.4174356389903684,-3.677435638990368,-4.350435638990368,-4.572435638990369
18,0.724391,11.063017638117676,1.036,1.4289823618823245,-0.2100176381176766,-2.168017638117677,-3.6000176381176763,-4.3000176381176765,-4.515017638117676
19,0.730464,10.340667869239477,0.195,-1.663667869239477,-2.551667869239477,-3.495667869239477,-4.120667869239477,-4.533667869239476,-4.626667869239476
20,0.730685,10.978800580030445,0.722,0.6171994199695554,-0.673800580030445,-2.362800580030445,-3.5748005800304448,-4.187800580030444,-4.402800580030445
21,0.735675,11.512722080938332,0.467,-0.7047220809383319,-1.8097220809383323,-3.1257220809383313,-4.012722080938332,-4.5307220809383315,-4.653722080938332
22,0.735997,11.290870634889783,0.336,-1.9848706348897842,-2.885870634889784,-3.973870634889783,-4.682870634889784,-5.133870634889783,-5.244870634889783
23,0.739882,9.197433322695396,0.294,-1.4924333226953959,-2.3634333226953963,-3.4014333226953957,-4.1244333226953955,-4.569433322695396,-4.688433322695396
24,0.764123,11.492937268073236,0.325,-1.3739372680732362,-2.364937268073236,-3.5149372680732363,-4.269937268073236,-4.746937268073236,-4.854937268073236
25,0.771201,12.547220228688158,0.737,0.5017797713118419,-0.8382202286881579,-2.479220228688158,-3.7072202286881577,-4.313220228688158,-4.529220228688157
26,0.774852,11.199703416360896,0.635,-0.3587034163608962,-1.716703416360895,-3.325703416360896,-4.400703416360895,-4.990703416360896,-5.158703416360895
27,0.786342,9.893257091898544,0.589,-0.3472570918985447,-1.6232570918985445,-3.1762570918985444,-4.0992570918985445,-4.658257091898544,-4.818257091898544
28,0.794695,10.66520836988451,0.709,0.38279163011548967,-1.010208369884511,-2.73620836988451,-3.911208369884511,-4.5672083698845105,-4.730208369884511
29,0.799056,10.872222441629962,0.833,0.5507775583700383,-0.9282224416299609,-2.6552224416299612,-3.9882224416299614,-4.6452224416299615,-4.8422224416299615
30,0.807281,11.674609409067935,0.319,-1.9216094090679352,-2.832609409067935,-3.8586094090679355,-4.6166094090679355,-5.0556094090679355,-5.147609409067935
31,0.807815,10.592480841288962,0.521,-0.6254808412889616,-1.7364808412889623,-3.123480841288962,-4.096480841288962,-4.631480841288962,-4.768480841288962
32,0.821971,9.559813198538286,0.281,-1.635813198538286,-2.619813198538286,-3.7378131985382863,-4.460813198538286,-4.920813198538286,-5.049813198538287
33,0.82586,10.389031150564474,0.166,-2.1540311505644745,-3.0210311505644736,-3.9680311505644736,-4.583031150564474,-5.002031150564474,-5.105031150564474
34,0.827263,11.622048975110925,0.978,0.6239510248890756,-1.0040489751109245,-2.928048975110924,-4.389048975110925,-5.080048975110925,-5.308048975110925
35,0.828997,8.923040732551554,0.402,-1.1370407325515544,-2.2330407325515536,-3.497040732551554,-4.336040732551554,-4.830040732551554,-4.969040732551553
36,0.844792,11.901871648972966,0.329,-1.3678716489729652,-2.337871648972966,-3.4828716489729654,-4.241871648972966,-4.726871648972966,-4.832871648972966
37,0.845893,7.716269118243055,0.237,-2.405269118243055,-3.155269118243055,-4.061269118243056,-4.700269118243055,-5.098269118243055,-5.195269118243055
38,0.859672,11.259348318024385,0.798,0.2676516819756145,-1.2233483180243852,-3.060348318024385,-4.185348318024385,-4.809348318024385,-4.9873483180243845
39,0.860413,11.8820689467904,0.73,0.15293105320960088,-1.2810689467903984,-3.0450689467903995,-4.167068946790399,-4.809068946790399,-4.9790689467904
40,0.870124,11.40572101874594,0.757,0.7592789812540595,-0.8307210187459404,-2.627721018745939,-3.9077210187459395,-4.585721018745939,-4.7537210187459396
41,0.870882,12.40368207514518,0.42,-0.944682075145181,-1.6076820751451812,-2.9356820751451806,-3.8526820751451805,-4.39768207514518,-4.547682075145181
42,0.873787,9.712609588121726,0.546,-0.5816095881217258,-1.946609588121726,-3.401609588121726,-4.433609588121726,-4.983609588121726,-5.122609588121726
43,0.878917,11.001908401272402,0.352,-1.6259084012724028,-2.5879084012724025,-3.748908401272402,-4.512908401272402,-4.983908401272402,-5.084908401272402
44,0.903222,11.677938427875784,0.425,-1.1539384278757847,-2.220938427875783,-3.4289384278757833,-4.290938427875784,-4.792938427875784,-4.905938427875784
45,0.967448,10.22261827152559,0.347,-1.3786182715255908,-2.5856182715255907,-3.8586182715255903,-4.73061827152559,-5.26261827152559,-5.4096182715255905
46,0.976878,10.582928469687204,0.486,-0.9899284696872037,-2.1939284696872043,-3.6359284696872036,-4.532928469687204,-5.087928469687204,-5.226928469687204
47,0.980171,10.244027307737111,0.281,-1.8720273077371115,-2.8930273077371114,-4.030027307737111,-4.772027307737111,-5.241027307737111,-5.341027307737112
48,0.989194,9.728963126792776,0.179,-2.3539631267927756,-3.2999631267927754,-4.301963126792776,-4.9999631267927755,-5.453963126792775,-5.566963126792776
49,0.991759,12.077054664486075,0.45,-1.001054664486075,-2.198054664486076,-3.570054664486076,-4.450054664486076,-5.009054664486076,-5.129054664486075
50,1.006127,11.344383530323435,0.885,0.49261646967656425,-1.1233835303234354,-3.0203835303234357,-4.458383530323435,-5.189383530323435,-5.420383530323435
51,1.006262,11.519353307836806,0.432,-1.4293533078368057,-2.4493533078368053,-3.6763533078368056,-4.5113533078368055,-4.9953533078368055,-5.114353307836805
52,1.014575,11.143930014246289,0.757,0.05006998575371213,-1.511930014246289,-3.3029300142462885,-4.565930014246288,-5.247930014246289,-5.452930014246289
53,1.032868,11.971016997017266,1.157,1.658983002982735,-0.2700169970172652,-2.684016997017265,-4.4650169970172655,-5.277016997017266,-5.581016997017266
54,1.036854,11.32206851288647,0.37,-1.8080685128864715,-2.908068512886471,-4.174068512886471,-4.976068512886471,-5.495068512886471,-5.629068512886471
55,1.039548,11.102331520324078,0.271,-2.2993315203240776,-3.2833315203240785,-4.366331520324079,-5.111331520324079,-5.572331520324078,-5.695331520324078
56,1.043507,11.91595055784764,0.965,0.5910494421523591,-1.097950557847641,-3.0909505578476413,-4.56095055784764,-5.277950557847641,-5.48695055784764
