,BBBV,VVBV,IIBV,JJBV,HHBV,KKBV,BBBI,VVBI,IIBI,JJBI,HHBI,KKBI,BBBJ,VVBJ,IIBJ,JJBJ,HHBJ,KKBJ,BBBH,VVBH,IIBH,JJBH,HHBH,KKBH,BBBK,VVBK,IIBK,JJBK,HHBK,KKBK,BBVI,VVVI,IIVI,JJVI,HHVI,KKVI,BBVJ,VVVJ,IIVJ,JJVJ,HHVJ,KKVJ,BBVH,VVVH,IIVH,JJVH,HHVH,KKVH,BBVK,VVVK,IIVK,JJVK,HHVK,KKVK,BBIJ,VVIJ,IIIJ,JJIJ,HHIJ,KKIJ,BBIH,VVIH,IIIH,JJIH,HHIH,KKIH,BBIK,VVIK,IIIK,JJIK,HHIK,KKIK,BBJH,VVJH,IIJH,JJJH,HHJH,KKJH,BBJK,VVJK,IIJK,JJJK,HHJK,KKJK,BBHK,VVHK,IIHK,JJHK,HHHK,KKHK
mg,-0.04977846602616337,0.19864239234644016,0.40953329964684226,0.6688606199991836,0.7731790012428307,0.8663383217294776,-0.23621722830606112,0.13606836125147628,0.4262442177022253,0.6938957145058167,0.7913464844872388,0.8786356251117956,-0.30584377063689844,0.12418729647824964,0.44241347125511926,0.7089264266977294,0.8013907225461641,0.8852795116887489,-0.4103687985472551,0.08596037953908223,0.43632060178542903,0.7130167563751775,0.8051322499717145,0.8886171379238481,-0.202382108703945,0.18845706677267804,0.4760023164987598,0.7242079944767943,0.810385789193764,0.8907759763849095,-0.3731717863365701,0.00828784391579184,0.3970390091008008,0.6954470740943288,0.796842521633731,0.883899717882229,-0.4210700996210936,0.020781490161444774,0.42491653616720404,0.7140681951271423,0.8077663889842746,0.8905581832672368,-0.5748612129848129,-0.03797052551312851,0.41620922510318153,0.7190343799547437,0.8121273348821236,0.8944919464380343,-0.24898283370093469,0.1332317215282657,0.47450240125440196,0.7335267719793277,0.818548335914797,0.8968545748618634,-0.24392849017884902,0.02988003436006273,0.400044984606799,0.7118637097124768,0.8093621873361737,0.8930316901581982,-0.5139823745568307,-0.08316197379869117,0.3888707195901535,0.7233699598510597,0.8180684214569367,0.9003413896076239,-0.0021469748734118184,0.23174829385274773,0.5089447789681835,0.7497617771835873,0.8291229703448469,0.9038888629888387,-1.126683395780135,-0.46952327474493283,0.25553890794882195,0.7226529595838521,0.8280828276872505,0.9145322011392656,0.618352962175986,0.6259300862160436,0.660294157519003,0.8019732457760852,0.856513140172421,0.9192973159155958,0.9564338244100326,0.9200149661341339,0.81411510538268,0.8186434299593647,0.857706335927206,0.906447812018439
cg,1.6758286105695736e-16,-5.655644888511782e-17,-6.839229261233573e-16,3.8014046666095326e-16,1.2423359223000463e-16,1.2123502160517628e-15,1.6973959741996907e-16,1.9029631727750215e-16,-6.299276682913578e-16,-8.132135178501085e-18,-7.714924458883028e-17,-1.0570186244765268e-16,1.1589552775451013e-17,2.3782832575685353e-16,1.1998871119482375e-17,1.715941893375667e-16,6.351921372710644e-16,2.7620636313574993e-16,4.0611283869905244e-16,1.206560123072798e-16,-2.3631113315134754e-16,4.941828923771779e-16,-5.355460986812971e-16,-5.857870294474729e-16,-5.765467067094849e-17,-1.4641656044604555e-16,-1.9958604714751878e-16,-3.990332512946086e-17,-9.09495843092963e-16,9.632871795714792e-17,-2.552924828418184e-16,1.4741836168494971e-16,-4.791520335615323e-16,8.871583621944217e-16,-5.163836950702174e-16,-1.3278086336343652e-15,3.389194953073627e-16,1.4764503162416785e-16,-1.0030836343569487e-15,8.875065490965684e-16,5.430364203277071e-16,-5.115603426059238e-16,-1.1657605555358569e-16,1.2615822133056184e-16,-5.617125115967479e-16,1.3917816350308212e-15,1.5939260569327257e-16,2.4835346628555436e-16,1.4432788539594303e-17,1.0225452841818652e-16,-6.930884557986205e-16,4.2838957944821085e-16,4.1415650805017255e-16,-5.049414236068525e-16,7.342533239608596e-18,1.5349892567348512e-16,-7.741436875926629e-16,1.9530483999014186e-16,8.276681382902017e-17,6.733285208711854e-16,-6.303006589763373e-16,2.829766444469792e-17,-3.1321046028877455e-16,1.5707398503712064e-15,3.0676590251963643e-16,-9.34286305195497e-17,1.1679647341157316e-16,5.417555638002569e-16,-8.182348102476371e-16,6.428341961938526e-16,-1.6029858003990978e-16,-5.575526959851836e-16,2.0105836176344556e-15,4.862510095966541e-17,-6.378201482101314e-16,1.6849058302961916e-15,9.0039726088779e-16,-7.149388137448343e-16,-5.213965010792938e-16,-2.3079040997869856e-16,-7.274538840366408e-16,3.4180751375393344e-16,-6.820828796468727e-16,-7.774631367228667e-16,-1.8055560513871273e-16,1.2591745716870825e-15,-6.25981289346189e-16,1.0846312790498912e-15,9.048800165184898e-16,8.3144502043863e-16
err_mg,0.28665516533685925,0.21882073689836593,0.15375764112496818,0.08688727632857884,0.057448868307043884,0.03953130130464654,0.36702622259851797,0.2693790529455689,0.17034499491595342,0.09087163943496253,0.05902984605300713,0.04004509123444063,0.415788156516814,0.2987948393245257,0.182737795257872,0.09267949748313724,0.05968427638421488,0.04021982834671263,0.43664401553621984,0.3103034020336756,0.1874658077550639,0.09411457232687773,0.060330203673325054,0.04055875515023451,0.4419682326016116,0.3131897792630872,0.18767385763118827,0.0935657120985275,0.05987244848493882,0.0401482592973983,0.37344100739540154,0.2924598167413379,0.17781556857873348,0.09377159430638665,0.060659686175242825,0.040904471249397535,0.42905825056757296,0.32572235196985255,0.19271401652276438,0.09511092677519696,0.06094539979182122,0.04084005959398646,0.4567023378723682,0.34082390304109234,0.1985579446190898,0.09684291734575838,0.06168912645043768,0.041231326077278814,0.4577693946693603,0.34152973991292995,0.1977688027327202,0.09587495189069715,0.06097947597199167,0.04064203904963867,0.3684910200382135,0.3062079178973761,0.20013505286338515,0.0961174924935995,0.06170790816833193,0.04130931362533878,0.4276591218959964,0.3407353813988708,0.2114313572144757,0.09931205888462918,0.06294255864444087,0.04191661464844819,0.4308900467177562,0.34154750741520357,0.208234732349581,0.09719980414448674,0.06148079156431334,0.04075646899605275,0.434928601520838,0.3548034885905931,0.223899640298182,0.10828592352991433,0.06712243890039203,0.04436539979994543,0.43259272034719304,0.34760845506039023,0.20873862246588792,0.0984908821493618,0.061304003904597816,0.0401384074512811,0.20146572726429768,0.18902496366289107,0.14413729183363638,0.08014208356271486,0.05251131906856269,0.03452401640419322
err_cg,0.10443614225548448,0.07972224599655305,0.04816967932498623,0.023158066505739885,0.014284347980684505,0.00957642383265422,0.10422123204551272,0.07996506078363641,0.048371380979902116,0.02323074005320394,0.01432136909049123,0.009566947901927275,0.10415053921760502,0.08000041211452107,0.048469097435565704,0.023215234695832577,0.0143063886188686,0.009541478411414811,0.10396055500959632,0.08004166044346728,0.04857837396892827,0.023301063711484864,0.014364015615829725,0.009578573299052772,0.10433551878722314,0.07991925055765853,0.04832958803961163,0.023108828633217133,0.014230748116497197,0.009477806668457668,0.10389678212551733,0.08007433168450113,0.0486851936641767,0.02348873149806374,0.01451303118134293,0.009689779897657999,0.10391637792540635,0.08007292503724804,0.04871605100541429,0.02338129411087643,0.014428923604933312,0.00961657134266225,0.10357453251235968,0.08006933457218635,0.04883288908868399,0.023478897663154537,0.01449254955756572,0.009657866857685516,0.10428733580517499,0.08000924274375128,0.048494819039159504,0.02321330819376117,0.014309077589271878,0.009521099886506406,0.10420785702185892,0.08007057840580199,0.04893307081133349,0.02350075111333779,0.014527584978172364,0.009686306941761333,0.10365123592742063,0.08004904503704686,0.04908836645500167,0.02364493673336115,0.014613477513742255,0.009738436566147592,0.1044530586717169,0.07987720597750096,0.048441615615752276,0.023139819953396253,0.014265202857944581,0.009481171477425174,0.10087691926128046,0.07933124814403536,0.04962682157316956,0.02436608600774403,0.015103635504800221,0.01007520471146693,0.10332421878825153,0.0787142525103534,0.04748392170149121,0.02264038637802928,0.013931259136357938,0.00922673280474483,0.09371325855612202,0.07148603885861661,0.043121458766220803,0.020341477366530806,0.012468543164665126,0.00819755047842626
mi,0.3660737757622442,0.5160868517269047,0.7103566500298821,0.8781848835724967,0.9263415342877147,0.9594994658222123,0.4240533047545503,0.5627182031848307,0.7326903887715779,0.8812605172790691,0.9258725867506141,0.957822606282795,0.47314712607512355,0.5944514638459807,0.7485726631793367,0.8825640922243789,0.9254697667642338,0.9569216957682919,0.46651800968217927,0.5925223583674134,0.7499805878894317,0.8840612716213986,0.9262898929408206,0.9575335982399469,0.5398430911271263,0.6362969336056337,0.7667313133924679,0.88818933016222,0.9280841538334812,0.9581994869039144,0.38910832233747156,0.5352000848480819,0.7174016515876336,0.8741668383852809,0.9215935445739947,0.9547498874904724,0.4566780761891807,0.5815346704423926,0.7415367312030026,0.8778081237691789,0.9223626135534316,0.9545789327039224,0.44841396230416547,0.579224572418898,0.7437896847477578,0.880326906620633,0.9238396476078203,0.95570515241779,0.5387371928686407,0.6358464911717323,0.7653954612815437,0.8857753384691527,0.9262799748257932,0.9566657324494369,0.4388544678141508,0.5574145754596352,0.7320631121508413,0.8713197841250749,0.9187733908601453,0.9523209267712825,0.43183600925809307,0.5615572376905025,0.740333513865937,0.8781944679740922,0.9226979704107476,0.9551404848581385,0.5830065642265327,0.6614446051196209,0.7799793362561075,0.8882418160620492,0.9272246130909648,0.9569367450896002,0.2851503288082415,0.4698718910422808,0.7121805933471106,0.8844755808343208,0.928390685380178,0.9607351543300138,0.7782273397393553,0.7948058464833334,0.8365301209626116,0.9111364893680132,0.9392336385741449,0.9637850761465537,0.932003532389884,0.9134641771280487,0.8836830237943806,0.9171611071902926,0.9422055820237049,0.962002564976911
ci,-5.60541517927688e-16,-5.509305948458102e-16,8.155640098259679e-16,1.0540985186848731e-16,7.815518206997472e-17,-1.272282504278091e-15,8.565260569285415e-16,-3.7248820190710313e-16,3.798651403940537e-16,-1.878867030165529e-15,-9.86834989911957e-16,-1.0383258219449322e-15,-4.3808899199101957e-16,9.330100159994068e-16,1.8594405760616315e-16,-8.663203539140463e-16,-1.0039139161089484e-15,-6.532390075629592e-16,-1.6478054983383383e-16,1.3631358592975115e-15,-2.6879319689272146e-16,-4.457835310940979e-16,-1.5759567339678148e-15,9.873011374472204e-17,-7.078830828255487e-16,-5.532131120324098e-16,-2.7392567035044775e-16,-1.1772987044428108e-15,5.390566294595522e-16,-1.6924542604017615e-15,2.722756858233871e-16,8.1758794649169605e-16,-5.141640588816909e-17,6.839131546885146e-16,-2.242400606087086e-15,-1.4922401474640413e-15,7.412559624291373e-16,-1.0772925134783375e-16,2.986709309278497e-16,-8.385428250369702e-16,-2.7774762608511837e-16,-2.259600176534029e-15,3.5616255219539885e-16,8.146018270939912e-16,-2.0000690928756747e-16,-1.7948697575526048e-15,6.804435986999032e-17,1.7776155955499584e-16,-6.156780617649491e-18,2.0238523077671606e-16,-3.9572534541777124e-16,1.0196917288520393e-15,-3.6354208814861604e-16,1.6068161496603716e-16,3.974478875191393e-16,6.144190795028498e-17,-5.994943388519575e-16,-8.262716876682863e-16,5.651784857633461e-17,-1.0092492909342386e-15,3.5057841057410374e-17,-2.240407621528739e-16,2.4222977501094415e-16,-1.5777295347603573e-15,2.1403360639335022e-16,-1.0282424906251522e-15,-9.125537255835982e-16,4.694558278281442e-16,7.484713116978938e-16,-1.8583118206978966e-15,5.121178922265428e-16,9.57155326981799e-16,-6.982408488368352e-17,-2.6582437108316144e-16,-2.2975264045793044e-15,-6.112446056521562e-16,-7.365346811681055e-16,-8.958640110905686e-16,-4.807710268251387e-16,7.210579255420812e-16,-3.75587843791485e-16,-6.46770300874714e-16,-8.889564139918886e-16,-8.967194452187444e-16,-7.788141868528171e-16,8.35365634342244e-16,-2.360194345748632e-16,1.040036459361881e-15,8.714923376411609e-16,7.496823507380691e-16
err_mi,0.23961809534703088,0.18291457660078697,0.11771799561219018,0.058587740974176274,0.03671902819348392,0.024358249341301482,0.25531947057944465,0.1943540274053008,0.11849941840633768,0.057866267615968664,0.03616796386314817,0.023968030631916857,0.2571892707144287,0.1967606785133729,0.11921142139461297,0.05732768476993379,0.03580306950272801,0.023721842910079362,0.2598111960362171,0.1987041354278658,0.12004111266598189,0.05755701494055503,0.03589757746759924,0.02377445928059872,0.2588420866545653,0.1980412589860496,0.11925789189057263,0.05701376292073999,0.035533569806839235,0.023513136115949157,0.2433422946967198,0.19327754966857097,0.11751275019849114,0.05776058250821799,0.03619370553083552,0.024014004183423764,0.2473455695406729,0.1955795016406013,0.11873349367978493,0.05710921447905559,0.03572779715244797,0.02369231561787775,0.2515238398031884,0.19820785348251163,0.11990749947693585,0.05746105121173489,0.03587562148033465,0.023774832489218668,0.24987891281231367,0.19694212318135987,0.1188084888178551,0.05675658803910435,0.035404944441205816,0.023436112658581615,0.22682673335988357,0.1860468493242282,0.11837254935587338,0.05684997436170245,0.03569072113118987,0.023709929956840507,0.23949266504110242,0.1935216489799257,0.12080265130517197,0.05756886849936846,0.03596263139183566,0.02384742100281549,0.23787508472806357,0.19175434477251962,0.11867491994826133,0.056283708103782505,0.03510270743475984,0.0232274925556629,0.246096107326616,0.20005492697583405,0.1254100811256311,0.06034618457050182,0.03740636783308498,0.024745589881152916,0.23739264294614038,0.1917034174288778,0.11737530551311433,0.055596280774670395,0.034417416998866406,0.022657388397896352,0.1618324501120423,0.14285737154848885,0.0974566167154005,0.04892284593327287,0.030768187849916525,0.020228808586409276
err_ci,0.10773258931869228,0.08223861780052846,0.050239037429916325,0.024341578374509495,0.01511167455351836,0.010000419378950897,0.1074935245987669,0.08206718000960068,0.049890124393931506,0.02406835306636687,0.014919847149551592,0.009865362058783925,0.10714391434055988,0.08176742928602358,0.04966355168051733,0.023882460295758405,0.01479343213598716,0.009778225892636497,0.10723309257200027,0.0818619357047038,0.04973811584216353,0.023921872509546256,0.014816175385902233,0.009792816174052362,0.10661137095423609,0.08129302151981206,0.04931034861468187,0.02367949384729322,0.014659124237815263,0.009684544384392474,0.10760688278580396,0.08235816224480519,0.05007376264484155,0.024175841136023727,0.01498978443104224,0.009913283841639526,0.1071303308738184,0.08188237359146674,0.04974355192903137,0.023909653088708294,0.014809780376750693,0.00978938399834279,0.1072586531723523,0.08200371839484347,0.04984320271072768,0.023965880980539086,0.014842673029466687,0.009810678660569805,0.10644827166810146,0.08125340688840978,0.0492794891389909,0.02364869451391318,0.01463745646749753,0.009669155419720674,0.10694501906762273,0.08182794010084062,0.04988700340741001,0.023958889794348272,0.014846991908720264,0.009818230153876858,0.10721800764445658,0.0820520404597647,0.05001843607281645,0.0240397104003769,0.014890356791414077,0.009844493164064654,0.10571540623860738,0.0806802071215528,0.048972112492470625,0.023458105558214547,0.014514222498737616,0.009585002280598654,0.10829717059427534,0.08325253963506177,0.051067517978306845,0.02472828838695145,0.015328151363144542,0.01013795280308376,0.10327225325496221,0.07871941322925628,0.04766085935258774,0.022815957837909382,0.01410132827578712,0.00929828418736712,0.09364797356087799,0.07141407751777352,0.04317592004117444,0.02057919576830161,0.012712517914319895,0.00835795376687333
