,logP,mMplx,EBV,BBV,VBV,IBV,JBV,HBV,KBV,BBI,VBI,IBI,JBI,HBI,KBI,BBJ,VBJ,IBJ,JBJ,HBJ,KBJ,BBH,VBH,IBH,JBH,HBH,KBH,BBK,VBK,IBK,JBK,HBK,KBK,BVI,VVI,IVI,JVI,HVI,KVI,BVJ,VVJ,IVJ,JVJ,HVJ,KVJ,BVH,VVH,IVH,JVH,HVH,KVH,BVK,VVK,IVK,JVK,HVK,KVK,BIJ,VIJ,IIJ,JIJ,HIJ,KIJ,BIH,VIH,IIH,JIH,HIH,KIH,BIK,VIK,IIK,JIK,HIK,KIK,BJH,VJH,IJH,JJH,HJH,KJH,BJK,VJK,IJK,JJK,HJK,KJK,BHK,VHK,IHK,JHK,HHK,KHK
0,0.490098,11.225259479873284,0.655,-4.7780336734216675,-4.7780336734216675,-4.849898189550702,-4.640717544389412,-4.723375608905541,-4.637175608905542,-4.912139821753627,-4.880404779018583,-4.912139821753627,-4.670609907223711,-4.741904779018583,-4.649357770471575,-4.601330206788804,-4.6431455309538325,-4.767886198930258,-4.601330206788804,-4.698960855118862,-4.621123919951869,-4.714612889970715,-4.729620861627046,-4.820463199979573,-4.6265810033453825,-4.714612889970715,-4.631414484301982,-4.623101629327524,-4.659764937471939,-4.777990798093267,-4.606183073492091,-4.70196896769864,-4.623101629327524,-5.018193153342675,-4.9613615206896124,-4.9613615206896124,-4.694249275791652,-4.756557949261039,-4.6589916227304276,-4.523960044845037,-4.584084338630346,-4.731976993997579,-4.584084338630346,-4.688270779308311,-4.614095638065375,-4.6906074652212695,-4.711296109909913,-4.809321750935555,-4.62123017584398,-4.711296109909913,-4.629233838847643,-4.568585246048087,-4.6181493777166445,-4.752688537762047,-4.594031330043546,-4.694436551382932,-4.618149377716644,-3.910860745696068,-4.116069606455561,-4.447424036835309,-4.447424036835309,-4.603560112784676,-4.558401884936575,-4.389873063011454,-4.4817278639482225,-4.669744257390848,-4.554196248023166,-4.669744257390847,-4.601915217578202,-4.208163365353856,-4.343018171079827,-4.585408764126862,-4.513693017705594,-4.644637802981667,-4.585408764126862,-5.753547768161567,-5.522700921314721,-5.302655876269679,-4.8581603807741836,-4.8581603807741836,-4.725791011404815,-4.75121323709872,-4.757560057907967,-4.837450231318372,-4.634739248659411,-4.719669884497561,-4.634739248659411,-2.9567110927765246,-3.38771109277652,-4.004582060518453,-4.234743350841029,-4.471727221808769,-4.471727221808769
1,0.498166,8.917825582806314,0.295,-5.0982771957095405,-5.0982771957095405,-5.0463481634514755,-4.881109453774056,-4.993693324741798,-4.925893324741798,-5.001372591353322,-5.024304215284946,-5.001372591353322,-4.859509343490075,-4.980304215284947,-4.917090540071271,-4.818817724260144,-4.884949354908475,-4.916644836244427,-4.818817724260145,-4.955080985556806,-4.9005073116864715,-4.9769265571198655,-5.005643120450246,-4.990026645693825,-4.8540603037983425,-4.9769265571198655,-4.914869869785942,-4.90866941152168,-4.953538429153921,-4.958346993385659,-4.838845733939815,-4.967495607995231,-4.90866941152168,-4.924738848112435,-4.965805174643048,-4.965805174643048,-4.8424276236226405,-4.9697158889287625,-4.910129154234885,-4.696455526309139,-4.791543096930607,-4.859853831393885,-4.791543096930607,-4.938174452862811,-4.889391966987104,-4.930994080974813,-4.970580161560893,-4.968708366689098,-4.843821919802651,-4.970580161560893,-4.910697377678109,-4.841951575995871,-4.902608783714372,-4.927381768958414,-4.823974277471467,-4.958277342170673,-4.902608783714373,-4.413268620780999,-4.575369886603784,-4.728420519515176,-4.728420519515175,-4.8990471017936565,-4.863667354958213,-4.936736589832076,-4.974963756108423,-4.971373592173996,-4.8451019294105295,-4.971373592173996,-4.911219025429265,-4.775586319002633,-4.851948282192817,-4.896580184033308,-4.809181411027173,-4.949107791395271,-4.896580184033308,-6.426969726950462,-6.112546303527038,-5.663023781004513,-5.177276033256765,-5.177276033256765,-5.04659134857208,-5.437392056794753,-5.357143501881459,-5.2037388776040014,-4.956698415176256,-5.040548126158916,-4.956698415176256,-3.6657288086127577,-4.00472880861276,-4.3814707440966325,-4.561793324741796,-4.795761066677281,-4.795761066677281
2,0.564814,10.073996745630629,0.325,-4.910835455308045,-4.910835455308045,-4.836338681114498,-4.585009648856434,-4.6899225520822405,-4.592522552082241,-4.771817258451142,-4.8047146943485775,-4.771817258451142,-4.5540223866562695,-4.670714694348577,-4.579894181528065,-4.49155077313554,-4.59077081242827,-4.641739378243594,-4.49155077313554,-4.631990851721001,-4.554434859579548,-4.654506045896349,-4.715164150413621,-4.717370527738688,-4.527873627827262,-4.654506045896349,-4.569237666799805,-4.560717988283862,-4.6435702133048515,-4.673841413976556,-4.506968198191501,-4.641547543279662,-4.560717988283861,-4.6618793986918545,-4.720792663997976,-4.720792663997976,-4.529517153793893,-4.6555248068551185,-4.569907459916343,-4.3079656721843005,-4.45062951399221,-4.55653346879447,-4.45062951399221,-4.606625276704074,-4.537758045065657,-4.5574827041165875,-4.6411005307344135,-4.67233984697373,-4.506247050880933,-4.6411005307344135,-4.560424096057979,-4.437521149716895,-4.549526825085794,-4.6166630339393695,-4.479507528831537,-4.624525690012013,-4.549526825085794,-3.868933454491387,-4.115490416516703,-4.352768897529362,-4.352768897529362,-4.545965100061007,-4.497876492466071,-4.461643115654047,-4.567940539541635,-4.62785857232852,-4.484884333452642,-4.62785857232852,-4.551718057106038,-4.2576675022768455,-4.412233964444534,-4.533188974669484,-4.439418013524289,-4.5996756822359455,-4.533188974669484,-6.1489967456306305,-5.855996745630629,-5.410996745630629,-4.8609967456306284,-4.8609967456306284,-4.704996745630629,-4.967725069330056,-4.954262641584389,-4.862742410370515,-4.597690387249126,-4.697782872798259,-4.597690387249126,-2.852867713372576,-3.3398677133725725,-3.881190294017731,-4.126287068211276,-4.40557739079192,-4.40557739079192
3,0.578244,11.425521266544438,0.263,-5.417811589125085,-5.417811589125085,-5.300185782673471,-5.125018040737986,-5.210414814931536,-5.147014814931535,-5.198310440333612,-5.250253460276632,-5.198310440333612,-5.0760910671142385,-5.1800867936099655,-5.127075397598569,-5.041034036681962,-5.1301951368784255,-5.125314979707502,-5.041034036681962,-5.15835623707489,-5.112788457114183,-5.177165199228229,-5.234112054852676,-5.188496465835846,-5.0713777767304435,-5.177165199228229,-5.125154570353119,-5.119957874436966,-5.190442341271559,-5.161945279978527,-5.058626220364757,-5.169260981070047,-5.119957874436966,-5.024725348177089,-5.117745756340355,-5.117745756340355,-5.037398817564846,-5.156102899197499,-5.111306980830152,-4.876060814567036,-5.004261379538788,-5.048747255245003,-5.004261379538788,-5.135562226996416,-5.097802339990766,-5.086078043101215,-5.164579874603047,-5.146220900244072,-5.0510743800975515,-5.164579874603047,-5.116880240903413,-5.015151232492224,-5.110437271084733,-5.113302197304938,-5.035264739870204,-5.154780063366232,-5.1104372710847334,-4.691641519708995,-4.863483291860894,-4.963154177936843,-4.963154177936842,-5.110081393126717,-5.081049747557096,-5.14240182860533,-5.2075751307130576,-5.172362015958958,-5.063628994881674,-5.172362015958958,-5.121996676380504,-5.0074762767693874,-5.104578526258139,-5.1097400804503685,-5.033553986380839,-5.153719630552619,-5.1097400804503685,-6.42564739267057,-6.187151897175074,-5.767944689967864,-5.3496654106885835,-5.3496654106885835,-5.238566311589484,-5.584376757873921,-5.544960572902822,-5.377492364810335,-5.162145544001086,-5.233428780995306,-5.162145544001086,-4.07823094396379,-4.395230943963791,-4.678456750415404,-4.826424492350888,-5.0253277181573415,-5.0253277181573415
4,0.578408,11.946294357261664,0.173,-4.3235524217777925,-4.3235524217777925,-4.264507260487471,-4.071113712100375,-4.203333066939083,-4.134933066939083,-4.21336843133574,-4.239442505409813,-4.21336843133574,-4.046553616520924,-4.188109172076478,-4.124923986891294,-3.998704966298993,-4.075577264923747,-4.113738365120211,-3.998704966298993,-4.1584495635485,-4.105424023273452,-4.184059636269636,-4.217069379405153,-4.199765570724906,-4.040020663727564,-4.184059636269636,-4.122261584896739,-4.116086968512714,-4.1651818467662824,-4.1682179508804715,-4.024869504197013,-4.174667992861999,-4.116086968512714,-4.126233132771869,-4.17292701032289,-4.17292701032289,-4.0271310919555425,-4.1760698674657455,-4.11700864297595,-3.8564694985046035,-3.9670005719509307,-4.047723735792738,-3.9670005719509307,-4.13879718212042,-4.092503396809686,-4.131260169227476,-4.176764442731749,-4.175260169227476,-4.02825162221893,-4.176764442731749,-4.117465297432604,-4.043085503686182,-4.109455537738395,-4.134336354991517,-4.00859742196087,-4.164581530927952,-4.109455537738395,-3.521826002831286,-3.711547521818627,-3.8924082813122975,-3.8924082813122975,-4.0925601800464735,-4.062104483843942,-4.135875153514589,-4.180287331500538,-4.177402085598899,-4.029280305739416,-4.177402085598899,-4.11788452119609,-3.9764313715765907,-4.058574520860844,-4.103400696729967,-3.9937401650326256,-4.155372066873115,-4.103400696729967,-5.883979041946337,-5.5147177806850785,-4.9887357987031,-4.418933996901302,-4.418933996901302,-4.27668174464905,-4.806808808128711,-4.692450426625822,-4.488797247435072,-4.178831929515999,-4.270103605816576,-4.178831929515999,-2.878326615326186,-3.2203266153261847,-3.5937459701648926,-3.7489717766165054,-4.003649195971342,-4.003649195971342
5,0.586529,11.204778834597668,0.375,-4.487553028146054,-4.487553028146054,-4.395017544275087,-4.307636899113796,-4.445094963629926,-4.382494963629926,-4.314872851691687,-4.3557360995549335,-4.314872851691686,-4.26914635596519,-4.421236099554934,-4.366808749127583,-4.256030308075074,-4.310818127328512,-4.287562724578022,-4.256030308075075,-4.413105946581951,-4.361463510432639,-4.43828813486339,-4.449946239380662,-4.372152616705729,-4.2966557167943025,-4.438288134863391,-4.378019755766845,-4.371997978174495,-4.399343066335703,-4.341385887494394,-4.2818795902651745,-4.429128960542253,-4.371997978174495,-4.178314548883385,-4.251493120311956,-4.251493120311956,-4.23870740602624,-4.402368120311955,-4.354403834597669,-4.154657365671115,-4.233434201829306,-4.2405132978745055,-4.233434201829306,-4.399099456066595,-4.352254823298233,-4.419640861459697,-4.435711679530514,-4.363498004316839,-4.292499225318059,-4.435711679530514,-4.376325843144677,-4.331337290897329,-4.368304373757714,-4.322514362406977,-4.2728162920324015,-4.423510957185637,-4.368304373757714,-4.125310480167286,-4.211031999154628,-4.226892758648301,-4.2268927586483,-4.395044657382479,-4.349588961179947,-4.641186328742867,-4.604830356845911,-4.466322160124601,-4.341881879094155,-4.466322160124601,-4.39645096574521,-4.454005828462698,-4.461944478769446,-4.37944754625411,-4.300159202695827,-4.44045981619276,-4.37944754625411,-6.109805861624703,-5.725913969732808,-5.147940996759834,-4.669238294057129,-4.669238294057129,-4.529859915678751,-5.0543973317074995,-4.9202586033837985,-4.658102534019637,-4.433986927083218,-4.5234146727479585,-4.433986927083218,-3.164875608791217,-3.4778756087912157,-3.7811336733073464,-4.012811092662184,-4.262343350726701,-4.262343350726701
6,0.605768,10.141118674761303,0.368,-4.654376739277437,-4.654376739277437,-4.664331577987112,-4.586938029600014,-4.737657384438724,-4.678257384438723,-4.672953432596062,-4.6685574212000525,-4.672953432596062,-4.5910787887214175,-4.740224087866717,-4.679944885587514,-4.567594116804525,-4.5881304625805575,-4.624053841755409,-4.567594116804525,-4.725666808356588,-4.670374077511794,-4.751008843051826,-4.728141703990711,-4.7091806765327835,-4.60847739929629,-4.751008843051826,-4.6870354152396025,-4.680643443862898,-4.674427658808323,-4.676522537061891,-4.592792898103033,-4.741286600873814,-4.680643443862898,-4.687644184965382,-4.679771735985792,-4.679771735985793,-4.594353368638854,-4.742253878842936,-4.681279389047017,-4.529596075891244,-4.559124324478816,-4.606418109789551,-4.559124324478817,-4.720416697360173,-4.666922347077687,-4.7875850972277245,-4.756062508705138,-4.726156525799155,-4.616630274272903,-4.756062508705138,-4.690357991000619,-4.689885984636444,-4.681483033444618,-4.680812204840758,-4.594853067496831,-4.742563623682983,-4.681483033444618,-4.333536396280288,-4.409460446913201,-4.515422472229657,-4.515422472229657,-4.6933275355207975,-4.649112345647379,-4.879334131435776,-4.826099939398307,-4.768739283660601,-4.637081204035308,-4.768739283660601,-4.698692445253107,-4.691683091939216,-4.6828548710803215,-4.681646282123266,-4.595253644086456,-4.742811926295046,-4.681646282123266,-6.433136692779329,-6.0122087648514,-5.4898934495360825,-4.983424981067611,-4.9834249810676114,-4.8398393954820245,-5.345870119848009,-5.1822342816977205,-4.985268963778645,-4.741072431986737,-4.833199599616795,-4.741072431986737,-3.399312223148387,-3.696312223148391,-4.081828352180652,-4.307183190890332,-4.5642477070193666,-4.5642477070193666
7,0.609329,9.56465716912419,0.235,-5.011528136866125,-5.011528136866125,-4.891250717511287,-4.676547491704835,-4.783537814285481,-4.717937814285481,-4.787078821545843,-4.840192781659804,-4.787078821545843,-4.62651756798459,-4.752526114993136,-4.697548907015928,-4.580462670106509,-4.6824705286526775,-4.6911836917175105,-4.580462670106509,-4.723978387198846,-4.6787799589080805,-4.746986664252622,-4.809588081435971,-4.768471163809753,-4.617580995519231,-4.746986664252622,-4.6939069476892925,-4.688603432768188,-4.765020729157776,-4.74137421362461,-4.604567328653998,-4.738919973490269,-4.688603432768187,-4.609580638511947,-4.704697985450721,-4.704697985450721,-4.586953087491538,-4.728001556879293,-4.681425026267048,-4.391719316016847,-4.5383916324010265,-4.6035837227965075,-4.538391632401027,-4.697900106977298,-4.661634570254134,-4.646854971321993,-4.733151674618696,-4.7219978284648505,-4.595261564728586,-4.733151674618696,-4.6848110152780365,-4.574974989782534,-4.678281459703078,-4.688636737796155,-4.579239461973226,-4.723220165718969,-4.678281459703078,-4.1214609665925455,-4.332087548871026,-4.478150840010267,-4.478150840010267,-4.660559067858368,-4.637084384314064,-4.681074030950887,-4.7592730941827375,-4.737879651559787,-4.602889019241287,-4.737879651559787,-4.687919464206158,-4.547233856240755,-4.6571050218849255,-4.6757614636027185,-4.573055942130326,-4.719387230473884,-4.6757614636027185,-6.274206718673736,-5.975404916871935,-5.477287799754819,-4.957999511466532,-4.957999511466532,-4.832639151106172,-5.3249461864652305,-5.250778556407427,-5.0367149725923985,-4.746408614210896,-4.826842140222456,-4.746408614210896,-3.625463620737099,-3.9534636207370975,-4.2479474917048385,-4.367592652995159,-4.592028136866126,-4.592028136866126
8,0.609712,11.677891406797706,0.442,-4.956504310023513,-4.956504310023513,-4.842072051958995,-4.689162374539642,-4.800333342281577,-4.709933342281577,-4.742962631868929,-4.793495395401694,-4.742962631868929,-4.64156377147007,-4.770828728735027,-4.69053528144158,-4.612478833123834,-4.693889442161163,-4.682402212298687,-4.612478833123835,-4.752800051198491,-4.678682173005957,-4.775296189791504,-4.818177500686102,-4.75796935188185,-4.6487709462131175,-4.775296189791505,-4.6934724519704245,-4.685296948359419,-4.749475789669242,-4.716198711583599,-4.628710046596194,-4.762861180097453,-4.685296948359419,-4.574090386389538,-4.664585284348723,-4.664585284348723,-4.603922019042603,-4.747495998634439,-4.675194978226276,-4.461846209057592,-4.578902706232734,-4.612490276854201,-4.578902706232734,-4.731987451995445,-4.664998751430474,-4.706707035613333,-4.7658193677256655,-4.726135607041904,-4.63348237138867,-4.7658193677256655,-4.687241834148133,-4.5898664351745495,-4.676628069680793,-4.6719072978306215,-4.607438512359567,-4.7496757427795435,-4.676628069680793,-4.322606596671127,-4.47261292578505,-4.54786609034201,-4.54786609034201,-4.712749001734414,-4.6523502675572,-4.828453467687636,-4.858755575415974,-4.782640821317612,-4.66061974403424,-4.782640821317612,-4.6983012428632795,-4.602513083689323,-4.686281999844741,-4.677776887370303,-4.61025745996744,-4.751423104139219,-4.677776887370303,-6.268522037428331,-5.958044559950855,-5.451008523914819,-4.981612127518425,-4.981612127518425,-4.82911663202293,-5.113787360554931,-5.076567707375741,-4.91507059754915,-4.724220886566492,-4.822064817202329,-4.724220886566492,-3.046439793894489,-3.4984397938944873,-3.9555688261525477,-4.263407535829966,-4.536423664862222,-4.536423664862222
9,0.62305,10.8546488763081,0.589,-4.4791327472758455,-4.4791327472758455,-4.445023069856489,-4.437210166630682,-4.561671456953263,-4.461271456953263,-4.415480785140011,-4.4305434632026905,-4.415480785140011,-4.42302209568132,-4.5528767965360215,-4.455489332148558,-4.4251852220841315,-4.437951430335605,-4.4199848291568244,-4.4251852220841315,-4.55421763858708,-4.456370880237374,-4.574903969310759,-4.552240550355931,-4.489472614129182,-4.4585576451300675,-4.574903969310759,-4.469971285519793,-4.459486827609529,-4.464135862034382,-4.43590496362968,-4.432831076140174,-4.5589570207245576,-4.4594868276095285,-4.365143774267285,-4.392118264063203,-4.392118264063203,-4.411801937532591,-4.545921835491774,-4.450916733450958,-4.401564130545387,-4.419920062748778,-4.409021757664033,-4.419920062748778,-4.550953961053864,-4.454225147494542,-4.611154370813595,-4.579912612571838,-4.506297227956454,-4.466637887297112,-4.579912612571837,-4.473264260923486,-4.452573961438635,-4.458858864957364,-4.432696549406852,-4.431290192993686,-4.558001884253618,-4.458858864957364,-4.446743813016958,-4.454408369978985,-4.429990648459999,-4.429990648459999,-4.557196344662531,-4.458329256054936,-4.837000164364306,-4.752313981694517,-4.611117260383042,-4.516979087080934,-4.611117260383042,-4.493780023849085,-4.52266114624675,-4.512360532749818,-4.465225563424665,-4.446912679989082,-4.567685686124052,-4.465225563424665,-5.94800022765946,-5.600405633064864,-5.126756984416213,-4.764621849281075,-4.764621849281075,-4.594702930362156,-4.661330957232961,-4.618215350296545,-4.529585292493075,-4.477822286712726,-4.586845408100009,-4.477822286712726,-2.357777908566165,-2.8597779085661656,-3.4604553279210046,-3.9643585537274557,-4.268568231146811,-4.268568231146811
