,error_pair,rms,mu,EBV,A_B,A_V,A_I,A_J,A_H,A_K
83,WZCar,0.007202214090190685,-0.72,-0.13291555943495914,-0.5624056066371427,-0.429317256974918,-0.26102489224075015,-0.12536063903667605,-0.07770642351246015,-0.051088753580015245
84,VZPup,0.009018665447733267,-0.06,-0.1396326064824455,-0.5908274478091716,-0.45101331893829893,-0.27421609791448576,-0.13169588912998328,-0.0816334107278321,-0.05367058495365757
85,SWVel,0.0048439306547418065,-0.2,-0.08872891680312384,-0.37543866566905787,-0.28659440127408997,-0.17424939597464673,-0.08368556517203427,-0.051873586630610286,-0.034104733751616705
86,XPup,0.01629919646395203,0.36,0.018115390724166538,0.07665165277116587,0.05851271203905792,0.03557572891974722,0.017085711915404908,0.010590800879069483,0.006963012732647892
87,RYVel,0.0065890459950755835,-0.12,-0.09876433743151018,-0.41790154097394905,-0.3190088099037779,-0.19395735642149695,-0.09315057249190313,-0.057740594592583794,-0.037962048378549565
88,KQSco,0.012870793044741981,0.04,0.04516174664920298,0.19109289859677256,0.14587244167692562,0.08869044453957078,0.042594752969662274,0.026402911943523538,0.01735882055955415
89,AQPup,0.012596395182167347,0.86,0.06566747651727478,0.27785879338754477,0.21210594915079753,0.12896041708368491,0.061934937152032875,0.038391176796294356,0.025240607948944907
90,KNCen,0.01786628504563486,-0.74,-0.27503812714612835,-1.1637688273934128,-0.8883731506819946,-0.5401308756146527,-0.25940495999914237,-0.160795540273441,-0.10571640493115735
91,UCar,0.002481614371671021,-0.32,-0.08827444779236503,-0.37351567094383414,-0.285126466369339,-0.17335689155255812,-0.08325692817984699,-0.05160789041285036,-0.033930049497951344
92,RSPup,0.003719447679789433,0.36,-0.017598090826709174,-0.07446280171505452,-0.05684183337027063,-0.03455983468912455,-0.016597815344119023,-0.010288371840018984,-0.006764178171062205
93,SVVul,0.013206031509263475,0.78,0.09369765198390297,0.3964628748394886,0.3026434159080066,0.184007196872068,0.08837187744513791,0.05477845827934919,0.036014566493052784
94,SVul,0.015113047708513579,0.98,0.053466667475307206,0.2262335100882674,0.17269733594524228,0.1049999802547073,0.05042762209601074,0.03125821780608885,0.02055098297748383
