Identifier,name,gal,logP,IRSB,sig_mM0_IRSB,EBV,sig_EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,Wvi,Wjk,DR3Name,RAdeg,DEdeg,Plx,RUWE,QLT
SWVel,SWVel,MW,1.370016,11.976,0.029,0.344,0.02,9.281,8.128,6.844,5.931,5.39,5.231,-7.124,-7.227,Gaia DR3 5329352998951582976,130.91118029355,-47.4030901241,0.404,1.049,3
VZPup,VZPup,MW,1.364945,13.249,0.018,0.455,0.02,10.793,9.634,8.305,7.373,6.83,6.67,-7.005,-7.062,Gaia DR3 5600052040150252800,114.64681824177,-28.49960082926,0.2011,1.237,1
WZCar,WZCar,MW,1.361977,12.68,0.066,0.372,0.02,10.427,9.266,7.963,7.009,6.456,6.29,-6.737,-6.884,Gaia DR3 5338182833266967680,163.8279757782,-60.93997649537,0.2705,1.376,2
BMPer,BMPer,MW,1.360896,12.213,0.037,0.871,0.02,12.21,10.401,,6.8,6.012,5.773,,-7.147,Gaia DR3 258412862056729472,67.4141211273,48.42196837944,0.288,0.991,2
WZSgr,WZSgr,MW,1.339443,11.21,0.036,0.435,0.02,9.424,8.03,6.497,5.404,4.765,4.568,-7.089,-7.218,Gaia DR3 4094784475310672128,274.24882157138,-19.07583147548,0.5742,0.944,2
RZVel,RZVel,MW,1.309564,10.605,0.022,0.3,0.02,8.216,7.09,5.867,4.979,4.46,4.308,-6.634,-6.758,Gaia DR3 5523162573544337408,129.2554000675,-44.1146536029,0.652,1.244,2
RYSco,RYSco,MW,1.307927,10.258,0.028,0.718,0.02,9.462,8.018,6.255,4.999,4.365,4.143,-6.739,-6.704,Gaia DR3 4041690364529590144,267.71811125846,-33.70567624871,0.7279,0.733,2
VXCyg,VXCyg,MW,1.303917,12.263,0.064,0.753,0.02,11.769,10.062,8.161,6.816,6.083,5.905,-7.051,-6.985,Gaia DR3 1873250780732545920,314.33678002732,40.17748649759,0.2878,0.998,3
RUSct,RUSct,MW,1.29448,11.75,0.069,0.911,0.02,11.126,9.487,7.371,5.777,5.315,5.072,-7.66,-7.162,Gaia DR3 4258436301367796480,280.48492497805,-4.11066312434,0.4816,0.867,3
VYCar,VYCar,MW,1.276818,11.255,0.028,0.242,0.02,8.642,7.463,6.28,5.463,4.945,4.806,-6.809,-6.9,Gaia DR3 5351161399793209984,161.13616016361,-57.56535723495,0.5535,0.916,1
YZAur,YZAur,MW,1.259902,13.044,0.041,0.538,0.02,11.716,10.349,,7.605,6.906,6.732,,-6.912,Gaia DR3 188724234539584256,78.84159556243,40.07802053944,0.1932,0.987,3
CTCar,CTCar,MW,1.256661,14.995,0.047,0.57,0.02,12.182,12.226,10.931,9.467,8.792,8.578,-6.074,-7.029,Gaia DR3 5253717937706836480,159.23232981378,-61.58130906345,0.078,0.834,3
CPCep,CPCep,MW,1.251989,12.684,0.042,0.649,0.02,12.223,10.577,8.773,7.457,6.726,6.537,-6.71,-6.779,Gaia DR3 2198162651499971200,329.46951559015,56.16388559015,0.2534,1.009,2
AASer,AASer,MW,1.234041,11.97,0.03,1.046,0.02,14.396,12.238,9.571,7.706,6.78,6.527,-6.535,-6.254,Gaia DR3 4260210878780635904,280.3406709082,-1.11123399344,0.2408,0.952,2
SZAql,SZAql,MW,1.234029,11.548,0.028,0.534,0.02,10.033,8.634,7.018,5.955,5.347,5.16,-7.036,-6.935,Gaia DR3 4267549637851481344,286.16423460279,1.30614320294,0.4901,0.94,2
YOph,YOph,MW,1.233609,8.678,0.025,0.647,0.02,7.531,6.166,4.524,3.437,2.869,2.682,-6.701,-6.515,Gaia DR3 4175017625462647168,268.16124433489,-6.1435971224,1.3126,1.031,2
CDCyg,CDCyg,MW,1.232334,11.843,0.03,0.493,0.02,10.217,8.948,7.448,6.463,5.89,5.72,-6.72,-6.634,Gaia DR3 2058374144759464064,301.1106612854,34.11224946615,0.3665,1.007,1
XCyg,XCyg,MW,1.214482,10.177,0.015,0.228,0.02,7.533,6.377,5.223,4.471,3.964,3.838,-6.744,-6.775,Gaia DR3 1870258975238302208,310.85076233271,35.58777650649,0.8842,1.277,2
SVMon,SVMon,MW,1.182801,11.364,0.033,0.234,0.02,9.31,8.256,7.133,6.345,5.826,5.726,-5.973,-6.063,Gaia DR3 3324153371114695680,95.35960712119,6.47015262948,0.4324,1.006,3
SZCyg,SZCyg,MW,1.179252,11.502,0.05,0.571,0.02,10.91,9.432,7.755,6.635,5.961,5.775,-6.348,-6.319,Gaia DR3 2071433765909167232,308.22621041712,46.6012487157,0.4186,0.956,2
VWCen,VWCen,MW,1.177138,12.575,0.043,0.439,0.02,11.586,10.248,8.77,7.654,7.014,6.819,-6.098,-6.33,Gaia DR3 5864955727424819200,203.49589762776,-64.05556091566,0.2386,1.063,3
RWCas,RWCas,MW,1.170032,12.586,0.04,0.38,0.02,10.462,9.233,7.871,6.934,6.367,6.237,-6.826,-6.829,Gaia DR3 508915489570374272,24.30840720487,57.75921601261,0.3047,1.262,3
UZSct,UZSct,MW,1.168739,12.613,0.043,1.02,0.02,13.124,11.247,9.184,7.534,6.746,6.534,-6.629,-6.768,Gaia DR3 4104869264724284544,277.8431918063,-12.92871602632,0.2758,0.913,2
TXCyg,TXCyg,MW,1.167607,10.316,0.054,1.13,0.02,11.363,9.489,7.228,5.462,4.637,4.372,-6.594,-6.694,Gaia DR3 2161786374436607616,315.02658089008,42.59755012053,0.7954,0.952,3
LSPup,LSPup,MW,1.150646,13.296,0.053,0.462,0.02,11.685,10.448,9.074,8.094,7.518,7.353,-6.353,-6.452,Gaia DR3 5597327141100381568,119.74673595271,-29.30786248156,0.1925,1.247,2
TTAql,TTAql,MW,1.138459,9.8,0.033,0.435,0.02,8.436,7.138,5.678,4.772,4.204,4.051,-6.388,-6.245,Gaia DR3 4267397694768545920,287.05728923954,1.29863144782,0.9627,1.076,2
BNPup,BNPup,MW,1.135867,12.78,0.047,0.416,0.02,11.069,9.882,8.552,7.626,7.076,6.921,-6.292,-6.344,Gaia DR3 5596601154188852352,121.58947099704,-30.09687032198,0.2811,1.249,3
V0916Aql,V0916Aql,MW,1.128449,12.348,0.031,1.089,0.02,12.574,10.791,8.896,7.486,6.767,6.581,-6.391,-6.389,Gaia DR3 4313179507891570304,287.50172438518,12.53653558769,0.2987,0.916,1
ZSct,ZSct,MW,1.110645,12.159,0.026,0.492,0.02,10.927,9.592,8.055,7.055,6.478,6.323,-6.487,-6.339,Gaia DR3 4253435825622331392,280.7386394805,-5.82091281592,0.3188,0.903,3
UNor,UNor,MW,1.101875,10.408,0.066,0.857,0.02,10.841,9.247,7.352,5.931,5.237,4.991,-5.994,-6.064,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,0.5969,0.984,2
RYCas,RYCas,MW,1.084181,11.922,0.059,0.618,0.02,11.321,9.95,8.403,7.175,6.551,6.373,-5.918,-6.101,Gaia DR3 1999252442448732288,358.02927448682,58.74171978277,0.3297,1.134,3
UUMus,UUMus,MW,1.065819,11.88,0.087,0.404,0.02,10.936,9.794,8.486,7.528,6.989,6.828,-5.423,-5.534,Gaia DR3 5332375453374624640,178.07378070609,-65.4041820158,0.2915,1.006,3
