name,logP,mplx,IRSB,B_mag,V_mag,I_mag,K_mag,EBV,J_mag,H_mag
EV Sct,0.490098,11.487847283843116,11.32,11.29,10.144,8.623,7.028,0.655,7.664,7.171
QZ Nor,0.578244,11.447720637130637,10.706,9.756,8.869,7.865,6.619,0.263,7.136,6.733
ST Tau,0.605768,10.104535599921496,10.137,9.066,8.219,7.138,5.788,0.368,6.352,5.898
CF Cas,0.687994,12.457351372009526,12.212,12.338,11.128,9.691,7.966,0.553,8.701,8.132
V Lac,0.697493,11.421236394149773,11.321,9.816,8.921,7.866,6.587,0.335,7.121,6.671
CV Mon,0.730685,11.163478421109918,10.918,11.596,10.305,8.616,6.576,0.722,7.404,6.791
X Lac,0.735997,11.421236394149773,11.33,9.306,8.405,7.317,6.046,0.336,6.608,6.157
V Cen,0.739882,9.370155158361328,9.041,7.705,6.834,5.796,4.509,0.294,5.073,4.628
CS Vel,0.771201,12.754923255400634,12.515,13.049,11.709,10.068,8.018,0.737,8.84,8.234
X Vul,0.800689,10.278820740874144,9.437,10.28,8.835,7.137,5.255,0.742,6.021,5.426
U Sgr,0.828997,9.042605169631322,8.881,7.786,6.69,5.426,3.954,0.402,4.587,4.093
RS Ori,0.878917,11.074775336001103,11.137,9.376,8.414,7.253,5.917,0.352,6.489,6.018
DL Cas,0.903126,11.27228409460741,11.647,10.121,8.968,7.575,5.949,0.488,6.651,6.101
GH Lup,0.967448,10.283022125831513,10.563,8.844,7.637,6.364,4.813,0.347,5.492,4.96
S Nor,0.989194,9.846596718117892,9.888,7.375,6.429,5.427,4.162,0.179,4.729,4.275
Y Sct,1.014575,11.490433906669114,11.248,11.194,9.632,7.841,5.691,0.757,6.578,5.896
TW Nor,1.032868,11.877558100064917,11.691,13.63,11.701,9.287,6.39,1.157,7.506,6.694
V0438 Cyg,1.049647,11.251704749772014,11.407,12.847,10.943,8.639,5.789,1.238,6.921,6.081
X Pup,1.414321,12.198075508027443,12.238,9.702,8.507,7.107,5.431,0.421,6.18,5.6
SV Vul,1.652569,11.859077559300125,11.388,8.7,7.213,5.67,3.93,0.462,4.668,4.09
