Identifier,ID,gal,logP,B_mag,V_mag,I_mag,K_mag,mM0_IRSB,sig_mM0_IRSB,Radius_IRSB,sig_Radius_IRSB,Mbol,Mb,Mv,Mi,Mj,Mh,Mk,Wvi,Wjk,EBV,sig_EBV,Teq,gamma,J_mag,H_mag,phase_shift,dist_IRSB,sig_dist_IRSB,loggf,logg,Mass
HV1005,HV1005,LMC,1.272209,,14.099,13.224,12.072,18.514,0.041,95.0,1.8,-4.957,,-4.865,-5.561,-6.038,-6.449,-6.495,-6.648,-6.809,0.138,0.02,5526.0,274.11,12.606,12.146,0.0,50452.4,958.6,2.194,1.163,4.8
HV1006,HV1006,LMC,1.152786,,14.386,13.479,12.305,18.252,0.098,74.9,3.4,-4.443,,-4.354,-5.066,-5.558,-5.959,-6.004,-6.181,-6.312,0.149,0.02,5528.0,271.73,12.835,12.38,0.0,44704.1,2023.3,2.328,1.299,4.1
HV1023,HV1023,LMC,1.424235,,13.789,,11.546,18.368,0.033,116.1,1.8,-5.177,,-5.027,,-6.382,-6.826,-6.876,,-7.215,0.138,0.02,5258.0,291.74,12.116,11.623,0.0,47155.2,724.7,2.101,0.984,4.7
HV12197,HV12197,LMC,0.497456,16.709,16.09,15.368,14.472,18.343,0.062,27.3,0.8,-2.589,-2.057,-2.575,-3.172,-3.495,,-3.91,-4.095,-4.195,0.1,0.02,5971.0,298.61,14.942,,0.0,46615.3,1330.7,2.956,2.061,3.1
HV12198,HV12198,LMC,0.546887,16.582,15.946,15.23,14.317,18.419,0.032,30.3,0.4,-2.814,-2.26,-2.803,-3.385,-3.765,,-4.14,-4.298,-4.399,0.1,0.02,5968.0,299.73,14.748,,0.0,48281.5,714.6,2.902,2.005,3.4
HV12199,HV12199,LMC,0.421469,16.858,16.266,15.586,14.707,18.503,0.079,26.1,1.0,-2.56,-2.068,-2.561,-3.113,-3.191,,-3.835,-3.972,-4.278,0.1,0.02,6072.0,300.36,15.407,,0.0,50192.4,1832.0,3.02,2.153,3.5
HV12202,HV12202,LMC,0.491519,16.773,16.061,15.37,14.396,18.419,0.079,29.6,1.1,-2.707,-2.07,-2.68,-3.246,-3.665,,-4.062,-4.122,-4.335,0.1,0.02,5898.0,310.5,14.848,,0.0,48286.1,1765.0,2.99,2.073,3.8
HV12203,HV12203,LMC,0.470427,16.751,16.126,15.445,14.583,18.661,0.085,30.0,1.2,-2.855,-2.333,-2.857,-3.412,-3.724,,-4.117,-4.272,-4.386,0.1,0.02,6064.0,302.35,15.031,,0.0,53981.6,2110.5,2.97,2.1,4.1
HV12204,HV12204,LMC,0.536402,16.236,15.699,15.082,14.263,18.319,0.046,29.0,0.6,-2.908,-2.506,-2.944,-3.433,-3.73,,-4.094,-4.193,-4.345,0.1,0.02,6238.0,300.07,14.684,,0.0,46101.1,986.4,2.835,2.015,3.2
HV12452,HV12452,LMC,0.941457,,14.753,13.941,12.961,18.375,0.089,56.3,2.3,-4.164,,-4.173,-4.77,-5.113,-5.446,-5.48,-5.694,-5.732,0.171,0.02,5981.0,234.15,13.424,13.029,0.0,47314.0,1945.7,2.44,1.547,4.1
HV12505,HV12505,LMC,1.158115,,14.836,13.808,12.52,18.652,0.04,85.9,1.6,-4.414,,-4.227,-5.093,-5.65,-6.12,-6.181,-6.438,-6.546,0.127,0.02,5126.0,284.78,13.122,12.606,0.0,53746.5,985.0,2.462,1.301,5.4
HV12717,HV12717,LMC,0.946628,,14.733,13.95,12.985,18.217,0.101,51.8,2.4,-3.966,,-3.971,-4.564,-4.913,-5.25,-5.29,-5.481,-5.549,0.151,0.02,5955.0,258.19,13.446,13.055,0.0,43988.0,2040.6,2.436,1.535,3.4
HV12815,HV12815,LMC,1.41691,14.389,13.489,12.52,11.363,18.358,0.036,125.8,2.1,-5.37,-4.434,-5.231,-6.054,-6.54,-6.987,-7.038,-7.34,-7.38,0.11,0.02,5280.0,287.33,11.922,11.436,0.0,46952.9,786.2,2.108,0.999,5.8
HV12816,HV12816,LMC,0.959466,15.066,14.514,13.837,13.003,18.605,0.094,59.9,2.6,-4.412,-4.005,-4.446,-4.984,-5.296,-5.607,-5.644,-5.817,-5.883,0.11,0.02,6139.0,280.89,13.412,13.063,0.0,52598.3,2286.3,2.376,1.528,4.4
HV2257,HV2257,LMC,1.595153,14.021,13.025,12.049,10.882,18.757,0.033,187.8,2.9,-6.23,-5.21,-6.092,-6.928,-7.432,-7.867,-7.918,-8.222,-8.252,0.112,0.02,5268.0,253.68,11.43,10.956,0.0,56417.2,859.8,1.913,0.799,8.1
HV2282,HV2282,LMC,1.166636,,14.329,13.428,12.338,18.415,0.041,80.5,1.5,-4.511,,-4.401,-5.178,-5.651,-6.07,-6.114,-6.385,-6.433,0.097,0.02,5416.0,256.87,12.855,12.402,0.0,48198.4,905.7,2.351,1.286,4.6
HV2338,HV2338,LMC,1.62535,13.739,12.766,11.832,10.725,18.608,0.022,186.6,1.9,-6.298,-5.296,-6.181,-6.974,-7.456,-7.869,-7.922,-8.224,-8.243,0.101,0.02,5369.0,244.5,11.247,10.798,0.0,52682.1,527.2,1.841,0.761,7.3
HV2369,HV2369,LMC,1.684646,,12.676,,10.454,18.414,0.075,194.5,6.7,-6.281,,-6.132,,-7.515,-7.946,-8.006,,-8.343,0.119,0.02,5238.0,307.96,11.011,10.538,0.0,48171.7,1659.7,1.812,0.689,6.8
HV2405,HV2405,LMC,0.840331,,15.152,14.355,13.443,17.999,0.048,38.2,0.8,-3.187,,-3.153,-3.83,-4.181,-4.554,-4.593,-4.88,-4.876,0.095,0.02,5798.0,210.27,13.908,13.501,0.0,39787.2,873.2,2.597,1.65,2.4
