name,plx_cluster,cplx,e_B-V,logP,IRSB,EBV,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,DR3Name,RAdeg,DEdeg,RUWE,RA_ICRS,DE_ICRS
EV Sct,504.0,11.487847283843116,,0.490098,11.401,0.655,11.29,10.144,8.623,7.664,7.171,7.028,Gaia DR3 4156512638614879104,279.16500634512,-8.18483389548,1.009,279.16500634512,-8.18483389548
QZ Nor,513.4,11.447720637130637,0.02,0.578244,10.811,0.263,9.756,8.869,7.865,7.136,6.733,6.619,Gaia DR3 5932565900081831040,242.83526242559,-54.35413510061,1.032,242.83526242559,-54.35413510061
ST Tau,953.0,10.104535599921496,0.006,0.605768,10.249,0.368,9.066,8.219,7.138,6.352,5.898,5.788,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,1.351,86.26316893008,13.57635184119
CF Cas,322.5,12.457351372009526,0.021,0.687994,12.348,0.553,12.338,11.128,9.691,8.701,8.132,7.966,Gaia DR3 2011892703004353792,359.57487036665,61.2210537331,1.036,359.57487036665,61.2210537331
CV Mon,585.2,11.163478421109918,0.018,0.730685,11.066,0.722,11.596,10.305,8.616,7.404,6.791,6.576,Gaia DR3 3127142323596470144,99.27018871085,3.06396219477,1.1,99.27018871085,3.06396219477
CS Vel,281.2,12.754923255400634,0.027,0.771201,12.675,0.737,13.049,11.709,10.068,8.84,8.234,8.018,Gaia DR3 5308893149150949248,145.29271952315,-53.81603750378,0.905,145.29271952315,-53.81603750378
RS Ori,609.6,11.074775336001103,0.01,0.878917,11.328,0.352,9.376,8.414,7.253,6.489,6.018,5.917,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,1.119,95.55497028344,14.67812664531
GH Lup,877.8,10.283022125831513,0.011,0.967448,10.381,0.347,8.844,7.637,6.364,5.492,4.96,4.813,Gaia DR3 5888819699572539264,231.15974101293,-52.85387016499,0.95,231.15974101293,-52.85387016499
TW Nor,421.2,11.877558100064917,0.023,1.032868,11.529,1.157,13.63,11.701,9.287,7.506,6.694,6.39,Gaia DR3 5981406000300438016,241.23009532876,-51.95352728432,0.891,241.23009532876,-51.95352728432
SV Vul,424.8,11.859077559300125,0.024,1.652569,11.418,0.462,8.7,7.213,5.67,4.668,4.09,3.93,Gaia DR3 2027951173435143680,297.87876412857,27.46020619101,1.203,297.87876412857,27.46020619101
