,name,logP,new_mod,new_EBV,new_M_B,new_M0_B,new_M_V,new_M0_V,new_M_I,new_M0_I,new_M_J,new_M0_J,new_M_H,new_M0_H,new_M_K,new_M0_K
83,WZCar,1.361977,12.56,0.5040463187195364,-2.9317275883979748,-2.4141600634374942,-3.9605096094641024,-3.565419895753811,-5.096317842554174,-4.927169862201425,-5.915540805963517,-5.981142902705069,-6.421198239313002,-6.612962485012064,-6.560754643526228,-6.804678052613849
84,VZPup,1.364945,12.469000000000001,0.8085419555514588,-4.731942076524889,-3.2771600634374956,-5.536940516431212,-4.426419895753812,-6.418299833990178,-5.814169862201426,-6.989446630797914,-6.84614290270507,-7.40569123347405,-7.467962485012065,-7.494890921455315,-7.65367805261385
85,SWVel,1.370016,11.556000000000001,0.5033957413952612,-3.789451200565769,-3.1561600634374942,-4.7828482447066945,-4.299419895753812,-5.8650277327816704,-5.642169862201426,-6.615335687454356,-6.65514290270507,-7.0991875322919125,-7.2749624850120655,-7.226266941120097,-7.45967805261385
86,XPup,1.414321,11.892,0.5772669559370205,-3.451212370656315,-2.831160063437494,-4.489742267676577,-4.0164198957538115,-5.691883298747358,-5.475169862201425,-6.459384742161561,-6.50214290270507,-6.9833583504494605,-7.160962485012065,-7.121064329853512,-7.355678052613849
87,RYVel,1.449158,10.872,0.7819637716942414,-4.010664807169843,-3.0491600634374936,-5.146392982572398,-4.41241989575381,-6.383358933404018,-6.008169862201425,-7.2754947509111405,-7.242142902705069,-7.767536129845604,-7.897962485012064,-7.915081764926115,-8.118678052613848
88,KQSco,1.457818,12.684000000000001,0.7573096154784463,0.49559552402604934,-0.018160063437494822,-1.5532400579953818,-1.9454198957538111,-3.846657955261193,-4.156169862201426,-5.593658096934651,-5.8891429027050695,-6.440702450497164,-6.774962485012065,-6.734069566901452,-7.0716780526138505
89,AQPup,1.478624,11.644,0.7563397378048141,-4.371486932573511,-3.404160063437495,-5.50883735310955,-4.770419895753812,-6.772061110690608,-6.3941698622014265,-7.566792507107989,-7.53214290270507,-8.10034056091283,-8.229962485012067,-8.236610645020036,-8.439678052613848
90,KNCen,1.531857,12.374,0.7745417241759786,-2.0363600975058183,-2.1471600634374943,-3.6648397690884114,-3.7494198957538116,-5.545678579605753,-5.668169862201425,-7.041477212573816,-7.247142902705069,-7.808377998205002,-8.086962485012064,-8.07767393252152,-8.378678052613848
91,UCar,1.58897,9.792000000000002,0.5294905587812127,-5.370601501370945,-4.284160063437494,-6.280764504863318,-5.451419895753812,-7.178344818956897,-6.745169862201426,-7.770343235420089,-7.709142902705071,-8.197798375380263,-8.310962485012066,-8.292430976078736,-8.48467805261385
92,RSPup,1.61742,10.567,0.7693527263393601,-4.926658090959735,-3.6461600634374944,-6.045899306076134,-5.068419895753812,-7.171410778094289,-6.648169862201426,-7.901598597374231,-7.79714290270507,-8.40261077439978,-8.488962485012065,-8.52005901742306,-8.694678052613849
93,SVVul,1.652569,10.418,0.7010317169725266,-4.729414904025852,-3.759160063437494,-5.9770724458212605,-5.23641989575381,-7.217420047059326,-6.838169862201425,-7.975445154179807,-7.940142902705069,-8.467745112693647,-8.596962485012064,-8.57987662105273,-8.782678052613848
94,SVul,1.837426,11.999,1.0537085509505413,-4.277523891637026,-3.190160063437495,-5.899468619570248,-5.0694198957538115,-7.581772920698712,-7.148169862201426,-8.714548836914513,-8.65314290270507,-9.322925820142217,-9.435962485012066,-9.50151476572886,-9.69367805261385
