,logP,B_gVI_M,V_gVI_M,I_gVI_M,J_gVI_M,H_gVI_M,K_gVI_M,B_gVI_S,V_gVI_S,I_gVI_S,J_gVI_S,H_gVI_S,K_gVI_S,B_iVI_M,V_iVI_M,I_iVI_M,J_iVI_M,H_iVI_M,K_iVI_M,B_iVI_S,V_iVI_S,I_iVI_S,J_iVI_S,H_iVI_S,K_iVI_S
0,0.490098,-3.4173016084129735,-3.8860244634913665,-4.550596589913078,-4.819210855089763,-5.069701941908156,-5.0772465129238356,-1.5607673027832183,-2.113860871407584,-2.8851211259261387,-3.2397390862012996,-3.520440331740992,-3.5448590454658655,-3.351100180546167,-3.9670001378215005,-4.817680083795473,-5.236320040243878,-5.539510024945691,-5.576490016400759,-1.9141631961810643,-2.453613126855773,-3.207620781128311,-3.548331033041886,-3.824146975960895,-3.845836962095837
1,0.498166,-2.1071168473565165,-2.658765479409522,-3.3044050399410643,-3.7014920326144507,-4.011601704091495,-4.054131430502095,-2.254119501351558,-2.799378192382836,-3.436937569428839,-3.8275109448026585,-4.135332605139665,-4.17658434334592,-1.905427564979852,-2.4565706602899633,-3.1015709614562974,-3.4981426328046696,-3.808071289512484,-3.8504999085745055,-2.244907199091209,-2.7914406099932894,-3.4306118908759196,-3.8224846581180407,-4.130762750408786,-4.172269432589201
2,0.564814,-2.4479346565864004,-3.097018051703736,-3.8432976997230783,-4.253614967003975,-4.590941602029861,-4.623358281053329,-1.8665748950802266,-2.539644187958565,-3.316254390566014,-3.7510217987903856,-4.0969369326919844,-4.134150791267653,-3.3763238052963285,-4.031231912439945,-4.784877002763486,-5.201131718432463,-5.540543976151629,-5.574125597580353,-1.9978861847916036,-2.6666230418256505,-3.4377548094299955,-3.8681059282130894,-4.212469770570442,-4.248817141977252
3,0.578244,-1.860255928102635,-2.512807267733902,-3.2203431552676314,-3.710356778891761,-4.029409032759731,-4.096519300685984,-2.3696945740405577,-3.0010810432590342,-3.681853610786912,-4.1502927213450995,-4.46176658612978,-4.524643879973475,-1.0967928448526312,-1.7467273624829254,-2.4509542363896184,-2.9383003898450135,-3.2564156526094097,-3.323002556135468,-2.2976706460398657,-2.9331989664426463,-3.6192089715971285,-4.091870098201252,-4.404827012926119,-4.4685326770066744
4,0.578408,-2.7011493607415993,-3.179733291215813,-3.725865229105787,-4.020318525976276,-4.323901804307365,-4.351218590402207,-2.810686182705345,-3.2822804835545503,-3.819573922047739,-4.106902306139187,-4.407982846120676,-4.433901706290517,-2.5261504757588784,-3.0053744089762433,-3.552315640657556,-3.8474213274210634,-4.151233768024699,-4.178678554668172,-2.8370458704107135,-3.308958679702835,-3.846654877259324,-4.134307934473228,-4.435502521026213,-4.4614850828846375
5,0.586529,-1.8918476623586833,-2.387777939758748,-2.9223542905356057,-3.3405025733047036,-3.6555356726318236,-3.692121728111837,-3.244190234961371,-3.6851386822035472,-4.150189621942044,-4.512291910098585,-4.807637967014333,-4.8332276564627685,-2.451377105703178,-2.8142420654222726,-3.180555175776743,-3.463062683103303,-3.730449813841432,-3.740422805785251,-3.0392370682573575,-3.4901657009598144,-3.967836746183568,-4.340112384680266,-4.639031991873727,-4.666617718414218
6,0.605768,-2.423757603946903,-2.8758888497121435,-3.4575709411314137,-3.841059565846949,-4.153671076427405,-4.184697325580453,-2.911520874184096,-3.347616536916108,-3.909021374951424,-4.276164050510506,-4.583033787811322,-4.610852920357725,-1.9623759599609096,-2.3930350839396266,-2.947565331035293,-3.309166244510371,-3.614089350193073,-3.6408211749888157,-2.8653377688804067,-3.3047616556338992,-3.8703750866254105,-4.240910403445099,-4.548971859669736,-4.577456637020434
7,0.609329,-2.0593330091307025,-2.710615825617711,-3.413896032272251,-3.8630810968202987,-4.203272685949518,-4.267929249246919,-2.4433413757065416,-3.0747443497214046,-3.7528861749272973,-4.181806625858577,-4.514879948812286,-4.575560543615258,-1.5118031701926604,-2.1613993665592828,-2.8625468148680437,-3.3100126150353106,-3.64960028534723,-3.713919524620554,-2.417688216849669,-3.0516932953050904,-3.7331255235454948,-4.164698442229087,-4.498703486450221,-4.559904502141305
8,0.609712,-2.581609699869534,-3.053683996928873,-3.5361973015974546,-3.8644988431160066,-4.144702865611446,-4.148717725023315,-3.2711647242919506,-3.717313786564305,-4.167044213695797,-4.468918741689553,-4.7398398575354594,-4.738669669989931,-2.001138142567799,-2.446845910357099,-2.8960183134971156,-3.1974430058242738,-3.4682061097746346,-3.4669476633324954,-3.1752088253527373,-3.6270525384372045,-4.0839839433698195,-4.391663341223664,-4.664623509457133,-4.664592252074027
9,0.62305,-1.9116410807817978,-2.4434902537689394,-3.0819124338042907,-3.6162425585266655,-3.931140165628513,-3.937110000225941,-2.8889680199858225,-3.397785627207126,-4.007084020854708,-4.517936807570615,-4.824587628220826,-4.8259511496650855,-3.0685197781812454,-3.46464868563454,-3.9314504008658004,-4.327433416205286,-4.5937344120998524,-4.572560193590512,-2.7141974679833534,-3.232036235101798,-3.852742030941893,-4.372790580649725,-4.682671558553427,-4.685839311977115
10,0.635863,-2.8069987518345725,-3.2702768170700507,-3.800002628593624,-4.099118333801401,-4.393614673288943,-4.431270286336039,-3.0947593337888493,-3.542002452149652,-4.051451814722021,-4.334222219244644,-4.622977013238351,-4.657425636910512,-2.3836020840057195,-2.8436886137448245,-3.369378677156855,-3.665241075213489,-3.958594639087814,-3.9956119450356353,-3.0927976268438844,-3.541242463239607,-4.052211417649682,-4.336206799265965,-4.625391885846369,-4.660080853125514
11,0.646934,-2.5834231065928566,-3.131963344117662,-3.719104547697416,-4.081932660787218,-4.381258358739649,-4.42856640624461,-2.933407288361475,-3.4653863836356913,-4.031585755724378,-4.377532188326482,-4.670927928892412,-4.714923747947255,-2.0673935780684074,-2.6139034947087074,-3.1984773247828935,-3.5592358204549415,-3.8578345325422756,-3.9047365158703355,-2.898512655983197,-3.4329256915902264,-4.002202820486857,-4.350630301944346,-4.644897550177831,-4.689380157299237
12,0.653376,-2.8269974568254987,-3.3412149266322992,-3.7770189529686378,-4.051279341545891,-4.327073338799294,-4.326516832760654,-3.5357667521251175,-4.019512098616741,-4.416783633535179,-4.659982115765349,-4.924865126928478,-4.918214196226803,-1.8730085026816967,-2.3819301547188534,-2.8110375340690616,-3.079899605177905,-3.353797358004112,-3.3521816884115427,-3.412308169644968,-3.9024642516373813,-4.307842264995527,-4.557575561478115,-4.824754029546366,-4.819385245944848
13,0.666501,-2.097987293409843,-2.757872822572596,-3.5120700078364644,-3.9890759020797866,-4.3558026560703205,-4.432379761902871,-2.4629151252148143,-3.10270322853059,-3.8314868946589247,-4.28800638061952,-4.6475369595487175,-4.720094580211872,-1.5635002707706802,-2.2212292143287637,-2.9726993623118885,-3.447506930583999,-3.8134614877935062,-3.8896072765051226,-2.429994410840988,-3.0719880998786175,-3.8035607647261993,-4.2623285251645555,-4.62264884607803,-4.695647583885554
14,0.687034,-2.8391557206245683,-3.446391069389686,-4.124475768473318,-4.4964318014080815,-4.809764458546559,-4.868211528299582,-2.5708293791674355,-3.1847679079720277,-3.8713288863313813,-4.250117838274125,-4.565850666329963,-4.62563837209088,-3.3127744881184333,-3.922820219937736,-4.604458693722143,-4.979279504221817,-5.293618459808729,-5.352627606172589,-2.646201945906708,-3.257803012142526,-3.9414082313826553,-4.317814479545616,-4.632710345197796,-4.692030558444959
15,0.687994,-2.2383991081016537,-2.9410771027831415,-3.736560244444894,-4.209419103539572,-4.5967650951835894,-4.661300694119887,-2.271886761686165,-2.966640197122463,-3.7521026058032017,-4.216883527086654,-4.601392015259007,-4.664342702346266,-2.2589099607690377,-2.9603892830297998,-3.7543566840821176,-4.2259936706447006,-4.612910460228394,-4.677206324680546,-2.3102318522884007,-3.004299123884275,-3.788893867321639,-4.252975344174208,-4.637238141423055,-4.700051595742229
16,0.697493,-2.8380411529365244,-3.3540445664074383,-3.9297972698932377,-4.288465265560361,-4.6027600361902685,-4.610960718884451,-3.109803950711653,-3.6182909769228035,-4.18453908748658,-4.5355452174308475,-4.84714863649355,-4.85384604173578,-2.462630310217124,-2.9745956566542935,-3.545242159245811,-3.899793931743054,-4.212642813854427,-4.220035883141862,-3.0661037805873557,-3.5772471607537075,-4.1468542737382545,-4.500568170940083,-4.813122736096421,-4.820351412129692
17,0.720788,-2.681122599135312,-3.4476165245971946,-4.354505617439319,-4.826028457587562,-5.222063379285204,-5.289362164377581,-1.6913995456573852,-2.4933241173621363,-3.445015833840403,-3.952655074674925,-4.361376453575658,-4.4357613679166095,-2.459048614534818,-3.317037110331921,-4.339622563081808,-4.904410836216921,-5.333206716970078,-5.4188044161294995,-1.9102177529384397,-2.7040364526247624,-3.6454781631958557,-4.144854644166431,-4.550673597925082,-4.623437337862347
18,0.724391,-3.170553679555848,-3.7211138529559764,-4.302764136739363,-4.62525773285046,-4.935526053003409,-4.932838087683434,-3.011941235997818,-3.571638705201755,-4.164843246904796,-4.496650989706227,-4.810191051259895,-4.809330545100681,-3.477700296121326,-4.028458241313991,-4.610358610718906,-4.933053806463685,-5.243392941677833,-5.240744530716365,-3.063100117355771,-3.622045891111277,-4.214299901795656,-4.545341400204493,-4.858612306291142,-4.857601461042242
