,logP,B_gVI_M,V_gVI_M,I_gVI_M,J_gVI_M,H_gVI_M,K_gVI_M,B_gVI_S,V_gVI_S,I_gVI_S,J_gVI_S,H_gVI_S,K_gVI_S,B_iVI_M,V_iVI_M,I_iVI_M,J_iVI_M,H_iVI_M,K_iVI_M,B_iVI_S,V_iVI_S,I_iVI_S,J_iVI_S,H_iVI_S,K_iVI_S
19,0.730464,-2.490068668969163,-3.1919738232316037,-3.9006538892666898,-4.335957207805178,-4.682323246912052,-4.738104277764539,-2.71122160764762,-3.3986554558105784,-4.089036321874707,-4.5095882445182385,-4.850772622408846,-4.903659392041437,-2.2460903486202097,-2.9468857623055036,-3.6541625434817457,-4.088334642593207,-4.4343033229772955,-4.489862405714354,-2.7166821344234218,-3.4055054461247494,-4.097643311243847,-4.519611590268426,-4.861293485748579,-4.914458148088844
20,0.730685,-2.3750282944322767,-2.9958064688868054,-3.8373001604551122,-4.3661062995765025,-4.739123645913446,-4.820079280804352,-2.2455447789019187,-2.8732999684819522,-3.7236162082089614,-4.259534401458285,-4.635049969340167,-4.717401007256174,-2.484070352870424,-3.104412483107194,-3.9453547897291745,-4.473716445067302,-4.846577659442402,-4.927446085489757,-2.321571202331072,-2.947237559031353,-3.7949124358910633,-4.328701367237156,-4.703468998184675,-4.785402269524733
21,0.735675,-2.8712604298399955,-3.510896393077007,-4.2384360627186455,-4.6510649800828245,-5.002434631435431,-5.032361824082834,-2.520822810748042,-3.177127218197653,-3.925744404391998,-4.355364381018053,-4.712702410782268,-4.74596329227219,-3.402320030025978,-4.0469771221572355,-4.780866090271598,-5.198613319669913,-5.551780859110459,-5.58271227753671,-2.6023719824208578,-3.2564824293288996,-4.0023253170319695,-4.429708869364038,-4.78626131970853,-4.819083409090139
22,0.735997,-3.139428370841611,-3.667823105082018,-4.284657736766661,-4.613840756185916,-4.931424031994578,-4.967902978842659,-2.9553131429676105,-3.4894145341858342,-4.113465325661782,-4.448465453484231,-4.768092080662369,-4.805712358906013,-3.4227667895396685,-3.952531900411961,-4.571099395450472,-4.901679314920293,-5.219753273974566,-5.2565062961490225,-3.033235762189155,-3.5652563070146215,-4.186675834664889,-4.5195548416482705,-4.838436391569647,-4.87564050053474
23,0.739882,-2.6356565402142245,-3.198260206297556,-3.8462880679255083,-4.254922772707227,-4.589496988627387,-4.6468177218440525,-3.0586787061264795,-3.601635905467216,-4.224820493020662,-4.613428476864767,-4.9409679901770955,-4.994359430045241,-1.9839408373591638,-2.5430617079077593,-3.1866855184079177,-3.591770018709066,-3.925097169131305,-3.981721343241024,-3.0208531063053883,-3.5665061880193814,-4.193099762315784,-4.584455806901659,-4.912960620031509,-4.966891236374306
24,0.764123,-2.7413331419028895,-3.422949385500452,-4.181728635468983,-4.621356806361983,-4.987577461327561,-5.033700710047074,-2.532583437974983,-3.2210030466241877,-3.9883852614322146,-4.434948475410114,-4.803605173990958,-4.851089095720799,-3.092368366123724,-3.7758842489494064,-4.537065623361239,-4.978630200693227,-5.345531049059842,-5.392034225624979,-2.5997480716406436,-3.286250436366903,-4.051208265311077,-4.495817127419135,-4.863787328982409,-4.910887801927661
25,0.771201,-2.45411232135236,-3.066229459729534,-3.7868098411613142,-4.272838924152239,-4.618209899506646,-4.68863332718208,-2.910369263536265,-3.5044408659767896,-4.202202376159646,-4.669836654776438,-5.008746164037399,-5.075560484525504,-1.7477708738158166,-2.353764025813601,-3.066600527694669,-3.5463870955375723,-3.889565288672262,-3.9587639190718185,-2.8659970403357256,-3.462944305599791,-4.164342137804673,-4.634907737235139,-4.9748469193135625,-5.042236372366374
26,0.774852,-2.832164116420704,-3.6001085309103664,-4.462973726006975,-4.936497709809341,-5.31521974209435,-5.365208624992283,-2.0414269067342317,-2.8403091342031357,-3.742295692808978,-4.24735628597083,-4.637156051290342,-4.693332496784122,-2.7921222425956786,-3.6282994218287614,-4.577446048471888,-5.120523431173999,-5.523677195351007,-5.587312631197623,-2.1937011673145546,-2.9869092880263763,-3.881720847120038,-4.380997512103702,-4.768765581132775,-4.823807205275139
27,0.786342,-3.6998851357878504,-4.40022506433313,-5.225293619138772,-5.561491739849443,-5.914368294909204,-5.95923628061826,-1.9045834437202203,-2.674803925350205,-3.5882375666371535,-3.9956687672664293,-4.373567068753295,-4.432411165079292,-3.8225203772193876,-4.662740745968998,-5.664690373549151,-6.143476297822947,-6.5464390750203885,-6.61928314877031,-2.2572100908624844,-3.013496252566782,-3.9093097215606027,-4.3025369057495,-4.675445821714587,-4.731503054055446
28,0.794695,-2.7363101968597534,-3.4763929706289716,-4.3767686071371426,-4.886214273301894,-5.308427782619258,-5.340844337373102,-2.016887503402278,-2.7899634336385324,-3.7320594486469556,-4.2751368485006855,-4.709164036423989,-4.748179222471239,-2.5451719141444764,-3.349841155835479,-4.33188742274797,-4.9071696175039605,-5.352509249206221,-5.397843097544421,-2.161010679140695,-2.928802045145569,-3.8642156434485053,-4.401906197182506,-4.834041170171347,-4.871999443372322
29,0.799056,-2.513004689933115,-3.139201257128551,-3.787817561453104,-4.2515082557555495,-4.603149607235206,-4.629588920674294,-3.31259635659691,-3.910492605726868,-4.52332270140088,-4.958165329546258,-5.299673341331501,-5.320452591157493,-1.8106313348734129,-2.4072834617354286,-3.0185403447351407,-3.452114770826745,-3.7931773065741123,-3.8137077319465154,-3.175586318320831,-3.780531540702923,-4.402275176747377,-4.844303209885253,-5.188335208867229,-5.210524253343648
30,0.807281,-3.0547448825408106,-3.579277709428908,-4.116583735687407,-4.48063655277334,-4.781256371433272,-4.795962936810891,-3.637252104315217,-4.14226032147044,-4.654877163808659,-4.999027475489467,-5.29265622421279,-5.303457867643834,-2.166762429489158,-2.685704144648212,-3.215940119946113,-3.574293610237278,-3.8729114501813267,-3.886499793213137,-3.5447033483802666,-4.054666678152874,-4.573549340316948,-4.92275067002064,-5.21815366874567,-5.229946334700192
31,0.807815,-3.0585493939253463,-3.636380499790019,-4.349179833657604,-4.77869154157127,-5.122782679477653,-5.153148900650588,-2.835497733291182,-3.4282494611379857,-4.159916162157167,-4.604637278284876,-4.9540709614816345,-4.987421307050996,-3.3298723532284598,-3.908696452846153,-4.62275144333046,-5.053275364231077,-5.3977220579651535,-5.428286877888692,-2.898672265015259,-3.4896124160421826,-4.218988348953646,-4.661862825484316,-5.010647847303634,-5.043635877509019
32,0.821971,-2.748761827386554,-3.478857953384292,-4.275792409484658,-4.73997426695332,-5.109060299165413,-5.187279524364961,-2.6093558296715202,-3.339311390243045,-4.13606809909478,-4.600106670516077,-4.969142371236847,-5.047333483351153,-3.0224553456549645,-3.75503461500379,-4.555109045922304,-5.021822107581107,-5.391797265315685,-5.470513119185451,-2.659580576040266,-3.3881073099544015,-4.183057244452276,-4.6456393345066855,-5.0141634231017465,-5.092068769884574
33,0.82586,-2.666015330145916,-3.3834618220006885,-4.141348998797692,-4.603900906623848,-4.969351102094429,-5.042440400465384,-2.8403857494893536,-3.5449659589040756,-4.286583514034952,-4.736020114599637,-5.096863350873942,-5.167379392756887,-2.4704063206286113,-3.1872796340676413,-3.944442017513126,-4.406409653147751,-4.771654613766244,-4.84462927645405,-2.8380541516754536,-3.543652024179735,-4.286556430701279,-4.7370303910604825,-5.098238016376532,-5.16895759087739
34,0.827263,-2.9034887727839456,-3.5216366069223906,-4.168662255252296,-4.600264563599873,-4.9296723364687995,-4.955701903296489,-3.2626013590479417,-3.871493543001777,-4.506815272388563,-4.928982788935054,-5.255076441899169,-5.279254878689936,-3.886909912446663,-4.433007566753176,-4.988924600585932,-5.347082209491928,-5.650691369582326,-5.662310900443629,-3.6167355045716287,-4.226767560741701,-4.863530676930955,-5.286860127736578,-5.613361928494248,-5.637768339728263
35,0.828997,-2.9699015332614533,-3.6747665346201788,-4.4441700202092775,-4.884464666755592,-5.238413102725975,-5.299186102997719,-2.6705923916271628,-3.3847595562733925,-4.165925777374431,-4.6157026290783305,-4.972981839645207,-5.035615272574452,-3.489883422534019,-4.198292688957266,-4.972177954886018,-5.416085465175522,-5.771302976701265,-5.832784829985914,-2.755229327022889,-3.467106356506022,-4.2453766647556614,-4.692819056099759,-5.04927825052759,-5.111453656424216
36,0.844792,-3.0841992274294965,-3.7143049149703176,-4.429503074699356,-4.8420301626441935,-5.205326070118487,-5.243347207626651,-2.962428660925182,-3.5976861619135896,-4.319398872840864,-4.737177486751627,-5.102318075815219,-5.141369576012901,-3.2620025007216187,-3.8938416036042893,-4.611231694991408,-5.025525748252452,-5.389442330252376,-5.42781015082891,-3.01207014296128,-3.6462596511154812,-4.366621867878212,-4.7833118181257195,-5.148069996851902,-5.186907898482741
37,0.845893,-3.478411610806289,-3.898736669818043,-4.387857389600648,-4.690801643302951,-4.970756745078128,-5.001821756880479,-3.8977506176149723,-4.3040336215803965,-4.775397936272159,-5.064028353217559,-5.338955493347114,-5.367212094140199,-2.847596195483904,-3.2597680881556523,-3.7385789975986374,-4.03321228174145,-4.310248023956174,-4.3396824024905225,-3.861015637907053,-4.270011937333628,-4.744807257898847,-5.036203485701419,-5.312102160657386,-5.340901420542703
38,0.859672,-4.011169214298166,-4.726265032737194,-5.582121680569774,-5.916199998720526,-6.262376243387403,-6.285195407075209,-1.987448824217936,-2.7649517578667897,-3.6997232094485675,-4.097416522458367,-4.46593854063586,-4.501239127365631,-3.2199613185715155,-4.137825434024057,-5.250085863886627,-5.790857026735024,-6.209637403558354,-6.273010226648862,-2.4277340728683647,-3.1875756281437893,-4.100013981911424,-4.479704083417986,-4.841902188694025,-4.873670499749109
39,0.860413,-3.6097948363819343,-4.337958938845005,-5.209418061959601,-5.611920824470345,-6.001186035352283,-6.030018855844898,-2.0348735414771433,-2.828095354948218,-3.781821002950354,-4.2506406579724825,-4.663200726666965,-4.70504508936118,-3.0090228835126416,-3.8897502927577405,-4.954128177996707,-5.51214708548526,-5.95603980298915,-6.015385284838172,-2.350191308843564,-3.13125290751417,-4.069601767768616,-4.526025848994138,-4.934231776260064,-4.973644095994187
40,0.870124,-2.517644845132535,-3.412647603773875,-4.330812382442923,-4.902363581574097,-5.331509730635995,-5.360510282364263,-2.265827289866628,-3.1730922180747094,-4.106762707937831,-4.69081340894994,-5.124350205824446,-5.155803191466062,-2.2321210993335185,-3.166359617811846,-4.134138647629602,-4.745685008401058,-5.188880090823943,-5.225727794519608,-2.3083737184755835,-3.2151020751722013,-4.148094061704697,-4.7315978059502815,-5.164942475606168,-5.196288146945491
41,0.873787,-2.8729217210229283,-3.700435643771499,-4.475775829956787,-4.9598867963714595,-5.317432104194334,-5.348934888744049,-2.772838395609148,-3.605104861012888,-4.386454714039553,-4.875410207805945,-5.234657232515026,-5.267110525595775,-3.3433375251541944,-4.165166049736026,-4.933316958239505,-5.411632486522921,-5.767142055002221,-5.797507759918588,-3.310542185152371,-4.140131439047613,-4.918095914940949,-5.4043223802019025,-5.762610790467619,-5.794528641246666
42,0.878917,-3.578868049339725,-4.1449768349115805,-4.805366008925022,-5.165812383895043,-5.495057787761094,-5.516879544875465,-3.146491699337324,-3.7344605371998236,-4.4224920999162745,-4.80522162496321,-5.142294337875266,-5.168488105447766,-4.1880082916658905,-4.758128466920527,-5.42359010788768,-5.788125512340794,-6.118807252512616,-6.141431287563543,-3.246631810970827,-3.831276191580784,-4.515103924481116,-4.894444647941589,-5.230326990676121,-5.255855866798113
43,0.903222,-3.3705177832658983,-3.9508463327537324,-4.543442434041577,-4.909351536100146,-5.237091758658693,-5.2527574685562595,-3.645625786357067,-4.217646335113403,-4.799736835476256,-5.157177136789169,-5.481942559085793,-5.49594666883706,-2.968420833316267,-3.5466571246689047,-4.136607531798695,-4.500383880403321,-4.827374939565072,-4.8426221978356,-3.6031840750442745,-4.177926774842956,-4.763459479104518,-5.123674618254144,-5.449414746246576,-5.463963286206312
44,0.967448,-2.447147627033871,-3.3728925887074834,-4.290241056372182,-4.875542372142703,-5.306834922935513,-5.397583915270236,-2.734909568311387,-3.6398864370109307,-4.5309733161406776,-5.0951045758473095,-5.518960809478437,-5.605556183218345,-2.172656066792178,-3.096714554803189,-4.011930449320339,-4.595512650002531,-5.026201334419378,-5.116613032021579,-2.703930306927373,-3.6111223717002847,-4.505010401993774,-5.0713997325364835,-5.496049149277752,-5.583087562232334
45,0.976878,-3.8222124708843026,-4.540557478234608,-5.368438906884026,-5.7703841401830465,-6.151488320234284,-6.193357321704345,-2.63794819110518,-3.4046305471055067,-4.293635332757532,-4.744853476293348,-5.143265545699916,-5.194802016899981,-3.0662723319414305,-3.9126430014820084,-4.902414944901061,-5.434863756432747,-5.861809383268243,-5.9292835171763585,-2.8829288241793267,-3.640167041358265,-4.517229561145825,-4.958820776076614,-5.353851234485846,-5.403498877921633
46,0.980171,-3.413613441418877,-4.145535806730825,-4.916992475125289,-5.364319789443276,-5.729811346054974,-5.771995819117364,-3.077313655571777,-3.8225588709696803,-4.610862498182513,-5.071770524201021,-5.442032520682206,-5.486881563761788,-4.00647201789012,-4.739841235030626,-5.51312747089862,-5.961929640628943,-6.327939263540543,-6.370413106968645,-3.1671597297171625,-3.9098318547459257,-4.694881767685522,-5.153166901585809,-5.522507565709011,-5.5668419907147655
47,0.989194,-2.706859849379109,-3.4936247470876864,-4.294269391932082,-4.829952319918889,-5.226935880066153,-5.30808885960787,-3.2836524181092925,-4.042779379706147,-4.808475408564106,-5.315985472643479,-5.703072868570095,-5.778698260889467,-2.0936257485524887,-2.865309731719457,-3.6468843168854304,-4.167194441662081,-4.55877806144122,-4.636914858074615,-3.210024474837564,-3.9730950189599725,-4.743777771527664,-5.255307745536311,-5.643807198431754,-5.720221307256236
48,0.991759,-3.601387654033449,-4.343957709942086,-5.141323716123329,-5.55809835375923,-5.954383115713614,-5.98349712689534,-2.9320233169554593,-3.7004734831649952,-4.530565306242859,-4.97372095954032,-5.379272470666961,-5.413562503908866,-3.831854777608003,-4.619499830235117,-5.473863896782952,-5.936585950428655,-6.3490104692725575,-6.3871394797979795,-3.07443129383144,-3.837802514375146,-4.661471928740088,-5.099450334197543,-5.503183255101902,-5.536457499210642
49,1.006127,-2.6773510641726523,-3.4248854645594786,-4.22369670633895,-4.77642209512036,-5.196455380420159,-5.253762260497524,-3.4033072317930806,-4.121035210834615,-4.882155752074232,-5.4044978210327,-5.813858484495959,-5.865204080304265,-2.8514474014508937,-3.533081985840377,-4.248561847390949,-4.7341119398653895,-5.130548839437109,-5.174675756315006,-3.317364494503444,-4.040194270613316,-4.807766116532897,-5.335308727019089,-5.7464961629810105,-5.798862118202985
50,1.006262,-4.270308934365091,-4.7552736334309165,-5.305712865798025,-5.595322042910286,-5.887744886769339,-5.899737826582505,-3.9195871407607425,-4.426020355870346,-5.003606873041198,-5.3151000858626,-5.615210043530876,-5.631496686552797,-4.708140089782459,-5.197557320444624,-5.753626850830332,-6.0477747375698305,-6.341791875000477,-6.35467532113291,-3.98571771532238,-4.489906652917847,-5.064655244974052,-5.3738607426520115,-5.67316710417813,-5.689004891697223
51,1.014575,-3.0249674673380635,-3.864019673094973,-4.740840526826288,-5.266900194630104,-5.6900382424979,-5.750448683649282,-2.89950395028188,-3.7398490493879626,-4.618304787612426,-5.1456823725076575,-5.569283359606932,-5.629952379428148,-3.3408024521701196,-4.179910268832153,-5.05680144344995,-5.582917798498989,-6.00607575865862,-6.066497321991027,-2.939130590289314,-3.77863403838879,-4.656025495340384,-5.182545139209527,-5.605844760948371,-5.666345450568266
52,1.032868,-2.7405803729343465,-3.609531024434884,-4.683081525687177,-5.38351509302321,-5.815949035979855,-5.907939166279963,-2.2200624243247953,-3.1175325903817916,-4.227146477782897,-4.956651550279707,-5.399297319416245,-5.496991352627644,-3.3369562028652298,-4.215752826614679,-5.3017537185817245,-6.0122238253714855,-6.448183261617257,-6.542142586367147,-2.3335608925872466,-3.2273594599902644,-4.3323305516740795,-5.058092962317156,-5.499424062258238,-5.5963837757388415
53,1.036854,-3.700116454423326,-4.4186394606245285,-5.20225564911121,-5.6153952296259835,-5.997801854427059,-6.055506455667301,-3.1632418094846813,-3.8999565255568602,-4.706576424590068,-5.138259812586225,-5.527180243179812,-5.588523186394248,-4.222569923300881,-4.961083910916702,-5.769979017837356,-6.203496501987677,-6.593061187875922,-6.654763985399088,-3.2900394419331422,-4.0220530091092686,-4.822728229538436,-5.249619478659906,-5.636856594648777,-5.6972593080840035
54,1.039548,-3.417084500329275,-4.098715474526519,-4.799364964479163,-5.236143634951191,-5.588876016034719,-5.651402210874169,-3.6996014478405144,-4.366438335222122,-5.048380463782089,-5.470078710274307,-5.817513853820623,-5.877081231296946,-3.0717228789346187,-3.7491014343012363,-4.4443736720551525,-4.876817618815962,-5.228027359608523,-5.289703070681847,-3.667886084605299,-4.336706934813206,-5.021157816366429,-5.444878424965457,-5.79302395520119,-5.852988125242772
55,1.043507,-3.6988456784311166,-4.382145306384644,-5.10342096495814,-5.548255424420446,-5.905149807332839,-5.913009732923544,-3.4544391621086867,-4.157712851176683,-4.904246032191699,-5.36944114749972,-5.733487532940197,-5.745342270753796,-4.0281497535310065,-4.714702101932065,-5.440090877974696,-5.888241013764162,-6.2463000804497035,-6.254810550129915,-3.500166494748889,-4.202806484541137,-4.948538342601012,-5.413087493486011,-5.776906973701945,-5.788634971660395
56,1.052579,-2.316075064769616,-3.192871646559536,-4.044078937080984,-4.656490936582967,-5.096876164256132,-5.187235480614117,-3.4702686304976504,-4.291645360855745,-5.072773355373079,-5.62869286115746,-6.049234206543747,-6.128509552615365,-2.0101845751936724,-2.81443860701807,-3.573914673066987,-4.112380073249277,-4.526790387870271,-4.602641194235151,-3.3036072807761308,-4.133081893722236,-4.924449791383121,-5.488623912966894,-5.912064822763726,-5.992959745352946
57,1.053181,-2.868427204355571,-3.632087007875837,-4.380069727165979,-4.90460681720599,-5.3253366178213115,-5.356068578525365,-3.732028584216211,-4.461706381815256,-5.166718306521146,-5.656615674396301,-6.065177724504346,-6.0891132840241555,-2.142191425284283,-2.8731003246444913,-3.5796689973838505,-4.0708212947961915,-4.479824158760653,-4.5040059386326945,-3.597520196334071,-4.334267325445856,-5.04821853387108,-5.545322059030189,-5.956415385905699,-5.981764811728056
58,1.065337,-3.5618886160731775,-4.214060308605123,-4.901277416580999,-5.356452432194207,-5.709513909197581,-5.733548247703969,-3.7869322003495025,-4.4379103729381955,-5.123618255695508,-5.577576650979464,-5.930210770841866,-5.954006405359604,-3.170543558071786,-3.8207584412761735,-4.505501132295913,-4.958681464852642,-5.311042277870987,-5.334685254511864,-3.756988368269446,-4.410410968144617,-5.0992098686319265,-5.555660002698228,-5.909169385234176,-5.93345390520921
