,BBVI_h,VVVI_h,RRVI_h,IIVI_h,JJVI_h,HHVI_h,KKVI_h
0,-0.20310456881174666,-0.14548030649002192,-0.12437935906421213,-0.08845202634593313,-0.049950806939639304,-0.030492354745289548,-0.020494555321525457
1,0.20430804070414849,0.1717555730093451,0.150493141895712,0.1044273883896826,0.04747562307141032,0.03146180082180175,0.020301999252694908
2,-0.2802247339316429,-0.21360166686255241,-0.17502835058412877,-0.129869813452431,-0.06463709020154894,-0.03991053209774734,-0.026440220030788678
3,-0.21937082204077557,-0.18192932244669485,-0.15502309158851604,-0.11061302804759049,-0.051751523775742936,-0.033963430414945844,-0.022294254219246107
4,-0.1558888748079545,-0.11550676237821048,-0.0945207772328552,-0.07022811152595168,-0.0355412688994935,-0.02177082185669154,-0.014647708746756923
5,-0.0973999958349861,-0.06708160861505141,-0.04850000806278193,-0.040785618037951346,-0.020181620832622593,-0.010405609467023735,-0.006921687536745436
6,0.1774631773728794,0.1337031086742911,0.11530593866185827,0.08129149007396935,0.04063479141180287,0.024989035256440563,0.01628562695300313
7,-0.05414411785156047,-0.05020596993985223,-0.04560420758452781,-0.030525229723429873,-0.014301136133583872,-0.008990272501279109,-0.006214230398082998
8,0.0014569454208743504,-0.012698118177925266,-0.013411852135043506,-0.007720455852177788,-0.001918178867076764,-0.0026454803915698655,-0.0011706634634426616
9,0.04540807467682714,0.028559256983474994,0.023510913105560555,0.017364028245952914,0.011193781824257752,0.006581050826449693,0.00434031196356364
10,-0.1437442672209405,-0.1226014693949744,-0.11001869520579241,-0.07454169339214362,-0.033467805507312307,-0.02223780160001032,-0.01468932470831405
11,0.20124885549273935,0.16549087018597114,0.13154233155192135,0.10061844907307047,0.046875956913174074,0.029481437106683946,0.01934059474994198
12,-0.06375891886682974,-0.0200527527998568,-0.008018054091034066,-0.012192073702313122,-0.008694262902286531,-0.0038774529693816895,-0.0028707750171491075
13,0.10990838771234758,0.08363517085691483,0.07336153019969757,0.050850183881004124,0.025726516299105155,0.015273605823835128,0.010393844060186867
14,0.057986765532322654,0.06737581516585592,0.05386290728910406,0.04096449562084023,0.01648924604687918,0.01197000146627869,0.007546429799724835
15,0.10827710779694352,0.07443780277664366,0.061254139905113365,0.045258184088198976,0.023718169261786645,0.014301805883824292,0.009615255110552369
16,0.0692640083776638,0.06282966217491773,0.058211733601750304,0.03820043460235037,0.018686129273017438,0.01256098523696142,0.008013776227464325
17,0.11330859517189054,0.09046094208048047,0.07720338310985628,0.05500025278493239,0.027458088726299235,0.017781887140122438,0.012048265223588345
18,0.20312573364539585,0.14622710634088726,0.11924105456649808,0.0889060806552597,0.04562861760275462,0.02888412114727411,0.019728727881281487
19,-0.3588121275462776,-0.26797018896105934,-0.22167681847044785,-0.16292587488832377,-0.07831191134368813,-0.048001898839372,-0.03138579326569284
20,-0.05324124114108803,-0.049769361281627386,-0.044645767665499506,-0.03025977165922923,-0.014486705663140295,-0.008686350995112141,-0.005630276263670936
