,BVVI_g,VVVI_g,IVVI_g,JVVI_g,HVVI_g,KVVI_g,BVVI_i,VVVI_i,IVVI_i,JVVI_i,HVVI_i,KVVI_i
0,0.00030950226282919365,0.018717304824051137,0.0187173048240516,0.08138295514265066,0.18968337245906555,0.3178172248960769,0.019383804462238093,0.04002919594075153,0.04002919594075156,0.1521044404335591,0.3214837151485372,0.5196506550608969
1,-0.022221310334262112,-0.026579852296840834,-0.026579852296840713,-0.11412028758394344,-0.20672520868095443,-0.3593685180082322,-0.0006612484070379515,-0.0025695891227694124,-0.002569589122769377,-0.03332714480903573,-0.05315965063242077,-0.12036724420839519
2,0.044838356042938454,0.041010067657394775,0.04101006765739498,0.08066123537865026,0.11425320619182489,0.18402251977212242,0.04500825340953182,0.041290626984807996,0.041290626984807836,0.08030878569529043,0.11015600905427361,0.1733402915948251
3,0.0005297732557129582,-0.012703277727417058,-0.012703277727416556,-0.13575555420363458,-0.22031299106514776,-0.42013273636099724,0.024601875801159172,0.01397370484978081,0.01397370484978107,-0.044132669262992634,-0.041255787194436185,-0.13529279040980638
4,-0.024764356651373037,-0.022175230471593827,-0.022175230471593515,0.04294931035067809,0.10705882881023314,0.1653789588641139,-0.04768021926076418,-0.04759022833019224,-0.047590228330192115,-0.044062945829284265,-0.06227229137541914,-0.10311461841784632
5,-0.04599000174658234,-0.04964567120209993,-0.049645671202099693,-0.13262923860795642,-0.1887103420556635,-0.30154810548299077,-0.06597404843662415,-0.07181479010074059,-0.07181479010074061,-0.20844788439499806,-0.33604800817013636,-0.5349109006047649
6,-0.05069289620973288,-0.036358309731402354,-0.036358309731402215,-0.08898017941584654,-0.13105719422111567,-0.20437462936457482,-0.053391191035814974,-0.039346630177644996,-0.03934663017764491,-0.09927162316231751,-0.1512420420593629,-0.23657271110980563
7,0.018226910894405795,0.008248664601301511,0.00824866460130183,-0.011883042781952643,-0.023261513642633853,-0.1017866414800833,0.022475514624845424,0.012859256418304384,0.01285925641830454,0.005346406107908902,0.014020665183656952,-0.038067087361234105
8,-0.0696853846767343,-0.0783437376052741,-0.078343737605274,-0.15389927943977808,-0.1998464252220958,-0.2562532487098221,-0.07105836097881474,-0.07990680255444574,-0.07990680255444582,-0.15867556832365867,-0.20764716344679718,-0.2667888105160804
9,-0.007379241909867031,0.0010924003692050132,0.0010924003692054762,-0.12067960474758876,-0.14947247617384307,-0.14660726130563473,-0.03515613384736894,-0.02956512487186305,-0.029565124871863326,-0.22775861605339515,-0.36335789668578433,-0.49249908005159637
10,-0.061345407408007376,-0.05790539795855336,-0.05790539795855314,-0.05716881141833073,-0.05183973573704525,-0.10751037075897782,-0.07016427953963314,-0.06763639458959719,-0.06763639458959768,-0.09119176325024318,-0.11988824172716493,-0.21766389633327285
