,var_gVI_M,mu_gVI_M,rd_gVI_M,var_gVI_S,mu_gVI_S,rd_gVI_S,var_iVI_M,mu_iVI_M,rd_iVI_M,var_iVI_S,mu_iVI_S,rd_iVI_S
79,0.00018611947706373668,-0.18,-0.0394172454468317,3.922467241155716e-06,0.16,-0.014371012151657857,0.0002035562826195718,-0.98,-0.03504865639588633,2.102951816040352e-07,-0.14,-0.01771367064726562
80,0.00013130565068273322,0.34,-0.004835039630697574,1.7704358493804286e-08,-0.16,-0.03108065266843914,0.0001491243522275238,0.98,-0.017058232598164125,2.868955015012783e-09,-0.28,-0.02660726172285553
81,0.0001630885507000881,0.18,0.09925938673487844,2.5091566970266564e-07,-0.2,0.07335741990028051,0.00023656424913816058,0.98,0.08531711960037584,6.212346286306336e-09,0.08,0.07625761030144272
82,0.00013793801011223873,-0.04,-0.023908065191815833,3.143437018155132e-07,-0.58,-0.05192095458436328,0.0003021194385566805,0.98,-0.045662248789951516,2.9119925324039857e-08,-0.32,-0.04790801435193417
83,0.00011495964682663552,-0.24,-0.10709785539299549,1.0385034516676316e-06,-0.34,-0.1116087369000925,0.00010304994138603057,0.26,-0.10966176931350247,6.342563250410432e-08,-0.06,-0.11118809855788313
84,0.0001238514310564175,0.08,-0.024201801307596527,2.4780873267825353e-07,-0.22,-0.038866963674848494,9.410753344243021e-05,0.96,-0.026190298017208225,2.06966586209304e-08,0.04,-0.03680358296049557
85,0.0002870768228103793,-0.5,-0.0395645200115912,2.5965347158991245e-06,-0.24,-0.029176398386709424,0.0003268573481748288,-0.52,-0.03651330193159567,1.4007053632116606e-07,0.04,-0.03282217942891195
86,0.000287067282425806,0.32,-0.05705474635317204,2.421763923755519e-07,0.16,-0.058420520694262686,0.0002922171453540313,0.5,-0.058085403831463656,1.1691626624544548e-08,0.02,-0.05697102216351196
87,7.073133300556163e-05,0.2,0.12243491295484349,1.1083453047953452e-06,-0.3,0.09788536358078288,0.0022232414620739177,0.98,0.07023028377832298,5.058303614082439e-08,0.5,0.10294213582264844
88,0.00012483356569638142,-0.08,-0.0296593752580435,1.0004862107969648e-06,0.4,-0.00967958523779974,0.00018743688790708087,-0.86,-0.02611907666115622,4.5391956299979544e-08,0.42,-0.0147120359856569
89,0.0016058158753627157,0.98,-0.05168618700713459,8.940688039331383e-07,-0.18,-0.07861999534180493,0.03154155297641353,0.98,-0.20622105815749384,6.739230556328473e-08,0.28,-0.06760012383713332
90,0.00010475039710613483,0.38,-0.039722951982021935,1.1302453794874332e-08,0.2,-0.048220455533911334,9.757896828740861e-05,0.36,-0.04131021122323348,7.598541429383704e-10,-0.16,-0.04675664922572931
91,2.074481385195835e-05,-0.02,-0.024976039534800456,1.1790110126064189e-07,0.1,-0.02050566008340764,2.3080021228190147e-05,0.0,-0.022011701492040032,1.0688672938197324e-08,0.32,-0.021563231033905478
92,7.339088300998294e-05,-0.18,-0.056217196902154154,8.577957630159138e-07,0.72,-0.010230922117566295,0.006026776209618623,-1.0,0.033437729703569535,5.468569226285641e-08,0.16,-0.01758758452884955
93,0.00025799241754220135,-0.2,-0.051115377784971106,1.000381066355468e-06,0.68,-0.0030212616784536643,0.002723023221424132,-1.0,0.008694828412964966,4.720002055249089e-08,0.64,-0.009951759864765227
