,rms_cBV_S,mu_cBV_S,rd_cBV_S,rms_cBV_M,mu_cBV_M,rd_cBV_M,rms_cVI_S,mu_cVI_S,rd_cVI_S,rms_cVI_M,mu_cVI_M,rd_cVI_M,rms_cVK_S,mu_cVK_S,rd_cVK_S,rms_cVK_M,mu_cVK_M,rd_cVK_M,rms_cJK_S,mu_cJK_S,rd_cJK_S,rms_cJK_M,mu_cJK_M,rd_cJK_M
0,0.000305005603742243,-0.9,0.03369036537553842,0.0003775279125304179,-0.68,0.03203030155248366,9.356699298507145e-06,-1.0,0.007415476645690918,0.00022676329197277617,-0.22,0.027304509009325028,1.5748902094485085e-05,0.98,0.009787749898796393,0.00017018669942545786,0.36,0.021884688917494566,1.1612747167915228e-06,-0.14,0.07527310555438026,0.00025174472035418405,0.42,0.03749711598059515
1,6.829288656896642e-05,0.16,-0.015859436441283896,0.00013275272281338305,0.44,0.0024673990545658617,7.82399115368893e-07,0.4,2.1698487357096365e-05,0.00013844438767572948,0.38,-0.0014137387976986522,5.417165420124499e-07,0.7,0.00011913866092127503,0.0001556171857692379,0.02,0.013943652361016287,1.0752655461602286e-07,-0.08,0.021342562736999554,0.00017019858825488367,0.04,0.01858465684434983
2,0.00019082367253127057,0.18,-0.02620302020253238,0.0008890350641140201,0.98,-0.012698683295841352,9.27374626772296e-05,-1.0,0.02351843304947222,0.0003031036436041955,-0.24,0.03181934711561023,0.00013629286559725353,0.98,0.02906940423700615,0.00039797915452131503,0.26,0.03738482801178284,1.789973847006276e-07,-0.1,0.05918949331938344,0.00020509798478807528,0.12,0.04715943261931025
3,2.688725941337705e-05,0.76,-0.009707727364296561,0.0008812848085826945,0.02,-0.046135120185431346,1.2156126259118917e-05,-0.96,0.0005630250431297899,0.0025478887518469973,-1.0,0.028137552801077877,0.00010376095358248401,-1.0,-0.02524348760566221,0.0006731356100675715,-1.0,-0.042039477097021556,2.2528661337424374e-06,0.32,-0.14567363590648233,0.0009968372275911516,-1.0,-0.07372645015429018
4,0.0017991384876192712,-1.0,0.09721054130817793,0.004739190937593567,-1.0,0.12864609381585773,5.052277738688861e-05,-1.0,0.01743717169387277,0.00047700436675187946,0.16,0.045739257671599115,0.00019259427384451107,0.98,0.03467311881582483,0.0005163246448132378,0.64,0.047602461269501316,6.327335308063653e-07,-0.02,0.09766919536720191,0.0002139571452451224,0.26,0.07568459720231507
5,0.00047026811683083855,-0.5,0.04180780796229856,0.0003051030673500545,-0.44,0.032266890399862885,9.521117343858966e-07,0.26,-4.064176499768825e-05,0.00020670671635176116,0.74,0.010388465969320169,1.6986148951280278e-05,0.98,0.010266294862673548,0.00018530638894391507,0.3,0.024971489194360808,3.723199648933582e-07,0.36,0.007057720072575151,7.379031694847653e-05,-0.16,0.036743006857625785
6,0.0003499598849092066,0.74,-0.03527130248345872,0.000470105198438217,0.2,-0.04313756509077939,3.2861889837563254e-06,0.98,-0.004433852255357912,0.00029707549146925814,-0.4,-0.03310754499939385,0.00014774824968027264,-1.0,-0.03035486338248685,0.00040553385319188424,-0.6,-0.04213255507771806,2.3472781171822863e-07,-0.14,-0.07341332581380947,0.0001657943327548461,-0.32,-0.061919518456805565
7,0.00015143107281077867,-0.48,0.023882027004063812,0.0003048550844101409,-0.3,0.02821137869679895,1.5816437391966446e-06,0.3,-0.0003537189045728318,0.0001332940569286234,0.66,0.011552525965252589,8.878356627967483e-06,0.98,0.007259883359289201,0.00018907343887490029,0.48,0.02278600792284936,3.459459887456711e-07,0.06,0.058221990176008875,0.00021838155272022462,0.46,0.037104735905791116
8,0.0005326664112723941,0.74,-0.04372691257107203,0.00021274707854341017,0.58,-0.03155109084470868,4.904114929015489e-05,0.98,-0.016879299880177286,0.00019380834299840446,0.32,-0.029478633055273935,3.0655083781099636e-05,-1.0,-0.013818037489658598,0.00014358224998051045,-0.1,-0.025037028687643716,1.014951060169004e-07,-0.2,-0.021840992217149843,2.4950292598461377e-05,0.24,-0.03715402449408923
9,3.17304097814547e-05,0.5,0.010583037781084555,0.00023294334397102508,-0.36,-0.027586092740607835,1.8143766813873435e-06,0.98,-0.0028654134058461573,0.00023782039071512198,-0.18,-0.026411547665537747,8.992192756970352e-05,-1.0,-0.023473406304147085,0.0003424796097557617,-0.76,-0.03142701990576384,1.6388596361334115e-06,0.46,-0.11688215729572987,0.00046066805516177507,-0.92,-0.04628075639612131
10,4.1076826039226344e-05,-0.54,0.012344313907105697,0.0012062879135027568,0.98,0.028184286934685675,0.0009834576005098167,-1.0,0.07789824536009357,0.0011047950378200023,-0.32,0.0737075884639511,0.0010467728719412918,0.98,0.08086850896890849,0.001019354713810883,0.86,0.06938107234854504,1.0496825828266375e-06,0.1,0.04931528686172124,0.00029413223984018147,-0.42,0.08415695183800381
11,0.0001261699909326312,-0.42,0.021621472916933865,3.511299033445724e-05,-0.6,0.009708499660822592,3.648736308563239e-07,-0.48,2.544142460129091e-05,2.2111815971430247e-05,-0.32,0.006594732516733903,8.12771029929254e-08,-0.18,9.631072494597937e-06,1.7073828858506363e-05,-0.34,0.00485742842036913,1.1402419344116004e-07,-0.04,0.0015124474519974066,2.6984988521615375e-05,-0.32,0.009800644271510221
12,0.0001260994443224214,0.44,-0.02118262569888264,0.00012726321441480489,0.24,-0.013346518704269858,2.2079089499065358e-05,0.98,-0.01117363861422393,0.0001690541699427429,0.36,-0.02000648072429828,4.82790246418353e-06,-1.0,-0.005398817623631045,0.00011711691033539707,-0.12,-0.008271817263989229,3.480910877773989e-07,-0.04,0.012223596488539462,0.00024563423883594934,0.34,-0.008450830017760596
13,0.00011168345017786972,0.62,-0.020094794423483133,0.0003797102899886497,0.0,-0.03140714337180027,0.0001448375725103794,0.98,-0.029299591798665564,0.0004577524350124733,0.34,-0.041564634939409734,0.0001372822969773707,-1.0,-0.02923446566818775,0.0005462039769638785,-0.04,-0.0466966609830895,5.826349214619652e-07,0.04,-0.07032855702414338,0.00033519212885494164,0.14,-0.06686909725502926
14,0.0001378326169767152,-1.0,0.026704303863048638,0.01032607480280394,-1.0,0.11351955625883695,6.226072533473049e-06,0.0,-0.0005794147650991284,0.00018585102188761084,-0.48,-0.009527829882670966,1.5527356198012107e-06,-1.0,-0.002948957959882376,0.0001710228821999112,-0.26,-0.016466024182769965,6.488535682763935e-05,-1.0,0.006003783187680053,0.00023406620186306942,-0.4,-0.021701702293495065
15,0.00020126240564355172,0.98,-0.031058070066893033,0.00026940429064356276,0.54,-0.034298754022595565,0.00010298907647086958,0.98,-0.024820156304303936,0.00022509265321957273,0.36,-0.031148121711275647,9.660854563607203e-05,-1.0,-0.02446880897472395,0.0002289170540039557,-0.04,-0.03308128385221719,2.386985670788274e-07,0.48,-0.03204137020422882,6.619313115317431e-05,0.6,-0.043220012522439594
16,0.0015211154415208387,0.98,-0.08394046985064077,0.006945188404536065,0.98,-0.11911899799809167,8.47578896624757e-06,0.98,-0.006934495071477695,0.00033458806320944736,0.06,-0.023296548330386167,2.4095646180015185e-05,-1.0,-0.01224306811655071,0.0003291757851876134,-0.18,-0.017174171606985793,1.2068113642431967e-06,0.04,0.0147865671038177,0.0006187045592777914,0.7,-0.02420202982778413
17,0.00038776604608380626,-0.5,0.038239345821796625,0.0003705300795213239,-0.3,0.03265264445194645,5.563500621380325e-07,-0.96,0.00022748509929894768,0.00019971464460419593,0.22,0.026053694971295782,3.528878048544154e-05,0.98,0.014835812038806354,0.0001029528859314646,0.88,0.014564157069606624,2.141994913069786e-07,0.32,0.04555478503817669,6.575654912138312e-05,0.66,0.02437543915624496
