,BBVI,VVVI,RRVI,IIVI,JJVI,HHVI,KKVI
m_h,0.866879990449039,0.8105306994964109,0.8197205225069933,0.8848026652938183,0.9527759756327835,0.9638193360514923,0.9768964954167711
c_h,-2.097281304084016e-16,-2.4426966504435127e-16,-1.1608872561563454e-15,-2.0093947828342014e-16,2.6641124840285234e-16,-1.3038632973915654e-16,-1.3675663203881047e-15
me_h,0.1338271403474858,0.10018961273332926,0.08081528212773398,0.060915284541864186,0.03155887187514822,0.017706946753511494,0.011769343122568119
ce_h,0.022151534988844944,0.01654457973583607,0.013821366646882735,0.010059104479388329,0.0048852355398797025,0.002979876972849974,0.00196431608468965
