,name,logP,p_BVVI_h,p_VVVI_h,p_RVVI_h,p_IVVI_h,p_JVVI_h,p_HVVI_h,p_KVVI_h
0,RT Aur,0.571489,0.09604224977279241,0.1085628741520384,0.11570468437572287,0.11851089719533364,0.11354670420827659,0.1220714007128511,0.11906326173874496
1,QZ Nor,0.578244,0.1586368999043911,0.17931772569814072,0.19111414483941536,0.19574928097198296,0.18754972100897857,0.20163030980516664,0.19666164401003347
2,SU Cyg,0.584952,-0.024292560464041935,-0.027459479455422393,-0.029265901702840613,-0.029975694473798453,-0.02872007042731315,-0.030876274657897503,-0.03011540745533339
3,Y Lac,0.635863,-0.13583169831953795,-0.15353950584671777,-0.16364010442759264,-0.1676089062209213,-0.16058809229982826,-0.17264449462915932,-0.16839011047426483
4,T Vul,0.646934,0.05265866791125368,0.05952355709063076,0.06343931514236163,0.06497792371625291,0.0622561237732984,0.06693009968848776,0.06528077773233681
5,FF Aql,0.650397,0.05336456831835009,0.06032148276647419,0.06428973237016508,0.06584896631233385,0.06309068007445436,0.06782731160992736,0.06615588014955877
6,T Vel,0.666501,-0.006699706120766375,-0.007573118644815658,-0.008071316362822593,-0.008267071889667325,-0.007920780187643067,-0.00851544515524268,-0.00830560368292706
7,VZ Cyg,0.687034,-0.061022792071246515,-0.06897807695789142,-0.07351580073386854,-0.07529879667371522,-0.07214467526186394,-0.07756104965438089,-0.07564975499424548
8,V350 Sgr,0.712165,-0.13230585863265443,-0.1495540172610908,-0.15939243041854595,-0.16325821237890917,-0.15641964063444694,-0.16816308993190326,-0.16401913858968917
9,BG Lac,0.726883,-0.027966733492266523,-0.03161263897656635,-0.03369227688228745,-0.034509423567565915,-0.03306389035065723,-0.035546213659511855,-0.034670267696194475
10,delta Cep,0.729678,-0.10882134947020844,-0.12300793135872512,-0.13110000987667142,-0.13427960913275805,-0.1286548952057094,-0.1383138627918111,-0.13490546968012998
11,CV Mon,0.730685,0.019092662775055724,0.02158169296303685,0.023001444942262313,0.02355930437565424,0.022572450539177148,0.024267112586417915,0.023669111361445967
12,V Cen,0.739882,0.213753704165405,0.24161987604141671,0.25751484303115796,0.2637604108545605,0.25271199579050624,0.2716847443365824,0.264989765305161
13,Y Sgr,0.761428,-0.004143915828712654,-0.004684140715918462,-0.0049922869796897255,-0.005113366085493065,-0.00489917703906274,-0.0052669904218584015,-0.005137198848471163
14,CS Vel,0.771201,0.15712068458997921,0.1776038477667585,0.18928751942388533,0.19387835398227432,0.18575716354360405,0.1997031732829549,0.19478199686245845
15,BB Sgr,0.821971,-0.047985661106540956,-0.05424135003225957,-0.05780961801735792,-0.059211688227844485,-0.05673142477183494,-0.06099062526403801,-0.059487666537913125
16,V Car,0.82586,0.1129939042884223,0.1277244446088198,0.13612679901815708,0.13942831416906365,0.1335879309150711,0.14361725387662683,0.14007817218986382
17,U Sgr,0.828997,0.0340137694632317,0.038448001607719134,0.04097730394156887,0.04197113609498956,0.04021304612695781,0.04323210349323768,0.04216675833711391
18,V496 Aql,0.832958,-0.03252818657747732,-0.03676874952595137,-0.039187582237665525,-0.04013800785127032,-0.038456704090981376,-0.041343901330457844,-0.04032508611078053
19,X Sgr,0.845907,-0.015998462692277022,-0.01808411502225919,-0.019273778786793382,-0.01974123025952793,-0.018914308186288423,-0.020334329471858193,-0.019833241677016288
20,U Aql,0.846591,-0.05702864645861548,-0.06446323137155015,-0.06870394596626944,-0.07037023886502672,-0.0674225652372123,-0.07248441983012745,-0.07069822579095865
21,eta Aql,0.85593,0.10564487501287909,0.11941735327903653,0.12727322556682416,0.1303600129264357,0.12489948332724234,0.13427650748982733,0.13096760472367375
22,W Sgr,0.880522,-0.12648541882541256,-0.14297479118300577,-0.15238038985912544,-0.15607610715688974,-0.14953837995262784,-0.1607652078360996,-0.15680355846902683
23,U Vul,0.902584,-0.2713952306629471,-0.3067758860462627,-0.32695714208299126,-0.33488691025552936,-0.3208591432679278,-0.3449481455524815,-0.3364477764683055
24,S Sge,0.923352,-0.03509407881264021,-0.03966914634581631,-0.042278781703671234,-0.04330417890218877,-0.041490250341153556,-0.044605195812475414,-0.04350601429094442
25,GH Lup,0.967448,-0.07401521317426016,-0.08366426538510516,-0.08916812027612217,-0.09133073558914367,-0.08750506716671054,-0.09407464701854183,-0.09175641678181988
26,S Mus,0.98498,-0.0023385761527553767,-0.0026434464953406164,-0.0028173456607205115,-0.0028856754051291883,-0.002764800026171716,-0.0029723717146962615,-0.002899125179077222
27,S Nor,0.989194,-0.114201483767945,-0.12908945114890086,-0.1375816025329376,-0.14091840137434472,-0.13501560124030457,-0.14515210878564871,-0.1415752045061719
28,beta Dor,0.993131,0.014995913790370905,0.016950868034331136,0.018065981129608014,0.01850413960277938,0.017729036871962738,0.019060072058811554,0.018590385094668666
29,zeta Gem,1.006507,0.011660844561082701,0.013181019848932642,0.014048133427592863,0.01438884609907117,0.013786125078580442,0.014821139992386047,0.014455910720078726
30,Z Lac,1.036854,-0.02690111908070302,-0.030408104893588847,-0.032408502507490305,-0.033194513512070284,-0.031804059342157104,-0.034191798866573433,-0.033349229008567786
31,XX Cen,1.039548,0.1303763067849749,0.14737291785010262,0.15706784735171206,0.1608772506543106,0.15413841280584817,0.1657105953542421,0.16162707949879646
32,V340 Nor,1.052579,0.08242887222538173,0.09317477779902689,0.09930428188476698,0.10171273190017327,0.09745218166941243,0.10476855670850274,0.10218680228563787
33,UU Mus,1.065819,0.15119259688354827,0.1709029401853763,0.18214579254173865,0.18656341712475832,0.17874863528739157,0.19216846880045269,0.18743296599457707
34,U Nor,1.101875,0.15477208025625047,0.1749490657586453,0.18645809254352377,0.1909803043488526,0.1829805076217046,0.19671805557260577,0.19187043978035112
35,SU Cru,1.1088,-0.292049076619658,-0.3301222870797503,-0.3518393864412761,-0.3603726295161107,-0.3452773148867513,-0.37119954961691837,-0.36205228149471974
36,BN Pup,1.135867,-0.09130825326286199,-0.1032117264169569,-0.11000151131060869,-0.11266940373762394,-0.10794989964874377,-0.11605440729272394,-0.11319454180699076
37,TT Aql,1.138459,-0.07198756346125199,-0.08137227950244957,-0.0867253560695032,-0.08882872644988535,-0.08510786236626493,-0.0914974683163824,-0.08924274608933289
38,LS Pup,1.150646,-0.02193839712595272,-0.02479841373891808,-0.026429777740241845,-0.027070785332234906,-0.02593684232884237,-0.027884091354536355,-0.027196958893770447
39,VW Cen,1.177138,0.1312769484357976,0.1483909723670018,0.1581528745995181,0.16198859332217805,0.15520320347209715,0.16685532684602156,0.16274360199653473
40,X Cyg,1.214482,-0.17773735639898833,-0.20090822841517328,-0.2141249790854681,-0.21931820237240962,-0.2101313857343024,-0.22590732834717406,-0.22034041722000922
41,CD Cyg,1.232334,-0.05624236260716408,-0.06357444299961136,-0.06775668863861274,-0.0694000074834613,-0.06649297497755359,-0.07148503912703444,-0.06972347228166688
42,Y Oph,1.233609,0.008242186344197482,0.009316685530999154,0.00992958382146698,0.010170408344377513,0.009744389548017884,0.010475964842064905,0.010217811351985566
43,SZ Aql,1.234029,-0.2589496698658374,-0.2927078498042492,-0.31196363987625314,-0.3195297671268147,-0.3061452812553382,-0.3291296173239757,-0.32101905560662986
44,VY Car,1.276818,-0.04181035736299655,-0.04726099789820387,-0.05037006331865654,-0.05159170026595826,-0.0494306234138566,-0.05314170481928471,-0.05183216276042697
45,RU Sct,1.29448,0.09106565002184842,0.10293749601122094,0.10970924065372044,0.11237004457201742,0.10766308006140142,0.11574605427602645,0.11289378736556681
46,RY Sco,1.307927,0.13488127027757546,0.15246517449614871,0.1624950981738098,0.16643612986219397,0.15946444128158166,0.17143648375234785,0.1672118679508777
47,RZ Vel,1.309564,0.09519563306230129,0.10760588757984237,0.11468474242823283,0.11746621835682015,0.11254578495210199,0.12099533587720797,0.1180137137821731
48,WZ Sgr,1.339443,0.029568682199010963,0.03342342700225076,0.03562218762405307,0.036486140886728795,0.03495780679255572,0.037582318842024794,0.03665619824878281
49,WZ Car,1.361977,0.31620948595893866,0.35743238742378813,0.3809460821257577,0.3901852567106879,0.37384114860876605,0.4019078578543777,0.39200386163453504
50,SW Vel,1.370016,0.08771195550425451,0.09914659443697367,0.10566895456537098,0.10823176847853384,0.10369814837461756,0.11148344913824396,0.10873622328221069
51,T Mon,1.431915,-0.07612128950892576,-0.08604490203840916,-0.09170536714560039,-0.09392951890142075,-0.08999499245665381,-0.09675150734604371,-0.09436731269970271
52,RY Vel,1.449158,0.0980046103610924,0.11078105944124725,0.11806879301580318,0.12093234311616916,0.11586672042818816,0.12456559578100258,0.12149599371767396
53,AQ Pup,1.478624,-0.0811821628317384,-0.09176554014240702,-0.09780233750881903,-0.10017436051537013,-0.09597824969584183,-0.1031839669854997,-0.10064126074325816
54,KN Cen,1.531857,-0.0008086583781275182,-0.0009140797716037642,-0.0009742125224100344,-0.000997840326971755,-0.0009560427195736614,-0.0010278191228304254,-0.001002491136557342
55,l Car,1.550816,0.03724550547556799,0.04210104545904367,0.044870663334727924,0.045958922045719545,0.044033791412913574,0.047339697210516576,0.04617313086188923
56,U Car,1.58897,0.16442675894293582,0.18586238432126306,0.19808934392335567,0.20289365119358546,0.19439482733679278,0.20898932320226155,0.20383931325213797
57,RS Pup,1.61742,-0.12952606103631004,-0.14641182913728068,-0.15604353340421823,-0.15982809378065105,-0.1531332030907857,-0.1646299179467953,-0.16057303263551517
58,SV Vul,1.652569,-0.1378593871160861,-0.15583153590807017,-0.1660829157192046,-0.170110963587136,-0.16298534330709605,-0.17522172300719038,-0.17090382961848805
