,name,logP,r_BBBV_g,r_VBBV_g,r_IBBV_g,r_JBBV_g,r_HBBV_g,r_KBBV_g,r_BBBV_i,r_VBBV_i,r_IBBV_i,r_JBBV_i,r_HBBV_i,r_KBBV_i,r_BVVI_g,r_VVVI_g,r_IVVI_g,r_JVVI_g,r_HVVI_g,r_KVVI_g,r_BVVI_i,r_VVVI_i,r_IVVI_i,r_JVVI_i,r_HVVI_i,r_KVVI_i,r_BVVK_g,r_VVVK_g,r_IVVK_g,r_JVVK_g,r_HVVK_g,r_KVVK_g,r_BVVK_i,r_VVVK_i,r_IVVK_i,r_JVVK_i,r_HVVK_i,r_KVVK_i,r_BJJK_g,r_VJJK_g,r_IJJK_g,r_JJJK_g,r_HJJK_g,r_KJJK_g,r_BJJK_i,r_VJJK_i,r_IJJK_i,r_JJJK_i,r_HJJK_i,r_KJJK_i
0,EVSct,0.490098,0.4723931103796302,0.3606054277707099,0.06263737124897177,-0.06275569551324928,-0.0817954227580111,-0.10715462235486506,0.5324926529984131,0.4064829412201628,0.11223855603597771,-0.00223571615285012,-0.017491360287734403,-0.0418191562683477,0.3009907275042242,0.2995954759383415,0.18215404937051202,0.14852507708919038,0.15640723890686126,0.152840427956416,0.6655169652158901,0.5567914241171985,0.3385291858632563,0.26895411672445313,0.2673840497776132,0.25342325267506205,0.41815566917077296,0.3399285084299118,0.11702106973533058,0.05592663244141349,0.050985935743618704,0.0404514925031601,0.6164663447863197,0.4659462645982299,0.18281684856348868,0.08655402708932897,0.0747659176000609,0.05544760548718913,0.4484916676446728,0.3534989814467058,0.11066508500678277,0.034972885860123676,0.026694716844062327,0.014252648689571323,0.6103923414585072,0.45320986654602774,0.1607963100618764,0.05712399546578273,0.043522087913557606,0.02327998445352064
1,SZTau,0.498166,-1.1489392323832874,-0.8770528491475481,-0.6140942932541318,-0.443045166747893,-0.37361149591687653,-0.3519027331666987,-0.7906876728781428,-0.603578376242857,-0.3805459196582436,-0.22207000548706973,-0.15554314077094272,-0.13609249794922973,-1.2994108755106901,-0.9960670238553891,-0.6056087505040761,-0.3713973841250714,-0.28323375457974215,-0.24403015630800162,-0.7867918991820777,-0.6198061304856883,-0.37684212733529887,-0.20936737917627724,-0.14006130652927062,-0.11674334134523356,-1.2426712032180651,-0.9210217322869096,-0.5315976934614024,-0.25038048013814984,-0.15700086206679287,-0.10960158614214244,-0.7219010558629315,-0.5629714415770521,-0.33312776493227625,-0.15992360878194511,-0.0908949138757017,-0.06699360154767026,-1.1979047557971685,-0.8844153841577803,-0.5071575679853031,-0.2349416973249332,-0.14340690281681134,-0.09574678760844846,-0.7072579030853299,-0.5515989492141706,-0.32587095668366906,-0.15560015537176547,-0.08718414803434593,-0.06341239208643912
2,SSSct,0.564814,-0.3952048662278053,-0.301683103990691,-0.18719866712320085,-0.05185345495412344,-0.011497900240355435,0.018562749969381356,-0.5183393286879961,-0.3956788768610656,-0.24870684046571367,-0.085582409427639,-0.03653629744879627,-0.0031603330648415917,-0.42505061057539645,-0.3394576062753549,-0.20639022461541606,-0.06228247824348232,-0.019273476284441607,0.013903026976621533,-0.521365579359898,-0.4231242135378576,-0.25725952183101763,-0.0862076602458377,-0.03470293486148496,0.0025875724344008866,-0.39337770876563083,-0.33544428728429704,-0.23709779122621238,-0.10789944351088053,-0.06977487527026506,-0.03991787018683069,-0.512830743607372,-0.4337885601640066,-0.29797967971095085,-0.13464355739828204,-0.08712556555028012,-0.05162083865951661,-0.3895220374535502,-0.3346122407463026,-0.23972657184136187,-0.11305879353139227,-0.0755242632745279,-0.04607533024053266,-0.5054959178409979,-0.4298108207038268,-0.29841937386635997,-0.13840152277351525,-0.09163366897774028,-0.05640336030838461
3,QZNor,0.578244,-1.1606993797380931,-0.8860300608687733,-0.5751438949558589,-0.4113149095843008,-0.3164817514769918,-0.3019559475134749,-0.46737411459041506,-0.35677413327512597,-0.14844937482408743,-0.04057133126123056,0.038269169476277926,0.0450023410152292,-1.279709459710473,-1.011944995270398,-0.6152625571244019,-0.40992533259166153,-0.30265998220376156,-0.2750919095592863,-0.5398500567093849,-0.4494548242301959,-0.2732685331319593,-0.18583492538494237,-0.11320704152253053,-0.11025859479906994,-1.2441132334233411,-0.9417338717959151,-0.5248501014967318,-0.26489530277424217,-0.14959688278974403,-0.11206633074371414,-0.5217872852500557,-0.4197626565022628,-0.2255635930864873,-0.13005844151235885,-0.054486894140488476,-0.049951756123770924,-1.201842586526889,-0.9086620382369175,-0.5048191707114427,-0.25449357007102347,-0.14121460383415202,-0.10371484533716302,-0.5278786316889998,-0.4254410494891382,-0.230828740226052,-0.13512269910418376,-0.05954064632590174,-0.055067127374650734
4,ADGem,0.578408,-0.8357544439562474,-0.6379804915696546,-0.3085425934103898,-0.019788997063972052,0.07176479602338712,0.11745245035872531,-1.3471728797205502,-1.0283762440614888,-0.6213856088316083,-0.28898536404279623,-0.18485599755843507,-0.13316311952181695,-0.71149656918745,-0.5542463961008881,-0.3369818088293395,-0.10425301332553494,-0.029256163874514296,0.0016207737566889535,-1.353006096272754,-1.0393604557808374,-0.6319311571147489,-0.29986349801301415,-0.19582777515268804,-0.14383060985107174,-0.7651274458607524,-0.6096313111778334,-0.37737352129709,-0.172183899503893,-0.09891703161530879,-0.0725461260301627,-1.3357365546918152,-1.0215394659957764,-0.6133921933772798,-0.278541258893935,-0.17399236803988966,-0.12156319645349851,-0.8001454773625538,-0.6341774589574974,-0.3881516757705606,-0.1728284200720978,-0.09735887805049426,-0.07043349996088827,-1.325819748178769,-1.0110230091497514,-0.6018051166718645,-0.265912980103936,-0.1610531855702401,-0.1083686460012616
5,YAur,0.586529,-0.12514764894744448,-0.09553255644843113,0.031634999953156676,0.01868568566362966,0.03596345120914063,0.03688711581840026,-0.5233322832883857,-0.39949029258655405,-0.21024155586626425,-0.18708354231647417,-0.15931796916737392,-0.15348873433289517,-0.011042440746827559,-0.03811529269723249,-0.023174097959916873,-0.09274664242891206,-0.09213225221964405,-0.10529606083658216,-0.5607346720663762,-0.4530803375598254,-0.2754728452363741,-0.26071985147449855,-0.23549625028550628,-0.2306250487894951,-0.09643488558128992,-0.06283509676522417,0.03318691762399448,-0.011288613156713728,-0.00036625671867368537,-0.0074773765150612514,-0.4506332534123857,-0.32452143534470235,-0.11900072471821599,-0.07952680275683252,-0.04777765759475189,-0.03861805080601982,-0.11345521087698851,-0.07391625312171476,0.02968071532123774,-0.009227015923483045,0.0029237287036855686,-0.0037603249825141905,-0.43833130508242646,-0.31303473617868743,-0.1083229183434235,-0.06923454684980215,-0.03750178490022854,-0.028215448887419475
6,STTau,0.605768,-0.4867591616749217,-0.3715718791411618,-0.25814680006588675,-0.21388252325656165,-0.1857409596601364,-0.17512241733971748,-0.6106380599557278,-0.46613592363032674,-0.3385954706623197,-0.289596716551472,-0.26032318338128924,-0.2488819403785011,-0.48401751995747516,-0.33045422830996796,-0.20091617081246083,-0.14745103486365566,-0.11673235100360353,-0.10545882733201477,-0.5486440892787005,-0.3796064612744974,-0.23080072845489474,-0.16701582440260887,-0.13326437543534816,-0.11983869310331777,-0.5059005656380253,-0.3245095457916717,-0.16312453249223113,-0.08988812571355229,-0.054000507634712,-0.03861663594920772,-0.501227126626389,-0.3246853126587977,-0.16455302668211153,-0.09032934265579509,-0.05386443248963342,-0.038637552206396336,-0.5030876660595539,-0.32146528198118623,-0.16007108039258264,-0.08683748456899482,-0.05092755067804841,-0.03538924884832222,-0.49653524269976024,-0.32052838140047785,-0.16101165737403778,-0.08717600406362327,-0.05077511266841234,-0.03552720713551742
7,BFOph,0.609329,-0.7887023882634034,-0.6020628918041249,-0.32362779636775996,-0.12809063381612795,-0.053023331791905465,-0.035076183740308534,-0.4128563432731604,-0.3151575139489777,-0.10234960127401663,0.05031914783412217,0.11260596365228459,0.12497162811361368,-0.7732137920969617,-0.6292243399440042,-0.3825683986859544,-0.20400746225102512,-0.13382116900435576,-0.11866014229783693,-0.49936385007601014,-0.4096091956008694,-0.24904239092532854,-0.12679983749828078,-0.073792929550415,-0.0687384293603861,-0.787722715637158,-0.6253030881041313,-0.3575501468521116,-0.16590238131879076,-0.09229313234725131,-0.0744110674843908,-0.5358060955124255,-0.4278633652970131,-0.23858835837679992,-0.11318382573536256,-0.057045584894375556,-0.050915740470345305,-0.7871049768202357,-0.621496020793658,-0.3504779105337771,-0.15645700569879223,-0.08225980031950074,-0.06376158793889078,-0.5450219897126076,-0.43257022848989857,-0.2373460521605245,-0.10745922453373119,-0.05030342592281378,-0.04379331410792475
8,SYCas,0.609712,-0.24861965922806142,-0.1897859994107341,-0.0699021044761279,-0.05697198452644738,-0.028189983131609524,-0.008874039720682049,-0.12620347392115497,-0.09633852971080523,0.0037741226741289102,0.004746903348120862,0.030023691770464947,0.047738758835172215,-0.222931652392004,-0.20608527743624924,-0.12529984868123917,-0.13288442728172084,-0.11004357950115681,-0.09462973190758223,-0.1910239089219559,-0.17684701667465,-0.10752298613818728,-0.12572253786144827,-0.10627681853363588,-0.09235827191110244,-0.2498544464288106,-0.20220139361893488,-0.08532625626508016,-0.07231221071648328,-0.043817943149274695,-0.024061965840652743,-0.16647112733951513,-0.13830018316011294,-0.047324137073581615,-0.05539888109682875,-0.032346826246174534,-0.01645772179605455,-0.246708773220185,-0.20255793036297357,-0.08958281224693353,-0.0794164267384232,-0.051595889727317525,-0.03236491363654774,-0.17578148620054265,-0.14758024201692327,-0.05679616531668939,-0.0652102370250866,-0.04229707923018072,-0.0265754048150188
9,XSct,0.62305,0.9065133647093817,0.6919949348926576,0.4668718962100402,0.14244416882176034,0.09404091102965662,0.08826419822032108,-0.03627722043445536,-0.02769253468279015,-0.09305865827949683,-0.3160355544978466,-0.33437395079996646,-0.32680818584958504,1.0048256195504905,0.7774768086329563,0.4727058996488379,0.10906294254852061,0.04900091255142608,0.03198683211260539,0.02782068467693355,0.020675002244077922,0.012570401364398909,-0.17981064777495026,-0.18878088792950443,-0.17206370462372922,0.93313924320698,0.7493976348293139,0.5060888477534311,0.15555491827445073,0.10263829609235686,0.08917831854468908,0.2094555589851731,0.19654001114211883,0.1779172564685514,0.009407807827234715,0.00331533441081433,0.023388261325911652,0.9207520919080698,0.7275852686880108,0.47549584046436155,0.11861630738240836,0.06403972929751933,0.04834020746063977,0.21844174842600006,0.1949832174158861,0.16213509993002073,-0.017356647350380894,-0.02602632179682529,-0.0070734282010116445
