,BVVI,VVVI,RVVI,IVVI,JVVI,HVVI,KVVI
m_h,0.7170516854641414,0.8105306994964109,0.8638514731171193,0.8848026652938186,0.847739987599788,0.9113853937740067,0.8889266204050442
c_h,-4.3061027776387684e-16,-2.4426966504435127e-16,-1.119499486369381e-15,-2.275788895717972e-16,-1.305604189912816e-16,2.418159875685372e-16,-7.928440494693892e-16
me_h,0.1490654883013268,0.10018961273332926,0.08098237795092764,0.060915284541864095,0.047559819947217516,0.05176390581419541,0.05815147002692119
ce_h,0.02461558428843214,0.01654457973583607,0.01337283748938006,0.010059104479388317,0.007853680754641641,0.00854791274082217,0.009602708368353917
