,name,logP,EBV,p_BBVI_g,p_VVVI_g,p_IIVI_g,p_JJVI_g,p_HHVI_g,p_KKVI_g,p_BBVI_i,p_VVVI_i,p_IIVI_i,p_JJVI_i,p_HHVI_i,p_KKVI_i
0,EVSct,0.490098,0.490098,-0.5393317264800148,-0.4885007997618234,-0.5270648880814428,-0.4456634727765294,-0.3795801059873209,-0.3574202365071148,-0.7809866230086834,-0.7034553331670046,-0.7150701914293766,-0.6038776300541281,-0.5326412935334021,-0.5073890453400344
1,SZTau,0.498166,0.498166,-0.4461611295584549,-0.4715422166274676,-0.5087675306849204,-0.5657411075688854,-0.5641681167029344,-0.5812305841399154,-0.40499738235317573,-0.41571592435097326,-0.42257987336250313,-0.4481111258974659,-0.4413320401548292,-0.4539293364590932
2,SSSct,0.564814,0.564814,-0.08187116914809929,-0.09695495593396118,-0.10460894439311022,-0.06353378037913819,-0.052814275251463746,-0.03914603399654922,-0.42391459252694735,-0.4420779638101314,-0.44937718047461483,-0.4090520269018779,-0.39775081716981414,-0.3839005311916185
3,QZNor,0.578244,0.578244,-0.3395270788646785,-0.3929810134897698,-0.42400441103495723,-0.5173584218948684,-0.5031061300199016,-0.5338367845715186,0.20551192852450426,0.16413616204993411,0.16684623924752687,0.11083963898324986,0.13037265531169148,0.10404255022176125
4,ADGem,0.578408,0.578408,0.37621594439744227,0.39387876639764813,0.4249730359300362,0.4652394690260031,0.45907916311539204,0.4511335304875399,-0.06308765409546042,-0.06319396425957338,-0.06423736943870109,-0.06040174963481703,-0.07116724490172718,-0.0834486902315888
5,YAur,0.586529,0.586529,0.3536371643061742,0.34927565649349845,0.37684878896631246,0.28368829628242065,0.2617583071220661,0.24109282062415632,-0.004254041380261469,-0.02786455650277385,-0.028324632443723175,-0.15663227261258367,-0.181769186652495,-0.20523039366894194
6,STTau,0.605768,0.605768,-0.0071358635575325905,0.042048533049521795,0.04536800221522724,-0.004884466157679364,-0.013152300342776603,-0.0233079767550451,-0.0838910813685126,-0.02781818156515245,-0.028277491802436747,-0.08442338332798835,-0.09284221417693932,-0.10308631511862205
7,BFOph,0.609329,0.609329,0.06329876816733708,0.030418246330091894,0.03281957696982303,0.01288965414674365,0.011681876256302374,-0.012486879314044639,0.5333918227876723,0.49854172028476457,0.5067732186414821,0.4956239911559483,0.49454171541625586,0.4705631220383099
8,SYCas,0.609712,0.609712,0.09244616158258964,0.06478753713312775,0.0699021087064606,-0.0024684057885246365,-0.006280787667271609,-0.005139080863681258,0.22410906989694335,0.19005643245772372,0.1931944831921059,0.1175378002184834,0.11374347848501382,0.11507996162126516
9,XSct,0.62305,0.62305,0.28982612821076803,0.32573191634454474,0.35144641752152156,0.2239256609996191,0.23215421839572153,0.2579925398588145,-0.8070853415649104,-0.7905222842310554,-0.8035747181976205,-0.9835505261120944,-0.9778555015400026,-0.9549420063993189
