,name,logP,p_BBVI_h,p_VVVI_h,p_RRVI_h,p_IIVI_h,p_JJVI_h,p_HHVI_h,p_KKVI_h
0,RT Aur,0.571489,0.13492447886954773,0.1085628741520384,0.09091876502530358,0.11851089719533364,-0.001216499268873425,0.011532803221505846,-0.006869512403829146
1,QZ Nor,0.578244,0.22284007545829326,0.17931772569814072,0.18542317681550152,0.19574928097198216,0.1929363846927595,0.21207528917983273,0.20512715655879335
2,SU Cyg,0.584952,-0.05740559453212828,-0.027459479455422393,0.00018676118695211546,-0.029975694473799202,-0.08352173280722643,-0.06421226371075647,-0.07549599151743762
3,Y Lac,0.635863,-0.18273407326335794,-0.15353950584671777,-0.14377882274996676,-0.16760890622092123,-0.18376859402751772,-0.20060695729576364,-0.207854273615558
4,T Vul,0.646934,0.08890589953113043,0.05952355709063076,0.06747634639646012,0.06497792371625213,0.045388225114229803,0.04407094759200924,0.03185577273673124
5,FF Aql,0.650397,0.05827513717405691,0.06032148276647419,0.09138929282278524,0.06584896631233385,0.07109136968798152,0.11423880250101326,0.11581486375589595
6,T Vel,0.666501,-4.54111471861283e-05,-0.007573118644815658,0.003778135576749401,-0.008267071889667297,0.02172029751995613,0.012476417603654718,0.006946864119930442
7,VZ Cyg,0.687034,-0.06184536152650911,-0.06897807695789142,-0.07641221418008289,-0.07529879667371518,-0.08774968850962515,-0.07516181121280323,-0.09126930238065323
8,V350 Sgr,0.712165,-0.18042005209491416,-0.1495540172610908,-0.14651556972974109,-0.16325821237890986,-0.16984993083201763,-0.17781110396273414,-0.161513979499693
9,BG Lac,0.726883,-0.010973618442192107,-0.03161263897656635,-0.031219326553424992,-0.03450942356756588,0.014055775841554076,0.0019787334308103127,0.0026376156158967237
10,delta Cep,0.729678,-0.13547896180534633,-0.12300793135872512,-0.13967217995390094,-0.13427960913275877,-0.12235381631560217,-0.13989403323028748,-0.14890165077877185
11,CV Mon,0.730685,-0.058187035881369586,0.02158169296303685,-0.018344598104749473,0.02355930437565426,0.0005193523032142756,0.011740409486570395,0.010466324078530662
12,V Cen,0.739882,0.23769024425827026,0.24161987604141671,0.25759764787319817,0.26376041085456037,0.2754700237258933,0.2657287017993917,0.263710895454554
13,Y Sgr,0.761428,-0.007085644300094739,-0.004684140715918462,0.008023387359540703,-0.005113366085493038,0.01987942940317234,-0.0016662299314011341,0.01314839248747632
14,CS Vel,0.771201,0.1570125224040829,0.1776038477667585,0.14555614325413777,0.1938783539822743,0.18033722303882238,0.19418506911570677,0.18897259040827255
15,BB Sgr,0.821971,-0.038072338893461816,-0.05424135003225957,-0.05619987687871681,-0.05921168822784444,-0.0347034292074541,-0.03906390921071884,-0.03178432387879935
16,V Car,0.82586,0.16976554121285678,0.1277244446088198,0.13799823833437602,0.13942831416906284,0.18275228983975594,0.17562871586136325,0.17293970812564766
17,U Sgr,0.828997,0.04283932341200621,0.038448001607719134,0.03800516399979061,0.04197113609498957,0.0740016935148679,0.08085518101449293,0.09949031790599663
18,V496 Aql,0.832958,0.0020103454685501876,-0.03676874952595137,-0.05267026446599483,-0.04013800785127029,0.008484852668878646,0.022944537989158867,0.055175356126087656
19,X Sgr,0.845907,-0.0866683824072834,-0.01808411502225919,0.005392189355752462,-0.019741230259527898,-0.0262081436796799,-0.007044495893528522,-1.6643588735276303e-05
20,U Aql,0.846591,-0.05068716030387615,-0.06446323137155015,-0.06967678767849532,-0.07037023886502668,-0.08784826412598419,-0.06408207145009284,-0.0634641569047171
21,eta Aql,0.85593,0.12060904100050931,0.11941735327903653,0.16113368974872383,0.13036001292643568,0.1642330592387136,0.1651554261195854,0.17037493025820866
22,W Sgr,0.880522,-0.16674582675843996,-0.14297479118300577,-0.15007519853184167,-0.1560761071568897,-0.18903046731759635,-0.21583207384566794,-0.19947578008344277
23,U Vul,0.902584,-0.3666919895639798,-0.3067758860462627,-0.34076859832710005,-0.3348869102555293,-0.23332447637538162,-0.18271440724223487,-0.1356823196778276
24,S Sge,0.923352,-0.023345019801335118,-0.03966914634581631,-0.02808535008679619,-0.043304178902189516,-0.03470780932747272,-0.03306083841288877,-0.030919221451951296
25,GH Lup,0.967448,-0.015884370704563708,-0.08366426538510516,-0.09805976948900041,-0.09133073558914363,-0.05669299050053141,-0.06330123903681573,-0.06949961644199924
26,S Mus,0.98498,-0.02475897284787283,-0.0026434464953406164,0.0332607334860283,-0.0028856754051291606,0.004476286013634314,-0.0015692559414135462,-0.025073747333313707
27,S Nor,0.989194,-0.11457239798613829,-0.12908945114890086,-0.11606693730805369,-0.14091840137434467,-0.1455749051288007,-0.16170200653831412,-0.1704074639978149
28,beta Dor,0.993131,0.044354204037501864,0.016950868034331136,0.046757516850598535,0.018504139602779402,0.06960708813464951,0.04796351382091755,0.04721381717405006
29,zeta Gem,1.006507,0.06827248504058227,0.013181019848932642,0.0011290093525662672,0.014388846099070407,-0.03427401742670146,-0.022147481873967895,-0.030604301719151152
30,Z Lac,1.036854,-0.029135930256858254,-0.030408104893588847,-0.0392321352794238,-0.03319451351207025,-0.02573550777257908,-0.0368807244831643,-0.03903351918757558
