,name,logP,p_BBVI_h,p_VVVI_h,p_RRVI_h,p_IIVI_h,p_JJVI_h,p_HHVI_h,p_KKVI_h
31,XX Cen,1.039548,0.14332814092191976,0.14737291785010262,0.1653343998916324,0.1608772506543106,0.19267701978465346,0.19382264451867806,0.19478452467522445
32,V340 Nor,1.052579,0.16899522985537518,0.09317477779902689,0.08336270991872999,0.10171273190017327,0.05441879617286663,0.026911579277223298,0.01217615268789211
33,UU Mus,1.065819,0.17244215289272571,0.1709029401853763,0.17104519640893084,0.1865634171247583,0.1643707250961873,0.1676476195788778,0.15474542097504618
34,U Nor,1.101875,0.17223311404335997,0.1749490657586453,0.14473350369300092,0.19098030434885258,0.17736721134456263,0.1920535765363484,0.1988126993392012
35,SU Cru,1.1088,-0.3954484272628148,-0.3301222870797503,-0.37760932162745636,-0.36037262951611065,-0.46150623884118863,-0.6470217022321519,-0.6593627201148875
36,BN Pup,1.135867,-0.11724705517732123,-0.1032117264169569,-0.0950611872352426,-0.11266940373762388,-0.09735147568329595,-0.09813945383689271,-0.10219232738924933
37,TT Aql,1.138459,-0.04361793012450581,-0.08137227950244957,-0.08442930973875394,-0.08882872644988529,-0.050577433159085694,-0.049428225829186545,-0.03688578670904065
38,LS Pup,1.150646,-0.037055153789462524,-0.02479841373891808,-0.018022423448028572,-0.02707078533223487,-0.013385169830252806,-0.024903009756250514,-0.019823487910203556
39,VW Cen,1.177138,0.17385541323920395,0.1483909723670018,0.13696807500569072,0.16198859332217805,0.1596968718350064,0.12757549860706738,0.1104478522110548
40,X Cyg,1.214482,-0.16873363627852436,-0.20090822841517328,-0.20200631239055364,-0.21931820237241031,-0.21655608885558764,-0.21809345421041368,-0.22472525697891468
41,CD Cyg,1.232334,-0.06784034472736589,-0.06357444299961136,-0.07814072018846513,-0.06940000748346126,-0.11321638896464513,-0.10712308896163064,-0.10053962705230227
42,Y Oph,1.233609,-0.052537104709875784,0.009316685530999154,-0.0321716651797748,0.010170408344377537,0.06001840438829009,0.13291510022635472,0.17050987196582426
43,SZ Aql,1.234029,-0.2917543042986817,-0.2927078498042492,-0.3116628461976224,-0.3195297671268138,-0.3193308774347526,-0.30608432361743987,-0.3011634713938708
44,VY Car,1.276818,-0.01547623641154996,-0.04726099789820387,-0.04096693794214426,-0.051591700265959,-0.024656328894496253,-0.03225641000958156,-0.03209066224524111
45,RU Sct,1.29448,0.05041592864036362,0.10293749601122094,0.04518690289743571,0.11237004457201663,0.12793751034399814,0.16853386537472864,0.1980373102962575
46,RY Sco,1.307927,0.0861707551233937,0.15246517449614871,0.123998512992001,0.16643612986219475,0.1647742207399112,0.209131135478521,0.21134612328773958
47,RZ Vel,1.309564,0.10229516409895927,0.10760588757984237,0.13440461371854084,0.11746621835682015,0.11781715600663328,0.11897078190419347,0.11327425420822597
48,WZ Sgr,1.339443,0.07200505747944103,0.03342342700225076,0.028192361848546964,0.0364861408867296,-0.01750644390541922,-0.04711565721179994,-0.059324830698865016
49,WZ Car,1.361977,0.34011781164303756,0.35743238742378813,0.3808070823708841,0.3901852567106878,0.3579908701476996,0.3560965858672485,0.34868012438371215
50,SW Vel,1.370016,0.06830428049683528,0.09914659443697367,0.12165114216050868,0.10823176847853463,0.11524243962418332,0.11908340849478337,0.113040092315831
51,T Mon,1.431915,-0.022644120209405552,-0.08604490203840916,-0.05849236218334748,-0.09392951890142069,-0.11574309910078587,-0.1436130668317347,-0.15407573537715655
52,RY Vel,1.449158,0.07945898312524964,0.11078105944124725,0.12225840267671177,0.12093234311616916,0.10703720726288063,0.15289310561996422,0.14685251549695416
53,AQ Pup,1.478624,-0.1596291923398028,-0.09176554014240702,-0.09226213017655874,-0.10017436051536929,-0.04421904833745947,-0.03606612406172498,-0.028890973248987536
54,KN Cen,1.531857,-0.06088847685797174,-0.0009140797716037642,-0.021262610506041044,-0.0009978403269709421,-0.1206434113409051,-0.15354408466844535,-0.1853019554739408
55,l Car,1.550816,0.14863312885793342,0.04210104545904367,0.047521383846833076,0.045958922045719566,0.0635073675705395,0.03597826141301477,0.03962793790956341
56,U Car,1.58897,0.2014356339592953,0.18586238432126306,0.2204046228804079,0.20289365119358624,0.20196930758285123,0.2179355448516937,0.20838327646277158
57,RS Pup,1.61742,-0.15349346654918394,-0.14641182913728068,-0.13205227360106334,-0.159828093780651,-0.13586995646258967,-0.12271286484733862,-0.1262353570259214
58,SV Vul,1.652569,-0.1300865009911257,-0.15583153590807017,-0.14897737801603536,-0.17011096358713437,-0.142656225204837,-0.10727088713754185,-0.08611476494155554
