,BBBV,VVBV,IIBV,JJBV,HHBV,KKBV,BBVI,VVVI,IIVI,JJVI,HHVI,KKVI,BBVK,VVVK,IIVK,JJVK,HHVK,KKVK,BBJK,VVJK,IIJK,JJJK,HHJK,KKJK
m_g,-0.04977846602616337,0.19864239234644016,0.40953329964684226,0.6688606199991836,0.7731790012428307,0.8663383217294776,-0.3731717863365701,0.00828784391579184,0.3970390091008008,0.6954470740943288,0.796842521633731,0.883899717882229,-0.24898283370093469,0.1332317215282657,0.47450240125440196,0.7335267719793277,0.818548335914797,0.8968545748618634,0.618352962175986,0.6259300862160436,0.660294157519003,0.8019732457760852,0.856513140172421,0.9192973159155958
c_g,1.6758286105695736e-16,-5.655644888511782e-17,-6.839229261233573e-16,3.8014046666095326e-16,1.2423359223000463e-16,1.2123502160517628e-15,-2.552924828418184e-16,1.4741836168494971e-16,-4.791520335615323e-16,8.871583621944217e-16,-5.163836950702174e-16,-1.3278086336343652e-15,1.4432788539594303e-17,1.0225452841818652e-16,-6.930884557986205e-16,4.2838957944821085e-16,4.1415650805017255e-16,-5.049414236068525e-16,-5.213965010792938e-16,-2.3079040997869856e-16,-7.274538840366408e-16,3.4180751375393344e-16,-6.820828796468727e-16,-7.774631367228667e-16
me_g,0.28665516533685925,0.21882073689836593,0.15375764112496818,0.08688727632857884,0.057448868307043884,0.03953130130464654,0.37344100739540154,0.2924598167413379,0.17781556857873348,0.09377159430638665,0.060659686175242825,0.040904471249397535,0.4577693946693603,0.34152973991292995,0.1977688027327202,0.09587495189069715,0.06097947597199167,0.04064203904963867,0.43259272034719304,0.34760845506039023,0.20873862246588792,0.0984908821493618,0.061304003904597816,0.0401384074512811
ce_g,0.10443614225548448,0.07972224599655305,0.04816967932498623,0.023158066505739885,0.014284347980684505,0.00957642383265422,0.10389678212551733,0.08007433168450113,0.0486851936641767,0.02348873149806374,0.01451303118134293,0.009689779897657999,0.10428733580517499,0.08000924274375128,0.048494819039159504,0.02321330819376117,0.014309077589271878,0.009521099886506406,0.10332421878825153,0.0787142525103534,0.04748392170149121,0.02264038637802928,0.013931259136357938,0.00922673280474483
m_i,0.3660737757622442,0.5160868517269047,0.7103566500298821,0.8781848835724967,0.9263415342877147,0.9594994658222123,0.38910832233747156,0.5352000848480819,0.7174016515876336,0.8741668383852809,0.9215935445739947,0.9547498874904724,0.5387371928686407,0.6358464911717323,0.7653954612815437,0.8857753384691527,0.9262799748257932,0.9566657324494369,0.7782273397393553,0.7948058464833334,0.8365301209626116,0.9111364893680132,0.9392336385741449,0.9637850761465537
c_i,-5.60541517927688e-16,-5.509305948458102e-16,8.155640098259679e-16,1.0540985186848731e-16,7.815518206997472e-17,-1.272282504278091e-15,2.722756858233871e-16,8.1758794649169605e-16,-5.141640588816909e-17,6.839131546885146e-16,-2.242400606087086e-15,-1.4922401474640413e-15,-6.156780617649491e-18,2.0238523077671606e-16,-3.9572534541777124e-16,1.0196917288520393e-15,-3.6354208814861604e-16,1.6068161496603716e-16,-4.807710268251387e-16,7.210579255420812e-16,-3.75587843791485e-16,-6.46770300874714e-16,-8.889564139918886e-16,-8.967194452187444e-16
me_i,0.23961809534703088,0.18291457660078697,0.11771799561219018,0.058587740974176274,0.03671902819348392,0.024358249341301482,0.2433422946967198,0.19327754966857097,0.11751275019849114,0.05776058250821799,0.03619370553083552,0.024014004183423764,0.24987891281231367,0.19694212318135987,0.1188084888178551,0.05675658803910435,0.035404944441205816,0.023436112658581615,0.23739264294614038,0.1917034174288778,0.11737530551311433,0.055596280774670395,0.034417416998866406,0.022657388397896352
ce_i,0.10773258931869228,0.08223861780052846,0.050239037429916325,0.024341578374509495,0.01511167455351836,0.010000419378950897,0.10760688278580396,0.08235816224480519,0.05007376264484155,0.024175841136023727,0.01498978443104224,0.009913283841639526,0.10644827166810146,0.08125340688840978,0.0492794891389909,0.02364869451391318,0.01463745646749753,0.009669155419720674,0.10327225325496221,0.07871941322925628,0.04766085935258774,0.022815957837909382,0.01410132827578712,0.00929828418736712
