,name,logP,d_BBBV_c,d_VVBV_c,d_IIBV_c,d_JJBV_c,d_HHBV_c,d_KKBV_c,d_BBBI_c,d_VVBI_c,d_IIBI_c,d_JJBI_c,d_HHBI_c,d_KKBI_c,d_BBBJ_c,d_VVBJ_c,d_IIBJ_c,d_JJBJ_c,d_HHBJ_c,d_KKBJ_c,d_BBBH_c,d_VVBH_c,d_IIBH_c,d_JJBH_c,d_HHBH_c,d_KKBH_c,d_BBBK_c,d_VVBK_c,d_IIBK_c,d_JJBK_c,d_HHBK_c,d_KKBK_c,d_BBVI_c,d_VVVI_c,d_IIVI_c,d_JJVI_c,d_HHVI_c,d_KKVI_c,d_BBVJ_c,d_VVVJ_c,d_IIVJ_c,d_JJVJ_c,d_HHVJ_c,d_KKVJ_c,d_BBVH_c,d_VVVH_c,d_IIVH_c,d_JJVH_c,d_HHVH_c,d_KKVH_c,d_BBVK_c,d_VVVK_c,d_IIVK_c,d_JJVK_c,d_HHVK_c,d_KKVK_c,d_BBIJ_c,d_VVIJ_c,d_IIIJ_c,d_JJIJ_c,d_HHIJ_c,d_KKIJ_c,d_BBIH_c,d_VVIH_c,d_IIIH_c,d_JJIH_c,d_HHIH_c,d_KKIH_c,d_BBIK_c,d_VVIK_c,d_IIIK_c,d_JJIK_c,d_HHIK_c,d_KKIK_c,d_BBJH_c,d_VVJH_c,d_IIJH_c,d_JJJH_c,d_HHJH_c,d_KKJH_c,d_BBJK_c,d_VVJK_c,d_IIJK_c,d_JJJK_c,d_HHJK_c,d_KKJK_c,d_BBHK_c,d_VVHK_c,d_IIHK_c,d_JJHK_c,d_HHHK_c,d_KKHK_c
0,CFCas,0.687994,0.27091511872842455,0.20680543414383593,0.12670485141675636,0.061079585803819364,0.03744660180577675,0.024460991705931162,0.19389568550273828,0.14781933460586288,0.08999127998905634,0.04374553024294503,0.02689860329265978,0.017644247979688887,0.12470409727711837,0.0966977622260281,0.0581181026867201,0.02779663847703745,0.01719175339036008,0.011309730713542299,0.14487545949879474,0.1129287788608892,0.06794342053507482,0.03214937837036955,0.02001714364067292,0.013183352046182623,0.14773510785769361,0.11459895848273643,0.06890945754935499,0.032716906991567735,0.02035123079367665,0.01342021208783678,0.14167827811088313,0.10513571408029079,0.06392251416081651,0.03127369611841804,0.019036856362347865,0.01246636043149757,0.06117848413093957,0.046883212346482406,0.02854469058534531,0.013689898005173534,0.008500440792981956,0.005634171721790898,0.09513942880769682,0.07475261161309507,0.04563093951566741,0.021482758294224163,0.01353022270196963,0.008968167194218446,0.10432450292709691,0.08065296086045087,0.04880017625471522,0.023077450942994848,0.014467010065509628,0.009597702342393516,-0.03647400180047894,-0.027571045123704452,-0.01772003644529177,-0.008510280661225306,-0.004743969924619201,-0.0029118518954782124,0.05791504510630108,0.04844625385125745,0.028535068988274348,0.012530574693888602,0.008494814945522344,0.005769354466213322,0.08590921158086301,0.0656889595370927,0.03756869886115341,0.016828208303183267,0.010923424099705176,0.0073530841521013135,0.41171424411401447,0.3146717420144766,0.18008529071846296,0.07746663538933818,0.048018702073527514,0.031253758806630505,0.3158942819125193,0.24089806923773457,0.1422876892736725,0.0645377769353089,0.040034483481270755,0.026301354298978397,0.22502851021446854,0.16344944659127358,0.09671639972348876,0.04689175625587336,0.02789506832846192,0.018339851552966746
1,CSVel,0.771201,-0.07837822288626459,-0.05983070449333197,-0.043700557779536936,-0.024070777483697486,-0.015208928555184645,-0.010267431927253101,-0.06805451002826274,-0.04977307062398939,-0.031585604654338295,-0.016413580463394833,-0.010205549203061534,-0.006885491756105019,-0.011327369110771174,-0.007530605859637163,-0.0051496243664325425,-0.002524879221637674,-0.0016010006259771503,-0.0010394777726805138,-0.021967686334549444,-0.016183510380631955,-0.01059539939032289,-0.004807790468221676,-0.0030352299439340147,-0.001905161169827252,0.000883949199049619,0.000968071343689425,-0.00022651025367403932,8.158547518916093e-05,3.1946108761116143e-07,8.029767533332399e-05,-0.03871996527314048,-0.028656950862402858,-0.01742342612434092,-0.009574726337992182,-0.005929462173197689,-0.004103487509341974,0.034992257005816214,0.02595743183565162,0.015418532480376404,0.007579570096009819,0.0046277789676307385,0.003097728679552228,0.015876015900950877,0.010132175627765583,0.005384793164890572,0.003138173904732089,0.0018339237886247917,0.0013562193790285365,0.0443911112376224,0.0320590829476466,0.0184780326648937,0.009221946339455514,0.005608792924886835,0.0038150308707700087,0.15420061903398036,0.11245714144482397,0.06366353921460075,0.030575252385958887,0.018419100899858307,0.012318516983667482,0.09081412469622181,0.06101228843530875,0.03179083527532067,0.016073101720898167,0.009464048001370448,0.006578652621193018,0.13224441567353096,0.0952509156061208,0.05304643105529827,0.02561618196469302,0.015392273868695808,0.010382442920361959,-0.09670928914738927,-0.08863303726123792,-0.06198554694260436,-0.026555173323389775,-0.016460569765526595,-0.009971300560439475,0.09115480332838566,0.0677509708706173,0.036098945366980426,0.01698696790570868,0.010077410781418827,0.006922771167052366,0.2679225689360647,0.24263958294794297,0.17191827351738095,0.08607583170212799,0.054433653303508404,0.0357878715089363
2,CVMon,0.730685,-0.11067365251790517,-0.08448370421214152,-0.07040612623924769,-0.03832484848423942,-0.02441672264911024,-0.01642223463410436,0.04865777189082157,0.04263696163331854,0.022583149091312094,0.009941539727819915,0.006043850052226074,0.003802103888625785,0.0758031580108614,0.05961834823863066,0.03534918994592284,0.016896581785626835,0.01043265379693839,0.006873016860140996,0.07578182872857664,0.05778828451866652,0.03501399538188446,0.01690156411246574,0.010470619083872645,0.006973337313941466,0.09764215785170954,0.07444575025203137,0.04484287350538696,0.02157565335349984,0.013363107996739954,0.008869783804849207,0.20958397364481798,0.16740123333917556,0.10177994987021953,0.048999337186126174,0.03044104244423955,0.019886647394514567,0.1917650014024454,0.14478972899039816,0.08799648465385923,0.0422786008651959,0.026140088677679807,0.01723792618991167,0.18179939020900512,0.13347705997189277,0.08145542758846346,0.03909935925187702,0.024159347854912777,0.01601269753587195,0.20284572781997018,0.15073051350537495,0.09147572585179471,0.04384909649273308,0.02710378755742099,0.017936931107138718,0.16770050355128568,0.11850228777342633,0.07080035507941063,0.03400280211050563,0.02084025488956498,0.013964725322362107,0.15131287834445456,0.10096104681237911,0.06153454671021638,0.029785047374680906,0.01831867262261444,0.012426025611225855,0.1979928758371343,0.140658046680595,0.0838580873783957,0.039923328328027086,0.024522870013034603,0.016413013812547797,0.1236445720424475,0.07277471914362388,0.039478050859515806,0.01842697230156029,0.011422198584185778,0.008139248064648441,0.25065509083684034,0.1890606865467478,0.11075002304908349,0.05155484231189977,0.03158398181489944,0.021010363818890154,0.36400130417258847,0.32498290426848647,0.2107793209663639,0.10491430423284946,0.0656170596202606,0.04314049776138611
3,EVSct,0.490098,-0.17035065783441372,-0.13003867010260495,-0.06965297814624127,-0.02658582751791283,-0.01516465455617072,-0.009347076872822713,0.0022065792054090094,-0.001345872598808029,0.0010241222571669706,0.0034914503981959277,0.0028376831311180406,0.0021860883345011795,-0.09555222297516619,-0.07708433633086392,-0.04485394942852183,-0.02129866344179271,-0.013100944288594818,-0.00863954316829274,-0.13081902745319812,-0.10372032887600913,-0.05964302402335642,-0.02891683662280553,-0.01807499539620555,-0.012019014801694816,-0.15988758517797513,-0.12497239306436247,-0.07264680989240047,-0.03507570054045411,-0.02185551632793309,-0.014524139416930426,0.08325128787704106,0.06950863750102132,0.04226125160062055,0.023904702208115525,0.01580078713427807,0.010786969281883774,-0.09516993390418899,-0.07148866977217855,-0.04228614139671938,-0.02087469157347599,-0.012906326294203185,-0.008617182130411183,-0.14507252083698785,-0.10942700550385454,-0.06310651516694454,-0.03146913867219392,-0.019806287996198102,-0.013286995231643395,-0.18556254122779248,-0.1395245502493444,-0.0810844915331142,-0.03974505693344865,-0.02484358750775978,-0.016603421479672476,-0.415943300718287,-0.3070967650710702,-0.17042526312178058,-0.08184897505190708,-0.05064428469019805,-0.03358377695227022,-0.4659262885022575,-0.3392866737493759,-0.18363358215954717,-0.08785195589326772,-0.05466723416262875,-0.036306682646847166,-0.48844215566376936,-0.36124836664390136,-0.20116938722182448,-0.09572119851946248,-0.059361241737147796,-0.03937361361742969,-0.6376160602015564,-0.4679164802087499,-0.24235152285474393,-0.10946359672119416,-0.06785243495389165,-0.04476729402578472,-0.6140019057533015,-0.4677213895668202,-0.2667734378462763,-0.12349258226600346,-0.07621172658186887,-0.050327456471419674,-0.5770790239554129,-0.47627247208662365,-0.31791522060091093,-0.1510039504214632,-0.09239088161420045,-0.06074317630988868
4,GHLup,0.967448,0.5657220539242357,0.4318488961253709,0.27779638556060693,0.13656329422734478,0.08486835195594605,0.05585191358055491,0.3704527165667847,0.2784783708139353,0.17193530662030895,0.08334254796104518,0.05162878270214967,0.03392081735866837,0.3149621250807833,0.2403419685240708,0.14624369414974897,0.07020529810961038,0.0435114394831841,0.02861068147474017,0.3223313094855688,0.24807645023966504,0.1501655932079378,0.0717936585909547,0.044535852684647236,0.029303605153786633,0.32810606567285855,0.2518332274042328,0.15264129397224827,0.07304362745570732,0.04530181652347377,0.029805054820664194,0.19838485328235544,0.14291191359539046,0.0868904434659969,0.04163213190275958,0.02553520479628512,0.016676043566165658,0.18063624028160488,0.13919279650471333,0.08456596300331524,0.0406442965793756,0.02522949947800883,0.016621372266908505,0.20249994030815816,0.1602674111960351,0.09709586136119724,0.046543642514445885,0.029008401426483477,0.019154814195386068,0.2215625582457497,0.17280981668323436,0.10459085826554065,0.05011084122715788,0.031175264935963183,0.020564368185305597,0.17147007137229858,0.13780487753211812,0.08259387628608006,0.039666795847920586,0.024932052427000917,0.016583956352851592,0.2220142121235665,0.18302358265764074,0.10890832852417175,0.051637820273390124,0.032421722800781025,0.021523802346292004,0.25709765584376576,0.2035725534659931,0.12152187669839633,0.05757807639597432,0.03594976089104981,0.02378470941958838,0.41066436994085037,0.3268950272211102,0.19246059138049346,0.08805032652387762,0.05457914075623927,0.035931369301199556,0.40957144781995236,0.3171205049115247,0.19285358350027315,0.09076560904849743,0.05622553393035504,0.036990094098531046,0.3966802041337393,0.29074953556986083,0.19110480539462402,0.09530793031039013,0.05907568781574506,0.03883981685123565
5,QZNor,0.578244,0.2183184247079678,0.1666552860366166,0.12297304496274775,0.06405969876441264,0.0409322892836011,0.0273799113087842,0.11445864660624883,0.08103041579558423,0.0531227917073272,0.0258818380347291,0.016381961436630565,0.010803996635137036,0.1689477805370222,0.12511729965922253,0.0779298432268356,0.03765858924947402,0.023441019923875095,0.015403357385955996,0.15151355382568138,0.1128831851146585,0.0695464353735123,0.033881346997888084,0.02093431545225044,0.013765879410478243,0.160245107006116,0.11973866876633538,0.07411722955670103,0.03594728630042393,0.022220873087811732,0.014556616590631566,-0.019114641020760548,-0.020060613632645774,-0.012196853088649096,-0.006804879019592536,-0.003972894622045309,-0.0027078778718259144,0.10601731437443512,0.08260942525627674,0.05018810048655464,0.024121952174833428,0.015032428306053836,0.009837117553328223,0.08680735309471249,0.06993903739945462,0.0417480724135762,0.020601807831482577,0.012658965769301367,0.008309775551075038,0.10319865653302424,0.08201301510671899,0.04984125322241645,0.02430845889069083,0.0149733628851218,0.00975954879769958,0.26371313930542867,0.21222178909921774,0.13125912817420998,0.0630389233994561,0.03883258665014183,0.025476899781378237,0.18849146583626597,0.15541843585196896,0.09438973421438457,0.046271463397464074,0.028099575481585037,0.01848242805544037,0.19561689808829713,0.16085326760833207,0.10090329475995741,0.04937120377840293,0.0301956795597334,0.019749164599399127,-0.15518286188082236,-0.09136394292796421,-0.037902293156292344,-0.007772387298258798,-0.004817815414332571,-0.0024306761029793678,0.02590616814000052,0.03506213917277856,0.03513501630439125,0.02178337020479504,0.013455901758264666,0.008877469364282298,0.14086828348845482,0.11997825880124735,0.11080362485212114,0.061530288462172844,0.040993996421474,0.02695185400085859
6,RSOri,0.878917,-0.2436616588406422,-0.18600126629056732,-0.12158342696635413,-0.06021507241303373,-0.037663890789755405,-0.024878592386598314,-0.18818296461958284,-0.14118058732732183,-0.08733987976237116,-0.04206436553476452,-0.026093065612163402,-0.017098251452652147,-0.2050283238947124,-0.15526346043786907,-0.09500743059841137,-0.04570096990630297,-0.02836580398763859,-0.018651869150673767,-0.20994032953579936,-0.15939490999455805,-0.09707328419971283,-0.046749968129479735,-0.02900702263051906,-0.01911274119983858,-0.22438458385019688,-0.17031950599546847,-0.10387871932209075,-0.04996403804020236,-0.030986143811396166,-0.020383027082575556,-0.12635863458630633,-0.09374702659567814,-0.05699819217017223,-0.02695290754203268,-0.016638946827568044,-0.010804077425862979,-0.17259552341381962,-0.1324110370751082,-0.0804599426010489,-0.03866402282593237,-0.02402355221389868,-0.015802474810280437,-0.18240142594940034,-0.14075198578949133,-0.08506070906642937,-0.04101017372444639,-0.025476109427897742,-0.016815693302578677,-0.2043009726562643,-0.1571153766165596,-0.09520802563920312,-0.0457770605227302,-0.028406594665908197,-0.01869672981737089,-0.2341531271883556,-0.1828323004764556,-0.1114600322277037,-0.05353014705672682,-0.033309769942026335,-0.022044949140128056,-0.24232282871393337,-0.18895044915484743,-0.11349563547370398,-0.05445841810592744,-0.03378735200779717,-0.022410607292040058,-0.27121305780140226,-0.21101294931377634,-0.12818296617112535,-0.06135710395404992,-0.03802040792439501,-0.025088442392046634,-0.21989689927721703,-0.18077422156408243,-0.11347846435498785,-0.055987271423027674,-0.03470443879304036,-0.023254556663668935,-0.30451107506237257,-0.2435912244460756,-0.15433609751785443,-0.07485785432581593,-0.04631845540622925,-0.030507139262918176,-0.3353031854757976,-0.27675040313298155,-0.19734304206593642,-0.10169951606106109,-0.06442722251885391,-0.042358229169854184
7,SNor,0.989194,0.1622846020132238,0.12388137558261365,0.08243167635092052,0.04013594398266297,0.024978528225082272,0.0164222092600836,0.06191975828442186,0.045266237589192064,0.028738330562540743,0.013367664081321225,0.00820296724899074,0.005296755054055587,0.09301033245794915,0.07066805537001433,0.04313439213529003,0.020732074105131157,0.012862137003937395,0.00846252865996127,0.10082431476934631,0.0771536496186138,0.046335925399778,0.022412165199076354,0.013930687765840576,0.009213063474529652,0.11662022113561094,0.08891427495516863,0.05366471313599891,0.02587303264024297,0.016061566045192124,0.010593745278731102,-0.02429290048146787,-0.022877409524574836,-0.013909464990942338,-0.007800199418259994,-0.005065568140242156,-0.0035123393855635773,0.052969204509719044,0.040908783727114734,0.02458923384500373,0.011945364848318018,0.007441046304954926,0.004921719963639264,0.06748869156756893,0.053158513915645966,0.031193930991927278,0.015378551759054459,0.009621691018731972,0.006425087549645769,0.09219383668224017,0.07138155134787616,0.04239608059620756,0.02059708766362566,0.012822498110529653,0.008494404610396938,0.17356288486769172,0.13470480381245864,0.07882748147956942,0.037857935184267666,0.023507604993513127,0.015608109376495219,0.1816316715078351,0.14037462963391859,0.07964019655339413,0.038228319823997735,0.023708676934481386,0.015796900444058827,0.20718836569743343,0.1601975011771282,0.09367112231147105,0.044741310750862094,0.027693395792616815,0.01833365716293546,0.17368632867283407,0.14046219940139276,0.08029524893958576,0.03897025906639947,0.02415622222951455,0.01626969464281136,0.2425664093617102,0.19335310790210528,0.11905375375785943,0.057090074520916016,0.03525522074009509,0.023266160506811386,0.2699703853755181,0.22535855625936038,0.1653552576946318,0.0843192447628991,0.053166745818986394,0.03495493233402944
8,STTau,0.605768,-0.27072594788765747,-0.2066610289218761,-0.13890651554158928,-0.0714722236745178,-0.04502696312841423,-0.029925440442010703,-0.2417431500083595,-0.18060908167755407,-0.1121983474847959,-0.05544677770857645,-0.03459982428491276,-0.022840462985306426,-0.18763365092983458,-0.14100115977745897,-0.08684163853162313,-0.04182368402405512,-0.02598213133529448,-0.017074361304851238,-0.1827375842499389,-0.13828594444499626,-0.0852604052846036,-0.04075596795493186,-0.025248475381097923,-0.016573630328990202,-0.17995064476692796,-0.1362493961120129,-0.08413759110211683,-0.04025334336253772,-0.02493815229287355,-0.01634666162386597,-0.1820646276393534,-0.1369568081791914,-0.08326973937294802,-0.041239138801550695,-0.025776144958818914,-0.01700096842745788,-0.12216775603012386,-0.09450719465072771,-0.057894121741121296,-0.02759610083801209,-0.017169619014991033,-0.01125255306919079,-0.12089376137413524,-0.09557147803351512,-0.059079405573904425,-0.027910292061873537,-0.017298437524066013,-0.011328085569787816,-0.12182641661339691,-0.09571518359464362,-0.059345683829547496,-0.028128664937570463,-0.017436116871543117,-0.011390106847762482,-0.014331578768310711,-0.019542441872137245,-0.018139932325918734,-0.008711941182842381,-0.005712011359330721,-0.0037859596395932726,-0.03076537841497217,-0.036693147576431995,-0.02968970536646634,-0.013969710187731854,-0.008838547156793136,-0.005829445061973998,-0.047361657966473375,-0.045263723338518275,-0.033926800108148636,-0.016150799228885016,-0.010165630211912885,-0.006640278310641123,-0.06169632181701645,-0.06664839463992622,-0.05612613776931655,-0.027917447078925933,-0.017304992881114922,-0.011466115236149016,-0.08985408254205556,-0.07680607594169711,-0.05692138183621767,-0.02861045342594587,-0.017850258765725102,-0.011659739581121209,-0.08998809847812153,-0.05973742325949841,-0.043825963085293906,-0.02633238002318447,-0.01734195227736296,-0.011401615033183793
9,SVVul,1.652569,-0.0638543175810814,-0.0487437538786889,-0.006300630236323879,0.005078091995945,0.0048680185641002405,0.00397626073255497,-0.05274596412394339,-0.04725585578258562,-0.024480569608669844,-0.009697575324773111,-0.005388008171592906,-0.0032892102592014805,-0.06703798276671225,-0.05668769517602401,-0.03179512175445476,-0.014942817532732744,-0.009121754001717552,-0.0060220501815759775,-0.09659761141081569,-0.07823824556217585,-0.04487712466076388,-0.02134121997872951,-0.013346692874318888,-0.008877433935634227,-0.1135872891023113,-0.09042078024271083,-0.0519880987844189,-0.02479566832858071,-0.015464066773893337,-0.010318234658912573,-0.11809957511693181,-0.0913361450283382,-0.05553237617722917,-0.025342406258995975,-0.015002087334822556,-0.009656548024040701,-0.12120950195696678,-0.09046238629414127,-0.05434948123016359,-0.02641501679788827,-0.016275227551184823,-0.010826652010548887,-0.1582936515726599,-0.1170430979579925,-0.06987831190471705,-0.03381805444303232,-0.02118480073039608,-0.014135876713132434,-0.17834844738869887,-0.1321744160763465,-0.07819486395413411,-0.03771283184478813,-0.02353415318198715,-0.01572875551308517,-0.18045112312830763,-0.1227113896910973,-0.063387633324403,-0.030442744951851286,-0.01891039394571936,-0.01273353170017566,-0.25421758144053175,-0.17523878633846474,-0.09386027062679891,-0.0442975675824826,-0.027941955564885212,-0.01871602503284675,-0.28184259063382733,-0.19887068542964004,-0.10767447607753888,-0.05042388032745504,-0.031480492772434365,-0.021074445153334675,-0.5870165932926574,-0.4135194827521157,-0.21343067934826365,-0.09099813888777475,-0.05640638061194159,-0.036889866953844275,-0.4973986924744723,-0.36737634236130057,-0.20223700005576745,-0.09043860751325328,-0.05576479783792471,-0.036856829774237376,-0.44581047331058454,-0.36204156163238876,-0.21476142528325326,-0.09781155946619202,-0.058164540131787235,-0.038240775003771765
