,name,logP,p_BVVI_g,p_VVVI_g,p_IVVI_g,p_JVVI_g,p_HVVI_g,p_KVVI_g,p_BVVI_i,p_VVVI_i,p_IVVI_i,p_JVVI_i,p_HVVI_i,p_KVVI_i
0,EVSct,0.490098,-0.47073647688604925,-0.48850079976182315,-0.5270648880814431,-0.4887413260376767,-0.46883761118346673,-0.46409903707694594,-0.697547283725184,-0.7034553331670046,-0.7150701914293763,-0.7015629000501001,-0.6919985023631435,-0.6877835287818478
1,SZTau,0.498166,-0.45439459232508617,-0.4715422166274673,-0.5087675306849208,-0.4717743928968377,-0.45256164682548783,-0.4479875750144861,-0.4122244869859873,-0.41571592435097326,-0.4225798733625031,-0.41459756680163923,-0.4089453636867764,-0.4064544711512475
2,SSSct,0.564814,-0.09342919068965168,-0.09695495593396113,-0.10460894439311055,-0.097002694268244,-0.09305231425340503,-0.09211182808856694,-0.4383651218652545,-0.4420779638101314,-0.4493771804746148,-0.4408886871929484,-0.4348780575834118,-0.43222920860824776
3,QZNor,0.578244,-0.37869026593913113,-0.3929810134897696,-0.4240044110349575,-0.3931745080750435,-0.37716269798295676,-0.37335068855372955,0.16275764586722893,0.16413616204993411,0.16684623924752637,0.16369460351153253,0.16146295715868034,0.16047948378921983
4,ADGem,0.578408,0.3795553720785178,0.3938787663976472,0.42497303593003594,0.3940727030152849,0.3780243144408356,0.3742035965945835,-0.06266322257965767,-0.06319396425957338,-0.06423736943870138,-0.06302396007435311,-0.06216475526475617,-0.06178610877891172
5,YAur,0.586529,0.3365742534709793,0.3492756564934983,0.3768487889663122,0.3494476315914784,0.3352165738823543,0.33182851682553194,-0.02763053286298966,-0.02786455650277385,-0.028324632443723505,-0.027789595368742835,-0.02741074018462875,-0.02724378094219076
6,STTau,0.605768,0.0405194388946951,0.04204853304952178,0.04536800221522772,0.04206923675576803,0.04035599081581523,0.03994811003031457,-0.02758454741054438,-0.02781818156515245,-0.028277491802436213,-0.027743345188819064,-0.027365120532792837,-0.0271984391603598
7,BFOph,0.609329,0.02931208734450578,0.030418246330091145,0.03281957696982271,0.030433223557377487,0.029193847692251834,0.028898783457976793,0.49435466107378206,0.49854172028476457,0.5067732186414812,0.4972005450641906,0.49042221664513336,0.48743504733800447
8,SYCas,0.609712,0.06243153950012454,0.06478753713312697,0.06990210870646027,0.06481943698884013,0.06217970197544166,0.06155124743446071,0.18846022194263623,0.19005643245772372,0.19319448319210536,0.1895451432970551,0.18696107687906893,0.18582229406800255
9,XSct,0.62305,0.3138866810128725,0.3257319163445438,0.3514464175215213,0.3258922990599926,0.3126205189830748,0.3094608418132349,-0.7838829931206004,-0.7905222842310554,-0.8035747181976202,-0.7883956239019703,-0.7776474368454479,-0.7729107742794562
10,YLac,0.635863,0.0972496567231885,0.10091959603406678,0.10888656807696925,0.10096928646365533,0.09685736921880407,0.0958784251007197,-0.2605267389860659,-0.26273333471191596,-0.2670713648605256,-0.2620265303988609,-0.2584543261943783,-0.25688007689591696
11,TVul,0.646934,0.03781426530742381,0.03924127351948015,0.04233912707164891,0.03926059499732381,0.037661729408917946,0.0372810797094786,0.037790273340772666,0.038110347418223396,0.03873959317516485,0.03800782309272634,0.03748966294593329,0.037261312829064114
12,XYCas,0.653376,0.08323608556672535,0.08637719056182509,0.09319613048423835,0.08641972065384226,0.08290032627068321,0.08206244694932151,0.5595319257289688,0.5642710199217363,0.573587784766563,0.5627530199654341,0.5550810155277691,0.551700008476544
13,TVel,0.666501,0.12453444150577073,0.12923403488059593,0.13943625509695157,0.12929766667227016,0.1240320921205464,0.12277849120185047,0.10145774522637022,0.10231706672189844,0.10400643941091774,0.10204181370104703,0.10065067901181866,0.10003761416915702
14,VZCyg,0.687034,0.13159819648500712,0.13656435688900453,0.14734526026305683,0.1366315979584002,0.1310673531913645,0.1297426464032853,-0.22253054346119422,-0.22441532100066539,-0.22812067658250737,-0.22381159967625536,-0.22076037911412952,-0.21941572423036043
15,CFCas,0.687994,0.154683606736627,0.1605209481549836,0.17319307484303803,0.16059998488506633,0.1540596410785421,0.15250254964931437,0.11889580977807351,0.11990282727922721,0.12188256114212491,0.11958026510583189,0.11795002894182949,0.1172315934911686
16,VLac,0.697493,-0.10456485646021053,-0.10851085164610742,-0.1170771059256461,-0.10856427983097221,-0.10414306076479148,-0.10309047965921653,-0.18120131449441823,-0.1827360438954693,-0.1857532265781514,-0.18224444801892156,-0.17975991188257764,-0.17866499147888557
17,V0386Cyg,0.720788,-0.2061521421992272,-0.21393176709633546,-0.23082034448392216,-0.21403710205433685,-0.20532056178947192,-0.20324537269537063,0.1766435704244098,0.1781396968834981,0.18108098857985858,0.1776604660838693,0.17523842331228734,0.1741710433654149
18,CRSer,0.724391,-0.08802138588105969,-0.09134307518185088,-0.09855404069186885,-0.09138805035836922,-0.0876663235501172,-0.08678027396518602,-0.6951204856568884,-0.7010079807315609,-0.712582430384721,-0.6991221314737577,-0.6895910087523449,-0.6853906992518701
19,V1162Aql,0.730464,0.12354524243640043,0.12820750611081036,0.13832868828964395,0.128270632463922,0.12304688330108894,0.12180323995595374,0.3709226617088257,0.3740642830377246,0.3802405154488712,0.37305797659054246,0.367972082156631,0.3657307585126538
20,CVMon,0.730685,0.10592858776666879,0.10992604648775475,0.11860402156465767,0.10998017148119119,0.10550129102611348,0.10443498219351423,0.06849762980738099,0.0690777874439898,0.07021834132482946,0.06889195461788526,0.06795275151670879,0.06753885025617098
21,SWCas,0.735675,-0.029659902349647896,-0.030779186933856895,-0.03320901158082208,-0.030794341879786916,-0.029540259674651338,-0.029241694230548496,-0.28753368250180794,-0.2899690202230556,-0.29475674292778853,-0.28918894656254845,-0.28524643749971373,-0.283508997036888
22,XLac,0.735997,-0.4255176236905763,-0.44157550921195116,-0.47643513880791827,-0.44179293058114993,-0.42380116265314965,-0.41951777504140825,-0.6589893031239666,-0.6645707762015984,-0.6755436056151518,-0.662782950186052,-0.6537472390398938,-0.6497652544951467
23,VCen,0.739882,0.10542476177136802,0.1094032074605493,0.11803990766045729,0.10945707502037631,0.10499949737364044,0.10393826020413241,0.15690595541047128,0.15823490925189385,0.16084754996476844,0.15780922624346508,0.15565781516064434,0.1547097010008842
24,FMCas,0.764123,-0.06514381971640741,-0.06760217147716104,-0.07293894085955419,-0.067635457192462,-0.0648810413444987,-0.06422528418000006,0.21552836789643237,0.21735383877612108,0.2209426011482853,0.21676911422689701,0.21381390377525036,0.21251155998021656
25,CSVel,0.771201,0.17222881586799413,0.17872826607807712,0.19283774684373373,0.17881626766221015,0.17153407601351678,0.16980036926390146,0.108149238011329,0.10906523476190516,0.11086602748233211,0.10877182784261098,0.10728894296008681,0.10663544434903974
26,MWCyg,0.774852,-0.4579184883425778,-0.4751990949603501,-0.5127130967314616,-0.4754330717903892,-0.4560713280845836,-0.4514617836827748,0.21645793975837463,0.21829128387712282,0.22189552454828276,0.21770403741631356,0.2147360811692582,0.21342812037745387
27,FMAql,0.786342,-0.24002976877672613,-0.24908784377561657,-0.26875177392965144,-0.24921048875685928,-0.23906153215622106,-0.2366453207450213,-0.8624875775872132,-0.8697926296893854,-0.8841539084162319,-0.867452716549694,-0.8556267452004114,-0.8504151094610943
28,CRCep,0.794695,-0.08168172864427779,-0.0847641764084434,-0.09145577893386192,-0.08480591229032404,-0.0813522393425866,-0.08053000664268872,0.459447969860957,0.46333937820733523,0.4709896453266795,0.46209290420629706,0.45579319778819194,0.4530169543705407
29,RSCas,0.799056,-0.007206950471841716,-0.007478921312042519,-0.008069335457022136,-0.007482603756557722,-0.007177878938738739,-0.0071053316207154655,0.3850577905088098,0.3883191328111326,0.3947307292203374,0.3872744780161368,0.3819947702073421,0.3796680341535538
30,RRLac,0.807281,-0.08005485289609873,-0.08307590676476553,-0.08963423094206698,-0.08311681138247992,-0.07973192611656649,-0.07892607003431641,0.6262529692485398,0.6315571738404452,0.6419849106318026,0.6298581609043826,0.6212713129726652,0.6174871397959131
31,XXSgr,0.807815,0.06179913480731867,0.06413126719574631,0.06919403035476586,0.06416284391961594,0.06154984828864506,0.060927759722364,0.04555647326702103,0.04594232509776512,0.04670088583232201,0.04581873121286209,0.04519408505953716,0.04491880718840684
32,BBSgr,0.821971,-0.061374429536840025,-0.06369053469576336,-0.06871850477550308,-0.06372189441334235,-0.061126856202320765,-0.060509042846257,-0.26118881284598106,-0.2634010161703263,-0.2677500705092977,-0.2626924156629092,-0.25911113345347675,-0.2575328835318412
33,VCar,0.82586,-0.023700299605321384,-0.02459468488267852,-0.026536281703955816,-0.024606794725617713,-0.02360469688857723,-0.02336612258736651,0.4897038521543711,0.49385152018760636,0.5020055779353999,0.4925229625271962,0.485808403528663,0.48284933702859006
34,V0495Cyg,0.827263,-0.4015297077601333,-0.41668235414107835,-0.44957682455782777,-0.416887518707655,-0.39991000963162354,-0.3958680915530045,-1.3258450872243264,-1.3370746604880677,-1.3591513040723326,-1.3334776668369015,-1.3152983835375816,-1.3072868807392388
35,USgr,0.828997,-0.032550307222272416,-0.03377866787753218,-0.03644528281855893,-0.033795299697156625,-0.03241900517744007,-0.03209134405378128,-0.14216008665756805,-0.14336414671230946,-0.1457312539975327,-0.14297846897809677,-0.14102924541185505,-0.1401702340966979
36,TWCMa,0.844792,0.16583080253894994,0.1720888090111427,0.1856741460930051,0.17217354148316216,0.1651618711116324,0.1634925686769211,0.6542638456165166,0.6598052952616992,0.6706994410928588,0.6580302893265827,0.64905937114272,0.6451059404738457
37,xSgr,0.845893,0.0019478306477899974,0.0020213365140937917,0.0021809084122177023,0.0020223317725335884,0.0019399734516860842,0.0019203660060689897,0.032034015977678756,0.0323053360080642,0.032838734336517336,0.03221842830428942,0.03177919489965941,0.03158562733198604
38,V0600Aql,0.859672,-0.3194500009315957,-0.3315051809268969,-0.35767544529884804,-0.3316684062617038,-0.3181613974767043,-0.3149457182653624,-0.4168501307445641,-0.4203807461447364,-0.42732171674015257,-0.4192498393078631,-0.41353421182378913,-0.41101536854328025
39,V0459Cyg,0.860413,-0.21454853087828563,-0.22264501280009685,-0.24022144653722124,-0.2227546379548405,-0.21368308095709224,-0.21152337130438445,-0.062411243239626754,-0.0629398507181285,-0.06397906018982881,-0.0627705301482831,-0.06191478034549815,-0.061537656460753355
40,CKSct,0.870124,0.1031124647622835,0.10700365060934294,0.11545092077682728,0.10705633668395356,0.10269652775195913,0.101658566855423,0.8887219971992881,0.8962492482143666,0.9110473562035448,0.8938381615705507,0.8816524778001735,0.8762823189210438
41,V1344Aql,0.873787,-0.08311320881598397,-0.08624967677448139,-0.09305855027948202,-0.08629214408171691,-0.08277794518250536,-0.0819413027752474,-1.450426130965566,-1.462710874227255,-1.4868619164924315,-1.4587758944661648,-1.4388884220957985,-1.4301241304609842
