,BVVI,VVVI,IVVI,JVVI,HVVI,KVVI
m_g,0.8021019953128417,0.8323711576227095,0.8980816638346072,0.8327809975549435,0.798866461115558,0.7907922626363599
c_g,4.890741038071979e-16,-2.632526483228591e-16,-5.759518795581782e-16,-6.127424909865582e-16,-8.488044558249762e-16,1.2182498567048647e-15
me_g,0.0833889044295871,0.06148509986366078,0.0373829407171058,0.03626649524654623,0.03306148638338156,0.03391673926056343
ce_g,0.022465365046516562,0.016564376553537898,0.010071140944551055,0.009770365257159344,0.008906920718814161,0.0091373298868492
m_i,0.9515229661804772,0.959582125552727,0.9754259323360573,0.9570006610202043,0.943953883734769,0.9382042460284512
c_i,4.861766876988666e-17,-7.689238973829527e-16,2.5581165746439866e-16,2.0909040944928118e-16,-4.565484303804552e-17,1.1544938741354805e-15
me_i,0.054708651166482464,0.04066422094015004,0.024723846331611635,0.025342507910433278,0.02434852961461591,0.02497297490002929
ce_i,0.023044665557030424,0.017128796848807453,0.010414308484075104,0.010674904365584676,0.010256215604124373,0.010519247728919875
