,BBVI,VVVI,IIVI,JJVI,HHVI,KKVI
m_g,0.7961800761305095,0.8323711576227095,0.898081663834607,0.9721290756968248,0.9812788262533485,0.9901105902101098
c_g,6.830460942685238e-16,-2.632526483228591e-16,-2.3652347404912285e-16,-2.1633024310551687e-16,-1.058432029243907e-15,1.5254577086310531e-15
me_g,0.07783488689674489,0.06148509986366078,0.03738294071710579,0.0202968086212794,0.013174066292550211,0.008779072337595525
ce_g,0.02176242782645316,0.016564376553537898,0.010071140944551055,0.004977640283232436,0.003083258373650022,0.002035253691245485
m_i,0.9482530892289869,0.959582125552727,0.9754259323360581,0.9987273493638223,0.9992738297326887,1.0003792041621582
c_i,1.258278661200708e-15,-7.689238973829527e-16,6.705547621479546e-16,6.419949774880966e-16,-2.8042417539000357e-15,1.4835615906748012e-15
me_i,0.05268140841239347,0.04066422094015004,0.024723846331611347,0.01215589922648894,0.00762397657347498,0.0050318233223050485
ce_i,0.02244150947418611,0.017128796848807453,0.01041430848407498,0.005028091763383746,0.003116760101202254,0.0020491784020174133
