,name,logP,p_BBBV_c,p_VBBV_c,p_IBBV_c,p_JBBV_c,p_HBBV_c,p_KBBV_c,p_BBBI_c,p_VBBI_c,p_IBBI_c,p_JBBI_c,p_HBBI_c,p_KBBI_c,p_BBBJ_c,p_VBBJ_c,p_IBBJ_c,p_JBBJ_c,p_HBBJ_c,p_KBBJ_c,p_BBBH_c,p_VBBH_c,p_IBBH_c,p_JBBH_c,p_HBBH_c,p_KBBH_c,p_BBBK_c,p_VBBK_c,p_IBBK_c,p_JBBK_c,p_HBBK_c,p_KBBK_c,p_BVVI_c,p_VVVI_c,p_IVVI_c,p_JVVI_c,p_HVVI_c,p_KVVI_c,p_BVVJ_c,p_VVVJ_c,p_IVVJ_c,p_JVVJ_c,p_HVVJ_c,p_KVVJ_c,p_BVVH_c,p_VVVH_c,p_IVVH_c,p_JVVH_c,p_HVVH_c,p_KVVH_c,p_BVVK_c,p_VVVK_c,p_IVVK_c,p_JVVK_c,p_HVVK_c,p_KVVK_c,p_BIIJ_c,p_VIIJ_c,p_IIIJ_c,p_JIIJ_c,p_HIIJ_c,p_KIIJ_c,p_BIIH_c,p_VIIH_c,p_IIIH_c,p_JIIH_c,p_HIIH_c,p_KIIH_c,p_BIIK_c,p_VIIK_c,p_IIIK_c,p_JIIK_c,p_HIIK_c,p_KIIK_c,p_BJJH_c,p_VJJH_c,p_IJJH_c,p_JJJH_c,p_HJJH_c,p_KJJH_c,p_BJJK_c,p_VJJK_c,p_IJJK_c,p_JJJK_c,p_HJJK_c,p_KJJK_c,p_BHHK_c,p_VHHK_c,p_IHHK_c,p_JHHK_c,p_HHHK_c,p_KHHK_c
0,CFCas,0.687994,0.04083263692432559,0.04308620243179067,0.04419881627540738,0.04236833842301441,0.041040888653508786,0.04122187605574869,0.11785207015001188,0.11977721297466556,0.12357734838439081,0.11794403026350557,0.11378364051242912,0.11425352542742276,0.18704365837563178,0.18882091080207317,0.19425233766507724,0.18651902937709602,0.1800060620670103,0.1810795798450534,0.1668722961539554,0.16834773502740696,0.17299668385723413,0.16610146859518257,0.16053770168850937,0.161560691296142,0.16401264779505653,0.1653057347412971,0.1698706223676471,0.16331821509619632,0.15791760128271123,0.1591672705494885,0.14425544637645651,0.14475592249533506,0.1496461142126308,0.14260879719918368,0.13738294380497298,0.1379368282730805,0.20198211899374813,0.20300842422914345,0.2089086228992895,0.2006257698489602,0.19354747208186165,0.19473226983769537,0.17403599881405685,0.17513902496253078,0.17999329567869105,0.17283505944482458,0.1670246226272109,0.1681074919492298,0.16817301576974342,0.16923867571517498,0.17392257157017488,0.1672307894257359,0.16169088072331242,0.16298978029493133,0.22389505174444357,0.225181681755455,0.2312886648187388,0.2228259485153585,0.21508900362756725,0.21658962951324123,0.17901535335399338,0.1802500474091485,0.18503355938517269,0.1779375977850301,0.17206003038365952,0.17325702812596822,0.17023908827111447,0.17137134505584348,0.17599992951229362,0.16939374141186456,0.16384706535311602,0.16523439848522412,0.1378324389413919,0.13892497890812444,0.14253960602007906,0.13684903246479563,0.13253614325565405,0.13345582050670532,0.15053577134190138,0.15158619657562764,0.15567431861982398,0.1497778909188249,0.1449806249013061,0.1462861283383463,0.1583394065600539,0.15934245472534309,0.16374258008673329,0.15776767829678903,0.15265977700071973,0.15424763108435807
1,CSVel,0.771201,0.17132019887494085,0.18077541215524204,0.18544357074888335,0.17776349291582133,0.17219395404597757,0.1729533171457218,0.160996486016939,0.16362640358610384,0.16881772900427858,0.16112211177054153,0.15543864664742893,0.15608055153760222,0.10426934509944744,0.10526009211643161,0.10828789496673571,0.10397688545354133,0.10034616713903477,0.10094461028670022,0.1149096623232257,0.1159256619027513,0.11912696704749852,0.11437886400301611,0.11054760745998221,0.11125204668136615,0.09205802678962664,0.0927838185766545,0.09534602675418073,0.09166825133721662,0.088636961629953,0.08933838367505598,0.14908442885836645,0.14960165852431298,0.15465555047428048,0.14738265774129422,0.14198186776668004,0.14255429363797664,0.09450706945626858,0.0949872758262585,0.09774796815042715,0.09387243613589323,0.09056051336748226,0.09111487810214317,0.11011463434721594,0.11081253203414454,0.11388388651583158,0.10935478580773367,0.10567845372742252,0.10636359795190757,0.08832593084061208,0.08888562471426352,0.09134564756311253,0.08783106536819305,0.08492145712531364,0.08560365047961967,0.07121681552596194,0.07162606839435041,0.0735685851353394,0.07087675384594368,0.06841577682784851,0.06889309776924887,0.10201181712394845,0.10271540696581782,0.10544128907461947,0.10139765860656136,0.09804832951467823,0.09873043812993604,0.08143012165780641,0.08197171177476911,0.08418569329464187,0.08102576859006583,0.07837263815540914,0.07903623843002741,0.1289270478741126,0.1299489985388266,0.13333008361784932,0.12800717955529287,0.12397294728157406,0.12483320393730547,0.08489243384224249,0.08548480570087405,0.08779024199074945,0.08446503832619441,0.08175969072418912,0.08249591018333714,0.05505349122014452,0.05540224396944956,0.05693213642145288,0.054854705348668806,0.05307872421254007,0.05363080984145336
2,CVMon,0.730685,0.33427975541325006,0.3527287556098141,0.36183726075491757,0.3468519025983785,0.33598462539812796,0.33746629371814685,0.1749483310045233,0.17780615542533987,0.18344735754148705,0.17508484339971708,0.16890885308955367,0.16960638501697503,0.14780294488448348,0.1492073396910885,0.15349928357332657,0.1473883801158685,0.14224179692386418,0.1430900966756899,0.14782427416676824,0.14913129567706251,0.15324957955189833,0.14714143449230116,0.14221275655373403,0.14311897466011717,0.12596394504363534,0.1269570534119389,0.13046294921830662,0.12543061128254002,0.12128286639365944,0.12224262939339928,0.10049516273714781,0.10084381805849708,0.1042505567625806,0.09934802908502083,0.09570745259045199,0.09609331469242617,0.12283119636814514,0.12345532240727447,0.12704340468443026,0.12200636103629882,0.11770184246151566,0.11842235240827911,0.1339192221777396,0.13476799142577986,0.13850331149161837,0.13299510953836519,0.12852402778269303,0.12935728652406325,0.11677457384147699,0.11751453789229768,0.12076690236873898,0.1161203185836992,0.11227356305704614,0.11317548209111016,0.13090724443060425,0.1316595129065306,0.13523015155338836,0.1302821597909886,0.12575851298557275,0.12663590084244708,0.13979623701622612,0.14076043131321292,0.1444959599225826,0.13895459874251656,0.13436470301499182,0.135299459598472,0.11817346361092229,0.11895943296324468,0.12217241925440328,0.1175866561548632,0.11373636578943196,0.11469939938570166,0.14690613505666458,0.1480705984089808,0.15192318131882884,0.14585798959993448,0.14126117705341923,0.14224139790338133,0.11330053722736463,0.11409113830667927,0.11716805763110022,0.112730119589595,0.10911946404797652,0.11010204937935855,0.09030557413621523,0.09087764171194139,0.0933871613297316,0.08997950085991764,0.08706631601734544,0.08797191543686274
3,EVSct,0.490098,-0.3760039950902695,-0.39675576861826384,-0.4070011821331346,-0.39014537664844184,-0.37792166409367944,-0.3795882717739351,-0.5485612321300922,-0.5575221160464635,-0.5752104516010794,-0.5489892751258653,-0.5296240783576867,-0.531811232538348,-0.450802429949517,-0.45508586687237884,-0.4681763958387103,-0.4495379977339816,-0.4338407989352268,-0.4364281329680326,-0.4155356254714851,-0.41920967700223705,-0.4307862172926903,-0.4136161557982826,-0.39976158907374226,-0.4023089779229148,-0.3864670677467081,-0.38951400057276353,-0.40027035844677783,-0.38483075876393275,-0.3721051585581596,-0.37504978522980525,-0.594241430355399,-0.5963030762218909,-0.6164475809445329,-0.5874582745926529,-0.5659310555253075,-0.5682127100960529,-0.45300397927591285,-0.45530576894869107,-0.4685386902063238,-0.44996196960229773,-0.43408681653939246,-0.4367440720464821,-0.4147388517660323,-0.4173674332170151,-0.42893546900673873,-0.4118769368838819,-0.3980302964737498,-0.40061084292555926,-0.38483133235264894,-0.3872698884715252,-0.3979880757754156,-0.38267523009282806,-0.36999822339643357,-0.3729705031670641,-0.3908540216834367,-0.3931000941638429,-0.40376106622213165,-0.3889876861238663,-0.3754812865791895,-0.3781009320688421,-0.3778500412189822,-0.38045612606529455,-0.39055274718436506,-0.37557520848242154,-0.36316935030731945,-0.3656958690544346,-0.3608073270967315,-0.36320704944154647,-0.37301694212208775,-0.35901568603560385,-0.34725997597305025,-0.3502003110293062,-0.3639699159313587,-0.3668549528856295,-0.3763999884096716,-0.3613730644545798,-0.3499841495160565,-0.3524127131714628,-0.34910164990948367,-0.3515376501965345,-0.3610182549586973,-0.3473440789097705,-0.33621892595215874,-0.3392464681753163,-0.33755374513258823,-0.3396920799419537,-0.34907242831547386,-0.336334913884854,-0.325445702855747,-0.3288307483368469
4,GHLup,0.967448,-0.21055793295284161,-0.22217868857303377,-0.22791600285720853,-0.2184769447422547,-0.21163180564227613,-0.21256508686476344,-0.015288595595390635,-0.01553833860009144,-0.01603131876932356,-0.015300525305105136,-0.014760810420652916,-0.01482176718138317,0.04020199589061076,0.04058398742865539,0.04175138440069411,0.04008923540984158,0.03868937888805638,0.03892011409542027,0.03283281148582525,0.03312311016036512,0.034037809988048,0.03268114798919577,0.031586453937468416,0.03178773135567081,0.027058055298535503,0.027271382859352256,0.028024477108399615,0.026943490973042855,0.026052522446067684,0.026258687157020982,0.06652748521843983,0.06675829395694667,0.06901354438498795,0.06576808630801596,0.06335803598984789,0.06361347550142508,0.07012111383380144,0.0704774110476238,0.07252575327045326,0.06965023694007487,0.06719289999386942,0.06760422025687463,0.04909165738427442,0.04940279635630202,0.050772077404316475,0.04875289928563154,0.04711390519563309,0.04741935837836975,0.03662828882767409,0.03686039086910277,0.03788054912356783,0.03642307077582781,0.035216471874675394,0.035499373792379905,0.07096660458945857,0.07137441960159482,0.0733101115649053,0.0706277376715312,0.06817540697326743,0.06865105091017275,0.04546712817095307,0.04578072134497914,0.04699565932681361,0.045193394942640845,0.0437005838213342,0.04400460271552527,0.03325671363433072,0.03347790337420009,0.03438211115258903,0.033091572604116694,0.03200801289299809,0.03227903255809682,0.022404055383481447,0.022581642939149472,0.023169184642894487,0.02224420699557377,0.021543165865876655,0.021692655349090796,0.01962774138878818,0.019764702023805838,0.020297735478473224,0.019528924470953973,0.018903428644110452,0.019073647879153364,0.01768082961134859,0.017792834096446577,0.01828417019826478,0.01761698808114191,0.017046618806370883,0.01722392512644895
5,QZNor,0.578244,-0.44486595175948496,-0.4694182373781848,-0.48154001186456574,-0.4615972079381861,-0.44713482564779783,-0.4491066584516185,-0.341006173657766,-0.3465765941649675,-0.3575723249468022,-0.3412722611892943,-0.3292341307760238,-0.3305937475966489,-0.39549530758853935,-0.3992532270024454,-0.41073773204518815,-0.39438600343491265,-0.38061463031279524,-0.38288453482341067,-0.37806108087719853,-0.38140379280794706,-0.39193631773901944,-0.3763147161015224,-0.36370960561304894,-0.366027261483445,-0.38679263405763314,-0.38984213367077764,-0.4006075528802699,-0.38515494662084837,-0.3724186261569755,-0.3753657334312974,-0.2817249285201632,-0.2827023377089233,-0.292252680150826,-0.27850909068930413,-0.26830321485638087,-0.2693849283452342,-0.3834241338626942,-0.3853723765978458,-0.3965727668897613,-0.38084936636027145,-0.3674125819355263,-0.369661692181503,-0.37035471040452816,-0.37270198874102367,-0.38303204710572486,-0.36779906929960665,-0.35543425593010086,-0.35773863983282833,-0.38235311402595723,-0.38477596644828804,-0.3954251312844832,-0.38021089652988943,-0.36761552661221186,-0.37056866563836455,-0.4217803469494375,-0.42420413991945477,-0.43570866141368475,-0.4197663375848946,-0.40519124414859004,-0.40801816909297534,-0.3858670428863966,-0.3885284221201091,-0.39883926745385934,-0.3835439440763872,-0.37087486564238387,-0.37345499058983983,-0.39208479263579266,-0.3946925407808241,-0.4053528279994322,-0.39013783878764735,-0.37736305624858013,-0.3805582814400652,-0.35146264149943357,-0.35424853853209587,-0.3634655733793342,-0.3489550268871794,-0.33795747474646715,-0.34030258449322875,-0.3804260598134132,-0.38308063904885187,-0.3934119254098675,-0.3785107843902332,-0.36638738679075716,-0.36968658620494843,-0.3980472282042307,-0.4005687770127212,-0.4116301908572134,-0.3966099684883927,-0.383769286582273,-0.38776097084152433
6,RSOri,0.878917,0.16222814117178722,0.17118156105408472,0.1756019778894303,0.16832948603444592,0.16305552567266557,0.1637745889527396,0.10674944695072787,0.10849322566900883,0.11193535742630165,0.10683274367385272,0.10306429646319641,0.10348991439881872,0.12359480622585742,0.12476918001199958,0.1283581610899617,0.1232481416023272,0.1189444996631347,0.11965385930093003,0.12850681186694438,0.12964303369706107,0.13322314619280157,0.12791320469331446,0.12362859925774393,0.12441639409295498,0.1429510661813419,0.144078102175915,0.14805679261203414,0.1423458086232949,0.13763871125580374,0.13872790502507384,0.07865443967818177,0.07892732135919635,0.08159366983410292,0.07775661383078218,0.0749072477868182,0.07520925005834254,0.11699685109251272,0.11759133183862641,0.12100898419650048,0.11621119452195686,0.11211113579412814,0.11279742231941366,0.12513915864076497,0.12593228055300953,0.12942270412844384,0.12427563302957878,0.12009768605512354,0.12087631436650025,0.1413996658024092,0.14229567138007782,0.14623388528151068,0.14060744304572562,0.13594949459000516,0.13704160775986873,0.13170621850914047,0.13246307835061713,0.13605550989163492,0.13107731875275172,0.12652606250101608,0.12740880537210306,0.13359970750992817,0.13452116347190252,0.1380911131376352,0.1327953752217586,0.12840892863502254,0.12930225172304985,0.14777768978676184,0.14876055625762885,0.15277844383505657,0.14704387825618373,0.14222903236925077,0.14343332033454503,0.13449403073064703,0.13556010853489067,0.1390871865842153,0.13353444311905222,0.12932601542026637,0.1302234173774193,0.15317619982387384,0.1542450497328822,0.15840487828103472,0.15240502602184047,0.1475236149687906,0.14885201720541677,0.1649661290331941,0.16601115614714154,0.17059543282152717,0.16437047315384795,0.15904879914607906,0.1607031071123529
7,SNor,0.989194,-0.09059481801738212,-0.09559477325949377,-0.09806331451174694,-0.09400205811457706,-0.091056863305863,-0.09145841760174983,0.009770025711419834,0.009929621506988812,0.010244655605352282,0.00977764927434995,0.00943274981873782,0.009471703633423157,-0.02132054846210746,-0.02152313216270642,-0.02214224430292316,-0.021260747568107644,-0.02051835385974668,-0.02064072094778618,-0.02913453077350461,-0.029392130268769565,-0.030203798507708,-0.028999950619999874,-0.028028562667085245,-0.028207168240877028,-0.04493043713976924,-0.045284671782861385,-0.04653519971045117,-0.04474020080651476,-0.04326072990762255,-0.04360307049654212,0.05098711845615395,0.051164011847694695,0.05289245115883482,0.05040510995133633,0.04855803094851148,0.048753801532540116,-0.012558370205488317,-0.012622181403994877,-0.012989030110972489,-0.01247403831129415,-0.012033940523297676,-0.012107606097807418,-0.024715268212474623,-0.024871911592526105,-0.025561278180721965,-0.0245447199418886,-0.023719565919975753,-0.02387334678091897,-0.042823589296656396,-0.0430949490247563,-0.044287656615118416,-0.04258366071004256,-0.04117297794427437,-0.04150372982820769,-0.0385707848957089,-0.03879243485629705,-0.039844495311676435,-0.03838660864724338,-0.037053751870409934,-0.03731226726766535,-0.03933483692219121,-0.03960613482149623,-0.04065721038550116,-0.03909802293527428,-0.03780655183572555,-0.03806956676772871,-0.05289808048291987,-0.053249904562419764,-0.05468813614357808,-0.052635407399724554,-0.050911898894432366,-0.05134298238074651,-0.03978277455126186,-0.04009811592894156,-0.041141410936895204,-0.039498932529375606,-0.0382540971307589,-0.038519544894866434,-0.05791030050096416,-0.05831439343114674,-0.059887071964318514,-0.05761874798389215,-0.055773265583388895,-0.056275485724622376,-0.06976716681092932,-0.07020912772380253,-0.07214790144252617,-0.06951525314028825,-0.06726462072023076,-0.06796425755184018
8,STTau,0.605768,0.30147982871461,0.3181185910959572,0.3263333588960509,0.31281838188323285,0.3030174148313231,0.30435370009567886,0.272497030835312,0.2769483374859653,0.28573499362704147,0.27270966059947693,0.2630900259775055,0.2641764917816876,0.2183875317567871,0.2204626075657719,0.22680420672411833,0.21777498796314423,0.21017060903036147,0.21142402173560826,0.21349146507689143,0.21537909779954512,0.22132682501144602,0.21250529116644065,0.2053871728470515,0.20669595540188868,0.21070452559388048,0.21236573450198676,0.21823017541328343,0.2098123985882056,0.20287431310038356,0.20447974398358335,0.2475555076704552,0.2484143703532726,0.2568063855151937,0.2447297074440215,0.23576166621915734,0.23671218250216333,0.2049235059060902,0.20596475682480891,0.21195087778963648,0.20354740477710231,0.19636602851712762,0.1975680800211156,0.2057251706394559,0.20702904020759633,0.21276719598121377,0.2043055594190962,0.19743713499001872,0.1987171774959981,0.2058682230524022,0.20717274576872483,0.2129065153168166,0.20471480101102332,0.1979331472765027,0.19952318920747947,0.18554924638421147,0.18661551929671416,0.19167657846816413,0.18466324512193216,0.1782513825905332,0.17949500097344084,0.19661642594489379,0.19797251707178143,0.20322635150871174,0.19543270374430283,0.18897724462274626,0.19029193307570508,0.20067273911483857,0.20200740950505516,0.20746344625039403,0.19967626955270343,0.1931380139206058,0.19477336067035775,0.20533376576101886,0.20696136045016886,0.21234619585190662,0.20386875101801535,0.19744369034706769,0.1988137654519811,0.20559684572331033,0.20703148224057888,0.21261490596589183,0.2045617573650353,0.1980098079346411,0.19979282194083894,0.20482781713550574,0.20612535999385934,0.2118173610722786,0.2040882295956548,0.19748064974331586,0.19953469739290072
9,SVVul,1.652569,-0.5828035071294294,-0.6149686078974871,-0.6308489256771548,-0.6047225475528687,-0.585775880389539,-0.5883591103917327,-0.5939118605865674,-0.6036135582778295,-0.6227642230798769,-0.5943752907328129,-0.573409135325596,-0.5757771058141088,-0.5796198419437986,-0.585127276836027,-0.6019584423895836,-0.5779940964902982,-0.557811401628353,-0.5611380699058923,-0.5500602132996951,-0.5549236941778662,-0.5702479981150177,-0.5475193387437141,-0.5291795251139476,-0.5325516000164142,-0.5330705356081995,-0.5372733002137783,-0.5521100041185271,-0.5308135047285586,-0.5132605407537001,-0.5173221901101961,-0.5703972951081678,-0.5723762167478365,-0.5917124165113176,-0.5638863157288713,-0.5432228834941463,-0.5454129859155578,-0.5703519211118203,-0.5732499754820334,-0.5899108049813157,-0.5665218972251419,-0.5465343817471435,-0.5498799832267951,-0.5432263390177996,-0.5466692638181821,-0.561821115893096,-0.5394777933067066,-0.5213414172578689,-0.5247214256552318,-0.5281909643091061,-0.5315379456998282,-0.5462489351950904,-0.5252316581507387,-0.5078321383388082,-0.5119116692560236,-0.5651929765327974,-0.5684409011294065,-0.5838571593641435,-0.5624941690711796,-0.5429632912052743,-0.5467514196358849,-0.5353857218478905,-0.5390783524273091,-0.5533845220617476,-0.5321624511481767,-0.5145842624233798,-0.5181641536914148,-0.5219090656033419,-0.5253802724016287,-0.5395703166110076,-0.5193174505171575,-0.5023127746320523,-0.5065659796157743,-0.5055457413916641,-0.5095529905684459,-0.5228108227391732,-0.5019387751352558,-0.4861198373763224,-0.4894930557659456,-0.5050409623503451,-0.508565093300677,-0.522280564866015,-0.5024983065097772,-0.4864036877720435,-0.4907835949948718,-0.5023821083654882,-0.5055645975702768,-0.5195253942168698,-0.5005681186799701,-0.48436167785647805,-0.4893996497653369
