,name,p_BBBV_g,p_VVBV_g,p_IIBV_g,p_JJBV_g,p_HHBV_g,p_KKBV_g,p_BBBV_i,p_VVBV_i,p_IIBV_i,p_JJBV_i,p_HHBV_i,p_KKBV_i,p_BBVI_g,p_VVVI_g,p_IIVI_g,p_JJVI_g,p_HHVI_g,p_KKVI_g,p_BBVI_i,p_VVVI_i,p_IIVI_i,p_JJVI_i,p_HHVI_i,p_KKVI_i,p_BBVK_g,p_VVVK_g,p_IIVK_g,p_JJVK_g,p_HHVK_g,p_KKVK_g,p_BBVK_i,p_VVVK_i,p_IIVK_i,p_JJVK_i,p_HHVK_i,p_KKVK_i,p_BBJK_g,p_VVJK_g,p_IIJK_g,p_JJJK_g,p_HHJK_g,p_KKJK_g,p_BBJK_i,p_VVJK_i,p_IIJK_i,p_JJJK_i,p_HHJK_i,p_KKJK_i
0,EVSct,0.01652780157899777,-0.06595466489774438,-0.17845350788578784,-0.26155959235177495,-0.2694602998908001,-0.29361254260711334,-0.16657451931852302,-0.23483495662593518,-0.3969126634540146,-0.4514355415522918,-0.4367814944661799,-0.44320708193119784,0.25325187220141415,-0.004944713065375971,-0.23688235392849435,-0.3256877886046557,-0.31586943609232904,-0.32739551465663586,-0.3119285574933353,-0.3851434395229707,-0.5162602686999771,-0.516909754296248,-0.47867947404318245,-0.47107523078731983,0.08521803838772622,-0.04527774555694624,-0.20901828587584706,-0.2885213317423936,-0.28642978890879944,-0.30478892546294706,-0.250656902766914,-0.2942982800040021,-0.431302433625877,-0.45735876180001556,-0.4380626959528802,-0.44278781672571543,0.03882819009952444,-0.019177107100623536,-0.16672674261120632,-0.24303540122798892,-0.25177899250134217,-0.278590081649359,-0.046856955299824615,-0.12211441248330882,-0.31412251105174266,-0.38818928911238726,-0.39162370170033145,-0.41062019569204766
1,SZTau,0.031020828241349087,-0.12378950229584848,-0.24766786871468477,-0.40498953239716007,-0.45845943500720315,-0.5215141208351711,-0.17090066230520948,-0.2409339062419533,-0.31854259983475325,-0.3944469264732126,-0.4044627066718937,-0.4275961946797461,0.20957949958294145,-0.004775327588007437,-0.22876774139792763,-0.4115444905492662,-0.4657130627230186,-0.5271427171736661,-0.15770039315357942,-0.22470615199912178,-0.30120429560811907,-0.3806468656476179,-0.3945507731919398,-0.42014043425591735,0.14731084824045584,-0.07982061915648703,-0.2800152377946047,-0.4389895609734572,-0.4817957364762174,-0.5373156380300508,-0.23452337234104412,-0.281540840907758,-0.3320238781363791,-0.39163156777895525,-0.40040092804800353,-0.4235935536659384,-0.36887816254235456,-0.3773424760921329,-0.39115670777891626,-0.48082805892520475,-0.5047214847664214,-0.551170436563744,-0.34259081199059144,-0.3548973166515042,-0.3647836670207556,-0.40383953191978733,-0.4066361183972503,-0.4271747631271686
2,SSSct,0.009726961236016317,-0.038815717004372675,-0.06882363157717326,-0.0635432306145285,-0.05833455023789622,-0.04910102233768981,-0.18956421928631237,-0.26724558711651786,-0.3484153415621814,-0.366578821980004,-0.36856657052922953,-0.36374830196288377,0.03881053252193454,-0.0010412147197088133,-0.04988062815549819,-0.051900070394097324,-0.050056588312770885,-0.04275728594013769,-0.1659264617592139,-0.2398002504397257,-0.3214369739224158,-0.347091437160574,-0.3550386729744014,-0.3540204000104652,-0.0027081569066346816,-0.005054533710766647,-0.03431308211335189,-0.03595881077497176,-0.03842767024709061,-0.03402479252159931,-0.16784290492381002,-0.22913590381357676,-0.30213179477416763,-0.32901899426951214,-0.3421416694028622,-0.3447474670314331,0.058624166042328625,0.016356084428995984,-0.02202742204077797,-0.02431080204791101,-0.03027746202026601,-0.027867332467897327,-0.1771390802554271,-0.23549683471571406,-0.29762541829459044,-0.321393715788309,-0.33603461466786155,-0.3399649453825659
3,QZNor,0.032552772766553384,-0.12990277073744064,-0.24007693970393051,-0.3958382018070863,-0.4274681529588189,-0.49248209330275783,0.003938107910931157,0.005551901960968006,0.05575574958781582,0.0640204700223743,0.10360178031310648,0.09234862184041273,0.15956947372958316,-0.00398783633581588,-0.19104203738823625,-0.3764845778345006,-0.4156303606445046,-0.48429078060804936,0.09226043798515957,0.09823259291603792,0.13167453891137695,0.10783233552950093,0.13189292651899223,0.1115226119594697,0.1311729627199706,-0.07419895981029893,-0.2501684546322286,-0.41332407188696096,-0.4381749066712017,-0.499473216982642,0.07427851582435942,0.06854042518810484,0.10523258665825569,0.08967190869917196,0.11986367775545342,0.10312280868946945,-0.2950612572209843,-0.3248616670712039,-0.33290266588199097,-0.44301426514523434,-0.4526205519487748,-0.5078247023891922,0.14594698946639387,0.11580661834545732,0.13429431065117592,0.10232546417998059,0.12798472501855876,0.10823817994035005
4,ADGem,-0.021947207991253107,0.08758096118140811,0.1842963491930028,0.30942975579927384,0.3515929500111856,0.38477489521408403,-0.028049822657194017,-0.039544336757001315,-0.047952987893160486,-0.04821136121054523,-0.058159652691896144,-0.070409750961375,-0.17590130737922907,0.003846865712641552,0.18428867220589487,0.3264526519549604,0.36570837285684415,0.39502117864110453,-0.017958464288302643,-0.028560125037652914,-0.03828302993893897,-0.04205351387064027,-0.05398159619718549,-0.06741853265586033,-0.1109760849828426,0.05923178078958692,0.2145949888053795,0.3401338690227088,0.3727692050002229,0.39872106258933065,-0.0386830726871634,-0.04638111482271381,-0.049956104537393825,-0.04767637219017672,-0.05753889043842384,-0.06978291741757858,0.18608750484074468,0.2090983271364639,0.2542517965560689,0.34599182400677436,0.37292516171766044,0.3966084365200563,-0.16854883609471488,-0.14581575988885442,-0.11080901632997348,-0.07844466639163178,-0.07713157620716003,-0.08297746786981465
5,YAur,-0.015241227501847946,0.06082055424673379,0.1421603144023432,0.16870148418491093,0.18480398970074224,0.19267418412706772,-0.044327954245333756,-0.06249307069957007,-0.05693064848295595,-0.15372554406337244,-0.17438655847858486,-0.1965733619319875,-0.16532164947452987,0.003403290495535147,0.16303867444398926,0.19661896675135623,0.20552543279300703,0.20756687990385858,0.006126972070422746,-0.008903025726298707,-0.011933939363980366,-0.12635927869108068,-0.15606871510657702,-0.18373260184713805,-0.045216274385474584,0.02812309456352683,0.13727762103927246,0.1646428987352698,0.18155877467214968,0.1893117174292509,-0.13235015346088017,-0.13746192794142173,-0.10559607819968087,-0.17965076077493694,-0.19031862774880648,-0.20681896936421884,0.04969377198042647,0.08375082574864162,0.16000328217642415,0.1619083989815264,0.1779986672820813,0.18559466589670384,-0.2699722207069479,-0.23325100097132945,-0.15471636849538037,-0.2053554311765828,-0.20611817674157568,-0.21722157128281996
6,STTau,-0.010390396302686442,0.04146317361222935,0.05866651170270792,0.02328171343576387,0.0063045432144440885,-0.010556736434288947,0.05500075816073719,0.07753947428401227,0.060212935388925304,-0.020795176031904734,-0.04662618758760715,-0.06781090736714872,0.003766366042743635,0.00034552278103548023,0.01655267932141126,-0.009714265023885234,-0.0175947837173861,-0.028340933772963806,-0.026685278949145172,-0.008989988071817159,-0.012050506853536952,-0.0633387356801234,-0.07425129185250984,-0.08645380623127924,0.029818396782217954,-0.005599159737260749,-0.004369711376927847,-0.028177298796669,-0.030477199199182386,-0.03769096404477104,-0.09602914919246275,-0.06391113668751687,-0.05181481072824756,-0.08583269356915961,-0.08866442205746584,-0.09615779160496477,-0.09096829847719172,-0.03937469024180256,-0.014463202547276528,-0.035696202210058155,-0.03512778029796556,-0.04091835114565653,-0.1600047984592534,-0.09648437126876273,-0.06725026634832344,-0.09384542653281289,-0.09345401456969273,-0.09926813667584451
7,BFOph,0.006748853512197627,-0.026931492958299733,-0.02930408231531749,-0.02899284145816857,-0.02033963609073993,-0.03512360737178373,0.13485060622506978,0.19011092688966846,0.3071532257932115,0.40449299905889646,0.44245896932515866,0.4446370403982719,-0.029247888916597214,0.00022995518157956828,0.011016276170200772,0.0030209895950680118,0.002593813037325453,-0.018656525114764188,0.2265872205306247,0.28456260854156,0.38143806611269027,0.44433179292981456,0.46743492897110717,0.46099213920347476,-0.0014277820715471224,-0.0036912966582933514,-0.0028321562369427945,-0.008690830466702083,-0.005551135886335102,-0.02484810867253194,0.274584788707184,0.3028167782377037,0.3811509512692162,0.43588985850448586,0.46051501558680646,0.4556043620165363,-0.07070561745720018,-0.07471702923179932,-0.04074032016740327,-0.030967256781429368,-0.020019132488473805,-0.035497588218031936,0.3031994884047059,0.30566499334597746,0.36995338751258344,0.4239827597566231,0.4513721793938682,0.4484819356541156
8,SYCas,0.00394110338202638,-0.015727085761920872,-0.008630275374595063,-0.03660639444815403,-0.03237592573843546,-0.027133942080971408,0.022695880455782986,0.03199640691881368,0.08531207375069512,0.07591160245346087,0.09198310626605784,0.10540168959386335,-0.04290949736521466,0.000572192263594244,0.027411550176477326,-0.00796380326572111,-0.011990297551217043,-0.01209434466627718,0.09967277079111374,0.11250489388265841,0.15080565001408852,0.11339658919616492,0.11623478883405725,0.12171917733533845,0.0019964935145162957,-0.0033116915537201065,0.00567069586179074,-0.028511556500171256,-0.02622836833506323,-0.022292781977265887,0.07173413044299491,0.07395806036812134,0.11719872221735271,0.09061642928471653,0.10108347172494252,0.1112739363587972,0.06065282673968161,0.0351400616501638,0.040408096805728266,-0.01220440061344896,-0.0148879546319893,-0.013989834181370871,0.1861976410075795,0.15682434660067807,0.16928699138138636,0.11476037205387607,0.11626671014756705,0.12139161937776052
9,XSct,-0.022215889474415,0.08865314232428255,0.17255387747277423,0.16061194913834884,0.18522440087629186,0.22503476312537438,-0.2738824902468239,-0.3861165740165157,-0.5491869967745692,-0.8380777457611185,-0.8845589602061109,-0.8968472976283394,-0.13542708510951038,0.0031712685839838384,0.15192338911912068,0.15406979619975328,0.1817125320492251,0.22290099503082705,-0.32356264770212734,-0.4344841109433836,-0.5823982985126863,-0.8504913730137342,-0.8906431882833897,-0.899639940059742,-0.042057746367331277,0.03125044238762631,0.13884222925909712,0.130787935253938,0.16472263915641752,0.21036358233841115,-0.5524959635781661,-0.6103491198414245,-0.6902728372971316,-0.9000868402758561,-0.9199994848365178,-0.9183035463590593,0.36786433233366933,0.3503590907454518,0.32375419914741155,0.2191424188134551,0.22277557081593582,0.25120169342246046,-0.4665840472796114,-0.5044756803824745,-0.5890335263479927,-0.8393418123700033,-0.8775835341273822,-0.8878418568321365
