,name,logP,p_BBBV_c,p_VVBV_c,p_IIBV_c,p_JJBV_c,p_HHBV_c,p_KKBV_c,p_BBBI_c,p_VVBI_c,p_IIBI_c,p_JJBI_c,p_HHBI_c,p_KKBI_c,p_BBBJ_c,p_VVBJ_c,p_IIBJ_c,p_JJBJ_c,p_HHBJ_c,p_KKBJ_c,p_BBBH_c,p_VVBH_c,p_IIBH_c,p_JJBH_c,p_HHBH_c,p_KKBH_c,p_BBBK_c,p_VVBK_c,p_IIBK_c,p_JJBK_c,p_HHBK_c,p_KKBK_c,p_BBVI_c,p_VVVI_c,p_IIVI_c,p_JJVI_c,p_HHVI_c,p_KKVI_c,p_BBVJ_c,p_VVVJ_c,p_IIVJ_c,p_JJVJ_c,p_HHVJ_c,p_KKVJ_c,p_BBVH_c,p_VVVH_c,p_IIVH_c,p_JJVH_c,p_HHVH_c,p_KKVH_c,p_BBVK_c,p_VVVK_c,p_IIVK_c,p_JJVK_c,p_HHVK_c,p_KKVK_c,p_BBIJ_c,p_VVIJ_c,p_IIIJ_c,p_JJIJ_c,p_HHIJ_c,p_KKIJ_c,p_BBIH_c,p_VVIH_c,p_IIIH_c,p_JJIH_c,p_HHIH_c,p_KKIH_c,p_BBIK_c,p_VVIK_c,p_IIIK_c,p_JJIK_c,p_HHIK_c,p_KKIK_c,p_BBJH_c,p_VVJH_c,p_IIJH_c,p_JJJH_c,p_HHJH_c,p_KKJH_c,p_BBJK_c,p_VVJK_c,p_IIJK_c,p_JJJK_c,p_HHJK_c,p_KKJK_c,p_BBHK_c,p_VVHK_c,p_IIHK_c,p_JJHK_c,p_HHHK_c,p_KKHK_c
0,CFCas,0.687994,0.04083263692432559,0.04308620243178992,0.08686377695669067,0.15323608205031444,0.1431082435234049,0.14812649093139366,0.11785207015001188,0.10207230196976295,0.12357734838439069,0.17057013761118878,0.15365624203652187,0.15494323465763593,0.18704365837563178,0.15319387434959775,0.15545052568672693,0.18651902937709636,0.16336309193882156,0.16127775192378252,0.1668722961539554,0.13696285771473665,0.1456252078383722,0.18216628948376426,0.16053770168850873,0.1594041305911422,0.16401264779505653,0.13529267809288942,0.14465917082409205,0.18159876086256607,0.160203614535505,0.15916727054948804,0.17006947754186702,0.14475592249533506,0.14964611421263052,0.18304197173571576,0.16151798896683378,0.16012112220582725,0.2505692715218106,0.20300842422914345,0.18502393778810172,0.20062576984896027,0.1720544045361997,0.16695331091553392,0.21660832684505332,0.17513902496253078,0.16793768885777963,0.19283290955990964,0.16702462262721202,0.16361931544310637,0.20742325272565323,0.16923867571517498,0.1647684521187318,0.19123821691113896,0.16608783526367202,0.1629897802949313,0.3482217574532291,0.2774626816993303,0.2312886648187388,0.2228259485153591,0.18529881525380085,0.17549933453280303,0.25383271054644907,0.2014453827243684,0.18503355938517269,0.2017850931602452,0.1720600303836593,0.1668181281711115,0.22583854407188714,0.18420267703853316,0.17599992951229362,0.19748745955095054,0.16963142122947647,0.1652343984852235,-0.09996648846126432,-0.06478010543885078,0.03348333765498406,0.13684903246479563,0.13253614325565413,0.1413337238306943,-0.004146526259769117,0.00899356733789129,0.07128093909977454,0.1497778909188249,0.1405203618479109,0.14628612833834642,0.0867192454382816,0.08644218998435227,0.11685222864995827,0.16742391159826045,0.15265977700071973,0.15424763108435807
1,CSVel,0.771201,0.17132019887494085,0.1807754121552421,0.18093268212947708,0.12552278371560058,0.12272130607123312,0.09968611327764276,0.160996486016939,0.1707177782858995,0.16881772900427844,0.11786558669529792,0.11771792671911001,0.09630417310649468,0.10426934509944744,0.12847531352154729,0.14238174871637269,0.10397688545354077,0.10911337814202562,0.09045815912307018,0.1149096623232257,0.13712821804254208,0.14782752374026303,0.10625979670012477,0.11054760745998249,0.09132384252021691,0.09205802678962664,0.1199766363182207,0.13745863460361418,0.10137042075671393,0.10751205805496086,0.08933838367505634,0.13166194126181674,0.14960165852431298,0.15465555047428106,0.11102673256989527,0.11344183968924616,0.09352216885973164,0.05794971898286005,0.0949872758262585,0.12181359186956374,0.09387243613589327,0.10288459854841774,0.08632095267083743,0.07706596008772539,0.11081253203414454,0.13184733118504957,0.098313832327171,0.10567845372742368,0.08806246197136113,0.048550864751053864,0.08888562471426352,0.11875409168504644,0.09223005989244758,0.10190358459116164,0.08560365047961965,-0.0612586430453041,0.00848756621708615,0.0735685851353394,0.0708767538459442,0.08909327661619017,0.07710016436672218,0.0021278512924544435,0.05993241922660137,0.10544128907461947,0.08537890451100492,0.09804832951467803,0.08284002872919664,-0.039302439684854695,0.025693792055789325,0.08418569329464187,0.07583582426721007,0.09212010364735267,0.0790362384300277,0.18965126513606553,0.20957774492314804,0.1992176712925445,0.12800717955529287,0.12397294728157507,0.09938998191082914,0.0017871726602906085,0.05319373679129282,0.10113317898295972,0.08446503832619441,0.09743496673462965,0.0824959101833373,-0.17498059294738846,-0.12169487528603286,-0.03468614916744082,0.015376174529775103,0.05307872421254007,0.05363080984145336
2,CVMon,0.730685,0.33427975541325006,0.35272875560981415,0.2764366328720467,0.2026098103857342,0.17710009828671627,0.1475346478323532,0.1749483310045233,0.2256080897643541,0.1834473575414869,0.15434342217367486,0.14663952558537996,0.12731030930962306,0.14780294488448348,0.20862670315904197,0.17068131668687614,0.14738838011586794,0.14225072184066764,0.12423939633810785,0.14782427416676824,0.2104567668790061,0.17101651125091452,0.14738339778902904,0.1422127565537334,0.12413907588430738,0.12596394504363534,0.19379930114564126,0.16118763312741202,0.14270930854799493,0.13932026764086608,0.12224262939339964,0.0140221292505269,0.10084381805849708,0.10425055676257945,0.1152856247153686,0.12224233319336648,0.11122576580373428,0.03184110149289947,0.12345532240727447,0.11803402197893975,0.12200636103629887,0.12654328695992623,0.11387448700833717,0.04180671268633975,0.13476799142577986,0.12457507904433553,0.12518560264961776,0.12852402778269326,0.1150997156623769,0.0207603750753747,0.11751453789229768,0.11455478078100427,0.1204358654087617,0.12557958808018505,0.11317548209111013,0.05590559934405921,0.1497427636242463,0.13523015155338836,0.13028215979098914,0.13184312074804105,0.11714768787588674,0.07229322455089034,0.16728400458529352,0.1444959599225826,0.13449991452681387,0.1343647030149916,0.11868638758702299,0.0256132270582106,0.12758700471707762,0.12217241925440328,0.12436163357346769,0.12816050562457143,0.11469939938570105,0.09996153085289738,0.19547033225404875,0.16655245577328318,0.14585798959993448,0.14126117705342026,0.1229731651336004,-0.027048987941495472,0.07918436485092484,0.09528048358371549,0.112730119589595,0.1210993938227066,0.11010204937935869,-0.14039520127724356,-0.05673785287081384,-0.004748814333564918,0.05937065766864531,0.08706631601734544,0.08797191543686274
3,EVSct,0.490098,-0.3760039950902695,-0.39675576861826467,-0.504533351197671,-0.4442508336578611,-0.4026719299137767,-0.38022684777391286,-0.5485612321300922,-0.5254485661220616,-0.5752104516010792,-0.47432811157396987,-0.42067426760106547,-0.39176001298123675,-0.450802429949517,-0.4497101023900057,-0.5293323799153904,-0.44953799773398123,-0.4047356401813526,-0.38093438147844283,-0.4155356254714851,-0.4230741098448605,-0.5145433053205558,-0.4419198245529684,-0.3997615890737419,-0.37755490984504075,-0.3864670677467081,-0.40182204565650714,-0.5015395194515118,-0.4357609606353198,-0.39598106814201434,-0.37504978522980514,-0.6296059408017243,-0.5963030762218909,-0.6164475809445328,-0.49474136338388947,-0.4336373716042255,-0.40036089392861934,-0.45118471902049423,-0.45530576894869107,-0.5319001879471928,-0.44996196960229795,-0.40493025817574424,-0.3809567425163244,-0.40128213208769536,-0.4173674332170151,-0.5110798141769677,-0.43936752250358,-0.3980302964737493,-0.3762869294150922,-0.36079211169689074,-0.3872698884715252,-0.493101837810798,-0.4310916042423253,-0.39299299696218765,-0.3729705031670631,-0.13041135220639624,-0.21969767364979945,-0.40376106622213165,-0.38898768612386686,-0.3671922997797494,-0.35599014769446535,-0.08042836442242574,-0.18750776497149374,-0.39055274718436506,-0.3829847052825062,-0.3631693503073187,-0.3532672419998884,-0.057912497260913874,-0.16554607207696823,-0.37301694212208775,-0.37511546265631146,-0.35847534273279963,-0.3502003110293059,0.0912614072768732,-0.05887795851211973,-0.3318348064891683,-0.3613730644545798,-0.3499841495160558,-0.34480663062095085,0.06764725282861833,-0.059073049154049415,-0.30741289149763595,-0.3473440789097705,-0.34162485788807856,-0.3392464681753159,0.03072437103072964,-0.05052196663424594,-0.2562711087430013,-0.31983271075431075,-0.325445702855747,-0.3288307483368469
4,GHLup,0.967448,-0.21055793295284161,-0.22217868857303383,-0.12189239770962154,-0.026268760707893375,-0.00874604533383011,0.00021182839712968415,-0.015288595595390635,-0.06880816326159817,-0.016031318769323597,0.026951985558406225,0.02449352391996627,0.02214292461901623,0.04020199589061076,-0.030671760971733675,0.009660293701236389,0.04008923540984103,0.03261086713893184,0.02745306050294443,0.03283281148582525,-0.03840624268732792,0.00573839464304756,0.0385008749284967,0.03158645393746871,0.026760136823897968,0.027058055298535503,-0.04216301985189568,0.0032626938787371066,0.03725090606374408,0.03082049009864217,0.026258687157020406,0.1567792676890386,0.06675829395694667,0.06901354438498845,0.06866240161669182,0.05058710182583082,0.03938769841151894,0.17452788068978917,0.0704774110476238,0.07133802484767011,0.0696502369400758,0.05089280714410711,0.039442369710776096,0.1526641806632359,0.04940279635630202,0.05880812648978811,0.06375089100500551,0.047113905195632466,0.03690892778229853,0.13360156272564436,0.03686039086910277,0.0513131295854447,0.06018369229229352,0.04494704168615276,0.035499373792379,0.18369404959909547,0.07186533002021898,0.0733101115649053,0.07062773767153081,0.051190254195115026,0.03947978562483301,0.13314990884782754,0.02664662489469639,0.04699565932681361,0.058656713246061275,0.04370058382133492,0.0345399396313926,0.09806646512762829,0.0060976540863440275,0.03438211115258903,0.05271645712347708,0.040172545731066135,0.03227903255809622,-0.05550024896945631,-0.11722481966877307,-0.03655660352950809,0.02224420699557377,0.021543165865876672,0.02013237267648504,-0.0544073268485583,-0.10745029735918761,-0.036949595649287806,0.019528924470953973,0.01989677269176091,0.01907364787915355,-0.04151608316234523,-0.08107932801752371,-0.03520081754363866,0.014986603209061273,0.017046618806370883,0.01722392512644895
5,QZNor,0.578244,-0.44486595175948496,-0.46941823737818567,-0.4274225782022225,-0.42078711294985083,-0.3837075794444001,-0.38818902814944994,-0.341006173657766,-0.3837933671371533,-0.35757232494680197,-0.3826092522201673,-0.35915725159742956,-0.3716131134758028,-0.39549530758853935,-0.4278802510007916,-0.3823793764663104,-0.3943860034349122,-0.3662163100846741,-0.37621247422662174,-0.37806108087719853,-0.41564613645622756,-0.37399596861298706,-0.39060876118332627,-0.36370960561304944,-0.374574996251144,-0.38679263405763314,-0.42250162010790443,-0.3785667627961758,-0.3926747004858621,-0.3649961632486107,-0.3753657334312973,-0.2074328860307566,-0.2827023377089233,-0.29225268015082567,-0.34992253516584565,-0.3388023955387537,-0.35810123896883983,-0.3325648414259523,-0.3853723765978458,-0.3546376337260294,-0.3808493663602716,-0.35780771846685283,-0.37064623439399397,-0.31335488014622964,-0.37270198874102367,-0.34619760565305097,-0.37732922201692076,-0.35543425593010036,-0.3691188923917408,-0.3297461835845414,-0.38477596644828804,-0.3542907864618912,-0.381035873076129,-0.3577486530459208,-0.3705686656383653,-0.4902606663569458,-0.5149847404407868,-0.43570866141368475,-0.4197663375848943,-0.3816078768109408,-0.386286016622044,-0.4150389928877831,-0.458181387193538,-0.39883926745385934,-0.40299887758290226,-0.37087486564238403,-0.3792915448961061,-0.4221644251398143,-0.4636162189499011,-0.4053528279994322,-0.4060986179638411,-0.3729709697205324,-0.38055828144006487,-0.07136466517069479,-0.21139900841360484,-0.2665472400831824,-0.3489550268871794,-0.3379574747464664,-0.3583784407376864,-0.25245369519151767,-0.3378250905143476,-0.339584549543866,-0.3785107843902332,-0.35623119191906366,-0.36968658620494804,-0.36741581053997197,-0.4227412101428164,-0.4152531580915959,-0.41825770264761103,-0.383769286582273,-0.38776097084152433
6,RSOri,0.878917,0.16222814117178722,0.17118156105408552,0.14617890463028535,0.13776224410905827,0.13228546741698055,0.14322347032909702,0.10674944695072787,0.12636088209084004,0.11193535742630238,0.11961153723078906,0.12071464223938855,0.13544312939515085,0.12359480622585742,0.14044375520138727,0.11960290826234259,0.12324814160232751,0.12298738061486374,0.13699674709317247,0.12850681186694438,0.14457520475807625,0.12166876186364405,0.12429713982550428,0.1236285992577442,0.13745761914233728,0.1429510661813419,0.15549980075898667,0.12847419698602197,0.1275112097362269,0.1256077204386213,0.13872790502507426,0.044925116917451345,0.07892732135919635,0.08159366983410345,0.10450007923805722,0.11126052345479319,0.12914895536836168,0.09116200574496465,0.11759133183862641,0.10505542026498012,0.11621119452195691,0.11864512884112383,0.13414735275277914,0.10096790828054537,0.12593228055300953,0.1096561867303606,0.11855734542047093,0.12009768605512289,0.13516057124507738,0.1228674549874093,0.14229567138007782,0.11980350330313434,0.12332423221875474,0.12302817129313334,0.1370416077598696,0.15271960951950062,0.1680125952399738,0.13605550989163492,0.13107731875275136,0.12793134656925148,0.14038982708262676,0.1608893110450784,0.17413074391836564,0.1380911131376352,0.13200558980195198,0.12840892863502232,0.14075548523453876,0.18977954013254728,0.19619324407729455,0.15277844383505657,0.13890427565007446,0.13264198455162016,0.14343332033454534,0.13846338160836205,0.16595451632760064,0.13807394201891907,0.13353444311905222,0.1293260154202655,0.14159943460616764,0.2230775573935176,0.2287715192095938,0.17893157518178565,0.15240502602184047,0.1409400320334544,0.14885201720541688,0.25386966780694264,0.26193069789649975,0.22193851972986764,0.17924668775708563,0.15904879914607906,0.1607031071123529
7,SNor,0.989194,-0.09059481801738212,-0.0955947732594938,-0.04344869018302756,-0.04066461744563911,-0.03907640312632664,-0.04943153447789435,0.009770025711419834,-0.016979635266072206,0.01024465560535223,-0.013896337544297362,-0.022300842150235107,-0.038306080271866334,-0.02132054846210746,-0.04238145304689448,-0.0041514059673970535,-0.021260747568107294,-0.026960011905181762,-0.04147185387777202,-0.02913453077350461,-0.048867047295493946,-0.007352939231885025,-0.02294083866205249,-0.028028562667084943,-0.0422223886923404,-0.04493043713976924,-0.06062767263204876,-0.014681726968105935,-0.026401706103219107,-0.03015944094643649,-0.04360307049654185,0.09598268447730957,0.051164011847694695,0.05289245115883531,0.007271525955283857,-0.009032306761002211,-0.02949698583224717,0.01872057948612265,-0.012622181403994877,0.014393752322889246,-0.012474038311294155,-0.021538921206199293,-0.03793104518145001,0.004201092428272774,-0.024871911592526105,0.007789055175965696,-0.015907225222030596,-0.02371956591997634,-0.03943441276745652,-0.020504052686398475,-0.0430949490247563,-0.0034130944283145863,-0.0211257611266018,-0.02692037301177402,-0.041503729828207686,-0.10187310087185003,-0.10641820148933877,-0.039844495311676435,-0.0383866086472438,-0.037605479894757494,-0.04861743459430597,-0.10994188751199342,-0.11208802731079873,-0.04065721038550116,-0.03875699328697387,-0.03780655183572575,-0.048806225661869575,-0.13549858170159174,-0.13191089885400833,-0.05468813614357808,-0.04526998421383823,-0.04179127069386118,-0.05134298238074621,-0.10199654467699237,-0.1121755970782729,-0.04131226277169279,-0.039498932529375606,-0.03825409713075892,-0.04927901986062211,-0.1708766253658685,-0.16506650557898542,-0.08007076758996645,-0.05761874798389215,-0.04935309564133946,-0.05627548572462213,-0.1982806013796764,-0.19707195393624052,-0.12637227152673883,-0.08484791822587524,-0.06726462072023076,-0.06796425755184018
8,STTau,0.605768,0.30147982871461,0.3181185910959573,0.3124431616838347,0.24742352761360722,0.22516566059436713,0.21805852280172763,0.272497030835312,0.2920666438516353,0.2857349936270413,0.23139808164766587,0.21473852175086566,0.21097354534502336,0.2183875317567871,0.2524587219515402,0.26037828467386853,0.21777498796314454,0.20612082880124738,0.20520744366456817,0.21349146507689143,0.24974350661907746,0.258797051426849,0.21670727189402128,0.20538717284705083,0.20470671268870713,0.21070452559388048,0.2477069582860941,0.2576742372443622,0.21620464730162714,0.20507684975882645,0.2044797439835829,0.21281850846630593,0.2484143703532726,0.2568063855151934,0.21719044274064012,0.20591484242477182,0.2051340507871748,0.15292163685707638,0.20596475682480891,0.2314307678833667,0.2035474047771015,0.19730831648094393,0.19938563542890772,0.15164764220108776,0.20702904020759633,0.23261605171614982,0.20386159600096296,0.19743713499001891,0.19946116792950475,0.15258029744034943,0.20717274576872483,0.2328823299717929,0.20407996887665988,0.19757481433749602,0.1995231892074794,0.04508545959526323,0.13100000404621845,0.19167657846816413,0.1846632451219318,0.18585070882528362,0.1919190419993102,0.06151925924192469,0.1481507097505132,0.20322635150871174,0.18992101412682127,0.18897724462274604,0.19396252742169093,0.07811553879342589,0.15672128551259948,0.20746344625039403,0.19210210316797444,0.1903043276778658,0.19477336067035805,0.09245020264396897,0.17810595681400743,0.22966278391156195,0.20386875101801535,0.19744369034706782,0.19959919759586595,0.12060796336900807,0.18826363811577831,0.23045802797846307,0.2045617573650353,0.197988956231678,0.19979282194083814,0.12074197930507405,0.1711949854335796,0.2173626092275393,0.2022836839622739,0.19748064974331586,0.19953469739290072
9,SVVul,1.652569,-0.5828035071294294,-0.6149686078974858,-0.6409441624522226,-0.5980150060189755,-0.5473942365523655,-0.5316166855016636,-0.5939118605865674,-0.616456505993589,-0.6227642230798767,-0.5832393386982574,-0.5371382098166724,-0.5243512145099072,-0.5796198419437986,-0.6070246666001506,-0.6154496709340918,-0.5779940964902978,-0.5334044639865477,-0.5216183745875327,-0.5500602132996951,-0.5854741162139988,-0.6023676680277826,-0.571595694044301,-0.5291795251139464,-0.5187629908334744,-0.5330705356081995,-0.5732915815334638,-0.5952566939041276,-0.5681412456944498,-0.5270621512143719,-0.5173221901101961,-0.528558249593579,-0.5723762167478365,-0.5917124165113173,-0.5675945077640345,-0.5275241306534427,-0.517983876745068,-0.525448322753544,-0.5732499754820334,-0.5928953114583829,-0.5665218972251422,-0.5262509904370805,-0.5168137727585598,-0.4883641731378509,-0.5466692638181821,-0.5773664807838295,-0.5591188595799982,-0.5213414172578692,-0.5135045480559762,-0.46830937732181194,-0.5315379456998282,-0.5690499287344124,-0.5552240821782424,-0.5189920648062781,-0.5119116692560235,-0.4662067015822032,-0.5410009720850774,-0.5838571593641435,-0.5624941690711792,-0.5236158240425459,-0.514906893068933,-0.39244024326997906,-0.4884735754377099,-0.5533845220617476,-0.5486393464405479,-0.5145842624233801,-0.5089243997362619,-0.3648152340766835,-0.4648416763465346,-0.5395703166110076,-0.5425130336955755,-0.5110457252158309,-0.506565979615774,-0.059641231417853435,-0.25019287902405896,-0.43381411334028286,-0.5019387751352558,-0.4861198373763237,-0.4907505578152644,-0.14925913223603848,-0.2963360194148741,-0.44500779263277906,-0.5024983065097772,-0.4867614201503406,-0.4907835949948713,-0.2008473513999263,-0.3016708001437859,-0.43248336740529325,-0.4951253545568385,-0.48436167785647805,-0.4893996497653369
