,A0BV_g_S,E0BV_g_S,A0VI_g_S,E0VI_g_S,A0VK_g_S,E0VK_g_S,A0JK_g_S,E0JK_g_S,A0BV_i_S,E0BV_i_S,A0VI_i_S,E0VI_i_S,A0VK_i_S,E0VK_i_S,A0JK_i_S,E0JK_i_S,A0BV_g_M,E0BV_g_M,A0VI_g_M,E0VI_g_M,A0VK_g_M,E0VK_g_M,A0JK_g_M,E0JK_g_M,A0BV_i_M,E0BV_i_M,A0VI_i_M,E0VI_i_M,A0VK_i_M,E0VK_i_M,A0JK_i_M,E0JK_i_M
0,-0.4907312381252831,-0.1161272395563647,-0.6142997209109906,-0.1838209851886323,-0.672552915091782,-0.452304670378519,-0.7761105666021471,-0.1024939908566194,-0.09984882430378439,-0.02362834773601005,-0.10904092930217871,-0.032629041440041265,-0.1957946045660038,-0.13167560810889262,-0.5132599956257229,-0.06778166354446567,-0.4907312381252831,-0.1161272395563647,-0.6138291754339621,-0.18368018074054437,-0.6595363920039126,-0.44355081019499765,-0.6592552740210271,-0.0870619560348379,-0.09984882430378439,-0.02362834773601005,-0.12860787516535666,-0.03848418859909909,-0.20009882072429255,-0.13457027561687154,-0.22931832915453967,-0.030284023621172027
1,-0.3746039985689181,-0.11612723955636461,-0.46813400152136764,-0.18350852859637612,-0.5083149948364024,-0.44782551045087055,-0.6204616967642977,-0.1073398735402235,-0.076220476567776,-0.023628347736010562,-0.09045323440921196,-0.03545766788841109,-0.15423760510681803,-0.1358833300991067,-0.3933298886299377,-0.0680460707329792,-0.374603998568918,-0.11612723955636459,-0.46813400152136764,-0.18350852859637612,-0.5083149948364024,-0.44782551045087055,-0.5153140548069373,-0.08914933148160013,-0.07622047656777586,-0.02362834773601052,-0.09045323440921196,-0.03545766788841109,-0.15423760510681803,-0.1358833300991067,-0.18241594377028952,-0.03155795827226008
2,-0.26066473792250644,-0.1329047183486464,-0.2846254729249922,-0.1835085285963765,-0.3067051965593496,-0.44441986540918904,-0.3925876315232513,-0.11170667804855668,-0.05521117213152629,-0.028150433159166367,-0.05499556652080048,-0.035457667888410836,-0.09097469176152895,-0.13182352539787334,-0.23262178383156307,-0.06619007993891513,-0.24591055550070864,-0.12538202665332185,-0.2846254729249925,-0.18350852859637673,-0.3203428160410001,-0.4641809554804623,-0.33525810618210033,-0.09539416508141997,-0.026233019725639906,-0.013375388346954557,-0.05499556652080048,-0.035457667888410836,-0.10751165700101833,-0.15578580562154135,-0.13506856523887775,-0.03843233846435172
3,-0.1482759427587594,-0.15741624060005283,-0.15070843318767688,-0.20232091030674432,-0.1560436546024336,-0.47080294419432883,-0.20417920813999113,-0.12096918838430981,-0.0367283541633571,-0.038992430789865425,-0.03297074688757542,-0.04426209856140262,-0.04562296117959854,-0.1376500986274874,-0.11411007482659287,-0.06760631145548139,-0.1646663659663841,-0.17481703236157217,-0.16557536039217002,-0.22227925093743375,-0.18336062545067694,-0.5532216130891999,-0.20417920813999113,-0.12096918838430981,-0.002251268168758397,-0.00239004497368186,-0.0325783112216648,-0.04373526711949522,-0.0863212844776376,-0.2604419576191737,-0.11411007482659287,-0.06760631145548139
4,-0.09642256526502968,-0.16514362006717792,-0.09606648254728299,-0.20805558651124273,-0.0993733568708086,-0.48369020664741647,-0.1308175585266768,-0.1250355669895861,-0.023264519059348156,-0.0398453088861764,-0.020042093013881726,-0.04340607989746761,-0.02715066125530849,-0.13215321859628054,-0.06954619173548066,-0.0664723269073931,-0.12646445992013602,-0.21659658881349264,-0.11311826898643969,-0.2449854223352727,-0.1233389724984033,-0.6003405235972006,-0.1452518155572403,-0.13883184580885394,0.01677604318975539,0.028732449662011994,-0.011043912779180563,-0.02391830833944078,-0.0614151957018149,-0.29893252714529794,-0.08933026380346817,-0.08538196485082868
5,-0.05841357959794621,-0.15216982920473382,-0.05780374653769605,-0.19041234153593994,-0.06048948438553116,-0.44782551045086516,-0.08321001975568076,-0.12096918838430898,-0.016853538744241666,-0.04390417656062955,-0.013951222192789502,-0.0459569672233066,-0.01835427500770967,-0.13588333009909428,-0.04650376337111087,-0.06760631145548049,-0.07927138381524043,-0.20650528556911374,-0.05624529738344176,-0.18527862667486697,-0.06048948438553118,-0.44782551045086527,-0.08321001975568076,-0.12096918838430898,0.05719083819560713,0.14898453647595136,0.02975555475191361,0.09801829800630367,-0.018354275007710384,-0.13588333009909956,-0.04650376337111087,-0.06760631145548049
