,name,logP,HST,EBV,M_B_h,M_V_h,M_R_h,M_I_h,M_J_h,M_H_h,M_K_h
0,RT Aur,0.571489,8.099,0.059,-2.0603533,-2.6494299999999997,-3.03896835,-3.2841334399999997,-3.88435356,-4.11550683,-4.21732217
1,QZ Nor,0.578244,10.512,0.253,-0.7594811000000001,-1.6528100000000001,-2.1594744500000003,-2.65314848,-3.43138052,-3.76208861,-3.91275439
2,SU Cyg,0.584952,9.622,0.098,-2.1953326,-2.7634600000000002,-3.1125236999999997,-3.43754368,-3.98757032,-4.22270626,-4.32233174
3,Y Lac,0.635863,11.783,0.207,-1.9141209,-2.6413900000000003,-3.08502455,-3.49348512,-4.13476588,-4.4589815900000005,-4.58043541
4,T Vul,0.646934,8.606,0.064,-2.2091968,-2.85328,-3.2353216000000002,-3.53431424,-4.05963776,-4.32258368,-4.4254003200000005
5,FF Aql,0.650397,7.756,0.196,-1.6306652,-2.38692,-2.8150474,-3.25508736,-3.90514064,-4.17541252,-4.2946634800000005
6,T Vel,0.666501,10.022,0.289,-1.0571542999999999,-1.9965300000000004,-2.53121785,-3.07245024,-3.85742676,-4.24104193,-4.3989170699999995
7,VZ Cyg,0.687034,11.338,0.266,-1.4944742,-2.37082,-2.8939929,-3.3576185599999997,-4.109119440000001,-4.44448842,-4.597757580000001
8,V350 Sgr,0.712165,9.853,0.299,-1.4748413000000002,-2.37423,-2.9139243500000003,-3.4328118399999994,-4.22799516,-4.60519563,-4.735073369999999
9,BG Lac,0.726883,11.146,0.3,-1.29061,-2.2510000000000003,-2.8011950000000003,-3.3208480000000002,-4.077052,-4.464611,-4.614689
10,delta Cep,0.729678,7.183,0.075,-2.5626525,-3.2277500000000003,-3.6652987500000003,-3.9627120000000002,-4.4792629999999996,-4.7761527500000005,-4.8811722500000005
11,CV Mon,0.730685,11.003,0.722,0.5949985999999998,-0.7079400000000002,-1.5394093,-2.36210752,-3.6690384799999998,-4.19789714,-4.4424848599999995
12,V Cen,0.739882,8.913,0.292,-1.2144604000000003,-2.08684,-2.6030298,-3.10655872,-3.8845972800000004,-4.2592880399999995,-4.40776396
13,Y Sgr,0.761428,8.358,0.191,-1.7618216999999998,-2.61307,-3.10869415,-3.57490656,-4.26985644,-4.63833567,-4.75658533
14,CS Vel,0.771201,12.407,0.737,0.6384680999999999,-0.7094899999999997,-1.5284690500000004,-2.34264992,-3.63489108,-4.15912769,-4.406719310000001
15,BB Sgr,0.821971,9.481,0.281,-1.5510047,-2.54237,-3.1130526499999998,-3.6381609600000004,-4.43497204,-4.8257189700000005,-4.97199203
16,V Car,0.82586,10.089,0.169,-1.8649103,-2.74413,-3.23873985,-3.6781110399999997,-4.34060596,-4.69119753,-4.8250414699999995
17,U Sgr,0.828997,8.76,0.403,-0.9647860999999998,-2.0583099999999996,-2.69007195,-3.3085724799999996,-4.22990652,-4.654394109999999,-4.81509889
18,V496 Aql,0.832958,9.853,0.397,-0.9501738999999998,-2.10769,-2.76644805,-3.38035552,-4.29556548,-4.71790189,-4.86740511
19,X Sgr,0.845907,7.614,0.237,-2.3071819,-3.05449,-3.52314405,-3.9645699199999997,-4.64647108,-4.961442689999999,-5.0789043099999995
20,U Aql,0.846591,9.178,0.36,-1.4467320000000001,-2.4871999999999996,-3.0874340000000005,-3.6430175999999994,-4.5304624,-4.9095332,-5.0716268
21,eta Aql,0.85593,6.91,0.13,-2.219931,-3.0101,-3.4451845,-3.8847007999999996,-4.5073891999999995,-4.8339981000000005,-4.9500319
22,W Sgr,0.880522,8.21,0.108,-2.7930196,-3.54116,-4.0152301999999995,-4.3679052800000004,-4.99813872,-5.33685996,-5.4284880399999995
23,U Vul,0.902584,9.178,0.603,-0.7685260999999999,-2.0423100000000005,-2.82420195,-3.5658044799999997,-4.6012745200000005,-5.05746811,-5.22822489
24,S Sge,0.923352,9.149,0.1,-2.73687,-3.537,-3.9970649999999996,-4.373616,-4.975684,-5.291537,-5.401563
25,GH Lup,0.967448,10.253,0.335,-1.4125145,-2.6279500000000002,-3.29566775,-3.9021135999999994,-4.8240414,-5.27414895,-5.46123605
26,S Mus,0.98498,9.568,0.212,-2.6029644000000003,-3.44524,-3.9213778,-4.383665919999999,-5.07005008,-5.42605844,-5.57851356
27,S Nor,0.989194,9.873,0.178,-2.4968286,-3.44506,-3.9741757,-4.45043648,-5.19211752,-5.5759358599999995,-5.72158214
28,beta Dor,0.993131,7.515,0.052,-2.9599724000000003,-3.7620400000000003,-4.1980737999999995,-4.577880319999999,-5.12095568,-5.45959924,-5.57001276
29,zeta Gem,1.006507,7.78,0.014,-3.0707618,-3.88478,-4.3617891,-4.672506240000001,-5.296795759999999,-5.591815179999999,-5.70461882
30,Z Lac,1.036854,11.379,0.37,-1.844419,-2.9448999999999996,-3.5901404999999995,-4.1633792,-5.0710308,-5.513686900000001,-5.6877831
31,XX Cen,1.039548,10.902,0.266,-2.0944742,-3.0708200000000003,-3.6339929000000004,-4.1576185599999995,-4.9491194400000005,-5.34448842,-5.49775758
32,V340 Nor,1.052579,11.259,0.321,-1.7417527,-2.9031700000000003,-3.54387865,-4.09960736,-5.0572456400000005,-5.512333770000001,-5.69661723
33,UU Mus,1.065819,12.407,0.399,-1.4517113,-2.60123,-3.2709893500000007,-3.8964278399999994,-4.91367916,-5.36673263,-5.5666363699999994
34,U Nor,1.101875,10.458,0.862,0.3873806000000002,-1.22574,-2.1673003,-3.1071699199999996,-4.5869960800000005,-5.19604894,-5.4686730599999995
35,SU Cru,1.1088,10.038,0.942,0.5158845999999997,-1.2573400000000001,-2.3089523000000005,-3.3800627200000006,-5.1015432800000005,-5.97927854,-6.29792346
36,BN Pup,1.135867,12.925,0.416,-1.8797792000000002,-3.07632,-3.7545903999999997,-4.413042560000001,-5.39764544,-5.86679392,-6.06010208
37,TT Aql,1.138459,10.022,0.438,-1.5766906,-2.8852599999999997,-3.6045447,-4.28983808,-5.30689592,-5.7939320599999995,-5.98164594
38,LS Pup,1.150646,13.389,0.461,-1.6793706999999998,-2.9109700000000003,-3.6117696500000003,-4.29466976,-5.32520324,-5.82048557,-6.01280543
