,name,logP,cluster,EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,CFCas,0.687994,12.457351372009526,0.553,2.3399089,1.7861900000000002,1.08600352,0.52156748,0.32330039,0.21255661
1,CSVel,0.771201,12.754923255400634,0.737,3.1184681,2.38051,1.44735008,0.6951089199999999,0.43087231,0.28328069
2,CVMon,0.730685,11.163478421109918,0.722,3.0549986,2.33206,1.41789248,0.6809615199999999,0.42210285999999997,0.27751514
3,EVSct,0.490098,11.487847283843116,0.655,2.7715015000000003,2.11565,1.2863152,0.6177697999999999,0.38293265,0.25176235
4,GHLup,0.967448,10.283022125831511,0.347,1.4682610999999999,1.1208099999999999,0.6814524799999999,0.32727651999999996,0.20286660999999998,0.13337638999999998
5,QZNor,0.578244,11.447720637130637,0.263,1.1128319,0.8494900000000001,0.51648992,0.24805107999999998,0.15375769,0.10108931
6,RSOri,0.878917,11.074775336001103,0.352,1.4894176,1.13696,0.6912716799999999,0.33199231999999995,0.20578976,0.13529824
7,SNor,0.989194,9.846596718117892,0.179,0.7574027,0.57817,0.35152736,0.16882563999999997,0.10464876999999999,0.06880222999999999
8,STTau,0.605768,10.104535599921496,0.368,1.5571184,1.18864,0.72269312,0.3470828799999999,0.21514384,0.14144816
9,SVVul,1.652569,11.859077559300124,0.462,1.9548606000000002,1.4922600000000001,0.90729408,0.43573991999999995,0.27009906,0.17757894
10,TWNor,1.032868,11.877558100064917,1.157,4.8956141,3.73711,2.27216288,1.0912361199999998,0.67641691,0.44471609
11,USgr,0.828997,9.042605169631322,0.402,1.7009826000000001,1.2984600000000002,0.7894636800000001,0.37915032,0.23502126,0.15451674
12,VCen,0.739882,9.370155158361328,0.294,1.2440022,0.9496199999999999,0.5773689599999999,0.27728903999999993,0.17188121999999997,0.11300477999999999
13,VLac,0.697493,11.421236394149773,0.335,1.4174855000000002,1.08205,0.6578864000000001,0.3159586,0.19585105,0.12876395000000002
14,AAGem,1.053181,11.44856666828612,0.309,1.3074717,0.99807,0.60682656,0.29143643999999996,0.18065066999999999,0.11877033
15,XLac,0.735997,11.421236394149773,0.336,1.4217168,1.08528,0.65985024,0.31690176,0.19643568,0.12914832
16,XPup,1.414321,12.198075508027443,0.421,1.7813773,1.3598299999999999,0.82677664,0.39707035999999996,0.24612922999999998,0.16181977
17,YSct,1.014575,11.490433906669114,0.757,3.2030941,2.44511,1.48662688,0.7139721199999999,0.44256491,0.29096809
