,name,logP,plx,EBV,M_B0_g,M_V0_g,M_I0_g,M_J0_g,M_H0_g,M_K0_g
0,V0465Mon,0.433514,12.936773181380437,0.244,-3.0042103813804366,-3.352893181380437,-3.9419501413804365,-4.3319042213804355,-4.643422901380436,-4.665559461380436
1,EVSct,0.490098,11.225259479873284,0.655,-2.706760979873285,-3.1969094798732836,-3.888574679873284,-4.1790292798732835,-4.437192129873283,-4.449021829873284
2,SZTau,0.498166,8.917825582806314,0.295,-2.8010590828063138,-3.344675582806314,-3.9801583828063136,-4.369057782806314,-4.676291432806314,-4.717214732806314
3,SSSct,0.564814,10.073996745630629,0.325,-2.2841692456306295,-2.9057467456306285,-3.6172447456306287,-3.9995237456306283,-4.327001495630628,-4.3539169956306285
4,QZNor,0.578244,11.425521266544438,0.263,-2.7823531665444374,-3.4060112665444384,-4.077011186544437,-4.5375723465444375,-4.846278956544438,-4.907610576544438
5,ADGem,0.578408,11.946294357261664,0.173,-2.131309257261663,-2.6500843572616635,-3.247038677261664,-3.5824610372616643,-3.9004353472616637,-3.9357903672616636
6,YAur,0.586529,11.204778834597668,0.375,-2.279516334597668,-2.8020288345976674,-3.3702188345976687,-3.815463834597668,-4.140015084597668,-4.181917584597668
7,STTau,0.605768,10.141118674761303,0.368,-2.632237074761303,-3.110758674761304,-3.725811794761303,-4.136201554761303,-4.458262514761303,-4.4945668347613035
8,BFOph,0.609329,9.56465716912419,0.235,-2.3590126691241915,-2.986707169124191,-3.660159569124191,-4.085299769124191,-4.417045219124191,-4.47698411912419
9,SYCas,0.609712,11.677891406797706,0.442,-2.6981260067977058,-3.232551406797706,-3.793908686797705,-4.185768126797706,-4.488297866797705,-4.504782946797706
10,XSct,0.62305,10.8546488763081,0.589,-2.2088845763081006,-2.7461188763081017,-3.3913506363081014,-3.9311701163081008,-4.247995946308102,-4.255042806308102
11,YLac,0.635863,11.63388347911998,0.217,-2.6780755791199793,-3.19079347911998,-3.7830367591199807,-4.13254919911998,-4.444748189119981,-4.492291769119981
12,TVul,0.646934,8.779609271617035,0.06,-2.6434872716170355,-3.220409271617035,-3.843439671617035,-4.235198871617035,-4.544687071617036,-4.597671471617035
13,XYCas,0.653376,11.621368055041328,0.533,-2.7916509550413275,-3.389958055041329,-3.9320947750413278,-4.292072335041328,-4.597975845041328,-4.614237265041329
14,TVel,0.666501,10.05660033600083,0.289,-2.335446036000829,-2.95807033600083,-3.6651500960008305,-4.10417357600083,-4.457558406000831,-4.5266832660008305
15,VZCyg,0.687034,11.162505097664257,0.266,-2.4520308976642564,-3.0656850976642573,-3.751886537664257,-4.130385657664256,-4.4460166776642565,-4.505747517664256
16,CFCas,0.687994,12.252554504981491,0.553,-2.2544634049814922,-2.9107445049814915,-3.6475580249814907,-4.073121984981491,-4.4438548949814916,-4.499111114981491
17,VLac,0.697493,11.37247493244264,0.335,-2.9739604324426403,-3.533524932442641,-4.164361332442641,-4.5674335324426405,-4.8973259824426405,-4.914238882442641
