,name,logP,plx,EBV,M_B0_g,M_V0_g,M_I0_g,M_J0_g,M_H0_g,M_K0_g
18,V0386Cyg,0.720788,10.159435638990368,0.841,-2.5509589389903686,-3.2488656389903676,-4.069025078990368,-4.4706331989903685,-4.842109468990368,-4.895690808990369
19,CRSer,0.724391,11.063017638117676,1.036,-2.9546444381176755,-3.5562976381176767,-4.202555878117677,-4.577131398117676,-4.905694318117677,-4.913224958117676
20,V1162Aql,0.730464,10.340667869239477,0.195,-2.488771369239477,-3.181517869239477,-3.878616669239477,-4.304584069239477,-4.647670719239477,-4.701620019239476
21,CVMon,0.730685,10.978800580030445,0.722,-2.4377991800304444,-3.0058605800304448,-3.780693060030445,-4.255762100030445,-4.609903440030444,-4.680315720030445
22,SWCas,0.735675,11.512722080938332,0.467,-2.680739180938332,-3.3181320809383323,-4.042835360938331,-4.453177800938332,-4.803744290938331,-4.833222870938331
23,XLac,0.735997,11.290870634889783,0.336,-3.406587434889784,-3.971150634889784,-4.633720874889783,-4.999772394889784,-5.330306314889784,-5.374018954889783
24,VCen,0.739882,9.197433322695396,0.294,-2.7364355226953956,-3.313053322695396,-3.9788022826953955,-4.401722362695396,-4.741314542695396,-4.801438102695395
25,FMCas,0.764123,11.492937268073236,0.325,-2.7491097680732364,-3.414687268073236,-4.153185268073236,-4.576464268073236,-4.9369420180732355,-4.979857518073236
26,CSVel,0.771201,12.547220228688158,0.737,-2.616688328688158,-3.218730228688158,-3.926570308688158,-4.402329148688158,-4.744092538688157,-4.812500918688157
27,MWCyg,0.774852,11.199703416360896,0.635,-3.0455789163608964,-3.767753416360895,-4.572741816360896,-4.999610016360895,-5.361943466360896,-5.402778366360895
28,FMAql,0.786342,9.893257091898544,0.589,-2.8394927918985444,-3.5257270918985446,-4.332958851898544,-4.6547783318985445,-5.002604161898544,-5.044651021898544
29,CRCep,0.794695,10.66520836988451,0.709,-2.61720006988451,-3.300278369884511,-4.128570929884511,-4.579908809884511,-4.981711039884511,-5.00272669988451
30,RSCas,0.799056,10.872222441629962,0.833,-2.973895341629962,-3.6188124416299607,-4.291101161629961,-4.773874721629961,-5.1322192316299615,-5.162402651629962
31,RRLac,0.807281,11.674609409067935,0.319,-3.271394109067935,-3.862979409067935,-4.485074369067935,-4.917477449067936,-5.242106379067936,-5.2702234390679354
32,XXSgr,0.807815,10.592480841288962,0.521,-2.8299881412889616,-3.4193108412889623,-4.146641481288961,-4.587867201288962,-4.936073071288962,-4.9687376112889625
33,BBSgr,0.821971,9.559813198538286,0.281,-2.824808498538286,-3.527443198538286,-4.289652238538286,-4.7258411585382865,-5.085094228538286,-5.157821168538287
34,VCar,0.82586,10.389031150564474,0.166,-2.8564269505644746,-3.5572111505644735,-4.294028590564474,-4.7395957105644735,-5.099079730564474,-5.1688365705644745
35,V0495Cyg,0.827263,11.622048975110925,0.978,-3.5142603751109247,-4.162988975110924,-4.848684495110924,-5.311459455110925,-5.651817115110925,-5.683962835110925
36,USgr,0.828997,8.923040732551554,0.402,-2.8380233325515545,-3.531500732551554,-4.286504412551554,-4.715191052551554,-5.065061992551554,-5.123557472551553
37,TWCMa,0.844792,11.901871648972966,0.329,-2.759969348972965,-3.4005416489729656,-4.128975008972965,-4.552171288972966,-4.919214918972966,-4.959329378972966
38,xSgr,0.845893,7.716269118243055,0.237,-3.408087218243055,-3.920779118243055,-4.5266991982430556,-4.923798038243055,-5.236826428243055,-5.286364808243055
39,V0600Aql,0.859672,11.259348318024385,0.798,-3.108925718024386,-3.800888318024385,-4.6274926380243855,-4.937989998024385,-5.275883058024385,-5.294075578024384
40,V0459Cyg,0.860413,11.8820689467904,0.73,-2.9359179467903993,-3.6389689467903983,-4.4786721467904,-4.855575746790399,-5.2358488467903985,-5.2596590467904
41,CKSct,0.870124,11.40572101874594,0.757,-2.4438151187459405,-3.2758310187459405,-4.114347898745939,-4.62169313874594,-5.028285928745939,-5.044689108745939
42,V1344Aql,0.873787,9.712609588121726,0.546,-2.891899388121726,-3.710189588121726,-4.473866228121726,-4.948574948121726,-5.302817568121726,-5.332475608121726
43,RSOri,0.878917,11.001908401272402,0.352,-3.1153260012724027,-3.7248684012724027,-4.440180081272402,-4.844900721272403,-5.1896981612724025,-5.220206641272402
44,BKAur,0.903222,11.677938427875784,0.425,-2.952240927875785,-3.593688427875783,-4.263570427875783,-4.691781427875784,-5.041406177875784,-5.069295677875783
45,GHLup,0.967448,10.22261827152559,0.347,-2.8468793715255907,-3.7064282715255903,-4.54007075152559,-5.05789479152559,-5.46548488152559,-5.54299466152559
46,FNAql,0.976878,10.582928469687204,0.486,-3.0463402696872035,-3.763708469687204,-4.590354709687204,-4.991304229687204,-5.372058649687204,-5.4137322896872035
47,YZSgr,0.980171,10.244027307737111,0.281,-3.0610226077371117,-3.8006573077371115,-4.581866347737111,-5.037055267737111,-5.405308337737111,-5.449035277737112
48,SNor,0.989194,9.728963126792776,0.179,-3.1113658267927757,-3.8781331267927754,-4.653490486792776,-5.168788766792775,-5.558611896792775,-5.635765356792776
49,DDCas,0.991759,12.077054664486075,0.45,-2.905139664486075,-3.651554664486076,-4.453782664486075,-4.8744766644860755,-5.272138164486076,-5.302021164486075
50,BZCyg,1.006127,11.344383530323435,0.885,-3.2520840303234357,-3.9819335303234356,-4.758381930323436,-5.293080130323435,-5.706781080323435,-5.760550980323435
51,SYAur,1.006262,11.519353307836806,0.432,-3.2572749078368055,-3.8447133078368054,-4.524732187836806,-4.918798427836806,-5.247913467836805,-5.280401147836805
52,YSct,1.014575,11.143930014246289,0.757,-3.153024114246288,-3.957040014246289,-4.789556894246289,-5.279902134246289,-5.6904949242462886,-5.743898104246289
53,TWNor,1.032868,11.971016997017266,1.157,-3.2366310970172654,-4.007126997017265,-4.956179877017265,-5.556253117017265,-5.953433907017266,-6.025733087017266
54,ZLac,1.036854,11.32206851288647,0.37,-3.3736495128864714,-4.103168512886471,-4.900689312886471,-5.325037712886471,-5.711381612886471,-5.7712854128864715
55,XXCen,1.039548,11.102331520324078,0.271,-3.4460138203240778,-4.158661520324078,-4.898532160324079,-5.366927880324079,-5.730766250324078,-5.7994957903240785
56,TYSct,1.043507,11.91595055784764,0.965,-3.492155057847641,-4.21490055784764,-4.986056157847641,-5.47109995784764,-5.8421185078476405,-5.85786760784764
57,V340Nor,1.052579,11.4064412652367,0.322,-3.2429198652366997,-4.075501265236699,-4.8707977452366995,-5.438138785236699,-5.862692125236699,-5.944208405236699
58,AAGem,1.053181,12.300634761167014,0.309,-2.799106461167015,-3.5697047611670154,-4.326461321167015,-4.858071201167014,-5.2812854311670145,-5.313405091167015
59,RXAur,1.065337,10.80361415548236,0.263,-3.2854460554823604,-3.9841041554823615,-4.730104075482361,-5.232665235482361,-5.60237184548236,-5.635703465482361
60,UUMus,1.065819,12.313232382609929,0.404,-3.086677582609929,-3.8241523826099284,-4.620623742609928,-5.166269022609929,-5.560422902609929,-5.640517862609928
61,RYCas,1.084181,11.996823112034368,0.618,-3.2907665120343688,-4.04296311203437,-4.807476232034368,-5.404695992034369,-5.807124452034368,-5.861363772034368
62,UNor,1.101875,10.894666037511602,0.857,-3.6798901375116024,-4.415776037511602,-5.225676917511602,-5.771954157511602,-6.158693947511602,-6.233071127511602
63,ZSct,1.110645,12.066442294122076,0.492,-3.221241894122077,-4.0636022941220755,-4.977651574122077,-5.4754770141220765,-5.876080254122076,-5.932552334122076
64,BNPup,1.135867,12.388919204911469,0.416,-3.0801400049114678,-3.850599204911469,-4.653876644911469,-5.155273764911469,-5.556125284911469,-5.627817124911468
65,TTAql,1.138459,9.932871345899628,0.435,-3.337486845899628,-4.199921345899628,-5.1091417458996276,-5.5711459458996275,-5.9831853958996275,-6.049072295899627
66,LSPup,1.150646,13.05227817705691,0.462,-3.32213877705691,-4.09653817705691,-4.885572257056911,-5.394018097056911,-5.804377237056911,-5.876857117056911
67,TXCyg,1.167607,10.297969519686204,1.13,-3.7163385196862038,-4.4588695196862025,-5.289108719686204,-5.901740319686203,-6.321601419686204,-6.360307619686203
68,UZSct,1.168739,12.235944074870767,1.02,-3.427870074870767,-4.283544074870767,-5.055060874870768,-5.6639672748707675,-6.086266674870767,-6.094001474870767
69,RWCas,1.170032,12.150423688538693,0.38,-3.296317688538693,-4.144823688538692,-5.025682888538692,-5.574824488538693,-6.0055830885386925,-6.059484288538693
70,VWCen,1.177138,12.645686718721777,0.439,-2.9172274187217764,-3.8156567187217774,-4.737812478721777,-5.405733958721777,-5.8883392887217765,-5.995425148721777
71,SZCyg,1.179252,11.57941626507364,0.571,-3.0854885650736392,-3.991746265073639,-4.94576890507364,-5.482960625073639,-5.952239995073639,-6.0238915350736395
72,SVMon,1.182801,11.493701472036832,0.234,-3.1738256720368323,-3.993521472036832,-4.820240032036833,-5.3694009120368325,-5.8045048920368325,-5.857644052036832
73,XCyg,1.214482,10.119499113710727,0.228,-3.551235513710727,-4.4789391137107275,-5.344254633710728,-5.863539593710727,-6.288794753710727,-6.3691354737107275
74,CDCyg,1.232334,11.831463238585702,0.493,-3.700494138585701,-4.475853238585701,-5.351636358585702,-5.833441118585702,-6.229685828585702,-6.300957648585702
75,YOph,1.233609,9.319633753826372,0.647,-4.526284853826372,-5.243443753826371,-6.066238233826372,-6.492858273826372,-6.828889363826372,-6.886321143826371
76,SZAql,1.234029,11.256058008028884,0.534,-3.4825722080288846,-4.346878008028884,-5.286748568028884,-5.8047054480288836,-6.221250428028883,-6.3013115880288835
77,CPCep,1.251989,12.531832906000954,0.649,-3.054946606000953,-4.0511029060009545,-5.033365066000954,-5.686943746000954,-6.185257776000954,-6.2442890360009535
78,VYCar,1.276818,11.096359923379694,0.242,-3.4783345233796945,-4.415019923379694,-5.291609203379694,-5.861604643379694,-6.292840383379694,-6.383377463379694
79,VXCyg,1.303917,12.23020280080577,0.753,-3.6473717008057704,-4.600392800805771,-5.547974320805771,-6.1244022808057705,-6.5874291908057705,-6.61463341080577
80,RYSco,1.307927,10.476692647650534,0.718,-4.052766047650534,-4.777832647650533,-5.631729767650534,-6.154881527650534,-6.531456987650534,-6.609670307650534
81,RZVel,1.309564,10.793705173405876,0.3,-3.8470951734058763,-4.672705173405876,-5.515857173405876,-6.097653173405876,-6.509094173405876,-6.601016173405876
82,WZSgr,1.339443,10.967760656251569,0.435,-3.3843761562515695,-4.34281065625157,-5.325031056251569,-5.974035256251569,-6.457074706251569,-6.566961606251569
83,WZCar,1.361977,12.483841530446382,0.372,-3.6308851304463823,-4.419401530446382,-5.251390010446382,-5.825697050446381,-6.2453238904463815,-6.336827170446382
84,VZPup,1.364945,12.96163567071646,0.455,-4.0938771707164605,-4.797285670716459,-5.55018287071646,-6.01777347071646,-6.397642320716459,-6.466524020716459
85,SWVel,1.370016,11.74250303919865,0.344,-3.91707023919865,-4.72562303919865,-5.574063999198651,-6.1359500791986505,-6.553615759198651,-6.643726319198651
86,XPup,1.414321,11.818070902897958,0.421,-3.897448202897958,-4.670900902897958,-5.537847542897958,-6.035141262897958,-6.464200132897958,-6.548890672897958
87,RYVel,1.449158,11.955188031554531,0.545,-4.517246531554532,-5.3445380315545306,-6.191480831554531,-6.769210231554531,-7.150811381554531,-7.236669681554531
88,KQSco,1.457818,11.484080204997342,0.869,-3.4140799049973425,-4.480950204997342,-5.532657164997342,-6.278686244997342,-6.774123674997342,-6.871097734997342
89,AQPup,1.478624,12.415260552745409,0.518,-4.526073952745409,-5.3834005527454085,-6.292529672745409,-6.801817432745408,-7.235098892745409,-7.315364212745408
90,KNCen,1.531857,12.70949627515709,0.791,-4.58845457515709,-5.40842627515709,-6.26689371515709,-6.938535835157089,-7.4159386051570895,-7.52353294515709
91,UCar,1.58897,11.122760074756943,0.263,-4.766591974756943,-5.680250074756944,-6.582249994756943,-7.177811154756943,-7.606517764756943,-7.701849384756943
92,RSPup,1.61742,11.05487314490565,0.457,-4.5465772449056505,-5.520983144905651,-6.463348024905651,-7.04589726490565,-7.4950490549056505,-7.58353023490565
93,SVVul,1.652569,11.8154976151152,0.462,-5.070358215115201,-6.0947576151152,-7.0527916951152,-7.5832375351152,-7.9955966751152,-8.0630765551152
94,SVul,1.837426,12.882775885631403,0.787,-5.362808985631403,-6.4637858856314026,-7.487317965631403,-8.089042805631404,-8.510879695631402,-8.585275075631404
