,name,logP,plx,EBV,A_B,A_V,A_I,A_J,A_H,A_K
0,V0465Mon,0.433514,12.936773181380437,0.244,1.0324372,0.7881199999999999,0.47917696,0.23013103999999998,0.14264971999999998,0.09378628
1,EVSct,0.490098,11.225259479873284,0.655,2.7715015000000003,2.11565,1.2863152,0.6177697999999999,0.38293265,0.25176235
2,SZTau,0.498166,8.917825582806314,0.295,1.2482335,0.95285,0.5793328,0.27823219999999993,0.17246584999999998,0.11338915
3,SSSct,0.564814,10.073996745630629,0.325,1.3751725000000001,1.04975,0.638248,0.306527,0.19000475,0.12492025
4,QZNor,0.578244,11.425521266544438,0.263,1.1128319,0.8494900000000001,0.51648992,0.24805107999999998,0.15375769,0.10108931
5,ADGem,0.578408,11.946294357261664,0.173,0.7320148999999999,0.55879,0.33974432,0.16316667999999998,0.10114098999999999,0.06649601
6,YAur,0.586529,11.204778834597668,0.375,1.5867375,1.21125,0.73644,0.35368499999999997,0.21923625,0.14413874999999998
7,STTau,0.605768,10.141118674761303,0.368,1.5571184,1.18864,0.72269312,0.3470828799999999,0.21514384,0.14144816
8,BFOph,0.609329,9.56465716912419,0.235,0.9943555,0.75905,0.4615024,0.22164259999999997,0.13738804999999998,0.09032694999999999
9,SYCas,0.609712,11.677891406797706,0.442,1.8702346,1.42766,0.86801728,0.41687672,0.25840646,0.16989154
10,XSct,0.62305,10.8546488763081,0.589,2.4922356999999997,1.9024699999999999,1.15670176,0.5555212399999999,0.34434707,0.22639393
11,YLac,0.635863,11.63388347911998,0.217,0.9181921,0.70091,0.42615328,0.20466571999999997,0.12686471,0.08340829
12,TVul,0.646934,8.779609271617035,0.06,0.253878,0.1938,0.1178304,0.05658959999999999,0.0350778,0.023062199999999998
13,XYCas,0.653376,11.621368055041328,0.533,2.2552829,1.7215900000000002,1.04672672,0.50270428,0.31160779,0.20486921
14,TVel,0.666501,10.05660033600083,0.289,1.2228457,0.9334699999999999,0.56754976,0.27257323999999994,0.16895807,0.11108292999999998
15,VZCyg,0.687034,11.162505097664257,0.266,1.1255258000000001,0.85918,0.5223814400000001,0.25088056,0.15551158,0.10224242
16,CFCas,0.687994,12.252554504981491,0.553,2.3399089,1.7861900000000002,1.08600352,0.52156748,0.32330039,0.21255661
17,VLac,0.697493,11.37247493244264,0.335,1.4174855000000002,1.08205,0.6578864000000001,0.3159586,0.19585105,0.12876395000000002
18,V0386Cyg,0.720788,10.159435638990368,0.841,3.5585233,2.71643,1.65158944,0.7931975599999999,0.49167383,0.32325517
19,CRSer,0.724391,11.063017638117676,1.036,4.3836268,3.34628,2.0345382400000003,0.9771137599999999,0.60567668,0.39820732
20,V1162Aql,0.730464,10.340667869239477,0.195,0.8251035,0.62985,0.38294880000000003,0.18391619999999997,0.11400285,0.07495215
