,name,logP,cluster,EBV,BBV_c,VBV_c,IBV_c,JBV_c,HBV_c,KBV_c,BBI_c,VBI_c,IBI_c,JBI_c,HBI_c,KBI_c,BBJ_c,VBJ_c,IBJ_c,JBJ_c,HBJ_c,KBJ_c,BBH_c,VBH_c,IBH_c,JBH_c,HBH_c,KBH_c,BBK_c,VBK_c,IBK_c,JBK_c,HBK_c,KBK_c,BVI_c,VVI_c,IVI_c,JVI_c,HVI_c,KVI_c,BVJ_c,VVJ_c,IVJ_c,JVJ_c,HVJ_c,KVJ_c,BVH_c,VVH_c,IVH_c,JVH_c,HVH_c,KVH_c,BVK_c,VVK_c,IVK_c,JVK_c,HVK_c,KVK_c,BIJ_c,VIJ_c,IIJ_c,JIJ_c,HIJ_c,KIJ_c,BIH_c,VIH_c,IIH_c,JIH_c,HIH_c,KIH_c,BIK_c,VIK_c,IIK_c,JIK_c,HIK_c,KIK_c,BJH_c,VJH_c,IJH_c,JJH_c,HJH_c,KJH_c,BJK_c,VJK_c,IJK_c,JJK_c,HJK_c,KJK_c,BHK_c,VHK_c,IHK_c,JHK_c,HHK_c,KHK_c
0,CFCas,0.687994,12.457351372009526,0.553,-5.232577178461136,-5.232577178461137,-5.139512662332104,-4.896093307493396,-5.031835242977268,-4.955835242977268,-5.058909776567929,-5.100006642664795,-5.058909776567929,-4.857382711040865,-5.00783997599813,-4.940059349217503,-4.799577305211883,-4.9020429240723935,-4.938547835663749,-4.799577305211883,-4.9720085429329055,-4.916501666705007,-4.9996525234709965,-5.054772098315992,-5.031407173603856,-4.844174224091014,-4.9996525234709965,-4.934676438439995,-4.928184285527578,-5.0002161914889545,-4.998237182253018,-4.828243899297519,-4.989777904335304,-4.928184285527578,-4.921570759764627,-4.995167698540136,-4.995167698540137,-4.826769739356465,-4.988864127111567,-4.927583514866669,-4.609986965229865,-4.757317473704441,-4.8505547618400335,-4.757317473704441,-4.945813236416306,-4.899279338111221,-4.91148812414628,-4.987471030129186,-4.990488124146278,-4.824522312180466,-4.987471030129185,-4.926667611325765,-4.821076684154817,-4.918454663723487,-4.948526173371615,-4.804369533190003,-4.974979067809754,-4.918454663723487,-4.22346529606016,-4.46226276441459,-4.671161498591805,-4.671161498591804,-4.892408334034843,-4.864167827705729,-4.90223193407042,-4.980405236178147,-4.986192121424047,-4.822459100346763,-4.986192121424047,-4.925826781845592,-4.7405170161813075,-4.856958733972717,-4.911136648083145,-4.786412721702778,-4.9638483045248645,-4.911136648083146,-6.834576597234764,-6.455477498135661,-5.883036056694216,-5.253180200838357,-5.253180200838357,-5.101360381018536,-5.684958308425716,-5.577906285304326,-5.349472759292764,-4.996929406691607,-5.094339811315885,-4.996929406691607,-3.6267707268482248,-4.006770726848227,-4.394222339751456,-4.538157823622426,-4.809964275235331,-4.809964275235331
1,CSVel,0.771201,12.754923255400634,0.737,-5.368503900561924,-5.368503900561924,-5.315052287658698,-5.17711680378773,-5.303310352174828,-5.251310352174826,-5.268758013235392,-5.292362001839381,-5.268758013235392,-5.154883369360748,-5.289528668506047,-5.242249466226844,-5.122219915518511,-5.180500858544052,-5.200746438111832,-5.122219915518512,-5.269281801569592,-5.2289379901747,-5.292858596410377,-5.310759393576009,-5.279943627411263,-5.160255407747844,-5.292858596410377,-5.244438755843503,-5.2396008372646135,-5.270104615602144,-5.255225522403152,-5.148384212579475,-5.285500081597107,-5.239600837264613,-5.189877337033288,-5.232147745196553,-5.232147745196553,-5.137300806421042,-5.278629888053695,-5.235083969686348,-5.014383707378035,-5.098183142406283,-5.150697266700069,-5.098183142406283,-5.254382294948656,-5.219142181954306,-5.264226063703442,-5.288902498379877,-5.266654635132014,-5.153873194350573,-5.288902498379876,-5.2418377853151625,-5.194243346206536,-5.235480576626513,-5.234174106705968,-5.13827399319859,-5.279233130542518,-5.235480576626513,-4.796682749071519,-4.931999204767722,-5.049657432615824,-5.049657432615823,-5.224303002236077,-5.199366293375316,-5.332480632449813,-5.341005222613748,-5.2983330914662075,-5.169087189826863,-5.2983330914662075,-5.248038009498994,-5.197743296300427,-5.238152294255437,-5.235798511024354,-5.139054134746236,-5.279716711433353,-5.235798511024354,-6.857815147292526,-6.505382714860094,-6.006274606751986,-5.509085417562796,-5.509085417562796,-5.386598931076309,-5.930316318984445,-5.797368342105832,-5.575801868117395,-5.302345220718552,-5.380934816094275,-5.302345220718552,-4.269794223142554,-4.529794223142559,-4.805116803787724,-4.932213577981276,-5.151503900561922,-5.151503900561922
2,CVMon,0.730685,11.163478421109918,0.722,-5.022994550142178,-5.022994550142178,-5.079504227561532,-4.975517130787337,-5.126255840464757,-5.083055840464757,-5.12844708207858,-5.103492666124165,-5.12844708207858,-4.999022580654078,-5.140825999457496,-5.092635116266614,-4.961898853329957,-4.976356613644299,-5.051148362170822,-4.9618988533299575,-5.117814373958641,-5.07750592602151,-5.142810573457127,-5.114457163359696,-5.135113496397784,-5.002224213846853,-5.142810573457128,-5.093939891437642,-5.089056926567517,-5.073423845123353,-5.110165238910087,-4.990242484921841,-5.135383542856349,-5.089056926567517,-5.211840666007878,-5.167151890497673,-5.167151890497674,-5.017611074171143,-5.152348319069102,-5.100210563967061,-4.935147912635341,-4.955936048228562,-5.038732658398054,-4.955936048228562,-5.114118251618392,-5.075075878737037,-5.188162181793678,-5.149076711708209,-5.156162181793679,-5.012333121964619,-5.149076711708208,-5.098059617691115,-5.11230248467405,-5.091168545968034,-5.120954017023653,-4.9954239375684875,-5.138595333709237,-5.091168545968034,-4.591908800856753,-4.693921459084601,-4.879427788198526,-4.879427788198525,-5.066693610983335,-5.043896142628905,-5.166424556941298,-5.132483104950666,-5.146073268885093,-5.007487788791416,-5.146073268885093,-5.096084978486967,-5.032509095956543,-5.030257562214212,-5.083920138901329,-4.977637930312372,-5.127570445649795,-5.0839201389013295,-6.801982925614419,-6.381000943632438,-5.9051721148036105,-5.372054997686494,-5.372054997686494,-5.244658601290098,-5.837305010705298,-5.644605588739979,-5.457443739028996,-5.157027554057896,-5.238767438450958,-5.157027554057896,-4.110220356593804,-4.326220356593801,-4.65586551788412,-4.772059066271212,-5.0001397114325,-5.0001397114325
3,EVSct,0.490098,11.487847283843116,0.655,-5.0406214773915,-5.0406214773915,-5.112485993520535,-4.903305348359245,-4.985963412875374,-4.899763412875375,-5.17472762572346,-5.142992582988416,-5.17472762572346,-4.933197711193544,-5.004492582988416,-4.911945574441408,-4.863918010758637,-4.905733334923665,-5.030474002900091,-4.863918010758637,-4.961548659088695,-4.883711723921702,-4.9772006939405475,-4.992208665596879,-5.0830510039494055,-4.889168807315215,-4.9772006939405475,-4.894002288271815,-4.885689433297357,-4.922352741441772,-5.0405786020631,-4.868770877461924,-4.964556771668473,-4.885689433297357,-5.2807809573125075,-5.223949324659445,-5.223949324659445,-4.956837079761485,-5.019145753230871,-4.92157942670026,-4.78654784881487,-4.846672142600179,-4.994564797967412,-4.846672142600179,-4.950858583278144,-4.876683442035207,-4.953195269191102,-4.973883913879746,-5.071909554905388,-4.883817979813813,-4.973883913879746,-4.891821642817476,-4.83117305001792,-4.880737181686477,-5.01527634173188,-4.856619134013378,-4.957024355352765,-4.880737181686476,-4.173448549665901,-4.378657410425394,-4.710011840805142,-4.710011840805142,-4.8661479167545085,-4.8209896889064074,-4.652460866981287,-4.744315667918055,-4.932332061360681,-4.8167840519929985,-4.93233206136068,-4.8645030215480345,-4.470751169323689,-4.605605975049659,-4.847996568096695,-4.776280821675427,-4.9072256069515,-4.847996568096695,-6.0161355721314,-5.785288725284554,-5.5652436802395115,-5.120748184744016,-5.120748184744016,-4.988378815374648,-5.013801041068553,-5.0201478618778,-5.100038035288205,-4.897327052629244,-4.982257688467394,-4.897327052629244,-3.2192988967463574,-3.650298896746353,-4.267169864488285,-4.497331154810862,-4.734315025778602,-4.734315025778602
4,GHLup,0.967448,10.283022125831511,0.347,-6.539570512928285,-6.539570512928285,-6.28629954518635,-5.927938254863769,-6.027754383896028,-5.933354383896027,-6.066942353751739,-6.178785658595045,-6.066942353751739,-5.8225890773984625,-5.962452325261711,-5.890420986230372,-5.752499532511274,-5.938752970625224,-5.921002479466088,-5.752499532511275,-5.919006408739174,-5.861857096361963,-5.945700602359412,-6.086234703333725,-6.010671372952857,-5.7955641984621575,-5.945700602359412,-5.879407422554275,-5.872783670751747,-6.0305729234805465,-5.976829010802124,-5.779310958745029,-5.935625820205987,-5.872783670751747,-5.693180289096817,-5.893471105423348,-5.893471105423348,-5.739277227872328,-5.910810391137634,-5.85646855440294,-5.407878058034901,-5.675683142780663,-5.761056024136596,-5.675683142780663,-5.871390769899308,-5.830551786848461,-5.720914677724063,-5.91464239445178,-5.906343249152634,-5.74545924426863,-5.91464239445178,-5.858987937797323,-5.638159469758867,-5.85147047997453,-5.867934725150468,-5.727013045241273,-5.903208277931398,-5.851470479974531,-5.053958834692271,-5.405515796717587,-5.596794277730245,-5.596794277730245,-5.822490480261891,-5.798401872666955,-5.746375755808092,-5.934078331920505,-5.9181602991336195,-5.751134538009497,-5.918160299133619,-5.861300814356102,-5.594052800678138,-5.817801266935806,-5.847463843622922,-5.717181635033965,-5.897114150371388,-5.847463843622923,-7.7175806843900725,-7.438814918624306,-6.83304014384953,-6.1905176213270074,-6.1905176213270074,-6.040364468173854,-6.5805828194731335,-6.570877617160994,-6.305334264559837,-5.93707992929972,-6.0334209697621475,-5.93707992929972,-4.544989867767001,-5.016989867766999,-5.360570512928288,-5.483344706476673,-5.752167287121835,-5.752167287121835
5,QZNor,0.578244,11.447720637130637,0.263,-5.440010959711284,-5.440010959711284,-5.3223851532596695,-5.147217411324185,-5.232614185517734,-5.169214185517734,-5.22050981091981,-5.2724528308628305,-5.22050981091981,-5.098290437700437,-5.202286164196164,-5.1492747681847675,-5.063233407268161,-5.152394507464624,-5.147514350293701,-5.063233407268161,-5.180555607661089,-5.134987827700382,-5.199364569814428,-5.2563114254388745,-5.210695836422045,-5.093577147316642,-5.199364569814428,-5.147353940939317,-5.1421572450231645,-5.212641711857757,-5.1841446505647255,-5.080825590950956,-5.191460351656246,-5.1421572450231645,-5.046924718763288,-5.139945126926554,-5.139945126926554,-5.059598188151044,-5.178302269783698,-5.133506351416351,-4.898260185153235,-5.026460750124986,-5.070946625831201,-5.026460750124986,-5.157761597582614,-5.120001710576965,-5.108277413687413,-5.186779245189245,-5.1684202708302704,-5.07327375068375,-5.186779245189245,-5.139079611489612,-5.037350603078423,-5.132636641670931,-5.135501567891136,-5.057464110456403,-5.176979433952431,-5.132636641670932,-4.713840890295193,-4.885682662447093,-4.985353548523042,-4.985353548523041,-5.132280763712916,-5.103249118143295,-5.164601199191528,-5.229774501299256,-5.194561386545157,-5.085828365467873,-5.194561386545157,-5.1441960469667025,-5.029675647355586,-5.126777896844338,-5.131939451036567,-5.055753356967037,-5.175919001138817,-5.131939451036567,-6.447846763256769,-6.2093512677612726,-5.790144060554063,-5.371864781274782,-5.371864781274782,-5.260765682175682,-5.606576128460119,-5.56715994348902,-5.399691735396534,-5.184344914587284,-5.255628151581504,-5.184344914587284,-4.100430314549989,-4.41743031454999,-4.700656121001603,-4.848623862937087,-5.04752708874354,-5.04752708874354
6,RSOri,0.878917,11.074775336001103,0.352,-5.764001142452716,-5.764001142452715,-5.708536626323683,-5.491917271484974,-5.618459206968845,-5.527059206968845,-5.66049898272475,-5.684991860217627,-5.660498982724749,-5.468846561072328,-5.604158526884294,-5.51765710238287,-5.413873567828215,-5.496728184724089,-5.546034668024678,-5.413873567828215,-5.5700828016199635,-5.495253724999139,-5.595126088879757,-5.635088887816869,-5.630157975505089,-5.4542748931313065,-5.595126088879757,-5.51171864866718,-5.503384907789517,-5.565057451870121,-5.587578862449465,-5.433825713834857,-5.582450398973395,-5.503384907789516,-5.578647784980694,-5.6225100298786534,-5.6225100298786534,-5.450601866613348,-5.5928493155929395,-5.510221764572532,-5.260569121311837,-5.379701889673419,-5.474882680633871,-5.379701889673419,-5.5489010422157925,-5.481327595888109,-5.531205128430896,-5.586294261520029,-5.60049084271661,-5.44002686225263,-5.586294261520029,-5.505912088137856,-5.411681124877381,-5.495054564150934,-5.5450171067162,-5.413384870620853,-5.569779876296223,-5.495054564150933,-4.865990525874523,-5.078496854988446,-5.2917500195454075,-5.2917500195454075,-5.494382930937812,-5.445484196760597,-5.487651214221245,-5.55304699876457,-5.580276506961291,-5.430318661528036,-5.580276506961291,-5.501955663869956,-5.277834640704581,-5.392881675469406,-5.482895990397831,-5.383550387125847,-5.551286583444866,-5.482895990397831,-7.257423984649755,-6.904018579244348,-6.401667227892997,-5.82480236302813,-5.824802363028131,-5.662721281947049,-6.030104815769891,-5.9671337175039945,-5.832041231954861,-5.551231983399948,-5.655226203053127,-5.551231983399948,-3.8328075940656188,-4.2898075940656195,-4.812226948904328,-5.061452755355942,-5.351630174710781,-5.351630174710781
7,SNor,0.989194,9.846596718117892,0.179,-6.469209621343698,-6.469209621343698,-6.2749773632791825,-6.008667685859827,-6.123938653601763,-6.047738653601764,-6.106753413274588,-6.192525493046668,-6.106753413274588,-5.927875920397095,-6.07385882638,-6.014813242334417,-5.876567248569758,-6.016810863500996,-5.9999189185108195,-5.876567248569758,-6.042054478432234,-5.993903201418481,-6.068585203503188,-6.163389455053232,-6.089038702174579,-5.919368197303012,-6.068585203503188,-6.011346053813198,-6.005626944818145,-6.1153297155990005,-6.059818380586407,-5.905334753382375,-6.059886390661973,-6.005626944818144,-5.8201171262811595,-5.973719167097485,-5.973719167097485,-5.863984473219933,-6.034254881383198,-5.988775289546464,-5.617076944106593,-5.818726661620717,-5.87948372376761,-5.818726661620717,-6.0062012378919025,-5.970331181394728,-5.9169447034658775,-6.0476333481545215,-6.018658989180164,-5.885567414088588,-6.0476333481545215,-5.9975710770922515,-5.8425047771417296,-5.990808976914714,-5.984109771466361,-5.868974697686564,-6.037348136960117,-5.990808976914714,-5.365204313054599,-5.626457477611561,-5.7625840598900435,-5.7625840598900435,-5.971400515586246,-5.947451148497638,-6.00583559399611,-6.115488989780653,-6.059915219288852,-5.905381261443418,-6.059915219288852,-6.005645898445761,-5.860451523843862,-6.004508783557563,-5.992439253905213,-5.872975041226276,-6.039827801962472,-5.992439253905213,-7.829614736135908,-7.50768680820798,-6.906371492892667,-6.311903024424198,-6.311903024424198,-6.171317438838613,-6.76506492621038,-6.6950533655167375,-6.4122903597363905,-6.074614059158355,-6.164816371297083,-6.074614059158355,-4.8591773632791915,-5.240177363279189,-5.527725750375962,-5.649790266504991,-5.901483814892087,-5.901483814892087
8,STTau,0.605768,10.104535599921496,0.368,-4.617793664437629,-4.617793664437629,-4.627748503147305,-4.5503549547602065,-4.7010743095989165,-4.6416743095989155,-4.636370357756254,-4.631974346360245,-4.636370357756254,-4.55449571388161,-4.7036410130269095,-4.643361810747707,-4.531011041964717,-4.55154738774075,-4.587470766915602,-4.531011041964717,-4.689083733516781,-4.633791002671987,-4.714425768212019,-4.6915586291509035,-4.672597601692976,-4.5718943244564825,-4.714425768212019,-4.650452340399795,-4.644060369023091,-4.637844583968516,-4.639939462222084,-4.5562098232632255,-4.704703526034007,-4.644060369023091,-4.651061110125575,-4.6431886611459845,-4.643188661145985,-4.557770293799046,-4.7056708040031285,-4.644696314207209,-4.493013001051437,-4.5225412496390085,-4.569835034949744,-4.522541249639009,-4.683833622520366,-4.6303392722378796,-4.751002022387917,-4.71947943386533,-4.689573450959347,-4.580047199433095,-4.71947943386533,-4.6537749161608115,-4.653302909796636,-4.64489995860481,-4.644229130000951,-4.558269992657023,-4.705980548843176,-4.64489995860481,-4.296953321440481,-4.372877372073393,-4.47883939738985,-4.47883939738985,-4.65674446068099,-4.612529270807571,-4.842751056595969,-4.789516864558499,-4.732156208820793,-4.6004981291955005,-4.732156208820793,-4.662109370413299,-4.655100017099408,-4.646271796240514,-4.645063207283458,-4.558670569246648,-4.706228851455238,-4.645063207283458,-6.396553617939522,-5.975625690011593,-5.453310374696275,-4.946841906227803,-4.946841906227804,-4.803256320642217,-5.309287045008202,-5.145651206857913,-4.948685888938837,-4.7044893571469295,-4.796616524776987,-4.7044893571469295,-3.3627291483085795,-3.6597291483085836,-4.045245277340845,-4.270600116050525,-4.527664632179559,-4.527664632179559
9,SVVul,1.652569,11.859077559300124,0.462,-9.442851752848508,-9.442851752848508,-9.105516268977542,-8.591735623816252,-8.637293688332381,-8.499893688332381,-8.813351063573627,-8.96231687553944,-8.813351063573627,-8.451419439642002,-8.55031687553944,-8.442710037932603,-8.347604081893444,-8.606784828455329,-8.597187578946489,-8.347604081893444,-8.485965575017216,-8.400401724329592,-8.508147532727936,-8.729337081000743,-8.671699348494101,-8.383389339636704,-8.508147532727936,-8.414985442382497,-8.405677055521787,-8.651115342675439,-8.624140531592314,-8.360548592045715,-8.493989398091056,-8.405677055521785,-8.315531640932779,-8.582302049096043,-8.582302049096043,-8.340455110320532,-8.481534191953184,-8.397488273585838,-7.868046485853796,-8.240710327661706,-8.374614282463966,-8.240710327661706,-8.41970609037357,-8.356838858735152,-8.15435228457485,-8.459264372486938,-8.507495141717706,-8.304528108750674,-8.459264372486937,-8.382846790069355,-8.040723416280828,-8.372524778369364,-8.454757468494222,-8.279200147268341,-8.443564505951656,-8.372524778369364,-7.312938318793794,-7.81696363524949,-8.11697629347734,-8.116976293477338,-8.34300793904696,-8.306413002338099,-8.006384350869212,-8.346311751337595,-8.438819948058907,-8.271545943375065,-8.438819948058907,-8.369405428152582,-7.820427252551657,-8.20435976788908,-8.35251314212221,-8.230095964208099,-8.413126639054724,-8.35251314212221,-9.98051900074157,-9.853284766507334,-9.355059541282108,-8.711582063804629,-8.711582063804629,-8.54873521695778,-8.74740125872209,-8.911973513057351,-8.782742299184518,-8.436719177797233,-8.541204726930182,-8.436719177797233,-6.53972272059044,-7.226722720590441,-7.7581098173646375,-7.944625946396896,-8.236174333493672,-8.236174333493672
