,CVMon,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.6171994199695554,-2.4377991800304444,-5.027162824928404,0.5299999999999994,-2.5249986000000004,-5.11436224489796,1.3610464664675685,1.3610464664675685,0.016418043107560898,1.3009700921277207,1.3009700921277207,-0.04365833123228757,0.2465568310574782,0.15369996210210185,0.24095132299052047,0.13105454572154168
1,V,-0.673800580030445,-3.0058605800304448,-4.9824740494182,-0.761000000000001,-3.093060000000001,-5.069673469387756,1.1584976489723047,1.1584976489723047,0.13206373801046745,1.0984212746324569,1.0984212746324569,0.07198736367061986,0.20779456691294743,0.20779456691294743,0.18856645161686486,0.18856645161686486
2,I,-2.362800580030445,-3.780693060030445,-4.982474049418201,-2.450000000000001,-3.867892480000001,-5.069673469387757,0.756135555875264,0.756135555875264,0.13206373801046656,0.6960591815354165,0.6960591815354165,0.07198736367061898,0.12633909668307275,0.12633909668307228,0.11464840258305425,0.11464840258305381
3,J,-3.5748005800304448,-4.255762100030445,-4.832933233091669,-3.662000000000001,-4.342961520000001,-4.920132653061225,0.4378960066535109,0.4378960066535109,0.13817730465265576,0.3778196323136651,0.3778196323136651,0.07810093031280818,0.05806293681233887,0.0824089407854123,0.05431120281259662,0.06342078330887153
4,H,-4.187800580030444,-4.609903440030444,-4.967670477989628,-4.275,-4.69710286,-5.054869897959184,0.3347879597496499,0.3347879597496499,0.14900342186555715,0.2747115854098041,0.2747115854098041,0.08892704752571312,0.03639341339522431,0.07710602528507611,0.033668470623505586,0.05457819045463416
5,K,-4.402800580030445,-4.680315720030445,-4.915532722887588,-4.490000000000001,-4.767515140000001,-5.002732142857144,0.2528471721423937,0.2528471721423937,0.13070153673793516,0.19277079780254613,0.19277079780254613,0.07062516239808758,0.023385729228407676,0.048359722715860295,0.022066386815903435,0.025179480313355956
