,XCyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.586499113710727,-3.551235513710727,-6.442978705547461,-2.6439999999999992,-3.6087363999999993,-6.500479591836734,-1.1993206552329678,-1.1993206552329678,0.01383807600733622,-1.2345467354753816,-1.2345467354753816,-0.02138800423507803,0.060381466068032214,0.13850351537512823,0.05645422732299352,0.14929652893602335
1,V,-3.7424991137107275,-4.4789391137107275,-6.686376664731135,-3.8,-4.53644,-6.743877551020407,-1.0097361103695088,-1.0097361103695088,-0.08366074301049764,-1.0449621906119226,-1.0449621906119226,-0.118886823252911,0.029915733878189396,0.029915733878189396,0.039134534685791394,0.039134534685791394
2,I,-4.896499113710727,-5.344254633710728,-6.686376664731135,-4.954,-5.40175552,-6.743877551020407,-0.6467145663647766,-0.6467145663647766,-0.08366074301049764,-0.6819406466071909,-0.6819406466071909,-0.118886823252911,0.01818876619793773,0.018188766197938133,0.023793797088960067,0.023793797088960317
3,J,-5.648499113710727,-5.863539593710727,-6.508111358608686,-5.7059999999999995,-5.921040479999999,-6.565612244897959,-0.32879440042356656,-0.32879440042356656,-0.05838039315473598,-0.36402048066597903,-0.36402048066597903,-0.09360647339714934,0.01120327319698209,0.02412107258112181,0.012711260377468156,0.03299868375786648
4,H,-6.155499113710727,-6.288794753710727,-6.688340950445421,-6.212999999999999,-6.346295639999999,-6.7458418367346935,-0.2372675699592932,-0.2372675699592932,-0.0696479284673126,-0.2724936502017057,-0.2724936502017057,-0.1048740087097233,0.006649192446114505,0.005138916651827141,0.007876927029105793,0.015302753240792846
5,K,-6.281499113710727,-6.3691354737107275,-6.631820542282156,-6.3389999999999995,-6.42663636,-6.689321428571429,-0.1911659347926573,-0.1911659347926573,-0.08096296607693532,-0.22639201503507156,-0.22639201503507156,-0.11618904631934868,0.0044281468490541265,-0.00957587501943058,0.005272882168355447,0.000579898851760699
