,FNAql,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.9899284696872037,-3.0463402696872035,-5.808857041115773,-0.5549999999999997,-2.6114117999999995,-5.373928571428569,0.08129491504674213,0.08129491504674213,-0.046113405933789764,0.5408792744126658,0.5408792744126658,0.41347095343213347,0.15861820421643247,0.12243542031613917,0.18941287963687814,0.1448137724904493
1,V,-2.1939284696872043,-3.763708469687204,-5.872499898258631,-1.7590000000000003,-3.32878,-5.437571428571427,0.09659526337760171,0.09659526337760171,-0.0006629969128812974,0.556179622743525,0.556179622743525,0.4589213624530428,0.12814614129974294,0.12814614129974294,0.1468059047135471,0.1468059047135471
2,I,-3.6359284696872036,-4.590354709687204,-5.872499898258631,-3.2009999999999996,-4.15542624,-5.437571428571427,0.058470025343732246,0.058470025343732246,-0.0006629969128812974,0.5180543847096555,0.5180543847096555,0.4589213624530428,0.07791285391024332,0.07791285391024366,0.0892579900658364,0.08925799006583718
3,J,-4.532928469687204,-4.991304229687204,-5.60707132683006,-4.098,-4.55637576,-5.172142857142856,0.14487404306248308,0.14487404306248308,0.1164746310576632,0.604458402428409,0.604458402428409,0.5760589904235864,0.04069738100723436,0.1544778876699347,0.038184247222425305,0.174322068581519
4,H,-5.087928469687204,-5.372058649687204,-5.753749898258632,-4.653,-4.93713018,-5.318821428571428,0.14487021624244534,0.14487021624244534,0.1272664711298681,0.6044545756083695,0.6044545756083695,0.586850830495794,0.025597145163704912,0.15101068457295136,0.02364072107001236,0.17686479552494933
5,K,-5.226928469687204,-5.4137322896872035,-5.664678469687203,-4.792,-4.9788038199999995,-5.229749999999999,0.15879720621539928,0.15879720621539928,0.14722347324083174,0.6183815655813216,0.6183815655813216,0.6068078326067559,0.016718569423434637,0.1630103822355555,0.015032512110110585,0.19150847792601472
