,FMCas,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.3739372680732362,-2.7491097680732364,-5.2170495129711965,-1.093,-2.4681725,-4.93611224489796,-0.5856258785681795,-0.5856258785681795,-0.07579176294496914,-0.27790065465531477,-0.27790065465531477,0.2319334609678947,0.07260823311804021,0.07740816124285725,0.10005794458093653,0.10446119754288219
1,V,-2.364937268073236,-3.414687268073236,-5.298610737460992,-2.0839999999999996,-3.1337499999999996,-5.017673469387756,-0.47040272688928275,-0.47040272688928275,-0.08121637908530577,-0.16267750297641825,-0.16267750297641825,0.22650884482755895,0.05360419275171653,0.05360419275171653,0.07637340641129914,0.07637340641129914
2,I,-3.5149372680732363,-4.153185268073236,-5.298610737460992,-3.234,-3.872248,-5.017673469387756,-0.31784167855012413,-0.31784167855012413,-0.08121637908530577,-0.010116454637259409,-0.010116454637259409,0.22650884482755895,0.03259134919304367,0.032591349193044045,0.046435031098069596,0.04643503109807018
3,J,-4.269937268073236,-4.576464268073236,-5.126569921134461,-3.989,-4.295527,-4.845632653061225,-0.16690581420871098,-0.16690581420871098,-0.053263400649949055,0.14081940970415552,0.14081940970415552,0.25446182326291567,0.018143272697435125,0.03399982944759228,0.01995161390633804,0.05732048194109887
4,H,-4.746937268073236,-4.9369420180732355,-5.27793216603242,-4.465999999999999,-4.656004749999999,-4.996994897959183,-0.12788779371356807,-0.12788779371356807,-0.05744506476104849,0.17983743019929754,0.17983743019929754,0.2502801591518189,0.01109109142685643,0.019602507048584808,0.01234827647520964,0.04863278584170136
5,K,-4.854937268073236,-4.979857518073236,-5.204044410930379,-4.574,-4.69892025,-4.923107142857143,-0.10013013438396179,-0.10013013438396179,-0.05381695899528882,0.20759508952890204,0.20759508952890204,0.2539082649175768,0.007466771681674429,0.018407314827537324,0.007902706571960572,0.04939569458018542
