,TTAql,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.4968713458996277,-3.337486845899628,-6.3759529785526885,-1.3640000000000008,-3.204615500000001,-6.243081632653062,-0.21078484113992824,-0.21078484113992824,-0.14120957457865746,-0.054876845449461475,-0.054876845449461475,0.014698421111808635,0.2521906254337711,0.26047462309245517,0.2817325480597836,0.2905196720910571
1,V,-2.7948713458996277,-4.199921345899628,-6.5193611418179955,-2.662000000000001,-4.067050000000001,-6.386489795918369,-0.20360577544768566,-0.20360577544768566,-0.15049488494289953,-0.047697779757219116,-0.047697779757219116,0.005413110747567451,0.18925512136632408,0.18925512136632408,0.21470119114356986,0.21470119114356986
2,I,-4.254871345899628,-5.1091417458996276,-6.5193611418179955,-4.122000000000001,-4.976270400000001,-6.386489795918369,-0.18278630636980964,-0.18278630636980964,-0.15049488494289953,-0.026878310679342654,-0.026878310679342654,0.005413110747567451,0.11506711379072504,0.1150671137907254,0.13053832421529074,0.13053832421529116
3,J,-5.160871345899627,-5.5711459458996275,-6.248422366307791,-5.0280000000000005,-5.438274600000001,-6.115551020408164,-0.04654756471571542,-0.04654756471571542,-0.03103918468831779,0.10936043097475334,0.10936043097475334,0.1248688110021492,0.06176377140931707,0.15691895789754437,0.06278777654795811,0.18231732261474948
4,H,-5.728871345899628,-5.9831853958996275,-6.403003998960852,-5.596000000000001,-5.850314050000001,-6.270132653061225,-0.029948661217003902,-0.029948661217003902,-0.020335590035636564,0.12595933447346397,0.12595933447346397,0.13557240565483308,0.03844060913875578,0.13871104136774406,0.03891976390310797,0.16928399399463118
5,K,-5.8818713458996275,-6.049072295899627,-6.325085631613913,-5.7490000000000006,-5.91620095,-6.192214285714286,-0.01698208291624237,-0.01698208291624237,-0.010661886946172316,0.1389259127742246,0.1389259127742246,0.14524610874429467,0.02541796639170299,0.13387170979386934,0.025468328231874116,0.16569091141755218
