,VZCyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.3265050976642563,-2.4520308976642564,-4.745204077256092,-1.751999999999999,-2.877525799999999,-5.170698979591835,-0.6407031805579673,-0.6407031805579673,0.17086636624022056,-1.0386376006820652,-1.0386376006820652,-0.22706805388387874,0.025878852755132215,0.03032105275140809,-0.02069718732708195,-0.013484627426488538
1,V,-2.206505097664257,-3.0656850976642573,-4.8161989752152765,-2.6319999999999997,-3.49118,-5.241693877551019,-0.4554520765992345,-0.4554520765992345,0.16406666141464932,-0.8533864967233327,-0.8533864967233327,-0.2338677587094482,0.020672444217395503,0.020672444217395503,-0.016282298017032543,-0.016282298017032543
2,I,-3.2295050976642568,-3.751886537664257,-4.816198975215277,-3.6549999999999994,-4.17738144,-5.24169387755102,-0.21260073129779222,-0.21260073129779222,0.16406666141464843,-0.6105351514218906,-0.6105351514218906,-0.2338677587094491,0.012568846084177465,0.012568846084176966,-0.009899637194355743,-0.009899637194356353
3,J,-3.879505097664256,-4.130385657664256,-4.641535709909154,-4.304999999999999,-4.5558805599999985,-5.0670306122448965,0.015265557824680975,0.015265557824680975,0.19616502932473612,-0.38266886229941477,-0.38266886229941477,-0.2017693907993623,0.0034729814732307185,0.05753911215632654,-0.0022511011535711056,0.02004788966688459
4,H,-4.290505097664257,-4.4460166776642565,-4.762859689500991,-4.715999999999999,-4.871511579999999,-5.188354591836734,0.10616035295581217,0.10616035295581217,0.21829324453632548,-0.29177406716828447,-0.29177406716828447,-0.17964117558776937,0.0028505010428917787,0.08598968662916687,-0.0013666547962897513,0.03988299881056426
5,K,-4.403505097664256,-4.505747517664256,-4.714058669092828,-4.828999999999999,-4.9312424199999985,-5.1395535714285705,0.12269692920880626,0.12269692920880626,0.19641965903245762,-0.27523749091529304,-0.27523749091529304,-0.2015147610916399,0.0011297211222818793,0.06586425925249323,-0.0007363381405382785,0.01708820976204145
