,TWNor,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,1.658983002982735,-3.2366310970172654,-6.408210874568285,2.101000000000001,-2.7946140999999995,-5.966193877551019,2.8046593623253413,2.8046593623253413,-0.48191294120355366,3.2707711605188265,3.2707711605188265,-0.015801143010068408,0.4223768040452045,0.34678751000935826,0.5197826026956129,0.4267782089891707
1,V,-0.2700169970172652,-4.007126997017265,-6.428180262323386,0.1720000000000006,-3.5651099999999993,-5.9861632653061205,2.124717846730763,2.124717846730763,-0.3841159727569421,2.5908296449242485,2.5908296449242485,0.08199582543654405,0.3330158650893749,0.3330158650893749,0.4007188779189426,0.4007188779189426
2,I,-2.684016997017265,-4.956179877017265,-6.428180262323387,-2.241999999999999,-4.514162879999999,-5.986163265306121,1.141254989491582,1.141254989491582,-0.384115972756943,1.6073667876850677,1.6073667876850677,0.08199582543654316,0.20247364597434075,0.20247364597434042,0.24363707777471721,0.2436370777747168
3,J,-4.4650169970172655,-5.556253117017265,-6.263200670486653,-4.023,-5.114236119999999,-5.821183673469387,0.3640460341079246,0.3640460341079246,-0.36853344118248543,0.8301578323014125,0.8301578323014125,0.0975783570110007,0.10577082839246005,0.06739323782167456,0.11616637919297289,0.1351504939021769
4,H,-5.277016997017266,-5.953433907017266,-6.391644548037673,-4.835,-5.51141691,-5.9496275510204075,0.11729995337527743,0.11729995337527743,-0.3367989679519958,0.5834117515687645,0.5834117515687645,0.1293128302414921,0.06562499335364269,0.0419886652126677,0.07202416848286822,0.1238428177209904
5,K,-5.581016997017266,-6.025733087017266,-6.313838425588695,-5.139,-5.58371609,-5.871821428571429,-0.029254663087710853,-0.029254663087710853,-0.3278058876067478,0.4368571351057744,0.4368571351057744,0.13830591058673747,0.04404936217792593,0.023241220536489027,0.04723872275506308,0.10866824793757314
