,SNor,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.3539631267927756,-3.1113658267927757,-5.702483534956043,-2.3369999999999997,-3.0944027,-5.685520408163267,-1.2663624812036725,-1.2663624812036725,0.09623678778476741,-1.2248668861645182,-1.2248668861645182,0.13773238282392075,0.003809211140956212,0.03740963064582481,-0.008678538294511068,0.03140689859187773
1,V,-3.2999631267927754,-3.8781331267927754,-5.856085575772369,-3.2829999999999995,-3.8611699999999995,-5.839122448979593,-0.9865162996187613,-0.9865162996187613,0.053635814112872104,-0.9450207045796071,-0.9450207045796071,0.09513140915202634,-0.0030745589815778657,-0.0030745589815778657,-0.0082204590601829,-0.0082204590601829
2,I,-4.301963126792776,-4.653490486792776,-5.856085575772369,-4.285,-4.6365273600000005,-5.839122448979593,-0.5787766710359614,-0.5787766710359614,0.053635814112872104,-0.5372810759968072,-0.5372810759968072,0.09513140915202634,-0.0018693318607996834,-0.0018693318607993573,-0.004998039108591895,-0.004998039108591409
3,J,-4.9999631267927755,-5.168788766792775,-5.746350881894816,-4.983,-5.151825639999999,-5.7293877551020405,-0.2888881628140707,-0.2888881628140707,0.014836254395566684,-0.2473925677749147,-0.2473925677749147,0.056331849434721804,-0.0031096166528923642,-0.03335374916211593,-0.00345142601207455,-0.03823208878364519
4,H,-5.453963126792775,-5.558611896792775,-5.916621290058082,-5.436999999999999,-5.541648769999999,-5.899658163265306,-0.18563561526703776,-0.18563561526703776,0.0026319173183884104,-0.14414002022788264,-0.14414002022788264,0.04412751235754531,-0.002134577201037697,-0.04239978547345591,-0.0021518056949976425,-0.04785600055911615
5,K,-5.566963126792776,-5.635765356792776,-5.871141698221347,-5.55,-5.61880223,-5.854178571428571,-0.14471472397000973,-0.14471472397000973,-0.020936622435945296,-0.1032191289308555,-0.1032191289308555,0.020558972603209824,-0.0016428415798278202,-0.06478719997754888,-0.0014435867889242282,-0.0701295101348342
