,KNCen,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.2414962751570897,-4.58845457515709,-7.4573126016877,-1.5060000000000002,-4.852958300000001,-7.72181632653061,0.5677131319976392,0.5677131319976392,-0.07340088557762492,0.32230372626676296,0.32230372626676296,-0.3188102913085018,-0.30043600768584977,-0.34329899979075384,-0.3019728924726874,-0.35229386962627735
1,V,-2.85349627515709,-5.40842627515709,-7.598394234340762,-3.1180000000000003,-5.672930000000001,-7.862897959183672,0.4699793778195578,0.4699793778195578,-0.019420635596674174,0.22456997208868135,0.22456997208868135,-0.26483004132755017,-0.22117564551480226,-0.22117564551480226,-0.2286240542117431,-0.2286240542117431
2,I,-4.713496275157089,-6.26689371515709,-7.598394234340763,-4.978,-6.53139744,-7.862897959183673,0.2781345725603943,0.2781345725603943,-0.019420635596674174,0.032725166829518315,0.032725166829518315,-0.26483004132755106,-0.13447479247300054,-0.1344747924730002,-0.13900342496073909,-0.1390034249607398
3,J,-6.192496275157089,-6.938535835157089,-7.578006479238722,-6.457,-7.20303956,-7.842510204081632,-0.01538297070319583,-0.01538297070319583,-0.15828777462073695,-0.26079237643407094,-0.26079237643407094,-0.40369718035161206,-0.06804432114520997,-0.20574733289602457,-0.06414646003403407,-0.21388735030377454
4,H,-6.9534962751570895,-7.4159386051570895,-7.812322805769334,-7.218,-7.68044233,-8.076826530612244,-0.11971089707968119,-0.11971089707968119,-0.20829229950801853,-0.3651203028105563,-0.3651203028105563,-0.453701705238891,-0.04334303014930069,-0.2322213588964103,-0.0397730185086953,-0.24315791301823578
5,K,-7.2194962751570895,-7.52353294515709,-7.784139132299947,-7.484,-7.78803667,-8.048642857142857,-0.1879970962157298,-0.1879970962157298,-0.24623569781226085,-0.4334065019466058,-0.4334065019466058,-0.49164510354313684,-0.028367627955894592,-0.25681051168225993,-0.02574606836576132,-0.2691129365290683
