,TVel,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.1126003360008294,-2.335446036000829,-4.698391152327361,-1.1889999999999983,-2.411845699999998,-4.77479081632653,-0.45410227543391557,-0.45410227543391557,0.1576996447216148,-0.5027356913664333,-0.5027356913664333,0.10906622878909555,0.11367976380826608,0.11470263744270556,0.08718127463614185,0.08914591778958819
1,V,-2.0246003360008302,-2.95807033600083,-4.761845233960015,-2.100999999999999,-3.034469999999999,-4.838244897959184,-0.3117642596698422,-0.3117642596698422,0.15526010686109615,-0.36039767560236013,-0.36039767560236013,0.10662669092857868,0.08826838818421129,0.08826838818421129,0.06655194041039092,0.06655194041039092
2,I,-3.0976003360008306,-3.6651500960008305,-4.761845233960015,-3.1739999999999995,-3.7415497599999994,-4.838244897959184,-0.1286907079897146,-0.1286907079897146,0.15526010686109615,-0.17732412392223207,-0.17732412392223207,0.10662669092857868,0.05366718001600024,0.05366718001600054,0.040463579769517366,0.040463579769517824
3,J,-3.8316003360008306,-4.10417357600083,-4.630875846204912,-3.9079999999999995,-4.180573239999999,-4.707275510204081,0.007699124206730801,0.007699124206730801,0.14407023923376627,-0.040934291725784444,-0.040934291725784444,0.09543682330124881,0.02219012706350773,0.03294732889297902,0.018296214065372254,0.011569765931685572
4,H,-4.2886003360008305,-4.457558406000831,-4.784041662531443,-4.364999999999999,-4.53395807,-4.860441326530612,0.04883213508330986,0.04883213508330986,0.13336354542540985,0.0001987191507941688,0.0001987191507941688,0.08473012949289505,0.013762581338250146,0.020597312537733864,0.011327387733654687,-0.004654690286054905
5,K,-4.41560033600083,-4.5266832660008305,-4.741332478857974,-4.491999999999999,-4.603082929999999,-4.8177321428571425,0.04971169802944875,0.04971169802944875,0.10528759764663054,0.0010782820969312823,0.0010782820969312823,0.056654181714112184,0.008448067827162606,-0.010084057926976434,0.007385352126733281,-0.03597659682680043
