,VCar,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.1540311505644745,-2.8564269505644746,-5.318750538319577,-1.636000000000001,-2.338395800000001,-4.8007193877551035,-1.2836246852706186,-1.2836246852706186,0.0028492675542723944,-0.7394242593608695,-0.7394242593608695,0.5470496934640208,0.020743634167675846,0.0467124638312747,0.04847102834667294,0.07750873798133101
1,V,-3.0210311505644736,-3.5572111505644735,-5.436847477095085,-2.503,-3.03918,-4.918816326530612,-1.0115889233606938,-1.0115889233606938,-0.02954773799818078,-0.467388497450945,-0.467388497450945,0.5146526879115685,0.010438471061351817,0.010438471061351817,0.0361926919008162,0.0361926919008162
2,I,-3.9680311505644736,-4.294028590564474,-5.436847477095086,-3.45,-3.7759974400000003,-4.918816326530613,-0.6266287786985889,-0.6266287786985889,-0.029547737998181667,-0.08242835278884009,-0.08242835278884009,0.5146526879115676,0.006346590405302156,0.006346590405301705,0.022005156675696247,0.022005156675696136
3,J,-4.583031150564474,-4.7395957105644735,-5.288449517911412,-4.065,-4.22156456,-4.770418367346939,-0.3132132951470208,-0.3132132951470208,-0.026457269021165963,0.23098713076273114,0.23098713076273114,0.5177431568885833,0.0037569365174842037,0.002643850764093396,0.005153231217632781,0.02971451942102965
4,H,-5.002031150564474,-5.099079730564474,-5.439293905666515,-4.484000000000001,-4.581048580000001,-4.921262755102042,-0.20488463935633838,-0.20488463935633838,-0.027135184805723078,0.33931578655341177,0.33931578655341177,0.5170652411040288,0.0022778633666149933,-0.000744622041136473,0.003161343280360218,0.034042703451373446
5,K,-5.105031150564474,-5.1688365705644745,-5.392513293421617,-4.587000000000001,-4.650805420000001,-4.874482142857143,-0.1671448035047769,-0.1671448035047769,-0.05028190244663833,0.3770556224049715,0.3770556224049715,0.4939185234631118,0.0013343330387354108,-0.02508418848222479,0.0016442954171804192,0.012900777811567898
