,TXCyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,1.065030480313796,-3.7163385196862038,-6.490862376829065,1.0469999999999988,-3.734369000000001,-6.508892857142862,2.3898766797313487,2.3898766797313487,-0.1709737561479292,2.3945907504823536,2.3945907504823536,-0.16625968539692515,-0.04722115837844684,-0.08845835898072492,-0.020976725521746148,-0.07055332808467515
1,V,-0.8089695196862028,-4.4588695196862025,-6.576826662543348,-0.827,-4.4769,-6.594857142857145,1.8365476216568726,1.8365476216568726,-0.11830003931967514,1.8412616924078775,1.8412616924078775,-0.1135859685686702,-0.029275766138005255,-0.029275766138005255,-0.014036170910241008,-0.014036170910241008
2,I,-3.069969519686204,-5.289108719686204,-6.576826662543349,-3.088000000000001,-5.307139200000001,-6.594857142857146,1.070247338554065,1.070247338554065,-0.11830003931967603,1.07496140930507,1.07496140930507,-0.11358596856867109,-0.017799665811906965,-0.01779966581190734,-0.008533991913425895,-0.008533991913426492
3,J,-4.835969519686204,-5.901740319686203,-6.520183805400491,-4.854000000000001,-5.9197708,-6.538214285714288,0.3570994229481306,0.3570994229481306,-0.21371609405702152,0.3618134936991373,0.3618134936991373,-0.20900202330601658,-0.008714483187981154,-0.11795608740974063,-0.003024004666070418,-0.10305819441132627
4,H,-5.660969519686204,-6.321601419686204,-6.704951662543348,-5.679000000000001,-6.339631900000001,-6.722982142857145,0.12203843687647797,0.12203843687647797,-0.23178898976027718,0.1267525076274838,0.1267525076274838,-0.22707491900926957,-0.006048955366215358,-0.1389926494154893,-0.0018744884709889775,-0.12156459625745301
5,K,-5.925969519686204,-6.360307619686203,-6.612344519686204,-5.944000000000001,-6.378338100000001,-6.630375000000001,0.025357259070884375,0.025357259070884375,-0.20726961258532484,0.030071329821888426,0.030071329821888426,-0.2025555418343199,-0.003173760967593642,-0.1148428436534938,-0.001047176927213761,-0.09711269066568455
