,UNor,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.05366603751160248,-3.6798901375116024,-6.386446649756499,0.43299999999999983,-3.1932241,-5.899780612244896,1.1837727154516469,1.1837727154516469,-0.2585700156470452,1.6938420193244665,1.6938420193244665,0.25149928822577383,-0.06673536889499534,-0.09171583404603703,-0.0010193367640888573,-0.03329218194095673
1,V,-1.647666037511602,-4.415776037511602,-6.481849710980988,-1.1609999999999996,-3.9291099999999997,-5.995183673469386,0.8755077438130847,0.8755077438130847,-0.22551724175843546,1.3855770476859046,1.3855770476859046,0.28455206211438444,-0.04851590256207233,-0.04851590256207233,0.0007882811302660775,0.0007882811302660775
2,I,-3.5426660375116015,-5.225676917511602,-6.481849710980988,-3.055999999999999,-4.7390108799999995,-5.995183673469386,0.44390594946904827,0.44390594946904827,-0.22551724175843546,0.9539752533418682,0.9539752533418682,0.28455206211438444,-0.02949766875774057,-0.02949766875774018,0.00047927492720090115,0.00047927492720151177
3,J,-4.963666037511602,-5.771954157511602,-6.375247670164662,-4.476999999999999,-5.28528812,-5.88858163265306,0.051823758956299315,0.051823758956299315,-0.26967553683058476,0.561893062829121,0.561893062829121,0.24039376704223603,-0.010644217323299343,-0.0849971741230311,-0.002822173569317382,-0.03505085534576852
4,H,-5.657666037511602,-6.158693947511602,-6.5326532824095604,-5.170999999999999,-5.67202791,-6.045987244897958,-0.06427977338819524,-0.06427977338819524,-0.26356529577664034,0.44578953048462555,0.44578953048462555,0.24650400809618223,-0.00687325191440985,-0.08534613515112524,-0.0017599963371353056,-0.024039016280018755
5,K,-5.903666037511602,-6.233071127511602,-6.4789338946544595,-5.417,-5.74640509,-5.992267857142857,-0.1472655242559906,-0.1472655242559906,-0.2782874975390017,0.3628037796168284,0.3628037796168284,0.23178180633381817,-0.004026911400974498,-0.10122501996374553,-0.0013627049240825528,-0.03646095885645684
