,UCar,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-3.653760074756943,-4.766591974756943,-7.78092844210388,-3.2830000000000004,-4.3958319,-7.410168367346937,-1.7686043782858287,-1.7686043782858287,-0.23018199421828633,-1.379322326757328,-1.379322326757328,0.15910005731021482,-0.24452528224564793,-0.2460233358376808,-0.1893766692386551,-0.19329107817179395
1,V,-4.8307600747569435,-5.680250074756944,-7.981270278838575,-4.460000000000001,-5.309490000000001,-7.610510204081632,-1.4009831328992304,-1.4009831328992304,-0.2266149007866014,-1.0117010813707292,-1.0117010813707292,0.16266715074190063,-0.1888342207422801,-0.1888342207422801,-0.14427236678259706,-0.14427236678259706
2,I,-6.065760074756943,-6.582249994756943,-7.981270278838575,-5.695,-6.21148992,-7.610510204081632,-0.9406307859110807,-0.9406307859110807,-0.22661490078660051,-0.5513487343825796,-0.5513487343825796,0.16266715074189975,-0.11481120621130766,-0.1148112062113065,-0.0877175990038179,-0.08771759900381823
3,J,-6.929760074756944,-7.177811154756943,-7.84970905434878,-6.559000000000001,-6.807051080000001,-7.478948979591838,-0.5983523965580932,-0.5983523965580932,-0.25543687278120775,-0.2090703450295912,-0.2090703450295912,0.1338451787472934,-0.05116659370485302,-0.1107636216026551,-0.043876993807445225,-0.06587472399830557
4,H,-7.452760074756943,-7.606517764756943,-8.023002421695718,-7.082000000000001,-7.235757690000001,-7.652242346938776,-0.4542168356638294,-0.4542168356638294,-0.24165618565144342,-0.06493478413532827,-0.06493478413532827,0.1476258658770604,-0.03182739937222831,-0.08792445375769262,-0.02719611041920858,-0.03322773475552315
5,K,-7.600760074756943,-7.701849384756943,-7.975670789042658,-7.23,-7.33108931,-7.604910714285715,-0.3998940151245076,-0.3998940151245076,-0.26014419550310475,-0.010611963596006468,-0.010611963596006468,0.1291378560253964,-0.02052346879749145,-0.09888968160665365,-0.01799976585619692,-0.041427951733704504
