,RXAur,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.1726141554823606,-3.2854460554823604,-5.7784559922170535,-2.013,-3.1258318999999997,-5.618841836734693,-0.9837619855920032,-0.9837619855920032,0.24268824419636026,-0.8003784081544918,-0.8003784081544918,0.4260718216338706,-0.14125790419137205,-0.15399410206035746,-0.1686747031113633,-0.18347178048417878
1,V,-3.134614155482361,-3.9841041554823615,-5.887165175890524,-2.9750000000000005,-3.824490000000001,-5.727551020408163,-0.6794465460123549,-0.6794465460123549,0.2567750034444103,-0.49606296857484367,-0.49606296857484367,0.4401585808819224,-0.10254687719790168,-0.10254687719790168,-0.12779949951773784,-0.12779949951773784
2,I,-4.213614155482361,-4.730104075482361,-5.887165175890524,-4.054,-4.57048992,-5.727551020408163,-0.3124476986253031,-0.3124476986253031,0.2567750034444103,-0.12906412118779187,-0.12906412118779187,0.4401585808819224,-0.06234850133632355,-0.062348501336323275,-0.07770209570678477,-0.07770209570678405
3,J,-4.984614155482361,-5.232665235482361,-5.788359053441544,-4.825,-5.07305108,-5.628744897959184,-0.06783407182753631,-0.06783407182753631,0.20554262061383977,0.11554950560997757,0.11554950560997757,0.388926198051351,-0.03678355112259593,-0.05080693684457041,-0.04201724676942348,-0.07481806874916297
4,H,-5.44861415548236,-5.60237184548236,-5.946825890176238,-5.289,-5.44275769,-5.787211734693877,0.03936838749539007,0.03936838749539007,0.20882448794706487,0.22275196493290306,0.22275196493290306,0.39220806538457964,-0.022442309532171745,-0.022656199411091066,-0.026066939217903262,-0.04963308555168344
5,K,-5.534614155482361,-5.635703465482361,-5.862167726910932,-5.375,-5.47608931,-5.702553571428571,0.11343401965950228,0.11343401965950228,0.2248443840448573,0.2968175970970135,0.2968175970970135,0.4082279614823694,-0.015101604826654125,0.004463515003164026,-0.017479984821532568,-0.0220558711063365
