,ADGem,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.3992943572616632,-2.131309257261663,-4.126233132771869,-1.9669999999999987,-2.6990148999999986,-4.693938775510205,-0.8579383915724187,-0.8579383915724187,0.47252619812577734,-1.3969949862896343,-1.3969949862896343,-0.066530396591439,-0.10130995042633956,-0.10464937810741509,-0.20106294665065233,-0.20148737816645507
1,V,-2.0912943572616634,-2.6500843572616635,-4.17292701032289,-2.658999999999999,-3.217789999999999,-4.740632653061225,-0.542420941645394,-0.542420941645394,0.47320088255170134,-1.08147753636261,-1.08147753636261,-0.06585571216551411,-0.0715330015212704,-0.0715330015212704,-0.1535168655812653,-0.1535168655812653
2,I,-2.907294357261664,-3.247038677261664,-4.17292701032289,-3.4749999999999996,-3.8147443199999995,-4.740632653061225,-0.14429718656013257,-0.14429718656013257,0.47320088255170134,-0.6833537812773485,-0.6833537812773485,-0.06585571216551411,-0.04349206492493202,-0.043492064924931795,-0.0933382542734094,-0.09333825427340904
3,J,-3.4192943572616645,-3.5824610372616643,-4.0271310919555425,-3.987,-4.15016668,-4.594836734693878,0.1820163041380165,0.1820163041380165,0.4785778768035698,-0.35704029057919673,-0.35704029057919673,-0.060478717913645674,-0.03071128658362776,0.040455479427090324,-0.044126662640023205,-0.04150445220048711
4,H,-3.7992943572616635,-3.9004353472616637,-4.1760698674657455,-4.366999999999999,-4.468140989999999,-4.743775510204081,0.2840100825431442,0.2840100825431442,0.4678376327228193,-0.2550465121740695,-0.2550465121740695,-0.07121896199439348,-0.018546306691807568,0.06250854198274902,-0.027356493391902742,-0.036358983028873755
5,K,-3.869294357261664,-3.9357903672616636,-4.11700864297595,-4.436999999999999,-4.503496009999999,-4.684714285714286,0.3347805395018124,0.3347805395018124,0.4556395365812662,-0.20427605521540393,-0.20427605521540393,-0.08341705813594924,-0.013445752909635234,0.06348418098332115,-0.01792012690772289,-0.039582708360399066
