,XXSgr,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.6254808412889616,-2.8299881412889616,-5.2606083923093685,-0.6809999999999992,-2.885507299999999,-5.316127551020406,0.2209301975570771,0.2209301975570771,0.008279548754556387,0.19176114723342264,0.19176114723342264,-0.020889501569099522,0.008349947397932215,-0.046857175651656806,0.005581443227358433,-0.059783564435013745
1,V,-1.7364808412889623,-3.4193108412889623,-5.27474614741141,-1.7919999999999998,-3.47483,-5.330265306122447,0.23937521888001223,0.23937521888001223,0.07704647933610342,0.21020616855635765,0.21020616855635765,0.04787742901244929,0.01800102160684848,0.01800102160684848,0.007020913381175123,0.007020913381175123
2,I,-3.123480841288962,-4.146641481288961,-5.274746147411411,-3.1789999999999994,-4.202160639999999,-5.330265306122448,0.1757423529787996,0.1757423529787996,0.07704647933610254,0.146573302655145,0.146573302655145,0.0478774290124484,0.010944621136965205,0.01094462113696476,0.004268715335755818,0.004268715335755353
3,J,-4.096480841288962,-4.587867201288962,-5.129654310676717,-4.151999999999999,-4.643386359999999,-5.185173469387754,0.12458730785797911,0.12458730785797911,0.0771873159111589,0.09541825753432764,0.09541825753432764,0.04801826558750477,0.003636338203140632,0.014509528355758236,0.0015461668404635684,0.003684590738858823
4,H,-4.631480841288962,-4.936073071288962,-5.271906861697125,-4.686999999999999,-4.991592229999999,-5.327426020408162,0.11360999779499181,0.11360999779499181,0.08422849593754478,0.08444094747133946,0.08444094747133946,0.05505944561389331,0.002497387820300956,0.023599179162333665,0.0009605140457744424,0.010785892067788336
5,K,-4.768480841288962,-4.9687376112889625,-5.189534412717533,-4.824,-5.02425677,-5.245053571428571,0.11589360196476317,0.11589360196476317,0.09657648195903779,0.08672455164110815,0.08672455164110815,0.06740743163538365,0.001560295732671163,0.03625393356318762,0.0005796501478758098,0.023093835773490626
