,BBSgr,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.635813198538286,-2.824808498538286,-5.371986667926042,-1.8600000000000003,-3.0489953000000005,-5.5961734693877565,-0.7705781498947799,-0.7705781498947799,-0.061747152561796526,-0.9685567034592233,-0.9685567034592233,-0.2597257061262406,0.09635519779119786,0.10856777470054531,0.09550049478564798,0.11040360444524272
1,V,-2.619813198538286,-3.527443198538286,-5.471854014864817,-2.8440000000000003,-3.7516300000000005,-5.696040816326532,-0.6176093533571363,-0.6176093533571363,-0.0765169889808126,-0.8155879069215799,-0.8155879069215799,-0.27449554254525577,0.07033423100159235,0.07033423100159235,0.07206615891171164,0.07206615891171164
2,I,-3.7378131985382863,-4.289652238538286,-5.471854014864817,-3.9620000000000006,-4.513839040000001,-5.696040816326532,-0.4055011465216176,-0.4055011465216176,-0.0765169889808126,-0.6034797000860612,-0.6034797000860612,-0.27449554254525577,0.042763212448967594,0.04276321244896798,0.04381622461832019,0.0438162246183203
3,J,-4.460813198538286,-4.7258411585382865,-5.293609116905634,-4.6850000000000005,-4.950027960000001,-5.517795918367348,-0.2015017220449682,-0.2015017220449682,-0.04350275164708162,-0.3994802756094096,-0.3994802756094096,-0.24148130521152478,0.023070458205563957,0.04450206286996017,0.023975598766997203,0.045494030555084664
4,H,-4.920813198538286,-5.085094228538286,-5.437032586293388,-5.1450000000000005,-5.30928103,-5.661219387755103,-0.1348855573157941,-0.1348855573157941,-0.03694783936367951,-0.3328641108802364,-0.3328641108802364,-0.23492639292812,0.014360377116591536,0.03923110087552264,0.014881487475332134,0.03923682456223715
5,K,-5.049813198538287,-5.157821168538287,-5.389206055681144,-5.274000000000001,-5.382007970000001,-5.613392857142858,-0.12345956380341239,-0.12345956380341239,-0.05906957244262934,-0.32143811736785644,-0.32143811736785644,-0.2570481260070734,0.009311958341111301,0.011335591952739303,0.00999359526836785,0.010380879073880245
