,SWVel,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.46150303919865,-3.91707023919865,-6.752421406545588,-2.6950000000000003,-4.1505672,-6.9859183673469385,-0.867502488333262,-0.867502488333262,0.15873104590679254,-1.0802832846156651,-1.0802832846156651,-0.05404975037561144,-0.12337303373669542,-0.15030127843889726,-0.15852249103902488,-0.18917527423999358
1,V,-3.6145030391986506,-4.72562303919865,-6.890013243280283,-3.8480000000000008,-4.95912,-7.123510204081633,-0.5922531473236887,-0.5922531473236887,0.1911312299587955,-0.8050339436060923,-0.8050339436060923,-0.021649566323606706,-0.08683538434714377,-0.08683538434714377,-0.11974952062079011,-0.11974952062079011
2,I,-4.89850303919865,-5.574063999198651,-6.890013243280283,-5.132000000000001,-5.807560960000001,-7.123510204081633,-0.2851664714289557,-0.2851664714289557,0.1911312299587955,-0.4979472677113588,-0.4979472677113588,-0.021649566323606706,-0.05279591368306441,-0.052795913683064105,-0.0728077085374412,-0.07280770853744087
3,J,-5.811503039198651,-6.1359500791986505,-6.767952018790487,-6.045000000000001,-6.369447040000001,-7.001448979591837,-0.07161340958686946,-0.07161340958686946,0.1571348285796157,-0.28439420586927167,-0.28439420586927167,-0.0556459677027874,-0.030331858508111736,-0.03674697919021952,-0.034782169297044224,-0.06963866984114116
4,H,-6.352503039198651,-6.553615759198651,-6.9453703861374265,-6.586000000000001,-6.787112720000001,-7.178867346938777,0.01440829996217552,0.01440829996217552,0.15620087225030588,-0.1983724963202267,-0.1983724963202267,-0.05657992403209455,-0.01859201923250267,-0.01800373993682053,-0.02155736955983808,-0.05766001472103454
5,K,-6.511503039198651,-6.643726319198651,-6.901288753484365,-6.745000000000001,-6.877223280000001,-7.134785714285715,0.04006153049570038,0.04006153049570038,0.13328427139231636,-0.1727192657867036,-0.1727192657867036,-0.07949652489008674,-0.012827961670561938,-0.032006890856177195,-0.014115919035792013,-0.0733308742895115
