,BNPup,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.3199192049114679,-3.0801400049114678,-5.764562062054325,-1.7109999999999985,-3.4712207999999984,-6.155642857142856,-0.03727942474876178,-0.03727942474876178,0.4626097623360357,-0.40529759502594054,-0.40529759502594054,0.09459159205885648,0.023831634986824446,0.022289591267422415,-0.0655626288798319,-0.06445136059697618
1,V,-2.506919204911469,-3.850599204911469,-5.899776347768611,-2.8979999999999997,-4.24168,-6.290857142857142,0.07952201835542327,0.07952201835542327,0.46111681765679613,-0.2884961519217555,-0.2884961519217555,0.09309864737961782,0.023512164181310302,0.023512164181310302,-0.050021464722198636,-0.050021464722198636
2,I,-3.836919204911469,-4.653876644911469,-5.899776347768612,-4.228,-5.044957439999999,-6.290857142857143,0.22910717968156113,0.22910717968156113,0.46111681765679524,-0.13891099059561807,-0.13891099059561807,0.09309864737961693,0.014295395822237267,0.014295395822236712,-0.03041305055109604,-0.030413050551096416
3,J,-4.762919204911468,-5.155273764911469,-5.753633490625754,-5.153999999999999,-5.546354559999999,-6.144714285714285,0.34440212469842457,0.34440212469842457,0.4558278060944252,-0.023616045578752853,-0.023616045578752853,0.08780963581724688,-0.0030006774567141736,0.056113462961183636,-0.015593268746768932,-0.016990851000788135
4,H,-5.312919204911469,-5.556125284911469,-5.927026347768612,-5.704,-5.94720608,-6.3181071428571425,0.37852615629396524,0.37852615629396524,0.4475948149675135,0.010507986016787818,0.010507986016787818,0.07957664469033787,-0.001355460564431532,0.06948909382162183,-0.009677174670193106,-0.01803914593764852
5,K,-5.467919204911468,-5.627817124911468,-5.871669204911468,-5.858999999999999,-6.018897919999999,-6.262749999999999,0.3892835601686153,0.3892835601686153,0.4346933412854783,0.021265389891436115,0.021265389891436115,0.0666751710083,-0.0021014728005118166,0.06364539632556249,-0.006425616887779456,-0.02707070864818313
