,SWCas,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.7047220809383319,-2.680739180938332,-5.1025792237954715,-0.9969999999999999,-2.9730171,-5.3948571428571395,0.04576044231083698,0.04576044231083698,-0.044421896607302,-0.21944443704409955,-0.21944443704409955,-0.3096267759622391,0.06159918660563265,0.05589125993261796,0.054631025042236714,0.04856016072984137
1,V,-1.8097220809383323,-3.3181320809383323,-5.166864938081186,-2.1020000000000003,-3.6104100000000003,-5.459142857142854,0.03186376089365961,0.03186376089365961,-0.03697771919652215,-0.23334111846127703,-0.23334111846127703,-0.30218259855145835,0.04773524956196848,0.04773524956196848,0.04172020349623051,0.04172020349623051
2,I,-3.1257220809383313,-4.042835360938331,-5.166864938081186,-3.4179999999999993,-4.335113279999999,-5.459142857142854,0.004877900698307958,0.004877900698307958,-0.03697771919652215,-0.2603269786566287,-0.2603269786566287,-0.30218259855145835,0.029023031733676458,0.029023031733676832,0.02536588372570786,0.025365883725707916
3,J,-4.012722080938332,-4.453177800938332,-4.993007795224045,-4.305,-4.74545572,-5.285285714285713,0.013455305650852623,0.013455305650852623,-0.006646406535479876,-0.2517495737040818,-0.2517495737040818,-0.2718512858904161,0.01556342279935527,0.03989659963710063,0.015402692580858801,0.03308632496492592
4,H,-4.5307220809383315,-4.803744290938331,-5.138364938081188,-4.8229999999999995,-5.096022209999999,-5.430642857142856,0.0062614604432962295,0.0062614604432962295,-0.006198847453026346,-0.2589434189116391,-0.2589434189116391,-0.2714037268079599,0.009645964810062116,0.03310342673188321,0.009564929193413785,0.023604725202010235
5,K,-4.653722080938332,-4.833222870938331,-5.0532220809383315,-4.946,-5.125500789999999,-5.3454999999999995,0.016723365886310404,0.016723365886310404,0.008531229755578629,-0.2484815134686258,-0.2484815134686258,-0.25667364959935757,0.006502488864197159,0.044191044023261225,0.006515451753377033,0.033253467474664455
